Ngay,GiaDongCua
29/12/2023,11.85
28/12/2023,11.9
27/12/2023,11.95
26/12/2023,12.0
25/12/2023,11.9
22/12/2023,12.0
21/12/2023,12.1
20/12/2023,11.85
19/12/2023,11.85
18/12/2023,11.85
15/12/2023,11.95
14/12/2023,12.15
13/12/2023,12.2
12/12/2023,12.3
11/12/2023,12.45
08/12/2023,12.3
07/12/2023,12.3
06/12/2023,12.5
05/12/2023,12.15
04/12/2023,12.7
01/12/2023,12.6
30/11/2023,12.7
29/11/2023,12.8
28/11/2023,12.0
27/11/2023,12.25
24/11/2023,12.25
23/11/2023,12.5
22/11/2023,12.65
21/11/2023,12.6
20/11/2023,12.4
17/11/2023,12.4
16/11/2023,12.6
15/11/2023,12.6
14/11/2023,12.3
13/11/2023,12.4
10/11/2023,12.5
09/11/2023,12.65
08/11/2023,12.55
07/11/2023,12.4
06/11/2023,12.4
03/11/2023,12.7
02/11/2023,12.45
01/11/2023,12.25
31/10/2023,11.85
30/10/2023,12.4
27/10/2023,12.45
26/10/2023,12.05
25/10/2023,12.2
24/10/2023,12.3
23/10/2023,12.45
20/10/2023,12.45
19/10/2023,12.5
18/10/2023,12.55
17/10/2023,13.3
16/10/2023,13.5
13/10/2023,13.8
12/10/2023,13.6
11/10/2023,13.9
10/10/2023,14.05
09/10/2023,13.85
06/10/2023,13.95
05/10/2023,13.5
04/10/2023,13.9
03/10/2023,14.0
02/10/2023,14.2
29/09/2023,13.6
28/09/2023,13.8
27/09/2023,13.7
26/09/2023,13.7
25/09/2023,14.3
22/09/2023,15.35
21/09/2023,15.15
20/09/2023,14.85
19/09/2023,14.45
18/09/2023,14.75
15/09/2023,14.7
14/09/2023,14.7
13/09/2023,15.5
12/09/2023,15.5
11/09/2023,15.55
08/09/2023,14.55
07/09/2023,14.75
06/09/2023,14.7
05/09/2023,14.7
31/08/2023,14.3
30/08/2023,14.55
29/08/2023,14.35
28/08/2023,14.8
25/08/2023,14.2
24/08/2023,13.3
23/08/2023,13.0
22/08/2023,13.1
21/08/2023,13.0
18/08/2023,12.7
17/08/2023,13.45
16/08/2023,13.5
15/08/2023,13.45
14/08/2023,13.4
11/08/2023,13.35
10/08/2023,13.55
09/08/2023,13.55
08/08/2023,13.85
07/08/2023,13.7
04/08/2023,13.4
03/08/2023,13.35
02/08/2023,13.3
01/08/2023,13.3
31/07/2023,13.5
28/07/2023,13.6
27/07/2023,13.9
26/07/2023,13.9
25/07/2023,14.2
24/07/2023,13.95
21/07/2023,13.85
20/07/2023,13.9
19/07/2023,13.9
18/07/2023,13.45
17/07/2023,13.6
14/07/2023,13.55
13/07/2023,13.55
12/07/2023,13.3
11/07/2023,13.4
10/07/2023,13.2
07/07/2023,13.45
06/07/2023,13.35
05/07/2023,13.75
04/07/2023,13.85
03/07/2023,13.95
30/06/2023,13.3
29/06/2023,13.3
28/06/2023,13.5
27/06/2023,13.25
26/06/2023,13.0
23/06/2023,13.15
22/06/2023,13.3
21/06/2023,13.0
20/06/2023,12.9
19/06/2023,12.7
16/06/2023,12.7
15/06/2023,12.65
14/06/2023,12.5
13/06/2023,13.4
12/06/2023,13.35
09/06/2023,13.6
08/06/2023,13.65
07/06/2023,12.8
06/06/2023,12.85
05/06/2023,12.7
02/06/2023,12.95
01/06/2023,12.5
31/05/2023,11.7
30/05/2023,11.6
29/05/2023,11.75
26/05/2023,11.45
25/05/2023,11.35
24/05/2023,11.4
23/05/2023,11.4
22/05/2023,11.45
19/05/2023,11.45
18/05/2023,11.4
17/05/2023,11.5
16/05/2023,11.4
15/05/2023,11.4
12/05/2023,11.4
11/05/2023,11.4
10/05/2023,11.4
09/05/2023,11.35
08/05/2023,11.35
05/05/2023,11.55
04/05/2023,11.6
28/04/2023,11.65
27/04/2023,11.55
26/04/2023,11.8
25/04/2023,11.65
24/04/2023,11.9
21/04/2023,12.0
20/04/2023,12.0
19/04/2023,12.0
18/04/2023,12.05
17/04/2023,12.0
14/04/2023,12.0
13/04/2023,11.85
12/04/2023,11.85
11/04/2023,12.0
10/04/2023,11.85
07/04/2023,11.95
06/04/2023,11.95
05/04/2023,12.1
04/04/2023,12.1
03/04/2023,11.75
31/03/2023,11.7
30/03/2023,11.8
29/03/2023,12.0
28/03/2023,11.9
27/03/2023,12.1
24/03/2023,12.3
23/03/2023,12.15
22/03/2023,12.1
21/03/2023,12.0
20/03/2023,11.9
17/03/2023,12.4
16/03/2023,12.35
15/03/2023,12.4
14/03/2023,11.8
13/03/2023,12.1
10/03/2023,12.3
09/03/2023,12.3
08/03/2023,12.1
07/03/2023,11.9
06/03/2023,11.95
03/03/2023,12.15
02/03/2023,12.15
01/03/2023,12.3
28/02/2023,12.1
27/02/2023,12.15
24/02/2023,12.65
23/02/2023,12.55
22/02/2023,12.15
21/02/2023,13.0
20/02/2023,12.7
17/02/2023,12.2
16/02/2023,12.25
15/02/2023,12.25
14/02/2023,11.9
13/02/2023,12.1
10/02/2023,13.0
09/02/2023,12.6
08/02/2023,11.8
07/02/2023,11.65
06/02/2023,11.5
03/02/2023,11.7
02/02/2023,11.8
01/02/2023,11.8
31/01/2023,12.15
30/01/2023,12.3
27/01/2023,11.95
19/01/2023,12.1
18/01/2023,12.1
17/01/2023,11.6
16/01/2023,11.45
13/01/2023,11.7
12/01/2023,11.75
11/01/2023,11.4
10/01/2023,11.15
09/01/2023,11.45
06/01/2023,11.35
05/01/2023,11.3
04/01/2023,11.25
03/01/2023,11.25
30/12/2022,10.55
29/12/2022,10.6
28/12/2022,10.75
27/12/2022,10.5
26/12/2022,10.0
23/12/2022,10.55
22/12/2022,10.7
21/12/2022,11.5
20/12/2022,11.7
19/12/2022,12.2
16/12/2022,11.75
15/12/2022,11.75
14/12/2022,12.0
13/12/2022,12.15
12/12/2022,12.15
09/12/2022,11.4
08/12/2022,11.55
07/12/2022,11.9
06/12/2022,12.75
05/12/2022,11.95
02/12/2022,11.8
01/12/2022,11.7
30/11/2022,11.4
29/11/2022,11.3
28/11/2022,10.85
25/11/2022,10.15
24/11/2022,9.9
23/11/2022,9.91
22/11/2022,10.35
21/11/2022,10.45
18/11/2022,9.83
17/11/2022,9.19
16/11/2022,9.19
15/11/2022,8.64
14/11/2022,9.29
11/11/2022,9.98
10/11/2022,10.15
09/11/2022,10.9
08/11/2022,10.8
07/11/2022,10.95
04/11/2022,11.5
03/11/2022,11.6
02/11/2022,11.9
01/11/2022,11.95
31/10/2022,12.1
28/10/2022,12.3
27/10/2022,12.45
26/10/2022,11.9
25/10/2022,12.35
24/10/2022,12.5
21/10/2022,13.0
20/10/2022,13.35
19/10/2022,13.6
18/10/2022,13.45
17/10/2022,13.45
14/10/2022,13.45
13/10/2022,12.8
12/10/2022,12.2
11/10/2022,11.6
10/10/2022,12.35
07/10/2022,12.0
06/10/2022,12.85
05/10/2022,13.75
04/10/2022,13.15
03/10/2022,13.8
30/09/2022,14.8
29/09/2022,15.3
28/09/2022,16.0
27/09/2022,16.8
26/09/2022,16.8
23/09/2022,17.65
22/09/2022,17.5
21/09/2022,17.1
20/09/2022,17.65
19/09/2022,17.55
16/09/2022,18.85
15/09/2022,19.35
14/09/2022,19.4
13/09/2022,19.4
12/09/2022,19.2
09/09/2022,19.3
08/09/2022,18.85
07/09/2022,19.0
06/09/2022,19.8
05/09/2022,20.05
31/08/2022,20.1
30/08/2022,19.4
29/08/2022,19.35
26/08/2022,20.05
25/08/2022,20.4
24/08/2022,19.55
23/08/2022,19.3
22/08/2022,18.8
19/08/2022,19.3
18/08/2022,19.9
17/08/2022,20.3
16/08/2022,20.2
15/08/2022,20.4
12/08/2022,20.45
11/08/2022,20.35
10/08/2022,20.5
09/08/2022,20.6
08/08/2022,20.75
05/08/2022,19.4
04/08/2022,19.4
03/08/2022,19.6
02/08/2022,18.9
01/08/2022,18.9
29/07/2022,18.75
28/07/2022,19.65
27/07/2022,19.35
26/07/2022,18.55
25/07/2022,19.9
22/07/2022,20.5
21/07/2022,21.0
20/07/2022,21.35
19/07/2022,21.0
18/07/2022,21.15
15/07/2022,20.7
14/07/2022,20.6
13/07/2022,20.6
12/07/2022,20.2
11/07/2022,18.9
08/07/2022,19.6
07/07/2022,19.35
06/07/2022,20.8
05/07/2022,22.05
04/07/2022,23.7
01/07/2022,24.4
30/06/2022,24.3
29/06/2022,24.4
28/06/2022,23.7
27/06/2022,24.1
24/06/2022,23.7
23/06/2022,24.4
22/06/2022,23.0
21/06/2022,24.6
20/06/2022,26.4
17/06/2022,24.7
16/06/2022,24.8
15/06/2022,24.2
14/06/2022,24.95
13/06/2022,24.8
10/06/2022,26.65
09/06/2022,28.65
08/06/2022,28.5
07/06/2022,29.3
06/06/2022,28.5
03/06/2022,29.0
02/06/2022,28.45
01/06/2022,28.45
31/05/2022,26.6
30/05/2022,26.7
27/05/2022,26.7
26/05/2022,25.8
25/05/2022,25.85
24/05/2022,24.2
23/05/2022,23.5
20/05/2022,22.85
19/05/2022,23.2
18/05/2022,23.7
17/05/2022,23.5
16/05/2022,22.35
13/05/2022,24.0
12/05/2022,25.8
11/05/2022,27.7
10/05/2022,28.5
09/05/2022,28.55
06/05/2022,30.65
05/05/2022,29.95
04/05/2022,32.2
29/04/2022,30.7
28/04/2022,28.7
27/04/2022,28.55
26/04/2022,26.7
25/04/2022,28.7
22/04/2022,30.85
21/04/2022,33.15
20/04/2022,31.0
19/04/2022,29.0
18/04/2022,27.8
15/04/2022,26.0
14/04/2022,25.3
13/04/2022,25.3
12/04/2022,24.35
08/04/2022,22.8
07/04/2022,24.5
06/04/2022,25.45
05/04/2022,26.3
04/04/2022,25.9
01/04/2022,26.7
31/03/2022,25.8
30/03/2022,26.2
29/03/2022,25.9
28/03/2022,25.15
25/03/2022,23.55
24/03/2022,23.7
23/03/2022,23.45
22/03/2022,22.8
21/03/2022,22.8
18/03/2022,22.45
17/03/2022,22.9
16/03/2022,23.0
15/03/2022,23.1
14/03/2022,23.0
11/03/2022,23.0
10/03/2022,23.85
09/03/2022,22.4
08/03/2022,21.4
07/03/2022,23.0
04/03/2022,22.0
03/03/2022,22.1
02/03/2022,22.1
01/03/2022,21.15
28/02/2022,19.8
25/02/2022,19.15
24/02/2022,19.15
23/02/2022,19.8
22/02/2022,19.7
21/02/2022,20.0
18/02/2022,19.3
17/02/2022,18.65
16/02/2022,18.05
15/02/2022,17.85
14/02/2022,17.8
11/02/2022,16.85
10/02/2022,16.7
09/02/2022,17.3
08/02/2022,17.25
07/02/2022,16.8
28/01/2022,16.35
27/01/2022,16.1
26/01/2022,16.35
25/01/2022,16.35
24/01/2022,16.1
21/01/2022,17.25
20/01/2022,17.3
19/01/2022,16.9
18/01/2022,16.6
17/01/2022,16.5
14/01/2022,17.7
13/01/2022,17.85
12/01/2022,18.3
11/01/2022,18.35
10/01/2022,18.25
07/01/2022,18.25
06/01/2022,18.65
05/01/2022,18.5
04/01/2022,17.95
31/12/2021,18.05
30/12/2021,18.0
29/12/2021,18.0
28/12/2021,18.1
27/12/2021,18.4
24/12/2021,18.15
23/12/2021,18.35
22/12/2021,19.5
21/12/2021,18.6
20/12/2021,18.4
17/12/2021,17.2
16/12/2021,17.2
15/12/2021,17.2
14/12/2021,17.3
13/12/2021,17.2
10/12/2021,17.0
09/12/2021,16.9
08/12/2021,16.6
07/12/2021,16.5
06/12/2021,15.7
03/12/2021,16.7
02/12/2021,17.7
01/12/2021,17.4
30/11/2021,17.4
29/11/2021,16.95
26/11/2021,17.0
25/11/2021,16.8
24/11/2021,17.0
23/11/2021,16.1
22/11/2021,15.3
19/11/2021,16.4
18/11/2021,17.15
17/11/2021,17.5
16/11/2021,17.35
15/11/2021,17.8
12/11/2021,18.15
11/11/2021,17.2
10/11/2021,16.9
09/11/2021,16.9
08/11/2021,17.15
05/11/2021,17.1
04/11/2021,16.15
03/11/2021,15.1
02/11/2021,16.0
01/11/2021,15.2
29/10/2021,15.2
28/10/2021,15.05
27/10/2021,14.45
26/10/2021,13.55
25/10/2021,13.7
22/10/2021,13.4
21/10/2021,13.45
20/10/2021,13.0
19/10/2021,13.0
18/10/2021,13.05
15/10/2021,13.1
14/10/2021,13.15
13/10/2021,13.3
12/10/2021,13.3
11/10/2021,13.45
08/10/2021,13.35
07/10/2021,13.15
06/10/2021,13.05
05/10/2021,13.2
04/10/2021,13.1
01/10/2021,12.8
30/09/2021,12.65
29/09/2021,12.65
28/09/2021,12.85
27/09/2021,12.75
24/09/2021,13.1
23/09/2021,13.5
22/09/2021,13.5
21/09/2021,12.8
20/09/2021,12.95
17/09/2021,12.9
16/09/2021,12.85
15/09/2021,12.9
14/09/2021,12.8
13/09/2021,12.95
10/09/2021,13.1
09/09/2021,13.2
08/09/2021,13.1
07/09/2021,13.25
06/09/2021,13.65
01/09/2021,12.8
31/08/2021,12.95
30/08/2021,12.85
