Ngay,Symbol,GiaDongCua
29/12/2023,ANV,31.1
28/12/2023,ANV,30.95
27/12/2023,ANV,31.05
26/12/2023,ANV,31.2
25/12/2023,ANV,31.0
22/12/2023,ANV,30.75
21/12/2023,ANV,30.75
20/12/2023,ANV,30.25
19/12/2023,ANV,30.0
18/12/2023,ANV,29.6
15/12/2023,ANV,30.3
14/12/2023,ANV,30.55
13/12/2023,ANV,31.0
12/12/2023,ANV,32.05
11/12/2023,ANV,32.2
08/12/2023,ANV,31.3
07/12/2023,ANV,31.5
06/12/2023,ANV,32.05
05/12/2023,ANV,30.9
04/12/2023,ANV,30.8
01/12/2023,ANV,29.6
30/11/2023,ANV,29.2
29/11/2023,ANV,29.55
28/11/2023,ANV,29.25
27/11/2023,ANV,29.6
24/11/2023,ANV,30.0
23/11/2023,ANV,30.0
22/11/2023,ANV,31.0
21/11/2023,ANV,30.45
20/11/2023,ANV,30.0
17/11/2023,ANV,29.9
16/11/2023,ANV,31.1
15/11/2023,ANV,30.2
14/11/2023,ANV,29.3
13/11/2023,ANV,28.95
10/11/2023,ANV,29.0
09/11/2023,ANV,29.65
08/11/2023,ANV,29.65
07/11/2023,ANV,27.75
06/11/2023,ANV,28.0
03/11/2023,ANV,27.4
02/11/2023,ANV,27.8
01/11/2023,ANV,26.0
31/10/2023,ANV,24.6
30/10/2023,ANV,26.4
27/10/2023,ANV,29.35
26/10/2023,ANV,31.0
25/10/2023,ANV,33.3
24/10/2023,ANV,33.65
23/10/2023,ANV,33.1
20/10/2023,ANV,34.5
19/10/2023,ANV,32.6
18/10/2023,ANV,35.0
17/10/2023,ANV,36.55
16/10/2023,ANV,39.3
13/10/2023,ANV,40.15
12/10/2023,ANV,39.4
11/10/2023,ANV,40.4
10/10/2023,ANV,40.0
09/10/2023,ANV,39.0
06/10/2023,ANV,38.2
05/10/2023,ANV,37.5
04/10/2023,ANV,39.0
03/10/2023,ANV,37.9
02/10/2023,ANV,38.5
29/09/2023,ANV,36.0
28/09/2023,ANV,36.0
27/09/2023,ANV,36.1
26/09/2023,ANV,35.6
25/09/2023,ANV,38.25
22/09/2023,ANV,41.1
21/09/2023,ANV,39.8
20/09/2023,ANV,39.25
19/09/2023,ANV,36.7
18/09/2023,ANV,36.45
15/09/2023,ANV,35.65
14/09/2023,ANV,35.2
13/09/2023,ANV,36.6
12/09/2023,ANV,36.95
