Ngay,Symbol,GiaDongCua
29/12/2023,ASM,10.4
28/12/2023,ASM,10.4
27/12/2023,ASM,10.2
26/12/2023,ASM,10.25
25/12/2023,ASM,10.15
22/12/2023,ASM,9.98
21/12/2023,ASM,10.05
20/12/2023,ASM,9.97
19/12/2023,ASM,9.87
18/12/2023,ASM,9.92
15/12/2023,ASM,9.99
14/12/2023,ASM,9.96
13/12/2023,ASM,10.05
12/12/2023,ASM,10.35
11/12/2023,ASM,10.2
08/12/2023,ASM,10.0
07/12/2023,ASM,10.25
06/12/2023,ASM,9.89
05/12/2023,ASM,9.25
04/12/2023,ASM,9.3
01/12/2023,ASM,9.03
30/11/2023,ASM,9.05
29/11/2023,ASM,9.11
28/11/2023,ASM,8.98
27/11/2023,ASM,9.04
24/11/2023,ASM,9.16
23/11/2023,ASM,9.25
22/11/2023,ASM,9.29
21/11/2023,ASM,9.26
20/11/2023,ASM,9.19
17/11/2023,ASM,9.24
16/11/2023,ASM,9.33
15/11/2023,ASM,9.27
14/11/2023,ASM,9.2
13/11/2023,ASM,9.15
10/11/2023,ASM,9.2
09/11/2023,ASM,9.13
08/11/2023,ASM,9.1
07/11/2023,ASM,8.58
06/11/2023,ASM,8.66
03/11/2023,ASM,8.66
02/11/2023,ASM,8.7
01/11/2023,ASM,8.18
31/10/2023,ASM,8.0
30/10/2023,ASM,8.31
27/10/2023,ASM,8.7
26/10/2023,ASM,8.47
25/10/2023,ASM,9.1
24/10/2023,ASM,9.13
23/10/2023,ASM,9.09
20/10/2023,ASM,9.15
19/10/2023,ASM,8.81
18/10/2023,ASM,9.2
17/10/2023,ASM,9.8
16/10/2023,ASM,10.05
13/10/2023,ASM,10.2
12/10/2023,ASM,10.3
11/10/2023,ASM,10.35
10/10/2023,ASM,10.2
09/10/2023,ASM,10.15
06/10/2023,ASM,10.1
05/10/2023,ASM,9.99
04/10/2023,ASM,10.2
03/10/2023,ASM,9.8
02/10/2023,ASM,10.25
29/09/2023,ASM,10.05
28/09/2023,ASM,10.0
27/09/2023,ASM,9.99
26/09/2023,ASM,9.8
25/09/2023,ASM,10.45
22/09/2023,ASM,11.2
21/09/2023,ASM,11.6
20/09/2023,ASM,11.25
19/09/2023,ASM,10.75
18/09/2023,ASM,10.8
15/09/2023,ASM,10.8
14/09/2023,ASM,10.8
13/09/2023,ASM,10.95
12/09/2023,ASM,11.2
11/09/2023,ASM,10.95
08/09/2023,ASM,11.05
07/09/2023,ASM,11.1
06/09/2023,ASM,10.95
