Ngay,GiaDongCua
29/12/2023,25.85
28/12/2023,25.8
27/12/2023,25.85
26/12/2023,25.65
25/12/2023,25.55
22/12/2023,25.55
21/12/2023,25.6
20/12/2023,25.3
19/12/2023,25.4
18/12/2023,25.35
15/12/2023,25.4
14/12/2023,25.4
13/12/2023,25.5
12/12/2023,25.7
11/12/2023,25.7
08/12/2023,26.25
07/12/2023,26.35
06/12/2023,25.85
05/12/2023,25.75
04/12/2023,25.9
01/12/2023,25.55
30/11/2023,25.4
29/11/2023,25.55
28/11/2023,25.15
27/11/2023,25.35
24/11/2023,25.75
23/11/2023,25.75
22/11/2023,25.9
21/11/2023,25.75
20/11/2023,25.5
17/11/2023,25.65
16/11/2023,25.6
15/11/2023,25.8
14/11/2023,26.05
13/11/2023,25.8
10/11/2023,25.8
09/11/2023,25.65
08/11/2023,24.0
07/11/2023,23.65
06/11/2023,23.65
03/11/2023,23.7
02/11/2023,23.55
01/11/2023,23.1
31/10/2023,22.95
30/10/2023,22.95
27/10/2023,23.1
26/10/2023,22.7
25/10/2023,23.55
24/10/2023,23.7
23/10/2023,23.3
20/10/2023,23.45
19/10/2023,23.1
18/10/2023,23.0
17/10/2023,23.1
16/10/2023,23.5
13/10/2023,23.8
12/10/2023,23.7
11/10/2023,23.7
10/10/2023,23.55
09/10/2023,23.55
06/10/2023,23.5
05/10/2023,23.4
04/10/2023,23.6
03/10/2023,23.2
02/10/2023,23.5
29/09/2023,22.35
28/09/2023,22.3
27/09/2023,22.0
26/09/2023,20.6
25/09/2023,20.15
22/09/2023,20.9
21/09/2023,20.85
20/09/2023,21.0
19/09/2023,20.6
18/09/2023,20.45
15/09/2023,20.5
14/09/2023,20.3
13/09/2023,20.35
12/09/2023,20.65
11/09/2023,20.65
08/09/2023,21.05
07/09/2023,21.0
06/09/2023,20.9
05/09/2023,20.9
31/08/2023,20.7
30/08/2023,20.5
29/08/2023,20.6
28/08/2023,20.55
25/08/2023,20.5
24/08/2023,20.45
23/08/2023,20.1
22/08/2023,20.05
21/08/2023,20.15
18/08/2023,20.2
17/08/2023,21.7
16/08/2023,22.0
15/08/2023,22.15
14/08/2023,21.8
11/08/2023,21.75
10/08/2023,22.65
09/08/2023,23.6
08/08/2023,23.9
07/08/2023,23.1
04/08/2023,23.1
03/08/2023,22.9
02/08/2023,23.45
01/08/2023,23.65
31/07/2023,23.65
28/07/2023,23.15
27/07/2023,23.4
26/07/2023,23.7
25/07/2023,23.85
24/07/2023,24.05
21/07/2023,24.3
20/07/2023,24.15
19/07/2023,24.1
18/07/2023,24.05
17/07/2023,24.4
14/07/2023,24.8
13/07/2023,24.9
12/07/2023,24.9
11/07/2023,25.2
10/07/2023,25.1
07/07/2023,24.1
06/07/2023,23.8
05/07/2023,24.1
04/07/2023,24.1
03/07/2023,22.95
30/06/2023,22.95
29/06/2023,22.85
28/06/2023,23.3
27/06/2023,23.0
26/06/2023,23.0
23/06/2023,23.2
22/06/2023,23.6
21/06/2023,23.5
20/06/2023,22.9
19/06/2023,22.9
16/06/2023,23.0
15/06/2023,23.35
14/06/2023,23.0
13/06/2023,23.3
12/06/2023,22.8
09/06/2023,23.4
08/06/2023,24.1
07/06/2023,24.1
06/06/2023,23.8
05/06/2023,23.8
02/06/2023,24.05
01/06/2023,23.8
31/05/2023,24.1
30/05/2023,23.7
29/05/2023,23.8
26/05/2023,23.7
25/05/2023,23.7
24/05/2023,24.0
23/05/2023,24.4
22/05/2023,23.75
19/05/2023,22.9
18/05/2023,22.65
17/05/2023,22.95
16/05/2023,23.25
15/05/2023,22.3
12/05/2023,22.6
11/05/2023,22.1
10/05/2023,21.85
09/05/2023,21.75
08/05/2023,21.35
05/05/2023,21.75
04/05/2023,21.6
28/04/2023,20.4
27/04/2023,20.55
26/04/2023,20.5
25/04/2023,20.3
24/04/2023,20.4
21/04/2023,20.8
20/04/2023,21.1
19/04/2023,20.9
18/04/2023,21.35
17/04/2023,21.55
14/04/2023,20.65
13/04/2023,20.65
12/04/2023,20.55
11/04/2023,20.95
10/04/2023,21.0
07/04/2023,20.5
06/04/2023,20.6
05/04/2023,20.6
04/04/2023,20.55
03/04/2023,20.25
31/03/2023,20.05
30/03/2023,20.0
29/03/2023,20.0
28/03/2023,20.0
27/03/2023,19.8
24/03/2023,19.9
23/03/2023,19.75
22/03/2023,19.9
21/03/2023,19.9
20/03/2023,19.7
17/03/2023,20.1
