Ngay,Symbol,GiaDongCua
29/12/2023,CMX,8.72
28/12/2023,CMX,8.69
27/12/2023,CMX,8.71
26/12/2023,CMX,8.74
25/12/2023,CMX,8.8
22/12/2023,CMX,8.76
21/12/2023,CMX,8.7
20/12/2023,CMX,8.65
19/12/2023,CMX,8.65
18/12/2023,CMX,8.64
15/12/2023,CMX,8.72
14/12/2023,CMX,8.72
13/12/2023,CMX,8.73
12/12/2023,CMX,9.01
11/12/2023,CMX,9.0
08/12/2023,CMX,8.86
07/12/2023,CMX,8.99
06/12/2023,CMX,9.2
05/12/2023,CMX,8.76
04/12/2023,CMX,8.68
01/12/2023,CMX,8.47
30/11/2023,CMX,8.47
29/11/2023,CMX,8.49
28/11/2023,CMX,8.4
27/11/2023,CMX,8.5
24/11/2023,CMX,8.63
23/11/2023,CMX,8.63
22/11/2023,CMX,8.52
21/11/2023,CMX,8.42
20/11/2023,CMX,8.39
17/11/2023,CMX,8.5
16/11/2023,CMX,8.74
15/11/2023,CMX,8.75
14/11/2023,CMX,8.59
13/11/2023,CMX,8.49
10/11/2023,CMX,8.49
09/11/2023,CMX,8.59
08/11/2023,CMX,8.53
07/11/2023,CMX,8.22
06/11/2023,CMX,8.22
03/11/2023,CMX,8.26
02/11/2023,CMX,8.21
01/11/2023,CMX,7.68
31/10/2023,CMX,7.62
30/10/2023,CMX,7.75
27/10/2023,CMX,8.0
26/10/2023,CMX,7.87
25/10/2023,CMX,8.46
24/10/2023,CMX,8.47
23/10/2023,CMX,8.45
20/10/2023,CMX,8.3
19/10/2023,CMX,8.3
18/10/2023,CMX,8.89
17/10/2023,CMX,9.55
16/10/2023,CMX,10.15
13/10/2023,CMX,10.4
12/10/2023,CMX,10.4
11/10/2023,CMX,10.4
10/10/2023,CMX,10.4
09/10/2023,CMX,10.25
06/10/2023,CMX,10.2
05/10/2023,CMX,10.2
04/10/2023,CMX,10.4
03/10/2023,CMX,10.25
02/10/2023,CMX,10.75
29/09/2023,CMX,10.15
28/09/2023,CMX,10.1
27/09/2023,CMX,10.25
26/09/2023,CMX,10.15
25/09/2023,CMX,10.9
22/09/2023,CMX,11.7
21/09/2023,CMX,11.7
20/09/2023,CMX,11.45
19/09/2023,CMX,10.85
18/09/2023,CMX,10.85
15/09/2023,CMX,10.75
14/09/2023,CMX,10.8
13/09/2023,CMX,11.2
12/09/2023,CMX,11.2
11/09/2023,CMX,10.95
08/09/2023,CMX,11.2
07/09/2023,CMX,11.25
06/09/2023,CMX,11.0
05/09/2023,CMX,10.95
31/08/2023,CMX,10.85
30/08/2023,CMX,10.7
29/08/2023,CMX,10.5
28/08/2023,CMX,10.65
25/08/2023,CMX,10.65
24/08/2023,CMX,10.25
23/08/2023,CMX,10.05
22/08/2023,CMX,10.3
21/08/2023,CMX,10.05
18/08/2023,CMX,10.3
17/08/2023,CMX,11.05
16/08/2023,CMX,11.3
15/08/2023,CMX,11.5
14/08/2023,CMX,11.25
11/08/2023,CMX,11.2
10/08/2023,CMX,11.1
09/08/2023,CMX,11.55
08/08/2023,CMX,11.5
07/08/2023,CMX,11.35
04/08/2023,CMX,10.65
03/08/2023,CMX,10.55
02/08/2023,CMX,10.8
01/08/2023,CMX,10.5
31/07/2023,CMX,10.9
28/07/2023,CMX,10.9
27/07/2023,CMX,10.95
26/07/2023,CMX,10.95
25/07/2023,CMX,11.15
24/07/2023,CMX,11.1
21/07/2023,CMX,10.7
20/07/2023,CMX,10.65
19/07/2023,CMX,10.45
18/07/2023,CMX,10.3
17/07/2023,CMX,10.55
14/07/2023,CMX,10.75
13/07/2023,CMX,10.6
12/07/2023,CMX,10.45
11/07/2023,CMX,10.45
10/07/2023,CMX,10.55
07/07/2023,CMX,10.15
06/07/2023,CMX,9.9
05/07/2023,CMX,9.97
04/07/2023,CMX,9.96
03/07/2023,CMX,10.0
30/06/2023,CMX,9.55
29/06/2023,CMX,9.7
28/06/2023,CMX,10.1
27/06/2023,CMX,10.0
26/06/2023,CMX,9.46
23/06/2023,CMX,9.6
22/06/2023,CMX,9.68
21/06/2023,CMX,9.5
20/06/2023,CMX,9.2
19/06/2023,CMX,9.15
16/06/2023,CMX,9.25
15/06/2023,CMX,9.3
14/06/2023,CMX,9.35
13/06/2023,CMX,9.63
12/06/2023,CMX,9.61
09/06/2023,CMX,9.5
08/06/2023,CMX,9.6
07/06/2023,CMX,9.57
06/06/2023,CMX,9.66
05/06/2023,CMX,9.55
02/06/2023,CMX,9.45
01/06/2023,CMX,9.45
31/05/2023,CMX,9.53
30/05/2023,CMX,9.29
29/05/2023,CMX,9.41
26/05/2023,CMX,8.9
25/05/2023,CMX,8.66
24/05/2023,CMX,8.9
23/05/2023,CMX,8.88
22/05/2023,CMX,8.9
19/05/2023,CMX,8.7
18/05/2023,CMX,9.03
17/05/2023,CMX,9.28
