Ngay,GiaDongCua
29/12/2023,27.4
28/12/2023,27.3
27/12/2023,27.25
26/12/2023,26.85
25/12/2023,26.3
22/12/2023,26.2
21/12/2023,26.45
20/12/2023,25.7
19/12/2023,25.3
18/12/2023,25.2
15/12/2023,25.4
14/12/2023,25.0
13/12/2023,25.6
12/12/2023,26.15
11/12/2023,25.7
08/12/2023,25.45
07/12/2023,25.2
06/12/2023,25.85
05/12/2023,25.65
04/12/2023,25.65
01/12/2023,25.1
30/11/2023,24.7
29/11/2023,24.2
28/11/2023,23.6
27/11/2023,23.2
24/11/2023,24.0
23/11/2023,24.0
22/11/2023,24.0
21/11/2023,23.95
20/11/2023,23.95
17/11/2023,24.0
16/11/2023,23.8
15/11/2023,22.9
14/11/2023,23.1
13/11/2023,23.0
10/11/2023,21.85
09/11/2023,21.7
08/11/2023,21.25
07/11/2023,19.9
06/11/2023,19.6
03/11/2023,19.5
02/11/2023,19.8
01/11/2023,18.6
31/10/2023,18.05
30/10/2023,19.4
27/10/2023,20.6
26/10/2023,20.3
25/10/2023,21.8
24/10/2023,21.45
23/10/2023,20.7
20/10/2023,21.0
19/10/2023,19.8
18/10/2023,20.2
17/10/2023,21.0
16/10/2023,22.45
13/10/2023,23.1
12/10/2023,22.8
11/10/2023,22.4
10/10/2023,22.3
09/10/2023,22.35
06/10/2023,22.3
05/10/2023,21.9
04/10/2023,21.7
03/10/2023,21.3
02/10/2023,22.45
29/09/2023,21.9
28/09/2023,22.05
27/09/2023,22.3
26/09/2023,21.1
25/09/2023,22.15
22/09/2023,23.8
21/09/2023,25.1
20/09/2023,25.4
19/09/2023,24.3
18/09/2023,24.2
15/09/2023,24.75
14/09/2023,24.4
13/09/2023,24.9
12/09/2023,25.7
11/09/2023,25.0
08/09/2023,26.0
07/09/2023,25.9
06/09/2023,25.9
05/09/2023,25.6
31/08/2023,24.8
30/08/2023,23.5
29/08/2023,23.8
28/08/2023,23.75
25/08/2023,23.25
24/08/2023,23.1
23/08/2023,22.8
22/08/2023,23.5
21/08/2023,22.3
18/08/2023,23.75
17/08/2023,25.5
16/08/2023,26.15
15/08/2023,26.2
14/08/2023,26.1
11/08/2023,26.25
10/08/2023,25.85
09/08/2023,27.3
08/08/2023,27.95
07/08/2023,26.15
04/08/2023,26.0
03/08/2023,26.1
02/08/2023,25.5
01/08/2023,24.85
31/07/2023,24.85
28/07/2023,25.1
27/07/2023,25.4
26/07/2023,26.0
25/07/2023,25.15
24/07/2023,25.4
21/07/2023,26.05
20/07/2023,24.85
19/07/2023,25.1
18/07/2023,24.95
17/07/2023,25.3
14/07/2023,26.0
13/07/2023,26.15
12/07/2023,25.4
11/07/2023,25.7
10/07/2023,24.3
07/07/2023,24.45
06/07/2023,24.0
05/07/2023,23.25
04/07/2023,22.8
03/07/2023,21.35
30/06/2023,21.3
29/06/2023,21.0
28/06/2023,21.9
27/06/2023,21.5
26/06/2023,21.7
23/06/2023,21.05
22/06/2023,21.25
21/06/2023,21.1
20/06/2023,21.25
19/06/2023,20.85
16/06/2023,20.25
15/06/2023,20.3
14/06/2023,19.0
13/06/2023,19.15
12/06/2023,19.0
09/06/2023,19.3
08/06/2023,19.65
07/06/2023,19.65
06/06/2023,19.45
05/06/2023,19.15
02/06/2023,19.8
01/06/2023,19.6
31/05/2023,20.0
30/05/2023,19.0
29/05/2023,19.1
26/05/2023,19.3
25/05/2023,18.85
24/05/2023,19.2
23/05/2023,19.2
22/05/2023,18.25
19/05/2023,18.1
18/05/2023,17.25
17/05/2023,17.05
16/05/2023,16.75
15/05/2023,15.7
12/05/2023,16.05
11/05/2023,15.5
10/05/2023,15.3
09/05/2023,15.2
08/05/2023,15.1
05/05/2023,14.8
04/05/2023,14.8
28/04/2023,14.65
27/04/2023,15.45
26/04/2023,15.5
25/04/2023,15.3
24/04/2023,15.0
21/04/2023,15.75
20/04/2023,15.85
19/04/2023,15.7
18/04/2023,15.6
17/04/2023,15.7
14/04/2023,14.7
13/04/2023,14.9
12/04/2023,15.2
11/04/2023,15.05
10/04/2023,14.9
07/04/2023,14.25
06/04/2023,14.25
05/04/2023,14.6
04/04/2023,14.5
03/04/2023,13.9
31/03/2023,13.8
30/03/2023,13.9
29/03/2023,13.9
28/03/2023,13.8
27/03/2023,13.8
24/03/2023,13.7
23/03/2023,13.6
22/03/2023,13.6
21/03/2023,13.65
20/03/2023,13.3
17/03/2023,13.35
16/03/2023,13.4
15/03/2023,13.85
14/03/2023,13.3
13/03/2023,13.7
10/03/2023,14.15
09/03/2023,14.25
08/03/2023,13.5
07/03/2023,13.3
06/03/2023,13.35
03/03/2023,13.35
02/03/2023,13.5
01/03/2023,13.65
28/02/2023,13.1
27/02/2023,13.2
24/02/2023,13.6
23/02/2023,13.95
22/02/2023,14.0
21/02/2023,14.65
20/02/2023,14.95
17/02/2023,14.3
16/02/2023,14.45
15/02/2023,14.1
14/02/2023,13.65
13/02/2023,13.6
10/02/2023,14.0
09/02/2023,14.35
08/02/2023,14.35
07/02/2023,14.0
06/02/2023,14.9
03/02/2023,14.9
02/02/2023,14.8
01/02/2023,15.65
31/01/2023,16.8
30/01/2023,16.7
27/01/2023,17.1
19/01/2023,16.85
18/01/2023,16.75
17/01/2023,15.7
16/01/2023,15.5
13/01/2023,15.55
12/01/2023,16.0
11/01/2023,15.8
10/01/2023,15.9
09/01/2023,15.1
06/01/2023,15.8
05/01/2023,15.9
04/01/2023,15.15
03/01/2023,15.05
30/12/2022,14.1
29/12/2022,14.4
28/12/2022,14.7
27/12/2022,14.1
26/12/2022,13.2
23/12/2022,14.15
22/12/2022,14.2
21/12/2022,14.9
20/12/2022,15.4
19/12/2022,16.15
16/12/2022,16.0
15/12/2022,15.7
14/12/2022,16.0
13/12/2022,16.4
12/12/2022,16.2
09/12/2022,15.7
08/12/2022,15.1
07/12/2022,15.1
06/12/2022,16.0
05/12/2022,15.35
02/12/2022,15.25
01/12/2022,14.5
30/11/2022,14.6
29/11/2022,14.35
28/11/2022,13.45
25/11/2022,12.6
24/11/2022,12.0
23/11/2022,11.5
22/11/2022,12.35
21/11/2022,12.45
18/11/2022,12.05
17/11/2022,11.3
16/11/2022,11.25
15/11/2022,10.55
14/11/2022,11.3
11/11/2022,12.15
10/11/2022,13.05
09/11/2022,14.0
08/11/2022,13.65
07/11/2022,14.0
04/11/2022,15.05
03/11/2022,16.0
02/11/2022,15.9
01/11/2022,15.75
31/10/2022,14.75
28/10/2022,15.5
27/10/2022,15.6
26/10/2022,14.6
25/10/2022,15.6
24/10/2022,15.9
21/10/2022,17.05
20/10/2022,18.3
19/10/2022,19.0
18/10/2022,18.7
17/10/2022,19.1
14/10/2022,18.45
13/10/2022,17.7
12/10/2022,17.25
11/10/2022,17.5
10/10/2022,18.8
07/10/2022,18.15
06/10/2022,19.5
05/10/2022,20.95
04/10/2022,20.0
03/10/2022,19.9
30/09/2022,21.35
29/09/2022,20.55
28/09/2022,21.5
27/09/2022,23.1
26/09/2022,24.75
23/09/2022,26.6
22/09/2022,26.35
21/09/2022,26.1
20/09/2022,26.5
19/09/2022,25.8
16/09/2022,26.3
15/09/2022,27.1
14/09/2022,27.7
13/09/2022,27.5
12/09/2022,25.95
09/09/2022,26.0
08/09/2022,25.3
07/09/2022,25.3
06/09/2022,26.75
05/09/2022,27.6
31/08/2022,28.65
30/08/2022,28.8
29/08/2022,28.2
26/08/2022,28.3
25/08/2022,27.95
24/08/2022,28.4
23/08/2022,28.4
22/08/2022,27.85
19/08/2022,27.5
18/08/2022,28.2
17/08/2022,27.7
16/08/2022,28.15
15/08/2022,28.6
12/08/2022,26.75
11/08/2022,25.7
10/08/2022,24.95
09/08/2022,25.5
08/08/2022,26.8
05/08/2022,26.7
04/08/2022,26.65
03/08/2022,25.5
02/08/2022,25.7
01/08/2022,25.3
29/07/2022,23.8
28/07/2022,24.6
27/07/2022,26.4
26/07/2022,26.4
25/07/2022,27.5
22/07/2022,26.4
21/07/2022,25.45
20/07/2022,26.95
19/07/2022,27.45
18/07/2022,27.7
15/07/2022,26.9
14/07/2022,26.35
13/07/2022,27.7
12/07/2022,26.65
11/07/2022,26.3
08/07/2022,24.6
07/07/2022,24.5
06/07/2022,24.25
05/07/2022,22.7
04/07/2022,22.4
01/07/2022,20.95
30/06/2022,19.6
29/06/2022,20.8
28/06/2022,20.8
27/06/2022,19.45
24/06/2022,18.2
23/06/2022,17.75
22/06/2022,16.6
21/06/2022,17.25
20/06/2022,18.5
17/06/2022,19.85
16/06/2022,20.6
15/06/2022,20.45
14/06/2022,21.3
13/06/2022,22.9
10/06/2022,24.6
09/06/2022,24.9
08/06/2022,25.0
07/06/2022,24.3
06/06/2022,25.0
03/06/2022,25.55
02/06/2022,26.2
01/06/2022,24.95
31/05/2022,26.0
30/05/2022,26.2
27/05/2022,26.2
26/05/2022,25.3
25/05/2022,23.65
24/05/2022,23.25
23/05/2022,23.2
20/05/2022,23.8
19/05/2022,22.95
18/05/2022,22.85
17/05/2022,22.45
16/05/2022,21.0
13/05/2022,21.85
12/05/2022,23.45
11/05/2022,25.2
10/05/2022,24.9
09/05/2022,25.9
06/05/2022,27.8
05/05/2022,28.95
04/05/2022,28.95
29/04/2022,31.1
28/04/2022,31.0
27/04/2022,30.7
26/04/2022,29.0
25/04/2022,28.55
22/04/2022,30.65
21/04/2022,29.9
20/04/2022,29.5
19/04/2022,31.3
18/04/2022,32.7
15/04/2022,35.0
14/04/2022,35.85
13/04/2022,35.8
12/04/2022,35.6
08/04/2022,36.45
07/04/2022,37.5
06/04/2022,38.45
05/04/2022,39.0
04/04/2022,74.8
01/04/2022,74.6
31/03/2022,75.0
30/03/2022,75.1
29/03/2022,75.8
28/03/2022,76.3
25/03/2022,78.2
24/03/2022,78.1
23/03/2022,77.0
22/03/2022,74.9
21/03/2022,74.0
18/03/2022,73.9
17/03/2022,74.4
16/03/2022,74.3
15/03/2022,73.7
14/03/2022,74.4
11/03/2022,73.0
10/03/2022,73.2
09/03/2022,73.5
08/03/2022,74.9
07/03/2022,78.5
04/03/2022,78.0
03/03/2022,79.5
02/03/2022,77.0
01/03/2022,78.0
28/02/2022,76.8
25/02/2022,78.1
24/02/2022,76.8
23/02/2022,79.1
22/02/2022,79.4
21/02/2022,77.5
18/02/2022,76.9
17/02/2022,76.5
16/02/2022,77.3
15/02/2022,74.0
14/02/2022,74.0
11/02/2022,74.0
10/02/2022,72.1
09/02/2022,71.0
08/02/2022,71.5
07/02/2022,70.3
28/01/2022,71.5
27/01/2022,72.0
26/01/2022,73.3
25/01/2022,73.7
24/01/2022,73.0
21/01/2022,76.4
20/01/2022,73.3
19/01/2022,72.2
18/01/2022,72.0
17/01/2022,71.7
14/01/2022,71.9
13/01/2022,71.4
12/01/2022,72.0
11/01/2022,71.0
10/01/2022,71.6
07/01/2022,74.8
06/01/2022,74.1
05/01/2022,74.5
04/01/2022,74.0
31/12/2021,73.0
30/12/2021,72.0
29/12/2021,71.5
28/12/2021,73.0
27/12/2021,70.7
24/12/2021,71.4
23/12/2021,70.4
22/12/2021,72.5
21/12/2021,74.5
20/12/2021,72.3
17/12/2021,75.5
16/12/2021,76.5
15/12/2021,76.1
14/12/2021,78.3
13/12/2021,79.1
10/12/2021,79.5
09/12/2021,76.4
08/12/2021,76.2
07/12/2021,75.2
06/12/2021,73.9
03/12/2021,74.9
02/12/2021,78.2
01/12/2021,78.0
30/11/2021,78.3
29/11/2021,79.5
26/11/2021,76.8
25/11/2021,75.0
24/11/2021,75.5
23/11/2021,70.6
22/11/2021,66.0
19/11/2021,65.0
18/11/2021,67.8
17/11/2021,68.4
16/11/2021,68.0
15/11/2021,68.1
12/11/2021,69.5
11/11/2021,69.4
10/11/2021,68.0
09/11/2021,65.7
08/11/2021,66.2
05/11/2021,63.8
