Ngay,GiaDongCua
29/12/2023,45.0
28/12/2023,44.95
27/12/2023,44.85
26/12/2023,44.9
25/12/2023,44.8
22/12/2023,44.85
21/12/2023,45.1
20/12/2023,45.1
19/12/2023,45.1
18/12/2023,44.7
15/12/2023,44.9
14/12/2023,44.9
13/12/2023,45.5
12/12/2023,46.1
11/12/2023,46.4
08/12/2023,46.4
07/12/2023,47.0
06/12/2023,47.0
05/12/2023,46.0
04/12/2023,45.5
01/12/2023,45.35
30/11/2023,45.25
29/11/2023,46.1
28/11/2023,46.1
27/11/2023,46.25
24/11/2023,46.25
23/11/2023,46.1
22/11/2023,46.1
21/11/2023,46.1
20/11/2023,45.2
17/11/2023,44.8
16/11/2023,44.9
15/11/2023,44.7
14/11/2023,44.8
13/11/2023,44.45
10/11/2023,44.8
09/11/2023,45.15
08/11/2023,45.0
07/11/2023,43.75
06/11/2023,43.8
03/11/2023,43.7
02/11/2023,43.05
01/11/2023,41.45
31/10/2023,42.0
30/10/2023,43.5
27/10/2023,44.6
26/10/2023,44.7
25/10/2023,46.95
24/10/2023,46.85
23/10/2023,46.6
20/10/2023,48.0
19/10/2023,47.5
18/10/2023,47.5
17/10/2023,48.9
16/10/2023,50.0
13/10/2023,50.8
12/10/2023,50.3
11/10/2023,50.9
10/10/2023,51.2
09/10/2023,51.0
06/10/2023,50.2
05/10/2023,50.0
04/10/2023,49.7
03/10/2023,49.6
02/10/2023,49.5
29/09/2023,46.3
28/09/2023,49.7
27/09/2023,49.2
26/09/2023,48.3
25/09/2023,48.1
22/09/2023,51.5
21/09/2023,52.1
20/09/2023,52.0
19/09/2023,50.2
18/09/2023,50.0
15/09/2023,49.9
14/09/2023,49.9
13/09/2023,51.3
12/09/2023,51.6
11/09/2023,51.7
08/09/2023,49.65
07/09/2023,49.75
06/09/2023,49.85
05/09/2023,49.5
31/08/2023,47.4
30/08/2023,47.4
29/08/2023,46.8
28/08/2023,48.1
25/08/2023,47.5
24/08/2023,46.5
23/08/2023,45.4
22/08/2023,46.2
21/08/2023,46.4
18/08/2023,46.4
17/08/2023,48.5
16/08/2023,49.0
15/08/2023,49.05
14/08/2023,49.0
11/08/2023,49.1
10/08/2023,49.5
09/08/2023,50.0
08/08/2023,47.7
07/08/2023,47.85
04/08/2023,46.5
03/08/2023,47.5
02/08/2023,48.1
01/08/2023,48.2
31/07/2023,48.2
28/07/2023,48.2
27/07/2023,48.1
26/07/2023,48.0
25/07/2023,48.0
24/07/2023,48.0
21/07/2023,48.0
20/07/2023,48.0
19/07/2023,48.0
18/07/2023,47.2
17/07/2023,47.25
14/07/2023,47.4
13/07/2023,46.7
12/07/2023,46.4
11/07/2023,46.0
10/07/2023,46.0
07/07/2023,45.75
06/07/2023,44.75
05/07/2023,44.75
04/07/2023,44.8
03/07/2023,44.2
30/06/2023,42.5
29/06/2023,42.0
28/06/2023,42.2
