Ngay,GiaDongCua
29/12/2023,11.7
28/12/2023,11.65
27/12/2023,11.6
26/12/2023,11.75
25/12/2023,11.75
22/12/2023,11.55
21/12/2023,11.7
20/12/2023,11.6
19/12/2023,11.55
18/12/2023,11.6
15/12/2023,11.8
14/12/2023,11.7
13/12/2023,11.85
12/12/2023,12.3
11/12/2023,12.3
08/12/2023,12.05
07/12/2023,12.25
06/12/2023,12.15
05/12/2023,11.4
04/12/2023,11.5
01/12/2023,11.0
30/11/2023,11.1
29/11/2023,11.2
28/11/2023,11.05
27/11/2023,11.05
24/11/2023,11.3
23/11/2023,11.3
22/11/2023,11.35
21/11/2023,11.2
20/11/2023,11.15
17/11/2023,11.05
16/11/2023,11.45
15/11/2023,11.35
14/11/2023,11.3
13/11/2023,11.0
10/11/2023,11.0
09/11/2023,11.1
08/11/2023,11.1
07/11/2023,10.4
06/11/2023,10.3
03/11/2023,10.35
02/11/2023,10.4
01/11/2023,9.75
31/10/2023,9.44
30/10/2023,10.15
27/10/2023,10.9
26/10/2023,11.1
25/10/2023,11.9
24/10/2023,12.1
23/10/2023,12.0
20/10/2023,12.2
19/10/2023,11.7
18/10/2023,12.1
17/10/2023,13.0
16/10/2023,13.95
13/10/2023,14.4
12/10/2023,14.15
11/10/2023,14.35
10/10/2023,14.1
09/10/2023,13.9
06/10/2023,13.45
05/10/2023,13.5
04/10/2023,13.85
03/10/2023,13.65
02/10/2023,14.1
29/09/2023,13.45
28/09/2023,13.4
27/09/2023,13.5
26/09/2023,13.35
25/09/2023,14.35
22/09/2023,15.4
21/09/2023,15.4
20/09/2023,14.9
19/09/2023,14.1
18/09/2023,14.2
15/09/2023,13.9
14/09/2023,14.05
13/09/2023,14.4
12/09/2023,14.5
11/09/2023,14.2
08/09/2023,14.45
07/09/2023,14.3
06/09/2023,14.1
05/09/2023,13.9
31/08/2023,13.9
30/08/2023,13.8
29/08/2023,13.25
28/08/2023,13.45
25/08/2023,13.4
24/08/2023,12.55
23/08/2023,12.3
22/08/2023,12.45
21/08/2023,12.3
18/08/2023,12.95
17/08/2023,13.9
16/08/2023,14.05
15/08/2023,14.3
14/08/2023,14.2
11/08/2023,14.0
10/08/2023,14.25
09/08/2023,14.6
08/08/2023,14.8
07/08/2023,14.7
04/08/2023,14.1
03/08/2023,14.0
02/08/2023,13.95
01/08/2023,13.9
31/07/2023,14.1
28/07/2023,14.25
27/07/2023,14.1
26/07/2023,14.1
25/07/2023,14.2
24/07/2023,14.25
21/07/2023,14.15
20/07/2023,13.9
19/07/2023,13.65
18/07/2023,13.8
17/07/2023,14.2
14/07/2023,14.3
13/07/2023,13.95
12/07/2023,13.8
11/07/2023,13.9
10/07/2023,14.0
07/07/2023,14.05
06/07/2023,13.65
05/07/2023,13.75
04/07/2023,13.35
03/07/2023,13.25
30/06/2023,12.85
29/06/2023,13.1
28/06/2023,13.6
27/06/2023,13.4
26/06/2023,13.15
23/06/2023,13.3
22/06/2023,13.4
21/06/2023,13.15
20/06/2023,12.85
19/06/2023,12.6
16/06/2023,12.45
15/06/2023,12.6
14/06/2023,12.55
13/06/2023,13.0
12/06/2023,13.3
09/06/2023,12.85
08/06/2023,12.8
07/06/2023,12.75
06/06/2023,12.75
05/06/2023,12.6
02/06/2023,12.55
01/06/2023,12.55
31/05/2023,12.35
30/05/2023,12.25
29/05/2023,12.3
26/05/2023,11.5
25/05/2023,11.4
24/05/2023,11.5
23/05/2023,11.55
22/05/2023,11.75
19/05/2023,11.45
18/05/2023,11.5
17/05/2023,11.65
16/05/2023,11.5
15/05/2023,11.55
12/05/2023,11.8
11/05/2023,11.65
10/05/2023,11.7
09/05/2023,11.45
08/05/2023,11.5
05/05/2023,11.5
04/05/2023,11.35
28/04/2023,11.35
27/04/2023,11.3
26/04/2023,11.35
25/04/2023,11.2
24/04/2023,11.2
21/04/2023,11.5
20/04/2023,11.9
19/04/2023,11.85
18/04/2023,12.3
17/04/2023,11.8
14/04/2023,11.75
13/04/2023,11.9
12/04/2023,12.0
11/04/2023,12.25
10/04/2023,11.75
07/04/2023,11.55
06/04/2023,11.6
05/04/2023,11.9
04/04/2023,11.95
03/04/2023,11.6
31/03/2023,11.15
30/03/2023,11.15
29/03/2023,11.3
28/03/2023,11.45
27/03/2023,11.55
24/03/2023,11.5
23/03/2023,11.4
22/03/2023,11.25
21/03/2023,11.4
20/03/2023,11.1
17/03/2023,11.2
16/03/2023,11.2
15/03/2023,11.6
14/03/2023,11.05
13/03/2023,11.55
10/03/2023,11.75
09/03/2023,11.6
08/03/2023,11.8
07/03/2023,11.35
06/03/2023,11.3
03/03/2023,11.2
02/03/2023,11.4
01/03/2023,11.6
28/02/2023,10.95
27/02/2023,10.95
24/02/2023,11.7
23/02/2023,12.15
22/02/2023,12.1
21/02/2023,12.8
20/02/2023,12.65
17/02/2023,12.15
16/02/2023,12.4
15/02/2023,12.0
14/02/2023,11.7
13/02/2023,11.65
10/02/2023,12.5
09/02/2023,12.85
08/02/2023,12.05
07/02/2023,12.2
06/02/2023,12.1
03/02/2023,11.75
02/02/2023,12.0
01/02/2023,12.6
31/01/2023,13.5
30/01/2023,13.1
27/01/2023,13.2
19/01/2023,13.35
18/01/2023,13.45
17/01/2023,13.1
16/01/2023,12.75
13/01/2023,12.65
12/01/2023,13.15
11/01/2023,12.4
10/01/2023,12.35
09/01/2023,12.1
06/01/2023,12.75
05/01/2023,12.9
04/01/2023,12.15
03/01/2023,11.65
30/12/2022,10.9
29/12/2022,11.0
28/12/2022,11.25
27/12/2022,10.75
26/12/2022,10.05
23/12/2022,10.8
22/12/2022,10.7
21/12/2022,10.6
20/12/2022,11.25
19/12/2022,12.05
16/12/2022,11.5
15/12/2022,11.25
14/12/2022,11.65
13/12/2022,11.95
12/12/2022,11.4
09/12/2022,10.7
08/12/2022,10.35
07/12/2022,10.3
06/12/2022,11.05
05/12/2022,10.35
02/12/2022,10.2
01/12/2022,9.9
30/11/2022,9.55
29/11/2022,9.33
28/11/2022,8.93
25/11/2022,8.35
24/11/2022,7.81
23/11/2022,7.85
22/11/2022,8.35
21/11/2022,8.61
18/11/2022,8.43
17/11/2022,7.88
16/11/2022,8.13
15/11/2022,7.6
14/11/2022,8.17
11/11/2022,8.78
10/11/2022,9.44
09/11/2022,10.15
08/11/2022,10.0
07/11/2022,10.35
04/11/2022,11.1
03/11/2022,11.35
02/11/2022,11.75
01/11/2022,12.1
31/10/2022,12.1
28/10/2022,11.35
27/10/2022,11.2
26/10/2022,10.5
25/10/2022,11.1
24/10/2022,11.55
21/10/2022,12.4
20/10/2022,13.3
19/10/2022,13.3
18/10/2022,13.85
17/10/2022,13.6
14/10/2022,13.55
13/10/2022,13.25
12/10/2022,13.5
11/10/2022,12.85
10/10/2022,12.9
07/10/2022,12.1
06/10/2022,13.0
05/10/2022,13.45
04/10/2022,12.6
03/10/2022,13.5
30/09/2022,14.5
29/09/2022,14.45
28/09/2022,15.5
27/09/2022,16.6
26/09/2022,17.5
23/09/2022,18.8
22/09/2022,21.25
21/09/2022,20.8
20/09/2022,21.35
19/09/2022,21.3
16/09/2022,21.35
15/09/2022,22.2
