Ngay,Symbol,GiaDongCua
29/12/2023,MSN,67.0
28/12/2023,MSN,67.0
27/12/2023,MSN,67.0
26/12/2023,MSN,66.2
25/12/2023,MSN,66.4
22/12/2023,MSN,63.0
21/12/2023,MSN,63.7
20/12/2023,MSN,63.9
19/12/2023,MSN,62.2
18/12/2023,MSN,62.9
15/12/2023,MSN,63.0
14/12/2023,MSN,65.0
13/12/2023,MSN,65.8
12/12/2023,MSN,66.2
11/12/2023,MSN,67.5
08/12/2023,MSN,66.2
07/12/2023,MSN,63.5
06/12/2023,MSN,62.1
05/12/2023,MSN,61.4
04/12/2023,MSN,62.2
01/12/2023,MSN,61.5
30/11/2023,MSN,60.5
29/11/2023,MSN,62.9
28/11/2023,MSN,61.3
27/11/2023,MSN,60.9
24/11/2023,MSN,61.8
23/11/2023,MSN,63.3
22/11/2023,MSN,64.9
21/11/2023,MSN,64.6
20/11/2023,MSN,63.6
17/11/2023,MSN,64.1
16/11/2023,MSN,66.0
15/11/2023,MSN,65.8
14/11/2023,MSN,62.6
13/11/2023,MSN,62.0
10/11/2023,MSN,61.7
09/11/2023,MSN,62.8
08/11/2023,MSN,63.8
07/11/2023,MSN,62.0
06/11/2023,MSN,64.0
03/11/2023,MSN,63.9
02/11/2023,MSN,62.7
01/11/2023,MSN,59.5
31/10/2023,MSN,58.2
30/10/2023,MSN,58.0
27/10/2023,MSN,57.8
26/10/2023,MSN,61.4
25/10/2023,MSN,66.0
24/10/2023,MSN,66.9
23/10/2023,MSN,66.0
20/10/2023,MSN,69.0
19/10/2023,MSN,66.4
18/10/2023,MSN,68.3
17/10/2023,MSN,71.0
16/10/2023,MSN,71.6
13/10/2023,MSN,72.7
12/10/2023,MSN,73.1
11/10/2023,MSN,73.8
10/10/2023,MSN,73.2
09/10/2023,MSN,73.5
06/10/2023,MSN,72.7
05/10/2023,MSN,72.8
04/10/2023,MSN,73.5
03/10/2023,MSN,74.0
02/10/2023,MSN,77.4
29/09/2023,MSN,76.3
28/09/2023,MSN,76.5
27/09/2023,MSN,76.0
26/09/2023,MSN,73.0
25/09/2023,MSN,70.3
22/09/2023,MSN,75.4
21/09/2023,MSN,78.8
20/09/2023,MSN,79.7
19/09/2023,MSN,79.0
18/09/2023,MSN,78.5
15/09/2023,MSN,79.7
14/09/2023,MSN,78.6
13/09/2023,MSN,80.1
12/09/2023,MSN,81.0
11/09/2023,MSN,79.6
08/09/2023,MSN,81.8
07/09/2023,MSN,82.0
06/09/2023,MSN,82.7
05/09/2023,MSN,81.5
31/08/2023,MSN,81.5
30/08/2023,MSN,79.6
29/08/2023,MSN,80.0
28/08/2023,MSN,80.7
25/08/2023,MSN,79.7
24/08/2023,MSN,80.0
23/08/2023,MSN,77.5
22/08/2023,MSN,77.7
21/08/2023,MSN,78.4
18/08/2023,MSN,79.0
17/08/2023,MSN,82.1
16/08/2023,MSN,81.8
15/08/2023,MSN,82.4
14/08/2023,MSN,82.2
11/08/2023,MSN,84.5
10/08/2023,MSN,83.0
09/08/2023,MSN,88.0
08/08/2023,MSN,89.2
07/08/2023,MSN,88.2
04/08/2023,MSN,86.3
03/08/2023,MSN,86.1
02/08/2023,MSN,85.2
01/08/2023,MSN,86.7
31/07/2023,MSN,87.3
28/07/2023,MSN,86.1
27/07/2023,MSN,84.2
26/07/2023,MSN,84.6
25/07/2023,MSN,83.4
24/07/2023,MSN,84.0
21/07/2023,MSN,83.0
20/07/2023,MSN,79.5
19/07/2023,MSN,80.8
18/07/2023,MSN,80.5
17/07/2023,MSN,80.7
14/07/2023,MSN,81.8
13/07/2023,MSN,81.8
12/07/2023,MSN,79.5
11/07/2023,MSN,79.2
10/07/2023,MSN,77.9
07/07/2023,MSN,75.2
06/07/2023,MSN,76.0
05/07/2023,MSN,75.8
04/07/2023,MSN,75.6
03/07/2023,MSN,75.4
30/06/2023,MSN,75.2
29/06/2023,MSN,75.4
28/06/2023,MSN,77.0
27/06/2023,MSN,77.7
26/06/2023,MSN,77.7
23/06/2023,MSN,77.3
22/06/2023,MSN,76.3
21/06/2023,MSN,76.1
20/06/2023,MSN,75.2
19/06/2023,MSN,74.5
16/06/2023,MSN,76.6
15/06/2023,MSN,77.1
14/06/2023,MSN,78.0
13/06/2023,MSN,78.8
12/06/2023,MSN,78.4
09/06/2023,MSN,76.5
08/06/2023,MSN,74.4
07/06/2023,MSN,75.5
06/06/2023,MSN,73.6
05/06/2023,MSN,74.1
02/06/2023,MSN,72.3
01/06/2023,MSN,71.8
31/05/2023,MSN,72.0
30/05/2023,MSN,72.8
29/05/2023,MSN,71.6
26/05/2023,MSN,72.0
25/05/2023,MSN,72.0
24/05/2023,MSN,71.8
23/05/2023,MSN,70.4
22/05/2023,MSN,72.0
19/05/2023,MSN,72.4
18/05/2023,MSN,73.2
17/05/2023,MSN,73.1
