Ngay,Symbol,GiaDongCua
29/12/2023,SBT,13.2
28/12/2023,SBT,13.35
27/12/2023,SBT,13.25
26/12/2023,SBT,13.4
25/12/2023,SBT,13.4
22/12/2023,SBT,13.3
21/12/2023,SBT,13.25
20/12/2023,SBT,13.45
19/12/2023,SBT,13.2
18/12/2023,SBT,13.2
15/12/2023,SBT,13.2
14/12/2023,SBT,13.3
13/12/2023,SBT,13.35
12/12/2023,SBT,13.65
11/12/2023,SBT,13.7
08/12/2023,SBT,13.5
07/12/2023,SBT,13.65
06/12/2023,SBT,14.0
05/12/2023,SBT,13.95
04/12/2023,SBT,14.1
01/12/2023,SBT,13.9
30/11/2023,SBT,13.2
29/11/2023,SBT,13.25
28/11/2023,SBT,13.3
27/11/2023,SBT,13.15
24/11/2023,SBT,13.4
23/11/2023,SBT,13.5
22/11/2023,SBT,13.85
21/11/2023,SBT,13.8
20/11/2023,SBT,13.7
17/11/2023,SBT,13.9
16/11/2023,SBT,14.1
15/11/2023,SBT,13.95
14/11/2023,SBT,14.0
13/11/2023,SBT,14.0
10/11/2023,SBT,14.3
09/11/2023,SBT,14.45
08/11/2023,SBT,14.4
07/11/2023,SBT,14.2
06/11/2023,SBT,14.3
03/11/2023,SBT,13.95
02/11/2023,SBT,14.1
01/11/2023,SBT,13.5
31/10/2023,SBT,13.0
30/10/2023,SBT,13.8
27/10/2023,SBT,14.05
26/10/2023,SBT,14.2
25/10/2023,SBT,14.2
24/10/2023,SBT,13.9
23/10/2023,SBT,13.7
20/10/2023,SBT,13.8
19/10/2023,SBT,13.55
18/10/2023,SBT,13.5
17/10/2023,SBT,14.0
16/10/2023,SBT,14.35
13/10/2023,SBT,14.35
12/10/2023,SBT,14.4
11/10/2023,SBT,14.4
10/10/2023,SBT,14.4
09/10/2023,SBT,14.1
06/10/2023,SBT,13.9
05/10/2023,SBT,13.65
04/10/2023,SBT,14.1
03/10/2023,SBT,14.05
02/10/2023,SBT,14.85
29/09/2023,SBT,14.65
28/09/2023,SBT,14.6
27/09/2023,SBT,14.6
26/09/2023,SBT,14.3
25/09/2023,SBT,14.4
22/09/2023,SBT,15.4
21/09/2023,SBT,16.25
20/09/2023,SBT,16.55
19/09/2023,SBT,16.3
18/09/2023,SBT,16.25
15/09/2023,SBT,16.15
14/09/2023,SBT,16.0
13/09/2023,SBT,16.35
12/09/2023,SBT,16.45
11/09/2023,SBT,16.1
08/09/2023,SBT,16.65
07/09/2023,SBT,16.35
06/09/2023,SBT,16.55
05/09/2023,SBT,16.45
31/08/2023,SBT,16.2
30/08/2023,SBT,16.1
29/08/2023,SBT,16.2
28/08/2023,SBT,15.85
25/08/2023,SBT,15.75
24/08/2023,SBT,15.65
23/08/2023,SBT,14.65
22/08/2023,SBT,14.3
21/08/2023,SBT,14.7
18/08/2023,SBT,14.9
17/08/2023,SBT,16.0
16/08/2023,SBT,16.05
15/08/2023,SBT,16.3
14/08/2023,SBT,16.05
11/08/2023,SBT,16.05
10/08/2023,SBT,16.4
09/08/2023,SBT,16.7
08/08/2023,SBT,16.45
07/08/2023,SBT,16.1
04/08/2023,SBT,15.8
03/08/2023,SBT,15.8
02/08/2023,SBT,15.95
01/08/2023,SBT,15.7
31/07/2023,SBT,15.9
28/07/2023,SBT,16.9
27/07/2023,SBT,16.9
26/07/2023,SBT,16.95
25/07/2023,SBT,16.85
24/07/2023,SBT,17.1
