Ngay,Symbol,GiaDongCua
29/12/2023,VHC,74.4
28/12/2023,VHC,74.4
27/12/2023,VHC,74.2
26/12/2023,VHC,74.3
25/12/2023,VHC,73.3
22/12/2023,VHC,72.4
21/12/2023,VHC,73.4
20/12/2023,VHC,71.7
19/12/2023,VHC,72.0
18/12/2023,VHC,70.1
15/12/2023,VHC,72.9
14/12/2023,VHC,73.7
13/12/2023,VHC,75.6
12/12/2023,VHC,76.2
11/12/2023,VHC,75.8
08/12/2023,VHC,74.9
07/12/2023,VHC,75.8
06/12/2023,VHC,75.9
05/12/2023,VHC,71.0
04/12/2023,VHC,68.8
01/12/2023,VHC,67.5
30/11/2023,VHC,66.0
29/11/2023,VHC,68.3
28/11/2023,VHC,68.3
27/11/2023,VHC,68.3
24/11/2023,VHC,69.5
23/11/2023,VHC,69.5
22/11/2023,VHC,71.0
21/11/2023,VHC,71.0
20/11/2023,VHC,70.0
17/11/2023,VHC,71.1
16/11/2023,VHC,73.3
15/11/2023,VHC,73.0
14/11/2023,VHC,70.2
13/11/2023,VHC,69.9
10/11/2023,VHC,69.1
09/11/2023,VHC,70.6
08/11/2023,VHC,72.0
07/11/2023,VHC,67.9
06/11/2023,VHC,69.5
03/11/2023,VHC,69.0
02/11/2023,VHC,67.5
01/11/2023,VHC,65.1
31/10/2023,VHC,63.0
30/10/2023,VHC,67.3
27/10/2023,VHC,70.0
26/10/2023,VHC,71.0
25/10/2023,VHC,73.0
24/10/2023,VHC,72.5
23/10/2023,VHC,72.2
20/10/2023,VHC,74.8
19/10/2023,VHC,70.5
18/10/2023,VHC,72.7
17/10/2023,VHC,76.0
16/10/2023,VHC,80.8
13/10/2023,VHC,82.0
12/10/2023,VHC,81.6
11/10/2023,VHC,82.6
10/10/2023,VHC,82.0
09/10/2023,VHC,81.5
06/10/2023,VHC,81.4
05/10/2023,VHC,80.8
04/10/2023,VHC,80.5
03/10/2023,VHC,80.7
02/10/2023,VHC,81.0
29/09/2023,VHC,78.9
28/09/2023,VHC,77.5
27/09/2023,VHC,77.1
26/09/2023,VHC,75.4
25/09/2023,VHC,78.0
22/09/2023,VHC,83.8
21/09/2023,VHC,83.8
20/09/2023,VHC,84.0
19/09/2023,VHC,81.1
18/09/2023,VHC,81.0
15/09/2023,VHC,77.2
14/09/2023,VHC,77.6
13/09/2023,VHC,79.0
12/09/2023,VHC,79.4
11/09/2023,VHC,77.4
08/09/2023,VHC,80.0
07/09/2023,VHC,80.0
06/09/2023,VHC,78.4
05/09/2023,VHC,77.1
31/08/2023,VHC,77.4
30/08/2023,VHC,77.4
29/08/2023,VHC,75.5
28/08/2023,VHC,75.9
25/08/2023,VHC,74.8
24/08/2023,VHC,72.5
23/08/2023,VHC,69.9
22/08/2023,VHC,69.9
21/08/2023,VHC,71.0
18/08/2023,VHC,71.0
17/08/2023,VHC,73.0
16/08/2023,VHC,74.0
15/08/2023,VHC,75.2
14/08/2023,VHC,75.0
11/08/2023,VHC,74.7
10/08/2023,VHC,75.3
09/08/2023,VHC,78.0
08/08/2023,VHC,77.4
07/08/2023,VHC,78.1
04/08/2023,VHC,76.6
03/08/2023,VHC,77.5
02/08/2023,VHC,77.8
01/08/2023,VHC,76.2
31/07/2023,VHC,75.5
28/07/2023,VHC,75.9
