Ngay,Symbol,GiaDongCua
29/12/2023,VNM,67.6
28/12/2023,VNM,68.5
27/12/2023,VNM,67.5
26/12/2023,VNM,68.0
25/12/2023,VNM,67.9
22/12/2023,VNM,67.6
21/12/2023,VNM,67.8
20/12/2023,VNM,68.1
19/12/2023,VNM,67.0
18/12/2023,VNM,67.0
15/12/2023,VNM,68.1
14/12/2023,VNM,68.4
13/12/2023,VNM,68.2
12/12/2023,VNM,69.4
11/12/2023,VNM,70.0
08/12/2023,VNM,69.0
07/12/2023,VNM,68.4
06/12/2023,VNM,68.5
05/12/2023,VNM,68.1
04/12/2023,VNM,68.8
01/12/2023,VNM,68.4
30/11/2023,VNM,67.4
29/11/2023,VNM,68.4
28/11/2023,VNM,68.5
27/11/2023,VNM,68.1
24/11/2023,VNM,68.3
23/11/2023,VNM,68.7
22/11/2023,VNM,69.4
21/11/2023,VNM,69.5
20/11/2023,VNM,69.3
17/11/2023,VNM,70.0
16/11/2023,VNM,70.3
15/11/2023,VNM,70.7
14/11/2023,VNM,68.9
13/11/2023,VNM,68.7
10/11/2023,VNM,69.6
09/11/2023,VNM,70.7
08/11/2023,VNM,71.4
07/11/2023,VNM,70.8
06/11/2023,VNM,71.0
03/11/2023,VNM,70.0
02/11/2023,VNM,70.9
01/11/2023,VNM,70.4
31/10/2023,VNM,68.0
30/10/2023,VNM,67.6
27/10/2023,VNM,68.0
26/10/2023,VNM,67.0
25/10/2023,VNM,69.0
24/10/2023,VNM,70.3
23/10/2023,VNM,70.2
20/10/2023,VNM,72.3
19/10/2023,VNM,71.4
18/10/2023,VNM,73.9
17/10/2023,VNM,74.8
16/10/2023,VNM,75.2
13/10/2023,VNM,75.8
12/10/2023,VNM,75.5
11/10/2023,VNM,74.4
10/10/2023,VNM,74.4
09/10/2023,VNM,73.7
06/10/2023,VNM,74.2
05/10/2023,VNM,72.7
04/10/2023,VNM,74.4
03/10/2023,VNM,74.0
02/10/2023,VNM,75.6
29/09/2023,VNM,74.2
28/09/2023,VNM,74.8
27/09/2023,VNM,76.6
26/09/2023,VNM,76.1
25/09/2023,VNM,77.6
22/09/2023,VNM,77.5
21/09/2023,VNM,78.0
20/09/2023,VNM,78.3
19/09/2023,VNM,78.9
18/09/2023,VNM,78.9
15/09/2023,VNM,79.5
14/09/2023,VNM,79.4
13/09/2023,VNM,79.1
12/09/2023,VNM,80.3
11/09/2023,VNM,79.5
08/09/2023,VNM,80.0
07/09/2023,VNM,79.5
06/09/2023,VNM,80.0
05/09/2023,VNM,80.1
31/08/2023,VNM,77.8
30/08/2023,VNM,77.8
29/08/2023,VNM,77.4
28/08/2023,VNM,77.9
25/08/2023,VNM,74.9
24/08/2023,VNM,74.7
23/08/2023,VNM,73.5
22/08/2023,VNM,72.7
21/08/2023,VNM,72.9
18/08/2023,VNM,73.3
17/08/2023,VNM,73.6
16/08/2023,VNM,73.1
15/08/2023,VNM,72.8
14/08/2023,VNM,73.4
11/08/2023,VNM,73.5
10/08/2023,VNM,73.1
09/08/2023,VNM,73.1
08/08/2023,VNM,74.5
07/08/2023,VNM,74.9
04/08/2023,VNM,73.0
03/08/2023,VNM,72.6
02/08/2023,VNM,76.1
01/08/2023,VNM,76.0
31/07/2023,VNM,78.0
28/07/2023,VNM,77.4
27/07/2023,VNM,75.7
26/07/2023,VNM,75.0
25/07/2023,VNM,74.5
24/07/2023,VNM,73.6
21/07/2023,VNM,73.5
20/07/2023,VNM,72.6
19/07/2023,VNM,72.6
18/07/2023,VNM,72.4
17/07/2023,VNM,72.3
14/07/2023,VNM,73.3
13/07/2023,VNM,73.1
12/07/2023,VNM,73.5
11/07/2023,VNM,72.8
10/07/2023,VNM,72.1
07/07/2023,VNM,70.9
06/07/2023,VNM,70.5
05/07/2023,VNM,69.8
