Ngay,Symbol,GiaDongCua
29/12/2023,BCM,62.9
28/12/2023,BCM,62.7
27/12/2023,BCM,62.6
26/12/2023,BCM,62.3
25/12/2023,BCM,61.9
22/12/2023,BCM,61.8
21/12/2023,BCM,61.8
20/12/2023,BCM,61.3
19/12/2023,BCM,61.0
18/12/2023,BCM,60.7
15/12/2023,BCM,62.0
14/12/2023,BCM,63.7
13/12/2023,BCM,63.9
12/12/2023,BCM,64.4
11/12/2023,BCM,65.1
08/12/2023,BCM,65.0
07/12/2023,BCM,64.8
06/12/2023,BCM,66.0
05/12/2023,BCM,63.3
04/12/2023,BCM,59.2
01/12/2023,BCM,58.2
30/11/2023,BCM,58.2
29/11/2023,BCM,58.2
28/11/2023,BCM,58.5
27/11/2023,BCM,59.3
24/11/2023,BCM,58.8
23/11/2023,BCM,58.9
22/11/2023,BCM,59.9
21/11/2023,BCM,60.2
20/11/2023,BCM,61.4
17/11/2023,BCM,61.4
16/11/2023,BCM,62.4
15/11/2023,BCM,62.0
14/11/2023,BCM,60.0
13/11/2023,BCM,59.8
10/11/2023,BCM,60.4
09/11/2023,BCM,61.0
08/11/2023,BCM,59.6
07/11/2023,BCM,58.2
06/11/2023,BCM,59.4
03/11/2023,BCM,58.5
02/11/2023,BCM,58.8
01/11/2023,BCM,58.0
31/10/2023,BCM,58.6
30/10/2023,BCM,59.5
27/10/2023,BCM,59.0
26/10/2023,BCM,59.6
25/10/2023,BCM,62.6
24/10/2023,BCM,63.4
23/10/2023,BCM,63.6
20/10/2023,BCM,64.6
19/10/2023,BCM,63.0
18/10/2023,BCM,62.8
17/10/2023,BCM,64.2
16/10/2023,BCM,65.7
13/10/2023,BCM,66.7
12/10/2023,BCM,67.6
11/10/2023,BCM,68.3
10/10/2023,BCM,68.9
09/10/2023,BCM,68.9
06/10/2023,BCM,69.5
05/10/2023,BCM,68.9
04/10/2023,BCM,69.0
03/10/2023,BCM,68.5
02/10/2023,BCM,69.4
29/09/2023,BCM,69.5
28/09/2023,BCM,67.2
27/09/2023,BCM,66.2
26/09/2023,BCM,65.9
25/09/2023,BCM,68.0
22/09/2023,BCM,69.5
21/09/2023,BCM,70.6
