Ngay,Symbol,GiaDongCua
29/12/2023,BWE,41.2
28/12/2023,BWE,40.85
27/12/2023,BWE,40.25
26/12/2023,BWE,39.8
25/12/2023,BWE,40.0
22/12/2023,BWE,40.05
21/12/2023,BWE,40.4
20/12/2023,BWE,40.65
19/12/2023,BWE,40.5
18/12/2023,BWE,40.6
15/12/2023,BWE,41.5
14/12/2023,BWE,41.6
13/12/2023,BWE,41.9
12/12/2023,BWE,42.0
11/12/2023,BWE,42.25
08/12/2023,BWE,42.3
07/12/2023,BWE,42.2
06/12/2023,BWE,43.0
05/12/2023,BWE,42.7
04/12/2023,BWE,42.65
01/12/2023,BWE,42.65
30/11/2023,BWE,42.2
29/11/2023,BWE,42.65
28/11/2023,BWE,42.9
27/11/2023,BWE,42.55
24/11/2023,BWE,42.2
23/11/2023,BWE,42.7
22/11/2023,BWE,43.2
21/11/2023,BWE,43.25
20/11/2023,BWE,43.25
17/11/2023,BWE,43.4
16/11/2023,BWE,44.0
15/11/2023,BWE,44.0
14/11/2023,BWE,43.85
13/11/2023,BWE,43.7
10/11/2023,BWE,43.45
09/11/2023,BWE,43.5
08/11/2023,BWE,43.8
07/11/2023,BWE,43.4
06/11/2023,BWE,43.3
03/11/2023,BWE,44.0
02/11/2023,BWE,43.65
01/11/2023,BWE,43.55
31/10/2023,BWE,43.5
30/10/2023,BWE,44.35
27/10/2023,BWE,44.1
26/10/2023,BWE,44.5
25/10/2023,BWE,45.0
24/10/2023,BWE,44.9
23/10/2023,BWE,45.45
20/10/2023,BWE,45.5
19/10/2023,BWE,44.85
18/10/2023,BWE,45.0
17/10/2023,BWE,45.0
16/10/2023,BWE,45.3
13/10/2023,BWE,45.75
12/10/2023,BWE,45.5
11/10/2023,BWE,46.0
10/10/2023,BWE,46.2
09/10/2023,BWE,46.3
06/10/2023,BWE,46.4
05/10/2023,BWE,46.25
04/10/2023,BWE,46.45
03/10/2023,BWE,46.7
02/10/2023,BWE,46.2
29/09/2023,BWE,46.2
28/09/2023,BWE,45.9
27/09/2023,BWE,46.0
26/09/2023,BWE,46.0
25/09/2023,BWE,46.0
22/09/2023,BWE,46.6
21/09/2023,BWE,47.25
20/09/2023,BWE,47.4
19/09/2023,BWE,47.0
18/09/2023,BWE,46.3
15/09/2023,BWE,46.85
14/09/2023,BWE,47.15
13/09/2023,BWE,47.0
12/09/2023,BWE,47.3
11/09/2023,BWE,47.8
08/09/2023,BWE,47.8
07/09/2023,BWE,47.5
06/09/2023,BWE,48.4
05/09/2023,BWE,49.15
31/08/2023,BWE,49.5
30/08/2023,BWE,49.0
29/08/2023,BWE,47.55
28/08/2023,BWE,47.1
25/08/2023,BWE,46.2
24/08/2023,BWE,46.35
