Ngay,Symbol,GiaDongCua
29/12/2023,D2D,25.2
28/12/2023,D2D,25.2
27/12/2023,D2D,25.25
26/12/2023,D2D,25.25
25/12/2023,D2D,25.1
22/12/2023,D2D,25.3
21/12/2023,D2D,25.2
20/12/2023,D2D,25.25
19/12/2023,D2D,24.95
18/12/2023,D2D,25.0
15/12/2023,D2D,24.9
14/12/2023,D2D,25.0
13/12/2023,D2D,25.35
12/12/2023,D2D,25.45
11/12/2023,D2D,25.35
08/12/2023,D2D,24.9
07/12/2023,D2D,25.1
06/12/2023,D2D,25.0
05/12/2023,D2D,25.2
04/12/2023,D2D,25.05
01/12/2023,D2D,24.95
30/11/2023,D2D,25.0
29/11/2023,D2D,25.0
28/11/2023,D2D,25.0
27/11/2023,D2D,24.9
24/11/2023,D2D,25.2
23/11/2023,D2D,25.3
22/11/2023,D2D,25.6
21/11/2023,D2D,25.8
20/11/2023,D2D,25.15
17/11/2023,D2D,24.7
16/11/2023,D2D,24.7
15/11/2023,D2D,24.7
14/11/2023,D2D,24.6
13/11/2023,D2D,24.6
10/11/2023,D2D,24.7
09/11/2023,D2D,24.6
08/11/2023,D2D,24.6
07/11/2023,D2D,24.1
06/11/2023,D2D,24.4
03/11/2023,D2D,24.8
02/11/2023,D2D,24.8
01/11/2023,D2D,24.1
31/10/2023,D2D,24.25
30/10/2023,D2D,24.8
27/10/2023,D2D,25.3
26/10/2023,D2D,24.85
25/10/2023,D2D,25.7
24/10/2023,D2D,25.65
23/10/2023,D2D,25.6
20/10/2023,D2D,26.2
19/10/2023,D2D,25.65
18/10/2023,D2D,26.05
17/10/2023,D2D,26.5
16/10/2023,D2D,26.7
13/10/2023,D2D,26.65
12/10/2023,D2D,26.8
11/10/2023,D2D,27.1
10/10/2023,D2D,26.7
09/10/2023,D2D,26.65
06/10/2023,D2D,26.75
05/10/2023,D2D,26.8
04/10/2023,D2D,26.8
03/10/2023,D2D,26.5
02/10/2023,D2D,27.2
29/09/2023,D2D,27.2
28/09/2023,D2D,26.7
27/09/2023,D2D,27.0
26/09/2023,D2D,27.1
25/09/2023,D2D,27.05
22/09/2023,D2D,28.0
21/09/2023,D2D,28.4
20/09/2023,D2D,28.65
19/09/2023,D2D,28.4
18/09/2023,D2D,28.65
15/09/2023,D2D,28.7
14/09/2023,D2D,28.8
13/09/2023,D2D,29.45
12/09/2023,D2D,29.45
11/09/2023,D2D,29.0
08/09/2023,D2D,30.25
07/09/2023,D2D,28.85
06/09/2023,D2D,28.8
05/09/2023,D2D,28.7
31/08/2023,D2D,28.7
30/08/2023,D2D,28.7
29/08/2023,D2D,28.8
28/08/2023,D2D,28.8
25/08/2023,D2D,28.8
24/08/2023,D2D,28.9
23/08/2023,D2D,28.85
22/08/2023,D2D,28.9
21/08/2023,D2D,28.4
18/08/2023,D2D,27.8
17/08/2023,D2D,29.8
16/08/2023,D2D,29.6
15/08/2023,D2D,29.5
14/08/2023,D2D,29.5
11/08/2023,D2D,29.0
10/08/2023,D2D,29.7
09/08/2023,D2D,30.1
08/08/2023,D2D,30.4
07/08/2023,D2D,30.25
04/08/2023,D2D,29.7
03/08/2023,D2D,29.7
02/08/2023,D2D,29.65
01/08/2023,D2D,29.7
31/07/2023,D2D,29.7
28/07/2023,D2D,29.75
27/07/2023,D2D,29.35
26/07/2023,D2D,30.1
25/07/2023,D2D,30.0
24/07/2023,D2D,30.75
21/07/2023,D2D,30.4
20/07/2023,D2D,30.65
19/07/2023,D2D,31.6
18/07/2023,D2D,34.8
17/07/2023,D2D,34.85
14/07/2023,D2D,34.8
13/07/2023,D2D,34.6
12/07/2023,D2D,35.0
11/07/2023,D2D,35.4
10/07/2023,D2D,34.9
07/07/2023,D2D,32.9
06/07/2023,D2D,32.2
05/07/2023,D2D,32.85
04/07/2023,D2D,31.8
03/07/2023,D2D,30.7
30/06/2023,D2D,30.3
29/06/2023,D2D,29.4
28/06/2023,D2D,29.4
27/06/2023,D2D,29.4
26/06/2023,D2D,29.4
23/06/2023,D2D,29.4
22/06/2023,D2D,29.3
21/06/2023,D2D,29.1
20/06/2023,D2D,29.0
19/06/2023,D2D,28.95
16/06/2023,D2D,29.0
15/06/2023,D2D,29.0
14/06/2023,D2D,29.8
13/06/2023,D2D,29.9
12/06/2023,D2D,29.6
09/06/2023,D2D,28.25
08/06/2023,D2D,28.4
07/06/2023,D2D,28.4
06/06/2023,D2D,28.3
05/06/2023,D2D,28.35
02/06/2023,D2D,28.2
01/06/2023,D2D,28.1
31/05/2023,D2D,28.1
30/05/2023,D2D,28.2
29/05/2023,D2D,28.15
26/05/2023,D2D,27.9
25/05/2023,D2D,27.2
24/05/2023,D2D,27.0
23/05/2023,D2D,26.75
22/05/2023,D2D,26.95
19/05/2023,D2D,26.95
18/05/2023,D2D,26.4
17/05/2023,D2D,26.35
16/05/2023,D2D,26.35
15/05/2023,D2D,26.35
12/05/2023,D2D,26.7
11/05/2023,D2D,26.9
10/05/2023,D2D,26.9
09/05/2023,D2D,26.9
08/05/2023,D2D,26.3
05/05/2023,D2D,25.9
04/05/2023,D2D,26.0
28/04/2023,D2D,26.0
27/04/2023,D2D,26.0
26/04/2023,D2D,25.2
25/04/2023,D2D,25.2
24/04/2023,D2D,25.15
21/04/2023,D2D,25.35
20/04/2023,D2D,25.35
19/04/2023,D2D,25.35
18/04/2023,D2D,25.5
17/04/2023,D2D,25.4
14/04/2023,D2D,25.55
13/04/2023,D2D,26.85
12/04/2023,D2D,26.9
11/04/2023,D2D,25.2
10/04/2023,D2D,25.2
07/04/2023,D2D,24.8
06/04/2023,D2D,24.95
05/04/2023,D2D,24.95
04/04/2023,D2D,24.7
03/04/2023,D2D,24.7
31/03/2023,D2D,24.15
30/03/2023,D2D,23.7
29/03/2023,D2D,23.1
28/03/2023,D2D,23.45
27/03/2023,D2D,23.2
24/03/2023,D2D,23.1
23/03/2023,D2D,23.05
22/03/2023,D2D,23.0
21/03/2023,D2D,23.0
20/03/2023,D2D,23.0
17/03/2023,D2D,23.5
16/03/2023,D2D,23.5
15/03/2023,D2D,24.8
14/03/2023,D2D,24.55
13/03/2023,D2D,22.95
10/03/2023,D2D,22.75
09/03/2023,D2D,22.7
08/03/2023,D2D,22.6
07/03/2023,D2D,22.5
06/03/2023,D2D,22.3
03/03/2023,D2D,22.3
02/03/2023,D2D,22.05
01/03/2023,D2D,22.0
28/02/2023,D2D,22.0
27/02/2023,D2D,21.5
24/02/2023,D2D,22.0
23/02/2023,D2D,22.2
22/02/2023,D2D,22.5
21/02/2023,D2D,22.7
20/02/2023,D2D,22.5
17/02/2023,D2D,22.55
16/02/2023,D2D,22.65
15/02/2023,D2D,22.3
14/02/2023,D2D,22.25
13/02/2023,D2D,22.2
10/02/2023,D2D,22.8
09/02/2023,D2D,22.9
08/02/2023,D2D,22.65
07/02/2023,D2D,22.3
06/02/2023,D2D,23.4
03/02/2023,D2D,23.5
02/02/2023,D2D,23.9
01/02/2023,D2D,23.8
31/01/2023,D2D,23.3
30/01/2023,D2D,23.25
27/01/2023,D2D,23.2
19/01/2023,D2D,23.0
18/01/2023,D2D,22.5
17/01/2023,D2D,21.95
16/01/2023,D2D,21.6
13/01/2023,D2D,22.0
12/01/2023,D2D,22.0
11/01/2023,D2D,22.55
10/01/2023,D2D,22.55
09/01/2023,D2D,22.4
06/01/2023,D2D,22.8
05/01/2023,D2D,23.1
04/01/2023,D2D,23.25
03/01/2023,D2D,23.35
30/12/2022,D2D,22.75
29/12/2022,D2D,22.7
28/12/2022,D2D,22.6
27/12/2022,D2D,22.8
26/12/2022,D2D,22.75
23/12/2022,D2D,22.75
22/12/2022,D2D,23.0
21/12/2022,D2D,23.0
20/12/2022,D2D,23.8
19/12/2022,D2D,24.75
16/12/2022,D2D,24.8
15/12/2022,D2D,24.2
14/12/2022,D2D,24.5
13/12/2022,D2D,24.15
12/12/2022,D2D,24.5
09/12/2022,D2D,23.5
08/12/2022,D2D,23.65
07/12/2022,D2D,22.8
06/12/2022,D2D,24.0
05/12/2022,D2D,25.3
02/12/2022,D2D,25.45
01/12/2022,D2D,25.45
30/11/2022,D2D,23.8
29/11/2022,D2D,23.0
28/11/2022,D2D,22.0
25/11/2022,D2D,20.6
24/11/2022,D2D,19.6
23/11/2022,D2D,20.0
22/11/2022,D2D,20.2
21/11/2022,D2D,20.2
18/11/2022,D2D,19.75
17/11/2022,D2D,19.8
16/11/2022,D2D,19.65
15/11/2022,D2D,18.5
14/11/2022,D2D,19.85
11/11/2022,D2D,21.3
10/11/2022,D2D,22.9
09/11/2022,D2D,24.6
08/11/2022,D2D,24.5
07/11/2022,D2D,25.0
04/11/2022,D2D,25.9
03/11/2022,D2D,26.5
02/11/2022,D2D,26.5
01/11/2022,D2D,26.5
31/10/2022,D2D,27.35
28/10/2022,D2D,27.9
27/10/2022,D2D,26.7
26/10/2022,D2D,25.2
25/10/2022,D2D,25.0
24/10/2022,D2D,26.5
21/10/2022,D2D,28.05
20/10/2022,D2D,29.0
19/10/2022,D2D,29.6
18/10/2022,D2D,29.7
17/10/2022,D2D,29.4
14/10/2022,D2D,29.3
13/10/2022,D2D,29.15
12/10/2022,D2D,29.0
11/10/2022,D2D,28.5
10/10/2022,D2D,29.75
07/10/2022,D2D,28.5
06/10/2022,D2D,30.0
05/10/2022,D2D,30.6
04/10/2022,D2D,30.15
03/10/2022,D2D,30.0
30/09/2022,D2D,32.0
29/09/2022,D2D,33.2
28/09/2022,D2D,33.5
27/09/2022,D2D,33.5
26/09/2022,D2D,33.3
23/09/2022,D2D,35.2
22/09/2022,D2D,35.6
21/09/2022,D2D,35.4
20/09/2022,D2D,35.0
19/09/2022,D2D,34.65
16/09/2022,D2D,36.85
15/09/2022,D2D,37.0
14/09/2022,D2D,37.1
13/09/2022,D2D,37.55
12/09/2022,D2D,37.45
09/09/2022,D2D,37.0
08/09/2022,D2D,37.4
07/09/2022,D2D,38.0
06/09/2022,D2D,38.85
05/09/2022,D2D,38.95
31/08/2022,D2D,38.95
30/08/2022,D2D,39.3
29/08/2022,D2D,39.4
26/08/2022,D2D,40.1
25/08/2022,D2D,40.45
24/08/2022,D2D,40.6
23/08/2022,D2D,40.6
22/08/2022,D2D,39.9
19/08/2022,D2D,40.0
18/08/2022,D2D,39.9
17/08/2022,D2D,40.1
16/08/2022,D2D,40.8
15/08/2022,D2D,41.1
12/08/2022,D2D,41.45
11/08/2022,D2D,41.2
10/08/2022,D2D,42.35
09/08/2022,D2D,41.9
08/08/2022,D2D,41.25
05/08/2022,D2D,41.3
04/08/2022,D2D,41.3
03/08/2022,D2D,41.5
02/08/2022,D2D,41.4
01/08/2022,D2D,40.7
29/07/2022,D2D,40.7
28/07/2022,D2D,40.5
27/07/2022,D2D,39.5
26/07/2022,D2D,40.2
25/07/2022,D2D,40.55
22/07/2022,D2D,40.95
21/07/2022,D2D,41.3
20/07/2022,D2D,40.5
19/07/2022,D2D,39.4
18/07/2022,D2D,40.0
15/07/2022,D2D,39.1
14/07/2022,D2D,39.95
13/07/2022,D2D,39.5
12/07/2022,D2D,38.55
11/07/2022,D2D,38.0
08/07/2022,D2D,39.0
07/07/2022,D2D,39.4
06/07/2022,D2D,40.3
05/07/2022,D2D,40.8
04/07/2022,D2D,40.9
01/07/2022,D2D,41.3
30/06/2022,D2D,41.5
29/06/2022,D2D,42.5
28/06/2022,D2D,42.8
27/06/2022,D2D,43.2
24/06/2022,D2D,43.2
23/06/2022,D2D,43.3
22/06/2022,D2D,40.5
21/06/2022,D2D,41.9
20/06/2022,D2D,41.95
17/06/2022,D2D,43.6
16/06/2022,D2D,44.3
15/06/2022,D2D,44.0
14/06/2022,D2D,44.8
13/06/2022,D2D,44.85
10/06/2022,D2D,48.2
09/06/2022,D2D,48.7
08/06/2022,D2D,49.3
07/06/2022,D2D,49.3
06/06/2022,D2D,49.3
03/06/2022,D2D,49.15
02/06/2022,D2D,49.4
01/06/2022,D2D,48.5
31/05/2022,D2D,49.4
30/05/2022,D2D,49.95
27/05/2022,D2D,49.9
26/05/2022,D2D,50.2
25/05/2022,D2D,50.4
24/05/2022,D2D,50.3
23/05/2022,D2D,50.5
20/05/2022,D2D,52.9
19/05/2022,D2D,52.9
18/05/2022,D2D,52.5
17/05/2022,D2D,52.0
16/05/2022,D2D,49.2
13/05/2022,D2D,49.0
12/05/2022,D2D,51.2
11/05/2022,D2D,53.0
10/05/2022,D2D,50.2
09/05/2022,D2D,48.6
06/05/2022,D2D,49.8
05/05/2022,D2D,51.0
04/05/2022,D2D,51.0
29/04/2022,D2D,51.6
28/04/2022,D2D,51.3
27/04/2022,D2D,50.3
26/04/2022,D2D,47.1
25/04/2022,D2D,46.5
22/04/2022,D2D,50.0
21/04/2022,D2D,51.0
20/04/2022,D2D,52.6
19/04/2022,D2D,56.5
18/04/2022,D2D,59.7
15/04/2022,D2D,59.9
14/04/2022,D2D,60.0
13/04/2022,D2D,60.0
12/04/2022,D2D,59.4
08/04/2022,D2D,60.7
07/04/2022,D2D,60.2
06/04/2022,D2D,61.6
05/04/2022,D2D,62.5
04/04/2022,D2D,63.3
01/04/2022,D2D,62.9
31/03/2022,D2D,62.9
30/03/2022,D2D,61.6
29/03/2022,D2D,59.9
28/03/2022,D2D,59.9
25/03/2022,D2D,61.2
24/03/2022,D2D,60.5
23/03/2022,D2D,60.9
22/03/2022,D2D,61.0
21/03/2022,D2D,61.0
18/03/2022,D2D,60.9
17/03/2022,D2D,60.9
16/03/2022,D2D,60.5
15/03/2022,D2D,61.3
14/03/2022,D2D,59.7
11/03/2022,D2D,60.0
10/03/2022,D2D,60.9
09/03/2022,D2D,60.3
08/03/2022,D2D,61.0
07/03/2022,D2D,61.8
04/03/2022,D2D,62.7
03/03/2022,D2D,62.3
02/03/2022,D2D,61.6
01/03/2022,D2D,63.0
28/02/2022,D2D,63.3
25/02/2022,D2D,64.0
24/02/2022,D2D,64.0
23/02/2022,D2D,65.0
22/02/2022,D2D,64.5
21/02/2022,D2D,65.0
18/02/2022,D2D,62.7
17/02/2022,D2D,63.0
16/02/2022,D2D,63.3
15/02/2022,D2D,63.9
14/02/2022,D2D,63.9
11/02/2022,D2D,64.3
10/02/2022,D2D,63.1
09/02/2022,D2D,62.0
08/02/2022,D2D,61.5
07/02/2022,D2D,60.8
28/01/2022,D2D,60.8
27/01/2022,D2D,60.4
26/01/2022,D2D,60.5
25/01/2022,D2D,62.1
24/01/2022,D2D,59.5
21/01/2022,D2D,62.5
20/01/2022,D2D,62.1
19/01/2022,D2D,61.8
18/01/2022,D2D,60.1
17/01/2022,D2D,61.2
14/01/2022,D2D,65.8
13/01/2022,D2D,65.8
12/01/2022,D2D,67.9
11/01/2022,D2D,69.4
10/01/2022,D2D,64.9
07/01/2022,D2D,64.5
06/01/2022,D2D,65.3
05/01/2022,D2D,61.5
04/01/2022,D2D,60.6
31/12/2021,D2D,59.7
30/12/2021,D2D,60.2
29/12/2021,D2D,59.7
28/12/2021,D2D,61.1
27/12/2021,D2D,61.6
24/12/2021,D2D,62.2
23/12/2021,D2D,62.5
22/12/2021,D2D,64.2
21/12/2021,D2D,62.9
20/12/2021,D2D,63.0
17/12/2021,D2D,64.3
16/12/2021,D2D,63.0
15/12/2021,D2D,62.5
14/12/2021,D2D,62.2
13/12/2021,D2D,63.0
10/12/2021,D2D,59.7
09/12/2021,D2D,58.7
08/12/2021,D2D,58.3
07/12/2021,D2D,57.8
06/12/2021,D2D,56.5
03/12/2021,D2D,60.0
02/12/2021,D2D,61.8
01/12/2021,D2D,61.6
30/11/2021,D2D,61.0
29/11/2021,D2D,59.4
26/11/2021,D2D,60.7
25/11/2021,D2D,61.6
24/11/2021,D2D,60.3
23/11/2021,D2D,60.6
22/11/2021,D2D,58.8
19/11/2021,D2D,61.1
18/11/2021,D2D,64.7
17/11/2021,D2D,64.9
16/11/2021,D2D,64.0
15/11/2021,D2D,66.2
12/11/2021,D2D,67.5
11/11/2021,D2D,67.9
10/11/2021,D2D,67.4
09/11/2021,D2D,64.1
08/11/2021,D2D,64.9
05/11/2021,D2D,65.9
04/11/2021,D2D,66.0
03/11/2021,D2D,64.5
02/11/2021,D2D,69.3
01/11/2021,D2D,64.8
29/10/2021,D2D,65.9
28/10/2021,D2D,66.0
27/10/2021,D2D,66.0
26/10/2021,D2D,62.8
25/10/2021,D2D,62.0
22/10/2021,D2D,63.3
21/10/2021,D2D,63.3
20/10/2021,D2D,60.4
19/10/2021,D2D,57.9
18/10/2021,D2D,57.0
15/10/2021,D2D,56.1
14/10/2021,D2D,55.5
13/10/2021,D2D,54.6
12/10/2021,D2D,54.7
11/10/2021,D2D,54.7
08/10/2021,D2D,54.9
07/10/2021,D2D,55.4
06/10/2021,D2D,53.8
05/10/2021,D2D,53.8
04/10/2021,D2D,52.7
01/10/2021,D2D,52.5
30/09/2021,D2D,53.0
29/09/2021,D2D,52.6
28/09/2021,D2D,53.0
27/09/2021,D2D,51.2
24/09/2021,D2D,54.0
23/09/2021,D2D,54.2
22/09/2021,D2D,54.2
21/09/2021,D2D,54.2
20/09/2021,D2D,55.9
17/09/2021,D2D,56.9
16/09/2021,D2D,56.1
15/09/2021,D2D,56.3
14/09/2021,D2D,56.0
13/09/2021,D2D,56.1
10/09/2021,D2D,56.8
09/09/2021,D2D,56.9
08/09/2021,D2D,55.7
07/09/2021,D2D,56.5
06/09/2021,D2D,58.3
01/09/2021,D2D,57.3
31/08/2021,D2D,56.7
30/08/2021,D2D,54.0
27/08/2021,D2D,53.0
26/08/2021,D2D,51.5
25/08/2021,D2D,51.2
24/08/2021,D2D,51.0
23/08/2021,D2D,51.6
20/08/2021,D2D,53.1
19/08/2021,D2D,54.6
18/08/2021,D2D,56.0
17/08/2021,D2D,55.9
16/08/2021,D2D,57.0
13/08/2021,D2D,54.6
12/08/2021,D2D,53.7
11/08/2021,D2D,54.2
10/08/2021,D2D,54.7
09/08/2021,D2D,54.2
06/08/2021,D2D,53.4
05/08/2021,D2D,52.9
04/08/2021,D2D,52.6
03/08/2021,D2D,52.7
02/08/2021,D2D,51.0
30/07/2021,D2D,50.9
29/07/2021,D2D,50.6
28/07/2021,D2D,50.9
27/07/2021,D2D,50.6
26/07/2021,D2D,50.6
23/07/2021,D2D,50.3
22/07/2021,D2D,50.8
21/07/2021,D2D,49.95
20/07/2021,D2D,50.6
19/07/2021,D2D,49.35
16/07/2021,D2D,51.1
15/07/2021,D2D,50.9
14/07/2021,D2D,50.4
13/07/2021,D2D,50.9
12/07/2021,D2D,50.2
09/07/2021,D2D,50.9
08/07/2021,D2D,50.9
07/07/2021,D2D,51.5
06/07/2021,D2D,50.8
05/07/2021,D2D,52.7
02/07/2021,D2D,53.6
01/07/2021,D2D,53.8
30/06/2021,D2D,53.7
29/06/2021,D2D,54.7
28/06/2021,D2D,55.4
25/06/2021,D2D,54.7
24/06/2021,D2D,54.7
23/06/2021,D2D,54.6
22/06/2021,D2D,57.0
21/06/2021,D2D,57.3
18/06/2021,D2D,58.5
17/06/2021,D2D,57.6
16/06/2021,D2D,57.5
15/06/2021,D2D,57.8
14/06/2021,D2D,54.1
11/06/2021,D2D,52.7
10/06/2021,D2D,52.6
09/06/2021,D2D,52.6
08/06/2021,D2D,53.5
07/06/2021,D2D,54.3
04/06/2021,D2D,53.7
03/06/2021,D2D,51.7
02/06/2021,D2D,51.2
01/06/2021,D2D,50.4
31/05/2021,D2D,50.8
28/05/2021,D2D,51.3
27/05/2021,D2D,51.0
26/05/2021,D2D,52.2
25/05/2021,D2D,52.9
24/05/2021,D2D,53.6
21/05/2021,D2D,52.1
20/05/2021,D2D,52.9
19/05/2021,D2D,53.0
18/05/2021,D2D,53.5
17/05/2021,D2D,53.5
14/05/2021,D2D,54.1
13/05/2021,D2D,54.5
12/05/2021,D2D,55.5
11/05/2021,D2D,53.6
10/05/2021,D2D,53.0
07/05/2021,D2D,52.4
06/05/2021,D2D,52.8
05/05/2021,D2D,52.7
04/05/2021,D2D,52.0
29/04/2021,D2D,53.2
28/04/2021,D2D,53.3
27/04/2021,D2D,52.7
26/04/2021,D2D,52.6
23/04/2021,D2D,53.0
22/04/2021,D2D,52.0
20/04/2021,D2D,54.5
19/04/2021,D2D,55.2
16/04/2021,D2D,54.7
15/04/2021,D2D,56.4
14/04/2021,D2D,57.5
13/04/2021,D2D,57.5
12/04/2021,D2D,58.7
09/04/2021,D2D,58.6
08/04/2021,D2D,58.4
07/04/2021,D2D,58.3
06/04/2021,D2D,58.3
05/04/2021,D2D,58.3
02/04/2021,D2D,59.0
01/04/2021,D2D,58.4
31/03/2021,D2D,58.0
30/03/2021,D2D,57.9
29/03/2021,D2D,58.0
26/03/2021,D2D,56.5
25/03/2021,D2D,56.9
24/03/2021,D2D,57.2
23/03/2021,D2D,59.6
22/03/2021,D2D,60.5
19/03/2021,D2D,59.2
18/03/2021,D2D,59.5
17/03/2021,D2D,59.8
16/03/2021,D2D,59.2
15/03/2021,D2D,60.0
12/03/2021,D2D,60.1
11/03/2021,D2D,60.8
10/03/2021,D2D,58.5
09/03/2021,D2D,57.8
08/03/2021,D2D,57.5
05/03/2021,D2D,57.5
04/03/2021,D2D,58.0
