Ngay,Symbol,GiaDongCua
29/12/2023,HTI,16.45
28/12/2023,HTI,16.45
27/12/2023,HTI,16.45
26/12/2023,HTI,16.45
25/12/2023,HTI,16.45
22/12/2023,HTI,16.4
21/12/2023,HTI,16.4
20/12/2023,HTI,16.35
19/12/2023,HTI,16.55
18/12/2023,HTI,16.65
15/12/2023,HTI,16.65
14/12/2023,HTI,16.5
13/12/2023,HTI,16.5
12/12/2023,HTI,16.5
11/12/2023,HTI,16.6
08/12/2023,HTI,16.55
07/12/2023,HTI,16.55
06/12/2023,HTI,16.55
05/12/2023,HTI,16.55
04/12/2023,HTI,16.55
01/12/2023,HTI,16.45
30/11/2023,HTI,16.55
29/11/2023,HTI,16.55
28/11/2023,HTI,16.55
27/11/2023,HTI,16.8
24/11/2023,HTI,16.85
23/11/2023,HTI,16.85
22/11/2023,HTI,17.4
21/11/2023,HTI,16.7
20/11/2023,HTI,16.7
17/11/2023,HTI,16.7
16/11/2023,HTI,17.0
15/11/2023,HTI,17.85
14/11/2023,HTI,16.75
13/11/2023,HTI,16.75
10/11/2023,HTI,16.75
09/11/2023,HTI,16.75
08/11/2023,HTI,16.75
07/11/2023,HTI,16.7
06/11/2023,HTI,16.05
03/11/2023,HTI,16.85
02/11/2023,HTI,16.85
01/11/2023,HTI,16.85
31/10/2023,HTI,16.0
30/10/2023,HTI,16.5
27/10/2023,HTI,16.5
26/10/2023,HTI,16.55
25/10/2023,HTI,16.85
24/10/2023,HTI,15.85
23/10/2023,HTI,16.95
20/10/2023,HTI,16.95
19/10/2023,HTI,16.95
18/10/2023,HTI,16.95
17/10/2023,HTI,16.9
16/10/2023,HTI,16.8
13/10/2023,HTI,16.9
12/10/2023,HTI,16.35
11/10/2023,HTI,16.3
10/10/2023,HTI,16.3
09/10/2023,HTI,16.3
06/10/2023,HTI,16.3
05/10/2023,HTI,16.3
04/10/2023,HTI,16.75
03/10/2023,HTI,16.95
02/10/2023,HTI,16.35
29/09/2023,HTI,16.3
28/09/2023,HTI,16.75
27/09/2023,HTI,16.75
26/09/2023,HTI,16.4
25/09/2023,HTI,16.9
22/09/2023,HTI,16.9
21/09/2023,HTI,16.9
20/09/2023,HTI,16.55
19/09/2023,HTI,16.5
18/09/2023,HTI,16.5
15/09/2023,HTI,16.7
14/09/2023,HTI,16.45
13/09/2023,HTI,16.5
12/09/2023,HTI,17.3
11/09/2023,HTI,16.6
08/09/2023,HTI,16.6
07/09/2023,HTI,16.75
06/09/2023,HTI,16.8
05/09/2023,HTI,16.7
31/08/2023,HTI,17.2
30/08/2023,HTI,16.7
29/08/2023,HTI,16.7
28/08/2023,HTI,17.15
25/08/2023,HTI,17.15
24/08/2023,HTI,16.75
23/08/2023,HTI,16.7
22/08/2023,HTI,16.65
21/08/2023,HTI,16.8
18/08/2023,HTI,16.85
17/08/2023,HTI,17.0
16/08/2023,HTI,16.95
15/08/2023,HTI,16.95
14/08/2023,HTI,16.9
11/08/2023,HTI,16.9
10/08/2023,HTI,17.0
09/08/2023,HTI,17.45
08/08/2023,HTI,17.45
07/08/2023,HTI,17.5
04/08/2023,HTI,16.95
03/08/2023,HTI,16.95
02/08/2023,HTI,16.9
01/08/2023,HTI,16.9
31/07/2023,HTI,16.9
28/07/2023,HTI,16.85
27/07/2023,HTI,16.85
26/07/2023,HTI,16.85
25/07/2023,HTI,16.85
24/07/2023,HTI,16.95
21/07/2023,HTI,16.95
20/07/2023,HTI,16.8
19/07/2023,HTI,16.8
18/07/2023,HTI,16.75
17/07/2023,HTI,16.75
14/07/2023,HTI,16.8
13/07/2023,HTI,16.75
12/07/2023,HTI,16.75
11/07/2023,HTI,16.7
10/07/2023,HTI,16.65
07/07/2023,HTI,16.55
06/07/2023,HTI,16.6
05/07/2023,HTI,16.75
04/07/2023,HTI,16.75
03/07/2023,HTI,16.75
30/06/2023,HTI,16.75
29/06/2023,HTI,16.9
28/06/2023,HTI,16.8
27/06/2023,HTI,17.0
26/06/2023,HTI,16.8
23/06/2023,HTI,16.65
22/06/2023,HTI,16.5
21/06/2023,HTI,16.5
20/06/2023,HTI,16.4
19/06/2023,HTI,16.4
16/06/2023,HTI,16.5
15/06/2023,HTI,16.5
14/06/2023,HTI,16.5
13/06/2023,HTI,16.4
12/06/2023,HTI,16.4
09/06/2023,HTI,16.4
08/06/2023,HTI,16.35
07/06/2023,HTI,16.35
06/06/2023,HTI,16.45
05/06/2023,HTI,16.25
02/06/2023,HTI,16.35
01/06/2023,HTI,17.0
31/05/2023,HTI,17.0
30/05/2023,HTI,17.0
29/05/2023,HTI,17.0
26/05/2023,HTI,17.0
25/05/2023,HTI,17.0
24/05/2023,HTI,17.0
23/05/2023,HTI,17.0
22/05/2023,HTI,16.85
19/05/2023,HTI,16.8
18/05/2023,HTI,16.75
17/05/2023,HTI,16.8
16/05/2023,HTI,16.8
15/05/2023,HTI,16.9
12/05/2023,HTI,16.7
11/05/2023,HTI,16.8
10/05/2023,HTI,16.75
09/05/2023,HTI,16.4
08/05/2023,HTI,16.5
05/05/2023,HTI,17.05
04/05/2023,HTI,17.05
28/04/2023,HTI,16.8
27/04/2023,HTI,16.8
26/04/2023,HTI,16.8
25/04/2023,HTI,16.65
24/04/2023,HTI,16.65
21/04/2023,HTI,16.7
20/04/2023,HTI,16.7
19/04/2023,HTI,16.7
18/04/2023,HTI,16.8
17/04/2023,HTI,16.8
14/04/2023,HTI,16.8
13/04/2023,HTI,16.7
12/04/2023,HTI,16.6
11/04/2023,HTI,16.5
10/04/2023,HTI,16.5
07/04/2023,HTI,16.55
06/04/2023,HTI,16.9
05/04/2023,HTI,16.55
04/04/2023,HTI,16.55
03/04/2023,HTI,16.55
31/03/2023,HTI,16.55
30/03/2023,HTI,16.55
29/03/2023,HTI,16.55
28/03/2023,HTI,16.6
27/03/2023,HTI,16.6
24/03/2023,HTI,16.7
23/03/2023,HTI,16.95
22/03/2023,HTI,16.95
21/03/2023,HTI,16.9
20/03/2023,HTI,16.5
17/03/2023,HTI,16.5
16/03/2023,HTI,16.5
15/03/2023,HTI,16.85
14/03/2023,HTI,16.5
13/03/2023,HTI,16.9
10/03/2023,HTI,16.9
09/03/2023,HTI,16.9
08/03/2023,HTI,16.5
07/03/2023,HTI,16.7
06/03/2023,HTI,16.7
03/03/2023,HTI,16.7
02/03/2023,HTI,16.7
01/03/2023,HTI,16.7
28/02/2023,HTI,16.5
27/02/2023,HTI,16.9
24/02/2023,HTI,16.85
23/02/2023,HTI,16.5
22/02/2023,HTI,16.45
21/02/2023,HTI,16.5
20/02/2023,HTI,16.45
17/02/2023,HTI,16.45
16/02/2023,HTI,16.45
15/02/2023,HTI,16.8
14/02/2023,HTI,17.0
13/02/2023,HTI,16.5
10/02/2023,HTI,16.7
09/02/2023,HTI,16.7
08/02/2023,HTI,16.4
07/02/2023,HTI,16.75
06/02/2023,HTI,16.5
03/02/2023,HTI,16.5
02/02/2023,HTI,16.8
01/02/2023,HTI,16.8
31/01/2023,HTI,16.8
30/01/2023,HTI,16.8
27/01/2023,HTI,16.8
19/01/2023,HTI,16.95
18/01/2023,HTI,17.0
17/01/2023,HTI,16.5
16/01/2023,HTI,16.5
13/01/2023,HTI,16.65
12/01/2023,HTI,16.6
11/01/2023,HTI,16.5
10/01/2023,HTI,16.3
09/01/2023,HTI,16.2
06/01/2023,HTI,16.25
05/01/2023,HTI,16.3
04/01/2023,HTI,16.0
03/01/2023,HTI,16.2
30/12/2022,HTI,16.2
29/12/2022,HTI,16.1
28/12/2022,HTI,15.85
27/12/2022,HTI,15.9
26/12/2022,HTI,16.0
23/12/2022,HTI,16.45
22/12/2022,HTI,16.45
21/12/2022,HTI,16.0
20/12/2022,HTI,16.0
19/12/2022,HTI,16.2
16/12/2022,HTI,16.4
15/12/2022,HTI,16.45
14/12/2022,HTI,17.15
13/12/2022,HTI,17.25
12/12/2022,HTI,17.25
09/12/2022,HTI,17.3
08/12/2022,HTI,17.2
07/12/2022,HTI,17.15
06/12/2022,HTI,17.15
05/12/2022,HTI,17.3
02/12/2022,HTI,16.9
01/12/2022,HTI,16.8
30/11/2022,HTI,16.8
29/11/2022,HTI,16.8
28/11/2022,HTI,16.4
25/11/2022,HTI,16.2
24/11/2022,HTI,16.15
23/11/2022,HTI,16.1
22/11/2022,HTI,16.1
21/11/2022,HTI,16.0
18/11/2022,HTI,16.0
17/11/2022,HTI,16.0
16/11/2022,HTI,16.0
15/11/2022,HTI,15.6
14/11/2022,HTI,16.0
11/11/2022,HTI,16.0
10/11/2022,HTI,16.15
09/11/2022,HTI,16.1
08/11/2022,HTI,16.1
07/11/2022,HTI,16.2
04/11/2022,HTI,16.4
03/11/2022,HTI,16.5
02/11/2022,HTI,16.5
01/11/2022,HTI,16.5
31/10/2022,HTI,16.4
28/10/2022,HTI,16.7
27/10/2022,HTI,16.7
26/10/2022,HTI,16.1
25/10/2022,HTI,16.05
24/10/2022,HTI,16.2
21/10/2022,HTI,16.45
20/10/2022,HTI,16.3
19/10/2022,HTI,16.55
18/10/2022,HTI,16.3
17/10/2022,HTI,16.0
14/10/2022,HTI,16.2
13/10/2022,HTI,16.1
12/10/2022,HTI,16.1
11/10/2022,HTI,16.0
10/10/2022,HTI,16.1
07/10/2022,HTI,16.1
06/10/2022,HTI,16.15
05/10/2022,HTI,16.45
04/10/2022,HTI,16.35
03/10/2022,HTI,16.4
30/09/2022,HTI,16.35
29/09/2022,HTI,16.2
28/09/2022,HTI,16.15
27/09/2022,HTI,16.4
26/09/2022,HTI,16.45
23/09/2022,HTI,16.7
22/09/2022,HTI,16.55
21/09/2022,HTI,16.65
20/09/2022,HTI,16.85
19/09/2022,HTI,17.1
16/09/2022,HTI,19.4
15/09/2022,HTI,19.5
14/09/2022,HTI,19.2
13/09/2022,HTI,19.3
12/09/2022,HTI,19.25
09/09/2022,HTI,19.25
08/09/2022,HTI,19.3
07/09/2022,HTI,19.35
06/09/2022,HTI,19.4
05/09/2022,HTI,19.1
31/08/2022,HTI,19.1
30/08/2022,HTI,19.2
29/08/2022,HTI,19.25
26/08/2022,HTI,18.7
25/08/2022,HTI,18.7
24/08/2022,HTI,18.55
23/08/2022,HTI,18.6
22/08/2022,HTI,18.5
19/08/2022,HTI,18.35
18/08/2022,HTI,18.2
17/08/2022,HTI,18.25
16/08/2022,HTI,18.05
15/08/2022,HTI,18.0
12/08/2022,HTI,17.95
11/08/2022,HTI,18.05
10/08/2022,HTI,18.45
09/08/2022,HTI,18.35
08/08/2022,HTI,18.3
05/08/2022,HTI,18.05
04/08/2022,HTI,18.45
03/08/2022,HTI,18.2
02/08/2022,HTI,18.5
01/08/2022,HTI,18.5
29/07/2022,HTI,18.0
28/07/2022,HTI,18.55
27/07/2022,HTI,18.0
26/07/2022,HTI,17.95
25/07/2022,HTI,17.7
22/07/2022,HTI,17.75
21/07/2022,HTI,17.7
20/07/2022,HTI,17.7
19/07/2022,HTI,17.7
18/07/2022,HTI,17.65
15/07/2022,HTI,17.65
14/07/2022,HTI,17.7
13/07/2022,HTI,17.4
12/07/2022,HTI,17.4
11/07/2022,HTI,17.6
08/07/2022,HTI,17.3
07/07/2022,HTI,17.25
06/07/2022,HTI,17.25
05/07/2022,HTI,17.2
04/07/2022,HTI,17.4
01/07/2022,HTI,17.4
30/06/2022,HTI,17.7
29/06/2022,HTI,17.85
28/06/2022,HTI,17.95
27/06/2022,HTI,17.5
24/06/2022,HTI,17.95
23/06/2022,HTI,17.95
22/06/2022,HTI,18.05
21/06/2022,HTI,17.3
20/06/2022,HTI,18.0
17/06/2022,HTI,17.6
16/06/2022,HTI,17.8
15/06/2022,HTI,18.3
14/06/2022,HTI,18.45
13/06/2022,HTI,18.55
10/06/2022,HTI,18.65
09/06/2022,HTI,18.65
08/06/2022,HTI,18.8
07/06/2022,HTI,18.4
06/06/2022,HTI,18.2
03/06/2022,HTI,18.5
02/06/2022,HTI,18.1
01/06/2022,HTI,18.5
31/05/2022,HTI,18.9
30/05/2022,HTI,18.5
27/05/2022,HTI,18.5
26/05/2022,HTI,18.45
25/05/2022,HTI,18.2
24/05/2022,HTI,18.3
23/05/2022,HTI,18.0
20/05/2022,HTI,18.6
19/05/2022,HTI,18.6
18/05/2022,HTI,18.6
17/05/2022,HTI,18.8
16/05/2022,HTI,17.8
13/05/2022,HTI,17.9
12/05/2022,HTI,18.45
11/05/2022,HTI,18.9
10/05/2022,HTI,19.0
09/05/2022,HTI,19.3
06/05/2022,HTI,19.3
05/05/2022,HTI,19.35
04/05/2022,HTI,19.35
29/04/2022,HTI,19.15
28/04/2022,HTI,19.25
27/04/2022,HTI,19.35
26/04/2022,HTI,19.35
25/04/2022,HTI,18.95
22/04/2022,HTI,19.35
21/04/2022,HTI,19.3
20/04/2022,HTI,19.8
19/04/2022,HTI,19.2
18/04/2022,HTI,19.85
15/04/2022,HTI,19.9
14/04/2022,HTI,19.9
13/04/2022,HTI,19.9
12/04/2022,HTI,19.45
08/04/2022,HTI,19.45
07/04/2022,HTI,19.8
06/04/2022,HTI,20.4
05/04/2022,HTI,20.4
04/04/2022,HTI,20.5
01/04/2022,HTI,19.95
31/03/2022,HTI,19.85
30/03/2022,HTI,19.7
29/03/2022,HTI,19.6
28/03/2022,HTI,19.9
25/03/2022,HTI,19.9
24/03/2022,HTI,19.85
23/03/2022,HTI,19.75
22/03/2022,HTI,19.9
21/03/2022,HTI,20.0
18/03/2022,HTI,19.7
17/03/2022,HTI,19.8
16/03/2022,HTI,20.0
15/03/2022,HTI,19.95
14/03/2022,HTI,19.8
11/03/2022,HTI,19.6
10/03/2022,HTI,19.8
09/03/2022,HTI,19.8
08/03/2022,HTI,19.8
07/03/2022,HTI,19.6
04/03/2022,HTI,19.35
03/03/2022,HTI,19.45
02/03/2022,HTI,19.5
01/03/2022,HTI,19.5
28/02/2022,HTI,19.4
25/02/2022,HTI,18.95
24/02/2022,HTI,18.95
23/02/2022,HTI,19.45
22/02/2022,HTI,19.45
21/02/2022,HTI,19.5
18/02/2022,HTI,19.35
17/02/2022,HTI,19.15
16/02/2022,HTI,19.35
15/02/2022,HTI,19.5
14/02/2022,HTI,19.3
11/02/2022,HTI,19.4
10/02/2022,HTI,18.8
09/02/2022,HTI,18.9
08/02/2022,HTI,19.0
07/02/2022,HTI,18.6
28/01/2022,HTI,18.45
27/01/2022,HTI,18.6
26/01/2022,HTI,18.8
25/01/2022,HTI,18.9
24/01/2022,HTI,18.75
21/01/2022,HTI,19.2
20/01/2022,HTI,18.5
19/01/2022,HTI,18.4
18/01/2022,HTI,18.4
17/01/2022,HTI,18.5
14/01/2022,HTI,18.6
13/01/2022,HTI,18.5
12/01/2022,HTI,18.6
11/01/2022,HTI,18.8
10/01/2022,HTI,19.25
07/01/2022,HTI,19.25
06/01/2022,HTI,19.0
05/01/2022,HTI,19.3
04/01/2022,HTI,19.05
31/12/2021,HTI,19.25
30/12/2021,HTI,19.25
29/12/2021,HTI,18.9
28/12/2021,HTI,19.15
27/12/2021,HTI,19.45
24/12/2021,HTI,19.4
23/12/2021,HTI,19.25
22/12/2021,HTI,19.8
21/12/2021,HTI,19.8
20/12/2021,HTI,19.9
17/12/2021,HTI,19.95
16/12/2021,HTI,20.25
15/12/2021,HTI,20.25
14/12/2021,HTI,20.1
13/12/2021,HTI,20.4
10/12/2021,HTI,20.15
09/12/2021,HTI,20.2
08/12/2021,HTI,20.15
07/12/2021,HTI,20.4
06/12/2021,HTI,19.65
03/12/2021,HTI,19.9
02/12/2021,HTI,20.4
01/12/2021,HTI,20.5
30/11/2021,HTI,20.4
29/11/2021,HTI,19.35
26/11/2021,HTI,19.5
25/11/2021,HTI,19.4
24/11/2021,HTI,19.7
23/11/2021,HTI,19.4
22/11/2021,HTI,19.6
19/11/2021,HTI,20.4
18/11/2021,HTI,20.6
17/11/2021,HTI,20.6
16/11/2021,HTI,20.2
15/11/2021,HTI,20.2
12/11/2021,HTI,20.4
11/11/2021,HTI,20.7
10/11/2021,HTI,20.8
09/11/2021,HTI,19.7
08/11/2021,HTI,19.7
05/11/2021,HTI,19.8
04/11/2021,HTI,19.6
03/11/2021,HTI,19.3
02/11/2021,HTI,20.5
01/11/2021,HTI,20.65
29/10/2021,HTI,20.8
28/10/2021,HTI,20.5
27/10/2021,HTI,19.9
26/10/2021,HTI,19.45
25/10/2021,HTI,19.15
22/10/2021,HTI,19.15
21/10/2021,HTI,18.7
20/10/2021,HTI,18.6
19/10/2021,HTI,18.7
18/10/2021,HTI,18.45
15/10/2021,HTI,18.7
14/10/2021,HTI,19.0
13/10/2021,HTI,19.05
12/10/2021,HTI,19.45
11/10/2021,HTI,19.45
08/10/2021,HTI,19.6
07/10/2021,HTI,19.65
06/10/2021,HTI,19.1
05/10/2021,HTI,19.2
04/10/2021,HTI,19.5
01/10/2021,HTI,18.7
30/09/2021,HTI,18.75
29/09/2021,HTI,18.95
28/09/2021,HTI,19.0
27/09/2021,HTI,18.15
24/09/2021,HTI,18.25
23/09/2021,HTI,18.45
22/09/2021,HTI,17.5
21/09/2021,HTI,16.4
20/09/2021,HTI,16.8
17/09/2021,HTI,17.2
16/09/2021,HTI,17.2
15/09/2021,HTI,16.95
14/09/2021,HTI,16.2
13/09/2021,HTI,16.3
10/09/2021,HTI,16.25
09/09/2021,HTI,16.2
08/09/2021,HTI,16.25
07/09/2021,HTI,16.2
06/09/2021,HTI,16.9
01/09/2021,HTI,15.85
31/08/2021,HTI,15.7
30/08/2021,HTI,15.65
27/08/2021,HTI,15.4
26/08/2021,HTI,15.2
25/08/2021,HTI,15.2
24/08/2021,HTI,15.2
23/08/2021,HTI,15.3
20/08/2021,HTI,15.55
19/08/2021,HTI,15.65
18/08/2021,HTI,15.9
17/08/2021,HTI,16.0
16/08/2021,HTI,16.2
13/08/2021,HTI,16.35
12/08/2021,HTI,16.25
11/08/2021,HTI,15.7
10/08/2021,HTI,15.6
09/08/2021,HTI,15.5
06/08/2021,HTI,15.45
05/08/2021,HTI,15.25
04/08/2021,HTI,15.2
03/08/2021,HTI,15.2
02/08/2021,HTI,15.25
30/07/2021,HTI,15.25
29/07/2021,HTI,15.2
28/07/2021,HTI,15.2
27/07/2021,HTI,15.2
26/07/2021,HTI,15.25
23/07/2021,HTI,15.3
22/07/2021,HTI,15.4
21/07/2021,HTI,15.1
20/07/2021,HTI,15.1
19/07/2021,HTI,15.0
16/07/2021,HTI,15.45
15/07/2021,HTI,15.3
14/07/2021,HTI,15.1
13/07/2021,HTI,15.15
12/07/2021,HTI,15.1
09/07/2021,HTI,15.7
08/07/2021,HTI,15.9
07/07/2021,HTI,15.8
06/07/2021,HTI,15.8
05/07/2021,HTI,16.3
02/07/2021,HTI,16.3
01/07/2021,HTI,17.65
30/06/2021,HTI,17.65
29/06/2021,HTI,17.8
28/06/2021,HTI,17.85
25/06/2021,HTI,17.85
24/06/2021,HTI,18.0
23/06/2021,HTI,18.0
22/06/2021,HTI,17.7
21/06/2021,HTI,18.0
18/06/2021,HTI,17.55
17/06/2021,HTI,17.25
16/06/2021,HTI,17.4
15/06/2021,HTI,17.35
14/06/2021,HTI,17.3
11/06/2021,HTI,17.0
10/06/2021,HTI,16.85
09/06/2021,HTI,16.55
08/06/2021,HTI,16.65
07/06/2021,HTI,16.8
04/06/2021,HTI,17.0
03/06/2021,HTI,17.0
02/06/2021,HTI,16.4
01/06/2021,HTI,16.35
31/05/2021,HTI,16.6
28/05/2021,HTI,16.6
27/05/2021,HTI,16.7
26/05/2021,HTI,16.7
25/05/2021,HTI,16.7
24/05/2021,HTI,16.45
21/05/2021,HTI,16.4
20/05/2021,HTI,16.2
19/05/2021,HTI,16.35
18/05/2021,HTI,16.5
17/05/2021,HTI,16.6
14/05/2021,HTI,16.6
13/05/2021,HTI,16.7
12/05/2021,HTI,16.8
11/05/2021,HTI,16.85
10/05/2021,HTI,16.5
07/05/2021,HTI,16.5
06/05/2021,HTI,16.75
05/05/2021,HTI,17.0
04/05/2021,HTI,16.95
29/04/2021,HTI,16.9
28/04/2021,HTI,16.85
27/04/2021,HTI,16.7
26/04/2021,HTI,16.6
23/04/2021,HTI,16.75
22/04/2021,HTI,16.65
20/04/2021,HTI,17.0
19/04/2021,HTI,16.9
16/04/2021,HTI,16.9
15/04/2021,HTI,17.5
14/04/2021,HTI,18.0
13/04/2021,HTI,18.0
12/04/2021,HTI,18.75
09/04/2021,HTI,19.3
08/04/2021,HTI,19.0
07/04/2021,HTI,19.4
06/04/2021,HTI,19.5
05/04/2021,HTI,19.75
02/04/2021,HTI,19.6
01/04/2021,HTI,19.4
31/03/2021,HTI,19.0
