Ngay,GiaDongCua
29/12/2023,13.95
28/12/2023,13.95
27/12/2023,14.0
26/12/2023,14.15
25/12/2023,14.05
22/12/2023,13.9
21/12/2023,13.8
20/12/2023,13.85
19/12/2023,13.7
18/12/2023,13.6
15/12/2023,14.05
14/12/2023,14.2
13/12/2023,14.2
12/12/2023,14.6
11/12/2023,14.6
08/12/2023,14.4
07/12/2023,14.5
06/12/2023,14.9
05/12/2023,14.85
04/12/2023,13.9
01/12/2023,13.55
30/11/2023,13.35
29/11/2023,13.45
28/11/2023,13.3
27/11/2023,13.3
24/11/2023,13.6
23/11/2023,13.6
22/11/2023,13.95
21/11/2023,13.75
20/11/2023,13.7
17/11/2023,13.7
16/11/2023,13.9
15/11/2023,13.65
14/11/2023,13.55
13/11/2023,13.5
10/11/2023,13.75
09/11/2023,13.6
08/11/2023,13.4
07/11/2023,12.55
06/11/2023,12.7
03/11/2023,12.65
02/11/2023,12.8
01/11/2023,12.0
31/10/2023,11.5
30/10/2023,12.3
27/10/2023,12.8
26/10/2023,12.65
25/10/2023,13.6
24/10/2023,13.65
23/10/2023,13.5
20/10/2023,13.5
19/10/2023,12.95
18/10/2023,13.35
17/10/2023,13.8
16/10/2023,14.05
13/10/2023,14.35
12/10/2023,14.35
11/10/2023,14.4
10/10/2023,14.35
09/10/2023,14.1
06/10/2023,14.05
05/10/2023,14.0
04/10/2023,13.85
03/10/2023,13.55
02/10/2023,14.5
29/09/2023,14.55
28/09/2023,14.65
27/09/2023,14.7
26/09/2023,14.4
25/09/2023,14.55
22/09/2023,15.6
21/09/2023,16.3
20/09/2023,16.2
19/09/2023,15.8
18/09/2023,15.85
15/09/2023,16.0
14/09/2023,16.0
13/09/2023,16.35
12/09/2023,16.4
11/09/2023,16.05
08/09/2023,16.7
07/09/2023,16.85
06/09/2023,16.6
05/09/2023,16.4
31/08/2023,16.45
30/08/2023,16.1
29/08/2023,16.15
28/08/2023,16.1
25/08/2023,15.5
24/08/2023,15.7
23/08/2023,15.05
22/08/2023,15.1
21/08/2023,14.9
18/08/2023,15.3
17/08/2023,16.45
16/08/2023,16.5
15/08/2023,16.7
14/08/2023,16.85
11/08/2023,16.45
10/08/2023,16.35
09/08/2023,16.65
08/08/2023,16.8
07/08/2023,17.0
04/08/2023,17.05
03/08/2023,16.95
02/08/2023,16.75
01/08/2023,15.7
31/07/2023,16.25
28/07/2023,16.05
27/07/2023,15.0
26/07/2023,14.9
25/07/2023,14.95
24/07/2023,15.05
21/07/2023,14.85
20/07/2023,14.7
19/07/2023,14.6
18/07/2023,14.8
17/07/2023,14.7
14/07/2023,14.6
13/07/2023,14.7
12/07/2023,14.25
11/07/2023,14.25
10/07/2023,14.3
07/07/2023,14.1
06/07/2023,13.95
05/07/2023,14.1
04/07/2023,14.15
03/07/2023,14.0
30/06/2023,13.95
29/06/2023,14.3
28/06/2023,15.75
27/06/2023,15.8
26/06/2023,15.8
23/06/2023,15.65
22/06/2023,15.6
21/06/2023,15.3
20/06/2023,15.1
19/06/2023,14.75
16/06/2023,14.7
15/06/2023,14.7
14/06/2023,14.45
13/06/2023,14.8
12/06/2023,14.6
09/06/2023,14.6
08/06/2023,14.65
07/06/2023,15.2
06/06/2023,14.6
05/06/2023,14.5
02/06/2023,14.7
01/06/2023,14.6
31/05/2023,14.7
30/05/2023,14.65
29/05/2023,14.6
26/05/2023,14.3
25/05/2023,14.3
24/05/2023,14.15
23/05/2023,14.1
22/05/2023,14.2
19/05/2023,13.95
18/05/2023,13.8
17/05/2023,13.7
16/05/2023,13.8
15/05/2023,13.75
12/05/2023,14.3
11/05/2023,14.2
10/05/2023,14.2
09/05/2023,13.8
08/05/2023,13.9
05/05/2023,13.7
04/05/2023,13.75
28/04/2023,13.9
27/04/2023,13.65
26/04/2023,13.6
25/04/2023,13.2
24/04/2023,13.45
21/04/2023,13.0
20/04/2023,13.35
19/04/2023,13.3
18/04/2023,13.65
17/04/2023,13.2
14/04/2023,13.65
13/04/2023,14.65
12/04/2023,14.4
11/04/2023,14.0
10/04/2023,13.8
07/04/2023,14.0
06/04/2023,13.8
05/04/2023,14.2
04/04/2023,14.0
03/04/2023,13.9
31/03/2023,13.0
30/03/2023,12.8
29/03/2023,13.05
28/03/2023,13.0
27/03/2023,13.15
24/03/2023,12.75
23/03/2023,12.55
22/03/2023,12.45
21/03/2023,12.4
20/03/2023,12.2
17/03/2023,12.65
16/03/2023,12.55
15/03/2023,12.95
14/03/2023,12.15
13/03/2023,12.55
10/03/2023,12.6
09/03/2023,12.9
08/03/2023,12.9
07/03/2023,12.5
06/03/2023,12.7
03/03/2023,12.1
02/03/2023,12.35
01/03/2023,12.85
28/02/2023,12.1
27/02/2023,12.9
24/02/2023,13.85
23/02/2023,13.85
22/02/2023,13.25
21/02/2023,13.35
20/02/2023,12.5
17/02/2023,11.7
16/02/2023,11.75
15/02/2023,11.6
14/02/2023,11.15
13/02/2023,10.8
10/02/2023,11.2
09/02/2023,11.9
08/02/2023,11.85
07/02/2023,11.65
06/02/2023,11.9
03/02/2023,11.7
02/02/2023,13.45
01/02/2023,13.8
31/01/2023,14.8
30/01/2023,14.6
27/01/2023,14.4
19/01/2023,14.35
18/01/2023,14.2
17/01/2023,14.3
16/01/2023,13.9
13/01/2023,13.5
12/01/2023,13.2
11/01/2023,13.1
10/01/2023,13.1
09/01/2023,12.75
06/01/2023,12.85
05/01/2023,13.2
04/01/2023,13.0
03/01/2023,12.9
30/12/2022,12.1
29/12/2022,12.1
28/12/2022,12.35
27/12/2022,12.45
26/12/2022,12.0
23/12/2022,12.85
22/12/2022,12.95
21/12/2022,12.65
20/12/2022,12.75
19/12/2022,13.7
16/12/2022,14.2
15/12/2022,13.3
14/12/2022,13.2
13/12/2022,13.0
12/12/2022,12.6
09/12/2022,13.2
08/12/2022,12.8
07/12/2022,12.0
06/12/2022,12.7
05/12/2022,13.65
02/12/2022,13.6
01/12/2022,12.9
30/11/2022,13.4
29/11/2022,12.65
28/11/2022,11.85
25/11/2022,11.1
24/11/2022,10.4
23/11/2022,10.35
22/11/2022,10.75
21/11/2022,10.95
18/11/2022,10.9
17/11/2022,10.5
16/11/2022,10.3
15/11/2022,9.65
14/11/2022,9.22
11/11/2022,9.91
10/11/2022,10.65
09/11/2022,11.4
08/11/2022,11.2
07/11/2022,11.45
04/11/2022,12.3
03/11/2022,13.2
02/11/2022,13.25
01/11/2022,13.3
31/10/2022,13.15
28/10/2022,13.15
27/10/2022,13.0
26/10/2022,12.15
25/10/2022,12.4
24/10/2022,12.15
21/10/2022,13.05
20/10/2022,14.0
19/10/2022,14.4
18/10/2022,14.7
17/10/2022,14.7
14/10/2022,14.2
13/10/2022,13.3
12/10/2022,13.1
11/10/2022,13.05
10/10/2022,14.0
07/10/2022,13.5
06/10/2022,14.5
05/10/2022,15.55
04/10/2022,14.6
03/10/2022,15.55
