Ngay,Symbol,GiaDongCua
29/12/2023,ITA,6.46
28/12/2023,ITA,6.42
27/12/2023,ITA,6.7
26/12/2023,ITA,6.78
25/12/2023,ITA,6.52
22/12/2023,ITA,6.5
21/12/2023,ITA,6.65
20/12/2023,ITA,6.44
19/12/2023,ITA,6.71
18/12/2023,ITA,7.21
15/12/2023,ITA,7.15
14/12/2023,ITA,7.1
13/12/2023,ITA,6.94
12/12/2023,ITA,7.14
11/12/2023,ITA,7.45
08/12/2023,ITA,7.1
07/12/2023,ITA,7.3
06/12/2023,ITA,7.35
05/12/2023,ITA,6.9
04/12/2023,ITA,6.61
01/12/2023,ITA,6.18
30/11/2023,ITA,6.16
29/11/2023,ITA,5.76
28/11/2023,ITA,5.75
27/11/2023,ITA,5.75
24/11/2023,ITA,5.75
23/11/2023,ITA,5.75
22/11/2023,ITA,5.86
21/11/2023,ITA,5.82
20/11/2023,ITA,6.02
17/11/2023,ITA,5.93
16/11/2023,ITA,5.56
15/11/2023,ITA,5.49
14/11/2023,ITA,5.45
13/11/2023,ITA,5.45
10/11/2023,ITA,5.47
09/11/2023,ITA,5.54
08/11/2023,ITA,5.35
07/11/2023,ITA,5.08
06/11/2023,ITA,5.13
03/11/2023,ITA,5.13
02/11/2023,ITA,5.14
01/11/2023,ITA,4.81
31/10/2023,ITA,4.76
30/10/2023,ITA,5.04
27/10/2023,ITA,5.35
26/10/2023,ITA,5.29
25/10/2023,ITA,5.67
24/10/2023,ITA,5.65
23/10/2023,ITA,5.51
20/10/2023,ITA,5.65
19/10/2023,ITA,5.54
18/10/2023,ITA,5.43
17/10/2023,ITA,5.75
16/10/2023,ITA,6.08
13/10/2023,ITA,6.21
12/10/2023,ITA,6.15
11/10/2023,ITA,5.8
10/10/2023,ITA,5.82
09/10/2023,ITA,5.73
06/10/2023,ITA,5.68
05/10/2023,ITA,5.63
04/10/2023,ITA,5.61
03/10/2023,ITA,5.61
02/10/2023,ITA,6.03
29/09/2023,ITA,6.02
28/09/2023,ITA,5.96
27/09/2023,ITA,6.1
26/09/2023,ITA,5.85
25/09/2023,ITA,5.88
22/09/2023,ITA,5.5
21/09/2023,ITA,5.81
20/09/2023,ITA,5.85
19/09/2023,ITA,5.65
18/09/2023,ITA,5.85
15/09/2023,ITA,5.96
14/09/2023,ITA,5.86
13/09/2023,ITA,6.05
12/09/2023,ITA,6.15
11/09/2023,ITA,6.04
08/09/2023,ITA,6.3
07/09/2023,ITA,6.15
06/09/2023,ITA,6.15
05/09/2023,ITA,6.02
31/08/2023,ITA,5.88
30/08/2023,ITA,5.79
29/08/2023,ITA,5.84
28/08/2023,ITA,5.75
25/08/2023,ITA,5.73
24/08/2023,ITA,5.85
23/08/2023,ITA,5.64
22/08/2023,ITA,5.69
21/08/2023,ITA,5.6
18/08/2023,ITA,5.86
17/08/2023,ITA,6.3
16/08/2023,ITA,6.5
15/08/2023,ITA,6.56
14/08/2023,ITA,6.14
11/08/2023,ITA,6.0
10/08/2023,ITA,6.06
09/08/2023,ITA,6.28
08/08/2023,ITA,6.22
07/08/2023,ITA,5.82
04/08/2023,ITA,5.82
03/08/2023,ITA,5.7
02/08/2023,ITA,5.73
01/08/2023,ITA,5.7
31/07/2023,ITA,5.87
28/07/2023,ITA,5.79
27/07/2023,ITA,5.71
26/07/2023,ITA,5.79
25/07/2023,ITA,5.67
24/07/2023,ITA,5.75
21/07/2023,ITA,5.38
20/07/2023,ITA,5.36
19/07/2023,ITA,5.29
18/07/2023,ITA,5.35
17/07/2023,ITA,5.45
14/07/2023,ITA,5.34
13/07/2023,ITA,5.2
12/07/2023,ITA,5.14
11/07/2023,ITA,5.21
10/07/2023,ITA,5.18
07/07/2023,ITA,5.1
06/07/2023,ITA,5.17
05/07/2023,ITA,5.27
04/07/2023,ITA,5.33
03/07/2023,ITA,5.26
30/06/2023,ITA,5.53
29/06/2023,ITA,5.45
28/06/2023,ITA,5.44
27/06/2023,ITA,5.54
26/06/2023,ITA,5.62
23/06/2023,ITA,5.71
22/06/2023,ITA,5.62
21/06/2023,ITA,5.54
20/06/2023,ITA,5.56
19/06/2023,ITA,5.42
16/06/2023,ITA,5.7
15/06/2023,ITA,6.12
14/06/2023,ITA,6.2
13/06/2023,ITA,6.39
12/06/2023,ITA,5.98
09/06/2023,ITA,5.8
08/06/2023,ITA,5.9
07/06/2023,ITA,6.14
06/06/2023,ITA,5.8
05/06/2023,ITA,5.57
02/06/2023,ITA,5.51
01/06/2023,ITA,5.66
31/05/2023,ITA,5.29
30/05/2023,ITA,4.95
29/05/2023,ITA,4.82
26/05/2023,ITA,4.51
25/05/2023,ITA,4.58
24/05/2023,ITA,4.54
23/05/2023,ITA,4.25
22/05/2023,ITA,4.22
19/05/2023,ITA,4.2
18/05/2023,ITA,4.24
17/05/2023,ITA,4.27
16/05/2023,ITA,4.23
15/05/2023,ITA,4.25
12/05/2023,ITA,4.23
11/05/2023,ITA,4.33
10/05/2023,ITA,4.26
09/05/2023,ITA,4.14
08/05/2023,ITA,4.1
05/05/2023,ITA,3.98
04/05/2023,ITA,4.04
28/04/2023,ITA,4.03
27/04/2023,ITA,4.02
26/04/2023,ITA,3.96
25/04/2023,ITA,3.97
24/04/2023,ITA,3.99
21/04/2023,ITA,4.0
20/04/2023,ITA,4.02
19/04/2023,ITA,4.01
18/04/2023,ITA,4.02
17/04/2023,ITA,4.08
14/04/2023,ITA,4.06
13/04/2023,ITA,4.16
12/04/2023,ITA,4.24
11/04/2023,ITA,4.15
10/04/2023,ITA,4.08
07/04/2023,ITA,4.07
06/04/2023,ITA,4.1
05/04/2023,ITA,4.11
04/04/2023,ITA,3.99
03/04/2023,ITA,4.0
31/03/2023,ITA,3.9
30/03/2023,ITA,3.89
29/03/2023,ITA,3.89
28/03/2023,ITA,3.9
27/03/2023,ITA,3.9
24/03/2023,ITA,3.88
23/03/2023,ITA,3.87
22/03/2023,ITA,3.89
21/03/2023,ITA,3.9
20/03/2023,ITA,3.84
17/03/2023,ITA,4.04
16/03/2023,ITA,4.07
15/03/2023,ITA,4.15
14/03/2023,ITA,4.02
13/03/2023,ITA,4.14
10/03/2023,ITA,4.18
09/03/2023,ITA,4.3
08/03/2023,ITA,4.14
07/03/2023,ITA,4.06
06/03/2023,ITA,4.07
03/03/2023,ITA,4.01
02/03/2023,ITA,4.04
01/03/2023,ITA,4.06
28/02/2023,ITA,4.01
27/02/2023,ITA,4.06
24/02/2023,ITA,4.17
23/02/2023,ITA,4.13
22/02/2023,ITA,4.2
21/02/2023,ITA,4.37
20/02/2023,ITA,4.34
17/02/2023,ITA,4.11
16/02/2023,ITA,4.13
15/02/2023,ITA,4.06
14/02/2023,ITA,3.95
13/02/2023,ITA,3.88
10/02/2023,ITA,4.1
09/02/2023,ITA,4.16
08/02/2023,ITA,4.1
07/02/2023,ITA,4.12
06/02/2023,ITA,4.21
03/02/2023,ITA,4.2
02/02/2023,ITA,4.24
01/02/2023,ITA,4.5
31/01/2023,ITA,4.83
30/01/2023,ITA,4.74
27/01/2023,ITA,4.43
19/01/2023,ITA,4.32
18/01/2023,ITA,4.3
17/01/2023,ITA,4.13
16/01/2023,ITA,4.03
13/01/2023,ITA,4.1
12/01/2023,ITA,4.14
11/01/2023,ITA,4.14
10/01/2023,ITA,4.1
09/01/2023,ITA,4.11
06/01/2023,ITA,4.11
05/01/2023,ITA,4.3
04/01/2023,ITA,4.38
03/01/2023,ITA,4.31
30/12/2022,ITA,4.05
29/12/2022,ITA,4.13
28/12/2022,ITA,4.17
27/12/2022,ITA,4.08
26/12/2022,ITA,3.82
23/12/2022,ITA,4.1
22/12/2022,ITA,4.35
21/12/2022,ITA,4.35
20/12/2022,ITA,4.67
19/12/2022,ITA,5.02
16/12/2022,ITA,4.7
15/12/2022,ITA,4.54
14/12/2022,ITA,4.64
13/12/2022,ITA,4.48
12/12/2022,ITA,4.62
09/12/2022,ITA,4.93
08/12/2022,ITA,4.75
07/12/2022,ITA,4.44
06/12/2022,ITA,4.5
05/12/2022,ITA,4.69
02/12/2022,ITA,4.39
01/12/2022,ITA,4.11
30/11/2022,ITA,3.85
29/11/2022,ITA,3.6
28/11/2022,ITA,3.37
25/11/2022,ITA,3.15
24/11/2022,ITA,3.02
23/11/2022,ITA,3.07
22/11/2022,ITA,3.3
21/11/2022,ITA,3.25
18/11/2022,ITA,3.15
17/11/2022,ITA,2.96
16/11/2022,ITA,2.77
15/11/2022,ITA,2.59
14/11/2022,ITA,2.78
11/11/2022,ITA,2.95
10/11/2022,ITA,2.97
09/11/2022,ITA,3.19
08/11/2022,ITA,3.19
07/11/2022,ITA,3.26
04/11/2022,ITA,3.5
03/11/2022,ITA,3.68
02/11/2022,ITA,3.72
01/11/2022,ITA,3.7
31/10/2022,ITA,3.72
28/10/2022,ITA,3.92
27/10/2022,ITA,3.84
26/10/2022,ITA,3.62
25/10/2022,ITA,3.76
24/10/2022,ITA,3.79
21/10/2022,ITA,3.98
20/10/2022,ITA,4.27
19/10/2022,ITA,4.38
18/10/2022,ITA,4.38
17/10/2022,ITA,4.25
14/10/2022,ITA,4.25
13/10/2022,ITA,4.12
12/10/2022,ITA,4.06
11/10/2022,ITA,3.91
10/10/2022,ITA,4.2
07/10/2022,ITA,4.2
06/10/2022,ITA,4.51
05/10/2022,ITA,4.75
04/10/2022,ITA,4.52
03/10/2022,ITA,4.84
30/09/2022,ITA,5.2
29/09/2022,ITA,5.28
28/09/2022,ITA,5.37
27/09/2022,ITA,5.37
26/09/2022,ITA,5.37
23/09/2022,ITA,5.72
22/09/2022,ITA,5.7
21/09/2022,ITA,5.6
20/09/2022,ITA,5.61
19/09/2022,ITA,5.36
16/09/2022,ITA,5.71
15/09/2022,ITA,6.11
14/09/2022,ITA,6.1
13/09/2022,ITA,5.85
12/09/2022,ITA,5.6
09/09/2022,ITA,5.74
08/09/2022,ITA,5.88
07/09/2022,ITA,6.07
06/09/2022,ITA,6.52
05/09/2022,ITA,6.84
31/08/2022,ITA,7.0
30/08/2022,ITA,7.09
29/08/2022,ITA,7.31
26/08/2022,ITA,7.86
25/08/2022,ITA,8.03
24/08/2022,ITA,7.9
23/08/2022,ITA,8.0
22/08/2022,ITA,7.81
19/08/2022,ITA,8.06
18/08/2022,ITA,8.09
17/08/2022,ITA,8.14
16/08/2022,ITA,8.3
15/08/2022,ITA,8.19
12/08/2022,ITA,8.15
11/08/2022,ITA,8.06
10/08/2022,ITA,8.21
09/08/2022,ITA,8.15
08/08/2022,ITA,8.0
05/08/2022,ITA,8.06
04/08/2022,ITA,8.02
03/08/2022,ITA,8.22
02/08/2022,ITA,8.04
01/08/2022,ITA,7.52
29/07/2022,ITA,7.43
28/07/2022,ITA,7.46
27/07/2022,ITA,7.24
26/07/2022,ITA,7.13
25/07/2022,ITA,7.23
22/07/2022,ITA,7.45
21/07/2022,ITA,7.45
20/07/2022,ITA,7.51
19/07/2022,ITA,7.36
18/07/2022,ITA,7.46
15/07/2022,ITA,7.34
14/07/2022,ITA,7.34
13/07/2022,ITA,7.71
12/07/2022,ITA,7.7
11/07/2022,ITA,7.2
08/07/2022,ITA,7.06
07/07/2022,ITA,6.8
06/07/2022,ITA,7.18
05/07/2022,ITA,7.7
04/07/2022,ITA,7.7
01/07/2022,ITA,7.32
30/06/2022,ITA,7.63
29/06/2022,ITA,8.2
28/06/2022,ITA,7.72
27/06/2022,ITA,8.3
24/06/2022,ITA,8.92
23/06/2022,ITA,9.18
22/06/2022,ITA,8.61
21/06/2022,ITA,8.41
20/06/2022,ITA,9.04
17/06/2022,ITA,9.72
16/06/2022,ITA,10.45
15/06/2022,ITA,10.6
14/06/2022,ITA,11.35
13/06/2022,ITA,11.45
10/06/2022,ITA,12.3
09/06/2022,ITA,11.95
08/06/2022,ITA,11.95
07/06/2022,ITA,11.4
06/06/2022,ITA,11.8
03/06/2022,ITA,11.95
02/06/2022,ITA,12.15
01/06/2022,ITA,12.0
31/05/2022,ITA,12.35
30/05/2022,ITA,12.1
27/05/2022,ITA,12.15
26/05/2022,ITA,12.0
25/05/2022,ITA,12.05
24/05/2022,ITA,11.3
23/05/2022,ITA,11.2
20/05/2022,ITA,11.35
19/05/2022,ITA,11.1
18/05/2022,ITA,11.1
17/05/2022,ITA,11.05
16/05/2022,ITA,10.35
13/05/2022,ITA,10.15
12/05/2022,ITA,10.9
11/05/2022,ITA,11.7
10/05/2022,ITA,11.5
09/05/2022,ITA,10.75
06/05/2022,ITA,11.55
05/05/2022,ITA,12.25
04/05/2022,ITA,12.4
29/04/2022,ITA,13.0
28/04/2022,ITA,12.85
27/04/2022,ITA,12.45
26/04/2022,ITA,11.65
25/04/2022,ITA,10.9
22/04/2022,ITA,11.7
21/04/2022,ITA,11.55
20/04/2022,ITA,12.4
19/04/2022,ITA,13.25
18/04/2022,ITA,14.2
15/04/2022,ITA,15.25
14/04/2022,ITA,15.4
13/04/2022,ITA,15.7
12/04/2022,ITA,14.7
08/04/2022,ITA,15.05
07/04/2022,ITA,16.0
06/04/2022,ITA,16.45
05/04/2022,ITA,16.9
04/04/2022,ITA,17.0
01/04/2022,ITA,16.7
31/03/2022,ITA,16.3
30/03/2022,ITA,16.2
29/03/2022,ITA,16.9
28/03/2022,ITA,16.5
25/03/2022,ITA,17.5
24/03/2022,ITA,17.4
23/03/2022,ITA,17.5
22/03/2022,ITA,16.7
21/03/2022,ITA,16.65
18/03/2022,ITA,16.05
17/03/2022,ITA,16.05
16/03/2022,ITA,15.8
15/03/2022,ITA,15.8
14/03/2022,ITA,14.8
11/03/2022,ITA,15.8
10/03/2022,ITA,16.0
09/03/2022,ITA,16.0
08/03/2022,ITA,16.35
07/03/2022,ITA,16.85
04/03/2022,ITA,17.0
03/03/2022,ITA,16.25
02/03/2022,ITA,15.95
01/03/2022,ITA,16.15
28/02/2022,ITA,15.95
25/02/2022,ITA,16.15
24/02/2022,ITA,15.8
23/02/2022,ITA,16.7
22/02/2022,ITA,16.4
21/02/2022,ITA,17.1
18/02/2022,ITA,17.0
17/02/2022,ITA,16.7
16/02/2022,ITA,16.75
15/02/2022,ITA,16.3
14/02/2022,ITA,16.55
11/02/2022,ITA,16.45
10/02/2022,ITA,15.8
09/02/2022,ITA,15.8
08/02/2022,ITA,15.5
07/02/2022,ITA,14.8
28/01/2022,ITA,13.85
27/01/2022,ITA,13.6
26/01/2022,ITA,13.7
25/01/2022,ITA,14.5
24/01/2022,ITA,14.25
21/01/2022,ITA,15.3
20/01/2022,ITA,15.1
19/01/2022,ITA,13.95
18/01/2022,ITA,13.55
17/01/2022,ITA,14.55
14/01/2022,ITA,15.6
13/01/2022,ITA,15.6
12/01/2022,ITA,16.75
11/01/2022,ITA,18.0
10/01/2022,ITA,18.4
07/01/2022,ITA,18.35
06/01/2022,ITA,18.55
05/01/2022,ITA,17.35
04/01/2022,ITA,17.3
31/12/2021,ITA,16.6
30/12/2021,ITA,17.0
29/12/2021,ITA,17.15
28/12/2021,ITA,17.8
27/12/2021,ITA,17.85
24/12/2021,ITA,17.7
23/12/2021,ITA,18.2
22/12/2021,ITA,18.1
21/12/2021,ITA,17.1
20/12/2021,ITA,16.9
17/12/2021,ITA,16.55
16/12/2021,ITA,17.3
15/12/2021,ITA,16.2
14/12/2021,ITA,17.4
13/12/2021,ITA,16.3
10/12/2021,ITA,15.25
09/12/2021,ITA,14.7
08/12/2021,ITA,15.05
07/12/2021,ITA,14.3
06/12/2021,ITA,13.4
03/12/2021,ITA,13.0
02/12/2021,ITA,13.05
01/12/2021,ITA,13.35
30/11/2021,ITA,13.2
29/11/2021,ITA,12.9
26/11/2021,ITA,12.1
25/11/2021,ITA,11.7
24/11/2021,ITA,10.95
23/11/2021,ITA,11.2
22/11/2021,ITA,11.75
19/11/2021,ITA,12.6
18/11/2021,ITA,12.15
17/11/2021,ITA,11.4
16/11/2021,ITA,10.7
15/11/2021,ITA,11.35
12/11/2021,ITA,10.95
11/11/2021,ITA,10.25
10/11/2021,ITA,9.6
09/11/2021,ITA,9.4
08/11/2021,ITA,8.99
05/11/2021,ITA,8.57
04/11/2021,ITA,8.5
03/11/2021,ITA,8.49
02/11/2021,ITA,9.12
01/11/2021,ITA,9.0
29/10/2021,ITA,8.52
28/10/2021,ITA,8.3
27/10/2021,ITA,8.38
26/10/2021,ITA,8.16
25/10/2021,ITA,8.13
22/10/2021,ITA,8.24
21/10/2021,ITA,7.95
20/10/2021,ITA,7.94
19/10/2021,ITA,7.78
18/10/2021,ITA,7.82
15/10/2021,ITA,7.85
14/10/2021,ITA,7.91
13/10/2021,ITA,7.7
12/10/2021,ITA,7.53
11/10/2021,ITA,7.55
08/10/2021,ITA,7.5
07/10/2021,ITA,7.71
06/10/2021,ITA,7.55
05/10/2021,ITA,7.49
04/10/2021,ITA,7.27
