Ngay,Symbol,GiaDongCua
29/12/2023,KBC,31.75
28/12/2023,KBC,31.5
27/12/2023,KBC,31.5
26/12/2023,KBC,31.7
25/12/2023,KBC,31.6
22/12/2023,KBC,31.1
21/12/2023,KBC,31.1
20/12/2023,KBC,31.5
19/12/2023,KBC,30.9
18/12/2023,KBC,30.15
15/12/2023,KBC,30.7
14/12/2023,KBC,31.0
13/12/2023,KBC,31.45
12/12/2023,KBC,32.2
11/12/2023,KBC,32.45
08/12/2023,KBC,32.55
07/12/2023,KBC,32.2
06/12/2023,KBC,33.05
05/12/2023,KBC,32.85
04/12/2023,KBC,32.85
01/12/2023,KBC,31.55
30/11/2023,KBC,31.1
29/11/2023,KBC,31.0
28/11/2023,KBC,31.0
27/11/2023,KBC,31.0
24/11/2023,KBC,31.35
23/11/2023,KBC,30.4
22/11/2023,KBC,32.4
21/11/2023,KBC,32.1
20/11/2023,KBC,32.05
17/11/2023,KBC,31.45
16/11/2023,KBC,31.2
15/11/2023,KBC,30.7
14/11/2023,KBC,30.75
13/11/2023,KBC,30.8
10/11/2023,KBC,30.6
09/11/2023,KBC,30.7
08/11/2023,KBC,30.45
07/11/2023,KBC,28.5
06/11/2023,KBC,28.6
03/11/2023,KBC,28.45
02/11/2023,KBC,28.5
01/11/2023,KBC,26.7
31/10/2023,KBC,25.5
30/10/2023,KBC,26.55
27/10/2023,KBC,28.5
26/10/2023,KBC,28.55
25/10/2023,KBC,30.65
24/10/2023,KBC,31.25
23/10/2023,KBC,30.4
20/10/2023,KBC,30.4
19/10/2023,KBC,29.35
18/10/2023,KBC,30.35
17/10/2023,KBC,30.7
16/10/2023,KBC,33.0
13/10/2023,KBC,33.3
12/10/2023,KBC,32.4
11/10/2023,KBC,32.0
10/10/2023,KBC,31.6
09/10/2023,KBC,31.65
06/10/2023,KBC,31.65
05/10/2023,KBC,30.8
04/10/2023,KBC,30.6
03/10/2023,KBC,30.25
02/10/2023,KBC,32.3
29/09/2023,KBC,32.1
28/09/2023,KBC,32.55
27/09/2023,KBC,32.6
26/09/2023,KBC,31.65
25/09/2023,KBC,31.7
22/09/2023,KBC,34.0
21/09/2023,KBC,35.7
20/09/2023,KBC,36.15
19/09/2023,KBC,35.15
18/09/2023,KBC,35.25
15/09/2023,KBC,35.6
14/09/2023,KBC,34.9
13/09/2023,KBC,34.55
12/09/2023,KBC,35.0
11/09/2023,KBC,34.1
08/09/2023,KBC,35.4
07/09/2023,KBC,34.25
06/09/2023,KBC,34.4
05/09/2023,KBC,34.2
31/08/2023,KBC,34.45
30/08/2023,KBC,33.6
29/08/2023,KBC,33.2
28/08/2023,KBC,32.3
25/08/2023,KBC,31.6
24/08/2023,KBC,31.65
23/08/2023,KBC,31.1
22/08/2023,KBC,31.4
21/08/2023,KBC,30.0
18/08/2023,KBC,30.0
17/08/2023,KBC,32.25
16/08/2023,KBC,32.35
15/08/2023,KBC,32.6
14/08/2023,KBC,32.45
11/08/2023,KBC,32.0
10/08/2023,KBC,30.8
09/08/2023,KBC,31.3
08/08/2023,KBC,32.0
07/08/2023,KBC,32.6
04/08/2023,KBC,32.5
03/08/2023,KBC,32.05
02/08/2023,KBC,32.1
01/08/2023,KBC,32.05
31/07/2023,KBC,33.0
28/07/2023,KBC,32.8
27/07/2023,KBC,32.55
26/07/2023,KBC,32.2
25/07/2023,KBC,32.0
24/07/2023,KBC,32.4
21/07/2023,KBC,32.55
20/07/2023,KBC,30.8
19/07/2023,KBC,30.7
18/07/2023,KBC,30.65
17/07/2023,KBC,30.85
14/07/2023,KBC,31.0
13/07/2023,KBC,31.0
12/07/2023,KBC,30.95
11/07/2023,KBC,30.8
10/07/2023,KBC,30.6
07/07/2023,KBC,30.6
06/07/2023,KBC,30.05
05/07/2023,KBC,29.5
04/07/2023,KBC,29.8
03/07/2023,KBC,29.8
30/06/2023,KBC,29.35
29/06/2023,KBC,29.0
28/06/2023,KBC,29.6
27/06/2023,KBC,30.3
