Ngay,Symbol,GiaDongCua
29/12/2023,LHG,30.3
28/12/2023,LHG,30.0
27/12/2023,LHG,29.4
26/12/2023,LHG,29.45
25/12/2023,LHG,29.4
22/12/2023,LHG,29.2
21/12/2023,LHG,29.05
20/12/2023,LHG,29.3
19/12/2023,LHG,29.55
18/12/2023,LHG,29.8
15/12/2023,LHG,30.3
14/12/2023,LHG,29.95
13/12/2023,LHG,30.05
12/12/2023,LHG,30.5
11/12/2023,LHG,30.15
08/12/2023,LHG,30.3
07/12/2023,LHG,30.6
06/12/2023,LHG,31.2
05/12/2023,LHG,30.9
04/12/2023,LHG,30.9
01/12/2023,LHG,30.3
30/11/2023,LHG,30.0
29/11/2023,LHG,30.0
28/11/2023,LHG,30.0
27/11/2023,LHG,30.0
24/11/2023,LHG,30.5
23/11/2023,LHG,30.3
22/11/2023,LHG,30.95
21/11/2023,LHG,31.2
20/11/2023,LHG,30.95
17/11/2023,LHG,30.15
16/11/2023,LHG,29.75
15/11/2023,LHG,29.9
14/11/2023,LHG,29.9
13/11/2023,LHG,29.25
10/11/2023,LHG,29.6
09/11/2023,LHG,30.3
08/11/2023,LHG,30.2
07/11/2023,LHG,28.95
06/11/2023,LHG,28.8
03/11/2023,LHG,28.3
02/11/2023,LHG,28.55
01/11/2023,LHG,26.7
31/10/2023,LHG,26.4
30/10/2023,LHG,27.6
27/10/2023,LHG,27.75
26/10/2023,LHG,27.35
25/10/2023,LHG,29.4
24/10/2023,LHG,29.8
23/10/2023,LHG,30.2
20/10/2023,LHG,30.6
19/10/2023,LHG,30.2
18/10/2023,LHG,29.6
17/10/2023,LHG,31.25
16/10/2023,LHG,33.55
13/10/2023,LHG,34.3
12/10/2023,LHG,33.2
11/10/2023,LHG,32.6
10/10/2023,LHG,32.55
09/10/2023,LHG,32.4
06/10/2023,LHG,33.0
05/10/2023,LHG,33.0
04/10/2023,LHG,32.3
03/10/2023,LHG,31.0
02/10/2023,LHG,33.1
29/09/2023,LHG,33.45
28/09/2023,LHG,31.3
27/09/2023,LHG,31.2
26/09/2023,LHG,31.0
25/09/2023,LHG,31.0
22/09/2023,LHG,30.8
21/09/2023,LHG,29.45
20/09/2023,LHG,29.3
19/09/2023,LHG,28.5
18/09/2023,LHG,28.85
15/09/2023,LHG,28.7
14/09/2023,LHG,28.7
13/09/2023,LHG,29.4
12/09/2023,LHG,29.65
11/09/2023,LHG,29.2
08/09/2023,LHG,30.3
07/09/2023,LHG,29.0
06/09/2023,LHG,28.95
05/09/2023,LHG,27.75
31/08/2023,LHG,27.7
30/08/2023,LHG,27.2
29/08/2023,LHG,27.4
28/08/2023,LHG,27.3
25/08/2023,LHG,27.15
24/08/2023,LHG,26.75
23/08/2023,LHG,26.35
22/08/2023,LHG,26.4
21/08/2023,LHG,26.35
18/08/2023,LHG,26.65
17/08/2023,LHG,28.4
16/08/2023,LHG,28.5
15/08/2023,LHG,28.7
14/08/2023,LHG,27.95
11/08/2023,LHG,27.6
10/08/2023,LHG,28.0
09/08/2023,LHG,28.0
08/08/2023,LHG,27.9
07/08/2023,LHG,27.9
04/08/2023,LHG,28.0
03/08/2023,LHG,27.65
02/08/2023,LHG,27.95
01/08/2023,LHG,28.0
31/07/2023,LHG,27.9
28/07/2023,LHG,27.9
27/07/2023,LHG,28.6
26/07/2023,LHG,28.8
25/07/2023,LHG,28.7
24/07/2023,LHG,29.0
21/07/2023,LHG,29.0
20/07/2023,LHG,28.9
19/07/2023,LHG,28.5
18/07/2023,LHG,28.1
17/07/2023,LHG,28.1
14/07/2023,LHG,28.15
13/07/2023,LHG,28.4
12/07/2023,LHG,28.1
11/07/2023,LHG,28.3
10/07/2023,LHG,28.1
07/07/2023,LHG,27.95
06/07/2023,LHG,26.7
05/07/2023,LHG,26.8
04/07/2023,LHG,26.65
03/07/2023,LHG,26.7
30/06/2023,LHG,26.6
29/06/2023,LHG,26.55
28/06/2023,LHG,27.0
27/06/2023,LHG,27.0
26/06/2023,LHG,27.1
23/06/2023,LHG,27.4
22/06/2023,LHG,27.5
21/06/2023,LHG,27.25
20/06/2023,LHG,27.1
19/06/2023,LHG,26.6
16/06/2023,LHG,27.0
15/06/2023,LHG,27.3
14/06/2023,LHG,27.15
13/06/2023,LHG,27.4
12/06/2023,LHG,27.3
09/06/2023,LHG,27.15
08/06/2023,LHG,29.1
07/06/2023,LHG,29.55
06/06/2023,LHG,29.6
05/06/2023,LHG,29.6
02/06/2023,LHG,29.3
01/06/2023,LHG,29.0
31/05/2023,LHG,28.9
30/05/2023,LHG,28.0
29/05/2023,LHG,27.8
26/05/2023,LHG,28.1
25/05/2023,LHG,26.95
24/05/2023,LHG,26.2
23/05/2023,LHG,26.15
22/05/2023,LHG,26.6
19/05/2023,LHG,26.5
18/05/2023,LHG,26.0
17/05/2023,LHG,26.0
16/05/2023,LHG,26.65
15/05/2023,LHG,26.6
12/05/2023,LHG,27.3
11/05/2023,LHG,27.2
10/05/2023,LHG,27.4
09/05/2023,LHG,26.85
08/05/2023,LHG,27.0
05/05/2023,LHG,26.4
04/05/2023,LHG,26.6
28/04/2023,LHG,25.3
27/04/2023,LHG,24.0
26/04/2023,LHG,24.0
25/04/2023,LHG,23.65
24/04/2023,LHG,24.1
21/04/2023,LHG,24.3
20/04/2023,LHG,25.15
19/04/2023,LHG,25.0
18/04/2023,LHG,23.4
17/04/2023,LHG,23.0
14/04/2023,LHG,23.3
13/04/2023,LHG,23.7
12/04/2023,LHG,24.1
11/04/2023,LHG,23.55
10/04/2023,LHG,23.6
07/04/2023,LHG,22.9
06/04/2023,LHG,22.8
05/04/2023,LHG,22.8
04/04/2023,LHG,22.8
03/04/2023,LHG,22.8
31/03/2023,LHG,22.3
30/03/2023,LHG,21.75
29/03/2023,LHG,21.75
28/03/2023,LHG,22.15
27/03/2023,LHG,22.0
24/03/2023,LHG,21.9
23/03/2023,LHG,21.75
22/03/2023,LHG,21.7
21/03/2023,LHG,21.7
20/03/2023,LHG,21.9
17/03/2023,LHG,22.3
16/03/2023,LHG,22.0
15/03/2023,LHG,22.4
14/03/2023,LHG,21.9
13/03/2023,LHG,22.1
10/03/2023,LHG,22.2
09/03/2023,LHG,22.4
08/03/2023,LHG,22.35
07/03/2023,LHG,22.35
06/03/2023,LHG,22.0
03/03/2023,LHG,22.0
02/03/2023,LHG,22.25
01/03/2023,LHG,22.5
28/02/2023,LHG,22.25
27/02/2023,LHG,22.25
24/02/2023,LHG,22.3
23/02/2023,LHG,22.9
22/02/2023,LHG,22.4
21/02/2023,LHG,22.9
20/02/2023,LHG,22.95
17/02/2023,LHG,22.05
16/02/2023,LHG,22.1
15/02/2023,LHG,21.85
14/02/2023,LHG,21.35
13/02/2023,LHG,20.85
10/02/2023,LHG,21.8
09/02/2023,LHG,22.2
08/02/2023,LHG,22.1
07/02/2023,LHG,22.0
06/02/2023,LHG,22.4
03/02/2023,LHG,22.8
02/02/2023,LHG,22.55
01/02/2023,LHG,22.85
31/01/2023,LHG,24.55
30/01/2023,LHG,24.55
27/01/2023,LHG,24.85
19/01/2023,LHG,23.95
18/01/2023,LHG,23.5
17/01/2023,LHG,23.4
16/01/2023,LHG,23.25
13/01/2023,LHG,23.35
12/01/2023,LHG,22.95
11/01/2023,LHG,22.9
10/01/2023,LHG,22.85
09/01/2023,LHG,22.7
06/01/2023,LHG,22.9
05/01/2023,LHG,23.5
04/01/2023,LHG,23.9
03/01/2023,LHG,22.8
30/12/2022,LHG,21.35
29/12/2022,LHG,21.3
28/12/2022,LHG,21.4
27/12/2022,LHG,20.95
26/12/2022,LHG,20.95
23/12/2022,LHG,21.35
22/12/2022,LHG,21.2
21/12/2022,LHG,21.1
20/12/2022,LHG,21.0
19/12/2022,LHG,21.8
16/12/2022,LHG,21.45
15/12/2022,LHG,21.35
14/12/2022,LHG,21.4
13/12/2022,LHG,21.0
12/12/2022,LHG,21.0
09/12/2022,LHG,21.55
08/12/2022,LHG,21.4
07/12/2022,LHG,20.5
06/12/2022,LHG,20.75
05/12/2022,LHG,22.2
02/12/2022,LHG,21.55
01/12/2022,LHG,21.4
30/11/2022,LHG,20.9
29/11/2022,LHG,20.25
28/11/2022,LHG,20.65
25/11/2022,LHG,19.3
24/11/2022,LHG,18.9
23/11/2022,LHG,18.9
22/11/2022,LHG,19.0
21/11/2022,LHG,18.7
18/11/2022,LHG,17.8
17/11/2022,LHG,16.65
16/11/2022,LHG,15.6
15/11/2022,LHG,14.6
14/11/2022,LHG,15.5
11/11/2022,LHG,16.3
10/11/2022,LHG,16.6
09/11/2022,LHG,17.8
08/11/2022,LHG,17.5
07/11/2022,LHG,17.0
04/11/2022,LHG,18.0
03/11/2022,LHG,18.5
02/11/2022,LHG,18.8
01/11/2022,LHG,19.1
31/10/2022,LHG,19.5
28/10/2022,LHG,19.4
27/10/2022,LHG,19.6
26/10/2022,LHG,18.35
25/10/2022,LHG,17.95
24/10/2022,LHG,16.8
21/10/2022,LHG,18.05
20/10/2022,LHG,19.4
19/10/2022,LHG,19.3
18/10/2022,LHG,20.7
17/10/2022,LHG,21.7
14/10/2022,LHG,21.9
13/10/2022,LHG,21.35
12/10/2022,LHG,21.25
11/10/2022,LHG,20.4
10/10/2022,LHG,21.9
07/10/2022,LHG,21.0
06/10/2022,LHG,22.55
05/10/2022,LHG,24.15
04/10/2022,LHG,22.6
03/10/2022,LHG,23.45
30/09/2022,LHG,25.1
29/09/2022,LHG,26.1
28/09/2022,LHG,27.9
27/09/2022,LHG,29.55
26/09/2022,LHG,31.0
23/09/2022,LHG,32.45
22/09/2022,LHG,32.0
21/09/2022,LHG,32.5
20/09/2022,LHG,31.9
19/09/2022,LHG,31.85
16/09/2022,LHG,34.2
15/09/2022,LHG,35.5
14/09/2022,LHG,35.35
13/09/2022,LHG,35.8
12/09/2022,LHG,35.05
09/09/2022,LHG,35.6
08/09/2022,LHG,35.8
07/09/2022,LHG,37.0
06/09/2022,LHG,38.95
05/09/2022,LHG,39.8
31/08/2022,LHG,40.4
30/08/2022,LHG,39.4
29/08/2022,LHG,39.0
26/08/2022,LHG,40.3
25/08/2022,LHG,40.45
24/08/2022,LHG,41.5
23/08/2022,LHG,40.8
22/08/2022,LHG,38.8
19/08/2022,LHG,37.9
18/08/2022,LHG,38.4
17/08/2022,LHG,39.15
16/08/2022,LHG,39.45
15/08/2022,LHG,39.2
12/08/2022,LHG,38.7
11/08/2022,LHG,36.2
10/08/2022,LHG,36.75
09/08/2022,LHG,34.8
08/08/2022,LHG,34.6
05/08/2022,LHG,35.6
04/08/2022,LHG,35.8
03/08/2022,LHG,37.0
02/08/2022,LHG,36.55
01/08/2022,LHG,36.8
29/07/2022,LHG,36.5
28/07/2022,LHG,36.6
27/07/2022,LHG,35.1
26/07/2022,LHG,35.1
25/07/2022,LHG,35.85
22/07/2022,LHG,35.1
21/07/2022,LHG,35.1
20/07/2022,LHG,35.45
19/07/2022,LHG,34.6
18/07/2022,LHG,33.9
15/07/2022,LHG,34.0
14/07/2022,LHG,34.5
13/07/2022,LHG,33.15
12/07/2022,LHG,32.45
11/07/2022,LHG,30.35
08/07/2022,LHG,31.1
07/07/2022,LHG,29.9
06/07/2022,LHG,30.2
05/07/2022,LHG,31.6
04/07/2022,LHG,32.0
01/07/2022,LHG,32.8
30/06/2022,LHG,32.8
29/06/2022,LHG,33.6
28/06/2022,LHG,33.5
27/06/2022,LHG,32.7
24/06/2022,LHG,31.5
23/06/2022,LHG,32.3
22/06/2022,LHG,33.5
21/06/2022,LHG,32.7
20/06/2022,LHG,32.95
17/06/2022,LHG,35.0
16/06/2022,LHG,36.0
15/06/2022,LHG,36.6
14/06/2022,LHG,35.85
13/06/2022,LHG,34.8
10/06/2022,LHG,37.4
09/06/2022,LHG,40.2
08/06/2022,LHG,38.6
07/06/2022,LHG,36.1
06/06/2022,LHG,35.2
03/06/2022,LHG,35.4
02/06/2022,LHG,35.9
01/06/2022,LHG,34.95
31/05/2022,LHG,35.7
30/05/2022,LHG,35.85
27/05/2022,LHG,34.8
26/05/2022,LHG,34.9
25/05/2022,LHG,35.0
24/05/2022,LHG,34.0
23/05/2022,LHG,33.95
20/05/2022,LHG,32.95
19/05/2022,LHG,32.5
18/05/2022,LHG,32.5
17/05/2022,LHG,32.4
16/05/2022,LHG,30.6
13/05/2022,LHG,32.9
12/05/2022,LHG,35.35
11/05/2022,LHG,38.0
10/05/2022,LHG,39.0
09/05/2022,LHG,37.15
06/05/2022,LHG,39.9
05/05/2022,LHG,42.85
04/05/2022,LHG,41.25
29/04/2022,LHG,44.0
28/04/2022,LHG,43.9
27/04/2022,LHG,41.05
26/04/2022,LHG,42.0
25/04/2022,LHG,42.75
22/04/2022,LHG,45.95
21/04/2022,LHG,49.4
20/04/2022,LHG,53.1
19/04/2022,LHG,57.0
18/04/2022,LHG,61.2
15/04/2022,LHG,61.2
14/04/2022,LHG,58.9
13/04/2022,LHG,57.7
12/04/2022,LHG,54.0
08/04/2022,LHG,54.5
07/04/2022,LHG,58.5
06/04/2022,LHG,57.3
05/04/2022,LHG,59.4
04/04/2022,LHG,60.0
01/04/2022,LHG,57.4
31/03/2022,LHG,57.4
30/03/2022,LHG,55.0
29/03/2022,LHG,55.8
28/03/2022,LHG,53.5
25/03/2022,LHG,50.8
24/03/2022,LHG,50.7
23/03/2022,LHG,51.2
22/03/2022,LHG,51.2
21/03/2022,LHG,50.7
18/03/2022,LHG,50.7
17/03/2022,LHG,50.4
16/03/2022,LHG,50.3
15/03/2022,LHG,49.9
14/03/2022,LHG,48.8
11/03/2022,LHG,50.6
10/03/2022,LHG,51.3
09/03/2022,LHG,50.6
08/03/2022,LHG,50.6
07/03/2022,LHG,52.8
04/03/2022,LHG,53.0
03/03/2022,LHG,51.9
02/03/2022,LHG,51.9
01/03/2022,LHG,52.6
28/02/2022,LHG,53.0
25/02/2022,LHG,54.0
24/02/2022,LHG,53.7
23/02/2022,LHG,54.8
22/02/2022,LHG,54.3
21/02/2022,LHG,54.6
18/02/2022,LHG,53.4
17/02/2022,LHG,53.4
16/02/2022,LHG,53.2
15/02/2022,LHG,53.5
14/02/2022,LHG,53.3
11/02/2022,LHG,53.4
10/02/2022,LHG,52.0
09/02/2022,LHG,51.2
08/02/2022,LHG,50.9
07/02/2022,LHG,49.8
28/01/2022,LHG,49.8
27/01/2022,LHG,49.6
26/01/2022,LHG,49.5
25/01/2022,LHG,49.55
24/01/2022,LHG,48.0
21/01/2022,LHG,51.6
20/01/2022,LHG,52.2
19/01/2022,LHG,49.95
18/01/2022,LHG,46.7
17/01/2022,LHG,49.5
14/01/2022,LHG,53.2
13/01/2022,LHG,53.0
12/01/2022,LHG,56.2
11/01/2022,LHG,57.0
10/01/2022,LHG,55.2
07/01/2022,LHG,53.9
06/01/2022,LHG,53.2
05/01/2022,LHG,53.5
04/01/2022,LHG,54.1
31/12/2021,LHG,53.0
30/12/2021,LHG,53.8
29/12/2021,LHG,53.5
28/12/2021,LHG,50.0
27/12/2021,LHG,48.9
24/12/2021,LHG,48.2
23/12/2021,LHG,47.2
22/12/2021,LHG,48.9
21/12/2021,LHG,49.9
20/12/2021,LHG,49.25
17/12/2021,LHG,50.5
16/12/2021,LHG,50.6
15/12/2021,LHG,51.4
14/12/2021,LHG,51.5
13/12/2021,LHG,51.4
10/12/2021,LHG,50.6
09/12/2021,LHG,49.45
08/12/2021,LHG,49.3
07/12/2021,LHG,48.65
06/12/2021,LHG,47.55
03/12/2021,LHG,49.6
02/12/2021,LHG,51.3
01/12/2021,LHG,51.0
30/11/2021,LHG,49.8
29/11/2021,LHG,48.1
26/11/2021,LHG,48.75
25/11/2021,LHG,48.75
24/11/2021,LHG,49.0
23/11/2021,LHG,49.0
22/11/2021,LHG,48.0
19/11/2021,LHG,51.3
18/11/2021,LHG,51.2
17/11/2021,LHG,51.5
16/11/2021,LHG,50.8
15/11/2021,LHG,51.8
12/11/2021,LHG,52.9
11/11/2021,LHG,53.6
10/11/2021,LHG,52.1
09/11/2021,LHG,53.4
08/11/2021,LHG,53.9
05/11/2021,LHG,53.4
04/11/2021,LHG,53.0
03/11/2021,LHG,53.2
02/11/2021,LHG,56.3
01/11/2021,LHG,55.7
29/10/2021,LHG,57.3
28/10/2021,LHG,57.5
27/10/2021,LHG,56.0
26/10/2021,LHG,55.3
25/10/2021,LHG,55.5
22/10/2021,LHG,56.8
21/10/2021,LHG,55.4
20/10/2021,LHG,55.0
19/10/2021,LHG,54.9
18/10/2021,LHG,55.7
15/10/2021,LHG,56.2
14/10/2021,LHG,55.4
13/10/2021,LHG,55.0
12/10/2021,LHG,52.7
11/10/2021,LHG,53.0
08/10/2021,LHG,53.4
07/10/2021,LHG,54.0
06/10/2021,LHG,52.7
05/10/2021,LHG,52.3
04/10/2021,LHG,51.9
01/10/2021,LHG,49.15
30/09/2021,LHG,48.9
29/09/2021,LHG,48.45
28/09/2021,LHG,48.3
27/09/2021,LHG,48.0
24/09/2021,LHG,50.3
23/09/2021,LHG,50.8
22/09/2021,LHG,48.8
21/09/2021,LHG,47.8
20/09/2021,LHG,48.2
17/09/2021,LHG,49.2
16/09/2021,LHG,47.5
15/09/2021,LHG,47.4
14/09/2021,LHG,47.1
13/09/2021,LHG,48.3
10/09/2021,LHG,49.0
09/09/2021,LHG,49.95
08/09/2021,LHG,48.0
07/09/2021,LHG,48.1
06/09/2021,LHG,49.9
01/09/2021,LHG,50.5
31/08/2021,LHG,50.2
30/08/2021,LHG,50.0
27/08/2021,LHG,47.15
26/08/2021,LHG,46.1
25/08/2021,LHG,44.4
24/08/2021,LHG,44.1
23/08/2021,LHG,45.1
20/08/2021,LHG,50.3
19/08/2021,LHG,53.0
18/08/2021,LHG,53.4
17/08/2021,LHG,53.6
16/08/2021,LHG,53.4
13/08/2021,LHG,52.2
12/08/2021,LHG,52.6
11/08/2021,LHG,52.3
10/08/2021,LHG,52.6
09/08/2021,LHG,52.5
06/08/2021,LHG,52.0
05/08/2021,LHG,51.3
04/08/2021,LHG,51.3
03/08/2021,LHG,51.7
02/08/2021,LHG,51.2
30/07/2021,LHG,50.8
29/07/2021,LHG,49.9
28/07/2021,LHG,49.45
27/07/2021,LHG,49.85
26/07/2021,LHG,51.0
23/07/2021,LHG,48.4
22/07/2021,LHG,48.9
21/07/2021,LHG,49.2
20/07/2021,LHG,47.35
19/07/2021,LHG,47.0
16/07/2021,LHG,47.95
15/07/2021,LHG,46.75
14/07/2021,LHG,46.2
13/07/2021,LHG,45.0
12/07/2021,LHG,42.1
09/07/2021,LHG,45.0
08/07/2021,LHG,47.0
07/07/2021,LHG,46.0
06/07/2021,LHG,45.4
05/07/2021,LHG,44.3
02/07/2021,LHG,45.0
01/07/2021,LHG,45.2
30/06/2021,LHG,45.35
29/06/2021,LHG,45.5
28/06/2021,LHG,43.2
25/06/2021,LHG,42.15
24/06/2021,LHG,42.5
23/06/2021,LHG,42.2
22/06/2021,LHG,43.2
21/06/2021,LHG,43.5
18/06/2021,LHG,43.9
17/06/2021,LHG,41.65
16/06/2021,LHG,41.7
15/06/2021,LHG,41.0
14/06/2021,LHG,38.65
11/06/2021,LHG,38.65
10/06/2021,LHG,38.8
09/06/2021,LHG,38.2
08/06/2021,LHG,37.9
07/06/2021,LHG,39.9
04/06/2021,LHG,40.6
03/06/2021,LHG,40.5
02/06/2021,LHG,41.05
01/06/2021,LHG,41.6
31/05/2021,LHG,42.35
28/05/2021,LHG,41.1
27/05/2021,LHG,41.0
26/05/2021,LHG,41.2
25/05/2021,LHG,40.7
24/05/2021,LHG,40.6
21/05/2021,LHG,41.0
20/05/2021,LHG,39.3
19/05/2021,LHG,39.3
18/05/2021,LHG,39.5
17/05/2021,LHG,38.7
14/05/2021,LHG,38.65
13/05/2021,LHG,38.55
12/05/2021,LHG,39.4
11/05/2021,LHG,38.9
10/05/2021,LHG,38.55
07/05/2021,LHG,37.45
06/05/2021,LHG,36.2
05/05/2021,LHG,37.55
04/05/2021,LHG,37.35
29/04/2021,LHG,35.95
28/04/2021,LHG,34.95
27/04/2021,LHG,36.0
26/04/2021,LHG,36.9
23/04/2021,LHG,36.0
22/04/2021,LHG,34.0
20/04/2021,LHG,33.75
19/04/2021,LHG,34.4
16/04/2021,LHG,34.5
15/04/2021,LHG,34.0
14/04/2021,LHG,34.5
13/04/2021,LHG,34.1
12/04/2021,LHG,35.15
09/04/2021,LHG,34.5
08/04/2021,LHG,34.9
07/04/2021,LHG,33.6
06/04/2021,LHG,33.5
05/04/2021,LHG,33.8
02/04/2021,LHG,33.7
01/04/2021,LHG,33.3
31/03/2021,LHG,33.2
30/03/2021,LHG,33.2
29/03/2021,LHG,33.4
26/03/2021,LHG,33.35
25/03/2021,LHG,33.3
24/03/2021,LHG,33.45
23/03/2021,LHG,34.4
22/03/2021,LHG,34.3
19/03/2021,LHG,34.85
18/03/2021,LHG,35.4
17/03/2021,LHG,35.2
16/03/2021,LHG,35.85
15/03/2021,LHG,36.65
12/03/2021,LHG,36.7
11/03/2021,LHG,36.7
10/03/2021,LHG,35.7
09/03/2021,LHG,35.3
08/03/2021,LHG,35.85
05/03/2021,LHG,35.9
04/03/2021,LHG,35.6
03/03/2021,LHG,36.8
02/03/2021,LHG,35.6
01/03/2021,LHG,34.3
26/02/2021,LHG,33.7
25/02/2021,LHG,34.0
24/02/2021,LHG,34.2
23/02/2021,LHG,35.0
22/02/2021,LHG,34.0
19/02/2021,LHG,34.0
18/02/2021,LHG,33.55
17/02/2021,LHG,33.5
09/02/2021,LHG,32.2
05/02/2021,LHG,33.2
04/02/2021,LHG,32.9
03/02/2021,LHG,31.8
02/02/2021,LHG,30.6
01/02/2021,LHG,29.8
29/01/2021,LHG,31.5
28/01/2021,LHG,30.7
27/01/2021,LHG,33.0
26/01/2021,LHG,35.15
25/01/2021,LHG,36.35
22/01/2021,LHG,36.9
21/01/2021,LHG,35.5
20/01/2021,LHG,34.9
19/01/2021,LHG,36.0
18/01/2021,LHG,38.35
15/01/2021,LHG,39.0
14/01/2021,LHG,37.6
13/01/2021,LHG,37.75
12/01/2021,LHG,37.95
11/01/2021,LHG,37.7
08/01/2021,LHG,37.6
07/01/2021,LHG,37.6
06/01/2021,LHG,37.15
05/01/2021,LHG,35.2
04/01/2021,LHG,35.3
31/12/2020,LHG,34.3
30/12/2020,LHG,33.8
29/12/2020,LHG,34.0
28/12/2020,LHG,34.75
25/12/2020,LHG,34.9
24/12/2020,LHG,34.3
23/12/2020,LHG,35.45
22/12/2020,LHG,36.55
21/12/2020,LHG,34.2
18/12/2020,LHG,33.3
17/12/2020,LHG,33.6
16/12/2020,LHG,34.2
15/12/2020,LHG,34.45
14/12/2020,LHG,33.2
11/12/2020,LHG,32.6
10/12/2020,LHG,32.9
09/12/2020,LHG,32.7
08/12/2020,LHG,32.05
07/12/2020,LHG,32.5
04/12/2020,LHG,33.95
03/12/2020,LHG,34.0
02/12/2020,LHG,34.2
01/12/2020,LHG,34.5
30/11/2020,LHG,32.25
27/11/2020,LHG,32.3
26/11/2020,LHG,32.7
25/11/2020,LHG,30.9
24/11/2020,LHG,28.9
23/11/2020,LHG,28.5
20/11/2020,LHG,28.8
19/11/2020,LHG,28.0
18/11/2020,LHG,28.1
17/11/2020,LHG,26.3
16/11/2020,LHG,26.3
13/11/2020,LHG,26.65
12/11/2020,LHG,26.35
11/11/2020,LHG,25.9
10/11/2020,LHG,25.5
09/11/2020,LHG,24.85
06/11/2020,LHG,24.75
05/11/2020,LHG,25.0
04/11/2020,LHG,25.8
03/11/2020,LHG,24.15
02/11/2020,LHG,23.9
30/10/2020,LHG,24.85
29/10/2020,LHG,24.6
28/10/2020,LHG,23.1
27/10/2020,LHG,24.25
26/10/2020,LHG,25.45
23/10/2020,LHG,25.5
22/10/2020,LHG,25.85
21/10/2020,LHG,25.75
20/10/2020,LHG,26.0
19/10/2020,LHG,26.05
16/10/2020,LHG,26.35
15/10/2020,LHG,25.8
14/10/2020,LHG,26.75
13/10/2020,LHG,27.05
12/10/2020,LHG,27.45
09/10/2020,LHG,27.15
08/10/2020,LHG,27.25
07/10/2020,LHG,28.05
06/10/2020,LHG,28.85
05/10/2020,LHG,28.4
02/10/2020,LHG,27.1
01/10/2020,LHG,27.5
30/09/2020,LHG,27.6
29/09/2020,LHG,27.2
28/09/2020,LHG,28.0
25/09/2020,LHG,28.15
24/09/2020,LHG,27.85
23/09/2020,LHG,27.7
22/09/2020,LHG,26.45
21/09/2020,LHG,26.95
18/09/2020,LHG,27.6
17/09/2020,LHG,27.7
16/09/2020,LHG,27.7
15/09/2020,LHG,28.0
14/09/2020,LHG,28.25
11/09/2020,LHG,28.05
10/09/2020,LHG,28.0
09/09/2020,LHG,27.8
08/09/2020,LHG,27.2
07/09/2020,LHG,27.0
04/09/2020,LHG,29.0
03/09/2020,LHG,28.5
01/09/2020,LHG,29.3
31/08/2020,LHG,29.2
28/08/2020,LHG,28.6
27/08/2020,LHG,28.6
26/08/2020,LHG,26.75
25/08/2020,LHG,25.0
24/08/2020,LHG,25.0
21/08/2020,LHG,25.2
20/08/2020,LHG,24.35
19/08/2020,LHG,25.45
18/08/2020,LHG,25.5
17/08/2020,LHG,26.0
14/08/2020,LHG,25.9
13/08/2020,LHG,24.25
12/08/2020,LHG,22.7
11/08/2020,LHG,22.85
10/08/2020,LHG,22.75
07/08/2020,LHG,21.3
06/08/2020,LHG,21.0
05/08/2020,LHG,20.45
04/08/2020,LHG,19.6
03/08/2020,LHG,18.8
31/07/2020,LHG,18.35
30/07/2020,LHG,18.9
29/07/2020,LHG,21.0
28/07/2020,LHG,21.4
27/07/2020,LHG,20.8
24/07/2020,LHG,20.8
23/07/2020,LHG,20.3
22/07/2020,LHG,19.6
21/07/2020,LHG,19.7
20/07/2020,LHG,19.45
17/07/2020,LHG,18.35
16/07/2020,LHG,18.05
15/07/2020,LHG,18.0
14/07/2020,LHG,18.15
13/07/2020,LHG,17.95
10/07/2020,LHG,17.95
09/07/2020,LHG,17.8
08/07/2020,LHG,17.8
07/07/2020,LHG,17.75
06/07/2020,LHG,17.75
03/07/2020,LHG,17.65
02/07/2020,LHG,17.7
01/07/2020,LHG,17.6
30/06/2020,LHG,17.6
29/06/2020,LHG,17.65
26/06/2020,LHG,17.9
25/06/2020,LHG,17.9
24/06/2020,LHG,17.5
23/06/2020,LHG,17.8
22/06/2020,LHG,18.7
19/06/2020,LHG,18.7
18/06/2020,LHG,18.6
17/06/2020,LHG,18.25
16/06/2020,LHG,18.2
15/06/2020,LHG,18.0
12/06/2020,LHG,18.4
11/06/2020,LHG,18.9
10/06/2020,LHG,18.9
09/06/2020,LHG,18.6
08/06/2020,LHG,18.6
05/06/2020,LHG,18.5
04/06/2020,LHG,18.4
03/06/2020,LHG,18.4
02/06/2020,LHG,18.2
01/06/2020,LHG,18.7
29/05/2020,LHG,18.15
28/05/2020,LHG,17.8
27/05/2020,LHG,17.85
26/05/2020,LHG,18.2
25/05/2020,LHG,17.8
22/05/2020,LHG,17.3
21/05/2020,LHG,17.3
20/05/2020,LHG,17.1
