Ngay,GiaDongCua
29/12/2023,21.55
28/12/2023,20.15
27/12/2023,20.4
26/12/2023,20.3
25/12/2023,20.3
22/12/2023,20.15
21/12/2023,20.1
20/12/2023,20.9
19/12/2023,21.0
18/12/2023,20.8
15/12/2023,20.4
14/12/2023,21.0
13/12/2023,21.1
12/12/2023,21.0
11/12/2023,21.35
08/12/2023,21.4
07/12/2023,21.45
06/12/2023,21.5
05/12/2023,21.35
04/12/2023,21.5
01/12/2023,20.8
30/11/2023,20.8
29/11/2023,20.8
28/11/2023,20.7
27/11/2023,20.6
24/11/2023,21.2
23/11/2023,21.5
22/11/2023,21.5
21/11/2023,21.45
20/11/2023,21.45
17/11/2023,21.45
16/11/2023,21.4
15/11/2023,21.2
14/11/2023,21.1
13/11/2023,20.6
10/11/2023,21.55
09/11/2023,21.55
08/11/2023,21.4
07/11/2023,20.5
06/11/2023,20.3
03/11/2023,20.2
02/11/2023,20.1
01/11/2023,19.6
31/10/2023,19.6
30/10/2023,19.6
27/10/2023,19.6
26/10/2023,19.6
25/10/2023,21.05
24/10/2023,21.7
23/10/2023,21.5
20/10/2023,21.5
19/10/2023,20.5
18/10/2023,19.35
17/10/2023,19.95
16/10/2023,19.95
13/10/2023,19.5
12/10/2023,19.8
11/10/2023,19.35
10/10/2023,19.25
09/10/2023,19.2
06/10/2023,18.8
05/10/2023,17.6
04/10/2023,18.9
03/10/2023,18.95
02/10/2023,19.25
29/09/2023,19.25
28/09/2023,18.9
27/09/2023,19.45
26/09/2023,18.9
25/09/2023,20.2
22/09/2023,21.7
21/09/2023,22.35
20/09/2023,22.55
19/09/2023,22.4
18/09/2023,23.0
15/09/2023,23.0
14/09/2023,23.0
13/09/2023,23.5
12/09/2023,23.0
11/09/2023,22.1
08/09/2023,22.9
07/09/2023,22.9
06/09/2023,21.8
05/09/2023,21.7
31/08/2023,21.5
30/08/2023,21.8
29/08/2023,21.25
28/08/2023,21.0
25/08/2023,20.7
24/08/2023,21.0
23/08/2023,20.65
22/08/2023,20.75
21/08/2023,20.75
18/08/2023,20.75
17/08/2023,21.35
16/08/2023,21.7
15/08/2023,21.9
14/08/2023,21.5
11/08/2023,20.2
10/08/2023,19.95
09/08/2023,19.8
08/08/2023,19.6
07/08/2023,20.2
04/08/2023,20.45
03/08/2023,19.5
02/08/2023,19.4
01/08/2023,18.8
