Ngay,Symbol,GiaDongCua
29/12/2023,SGR,19.55
28/12/2023,SGR,19.5
27/12/2023,SGR,19.45
26/12/2023,SGR,19.8
25/12/2023,SGR,20.75
22/12/2023,SGR,20.7
21/12/2023,SGR,20.8
20/12/2023,SGR,20.3
19/12/2023,SGR,20.4
18/12/2023,SGR,20.35
15/12/2023,SGR,20.3
14/12/2023,SGR,20.1
13/12/2023,SGR,20.25
12/12/2023,SGR,20.65
11/12/2023,SGR,20.3
08/12/2023,SGR,20.45
07/12/2023,SGR,20.45
06/12/2023,SGR,20.85
05/12/2023,SGR,20.85
04/12/2023,SGR,20.55
01/12/2023,SGR,20.3
30/11/2023,SGR,20.2
29/11/2023,SGR,20.45
28/11/2023,SGR,20.25
27/11/2023,SGR,20.45
24/11/2023,SGR,20.5
23/11/2023,SGR,20.85
22/11/2023,SGR,20.4
21/11/2023,SGR,20.35
20/11/2023,SGR,20.25
17/11/2023,SGR,20.3
16/11/2023,SGR,20.35
15/11/2023,SGR,20.35
14/11/2023,SGR,20.2
13/11/2023,SGR,20.25
10/11/2023,SGR,20.1
09/11/2023,SGR,20.0
08/11/2023,SGR,19.55
07/11/2023,SGR,18.85
06/11/2023,SGR,19.4
03/11/2023,SGR,19.0
02/11/2023,SGR,19.0
01/11/2023,SGR,18.15
31/10/2023,SGR,18.05
30/10/2023,SGR,18.9
27/10/2023,SGR,18.85
26/10/2023,SGR,17.65
25/10/2023,SGR,18.6
24/10/2023,SGR,18.9
23/10/2023,SGR,18.6
20/10/2023,SGR,19.25
19/10/2023,SGR,18.0
18/10/2023,SGR,18.8
17/10/2023,SGR,19.8
16/10/2023,SGR,20.7
13/10/2023,SGR,21.4
12/10/2023,SGR,21.1
11/10/2023,SGR,20.6
10/10/2023,SGR,19.8
09/10/2023,SGR,19.4
06/10/2023,SGR,19.3
05/10/2023,SGR,18.7
04/10/2023,SGR,19.0
03/10/2023,SGR,18.35
02/10/2023,SGR,19.65
29/09/2023,SGR,19.3
28/09/2023,SGR,18.9
27/09/2023,SGR,19.4
26/09/2023,SGR,19.2
25/09/2023,SGR,20.6
22/09/2023,SGR,22.15
21/09/2023,SGR,23.8
20/09/2023,SGR,23.85
19/09/2023,SGR,23.6
18/09/2023,SGR,23.6
15/09/2023,SGR,24.3
14/09/2023,SGR,24.3
13/09/2023,SGR,25.5
12/09/2023,SGR,26.4
11/09/2023,SGR,26.3
08/09/2023,SGR,28.25
07/09/2023,SGR,28.35
06/09/2023,SGR,27.65
05/09/2023,SGR,27.25
31/08/2023,SGR,27.0
30/08/2023,SGR,27.0
29/08/2023,SGR,26.8
28/08/2023,SGR,27.9
25/08/2023,SGR,28.4
24/08/2023,SGR,28.5
23/08/2023,SGR,27.25
22/08/2023,SGR,27.75
21/08/2023,SGR,26.8
18/08/2023,SGR,26.9
17/08/2023,SGR,28.9
16/08/2023,SGR,29.3
15/08/2023,SGR,29.8
14/08/2023,SGR,30.85
11/08/2023,SGR,30.4
10/08/2023,SGR,28.85
09/08/2023,SGR,29.1
08/08/2023,SGR,28.85
07/08/2023,SGR,27.0
04/08/2023,SGR,27.0
03/08/2023,SGR,25.5
02/08/2023,SGR,25.5
01/08/2023,SGR,25.1
31/07/2023,SGR,25.5
28/07/2023,SGR,25.5
27/07/2023,SGR,26.1
26/07/2023,SGR,26.5
25/07/2023,SGR,26.2
24/07/2023,SGR,25.75
21/07/2023,SGR,26.2
20/07/2023,SGR,25.5
19/07/2023,SGR,25.5
18/07/2023,SGR,26.0
17/07/2023,SGR,25.4
14/07/2023,SGR,25.5
13/07/2023,SGR,25.4
12/07/2023,SGR,24.4
11/07/2023,SGR,24.4
10/07/2023,SGR,24.75
07/07/2023,SGR,23.95
06/07/2023,SGR,23.85
05/07/2023,SGR,24.1
04/07/2023,SGR,24.2
03/07/2023,SGR,23.3
30/06/2023,SGR,23.45
29/06/2023,SGR,23.7
28/06/2023,SGR,24.05
27/06/2023,SGR,23.4
26/06/2023,SGR,23.6
23/06/2023,SGR,23.9
22/06/2023,SGR,23.65
21/06/2023,SGR,23.9
20/06/2023,SGR,23.0
19/06/2023,SGR,22.1
16/06/2023,SGR,23.75
15/06/2023,SGR,24.2
14/06/2023,SGR,24.05
13/06/2023,SGR,24.05
12/06/2023,SGR,24.15
09/06/2023,SGR,24.5
08/06/2023,SGR,24.0
07/06/2023,SGR,25.35
06/06/2023,SGR,24.25
05/06/2023,SGR,23.55
02/06/2023,SGR,25.15
01/06/2023,SGR,27.0
31/05/2023,SGR,26.5
30/05/2023,SGR,27.25
29/05/2023,SGR,26.5
26/05/2023,SGR,24.8
25/05/2023,SGR,23.2
24/05/2023,SGR,21.7
23/05/2023,SGR,21.6
22/05/2023,SGR,20.8
19/05/2023,SGR,19.45
18/05/2023,SGR,18.2
17/05/2023,SGR,17.9
16/05/2023,SGR,17.5
15/05/2023,SGR,17.7
12/05/2023,SGR,17.3
11/05/2023,SGR,17.1
10/05/2023,SGR,17.1
09/05/2023,SGR,17.0
08/05/2023,SGR,17.25
05/05/2023,SGR,16.65
04/05/2023,SGR,16.3
28/04/2023,SGR,17.0
27/04/2023,SGR,17.0
26/04/2023,SGR,16.05
25/04/2023,SGR,16.4
24/04/2023,SGR,16.4
21/04/2023,SGR,16.4
20/04/2023,SGR,16.3
19/04/2023,SGR,16.4
18/04/2023,SGR,16.35
17/04/2023,SGR,16.7
14/04/2023,SGR,16.5
13/04/2023,SGR,17.2
12/04/2023,SGR,17.6
11/04/2023,SGR,17.6
10/04/2023,SGR,17.2
07/04/2023,SGR,16.95
06/04/2023,SGR,16.65
05/04/2023,SGR,17.2
04/04/2023,SGR,17.6
03/04/2023,SGR,17.2
31/03/2023,SGR,16.1
30/03/2023,SGR,15.7
29/03/2023,SGR,16.0
28/03/2023,SGR,16.0
27/03/2023,SGR,16.1
24/03/2023,SGR,15.75
23/03/2023,SGR,15.6
22/03/2023,SGR,16.2
21/03/2023,SGR,16.2
20/03/2023,SGR,16.2
17/03/2023,SGR,16.15
16/03/2023,SGR,15.1
15/03/2023,SGR,14.15
14/03/2023,SGR,13.25
13/03/2023,SGR,13.25
10/03/2023,SGR,13.2
09/03/2023,SGR,13.1
08/03/2023,SGR,13.2
07/03/2023,SGR,13.1
06/03/2023,SGR,13.2
03/03/2023,SGR,13.05
02/03/2023,SGR,13.25
01/03/2023,SGR,13.0
28/02/2023,SGR,12.95
27/02/2023,SGR,13.0
24/02/2023,SGR,13.3
23/02/2023,SGR,13.3
22/02/2023,SGR,13.2
21/02/2023,SGR,13.6
20/02/2023,SGR,13.9
17/02/2023,SGR,13.5
16/02/2023,SGR,13.9
15/02/2023,SGR,13.5
14/02/2023,SGR,12.9
13/02/2023,SGR,12.5
10/02/2023,SGR,13.1
09/02/2023,SGR,13.1
08/02/2023,SGR,13.5
07/02/2023,SGR,13.5
06/02/2023,SGR,13.6
03/02/2023,SGR,13.55
02/02/2023,SGR,13.65
01/02/2023,SGR,13.9
31/01/2023,SGR,13.8
30/01/2023,SGR,13.8
27/01/2023,SGR,14.1
19/01/2023,SGR,13.7
18/01/2023,SGR,13.6
17/01/2023,SGR,13.1
16/01/2023,SGR,13.0
13/01/2023,SGR,12.7
12/01/2023,SGR,13.0
11/01/2023,SGR,13.5
10/01/2023,SGR,13.35
09/01/2023,SGR,13.3
06/01/2023,SGR,13.4
05/01/2023,SGR,13.35
04/01/2023,SGR,13.5
03/01/2023,SGR,13.3
30/12/2022,SGR,13.3
29/12/2022,SGR,13.4
28/12/2022,SGR,13.4
27/12/2022,SGR,13.0
26/12/2022,SGR,13.2
23/12/2022,SGR,13.2
22/12/2022,SGR,13.2
21/12/2022,SGR,13.3
20/12/2022,SGR,13.3
19/12/2022,SGR,13.9
16/12/2022,SGR,13.5
15/12/2022,SGR,13.45
14/12/2022,SGR,13.15
13/12/2022,SGR,13.1
12/12/2022,SGR,13.4
09/12/2022,SGR,13.3
08/12/2022,SGR,14.0
07/12/2022,SGR,13.2
06/12/2022,SGR,13.7
05/12/2022,SGR,14.4
02/12/2022,SGR,15.05
01/12/2022,SGR,15.35
30/11/2022,SGR,14.55
29/11/2022,SGR,15.0
28/11/2022,SGR,14.3
25/11/2022,SGR,13.4
24/11/2022,SGR,13.2
23/11/2022,SGR,12.9
22/11/2022,SGR,13.8
21/11/2022,SGR,13.8
18/11/2022,SGR,13.15
17/11/2022,SGR,12.3
16/11/2022,SGR,11.5
15/11/2022,SGR,10.75
14/11/2022,SGR,11.55
11/11/2022,SGR,12.4
10/11/2022,SGR,13.2
09/11/2022,SGR,13.75
08/11/2022,SGR,13.1
07/11/2022,SGR,13.9
04/11/2022,SGR,14.9
03/11/2022,SGR,15.8
02/11/2022,SGR,16.25
01/11/2022,SGR,16.25
31/10/2022,SGR,15.75
28/10/2022,SGR,16.7
27/10/2022,SGR,16.5
26/10/2022,SGR,16.15
25/10/2022,SGR,15.1
24/10/2022,SGR,15.1
21/10/2022,SGR,16.15
20/10/2022,SGR,17.35
19/10/2022,SGR,17.3
18/10/2022,SGR,17.25
17/10/2022,SGR,17.05
14/10/2022,SGR,16.9
13/10/2022,SGR,17.0
12/10/2022,SGR,17.4
11/10/2022,SGR,17.0
10/10/2022,SGR,16.8
07/10/2022,SGR,17.5
06/10/2022,SGR,17.5
05/10/2022,SGR,18.8
04/10/2022,SGR,18.15
03/10/2022,SGR,18.55
30/09/2022,SGR,18.85
29/09/2022,SGR,18.8
28/09/2022,SGR,18.3
27/09/2022,SGR,17.4
26/09/2022,SGR,18.55
23/09/2022,SGR,19.5
22/09/2022,SGR,19.6
21/09/2022,SGR,19.5
20/09/2022,SGR,19.7
19/09/2022,SGR,19.5
16/09/2022,SGR,20.2
15/09/2022,SGR,20.3
14/09/2022,SGR,20.4
13/09/2022,SGR,20.45
12/09/2022,SGR,20.1
09/09/2022,SGR,20.0
08/09/2022,SGR,20.15
07/09/2022,SGR,20.9
06/09/2022,SGR,21.0
05/09/2022,SGR,21.1
31/08/2022,SGR,20.9
30/08/2022,SGR,20.8
29/08/2022,SGR,20.8
26/08/2022,SGR,21.3
25/08/2022,SGR,20.8
24/08/2022,SGR,20.1
23/08/2022,SGR,19.95
22/08/2022,SGR,19.7
19/08/2022,SGR,19.9
18/08/2022,SGR,19.95
17/08/2022,SGR,20.0
16/08/2022,SGR,19.9
15/08/2022,SGR,19.85
12/08/2022,SGR,20.05
11/08/2022,SGR,19.95
10/08/2022,SGR,20.45
09/08/2022,SGR,19.5
08/08/2022,SGR,20.0
05/08/2022,SGR,19.8
04/08/2022,SGR,19.8
03/08/2022,SGR,19.55
02/08/2022,SGR,19.8
01/08/2022,SGR,19.7
29/07/2022,SGR,18.65
28/07/2022,SGR,17.45
27/07/2022,SGR,17.25
26/07/2022,SGR,17.25
25/07/2022,SGR,17.0
22/07/2022,SGR,17.0
21/07/2022,SGR,17.65
20/07/2022,SGR,17.8
19/07/2022,SGR,17.5
18/07/2022,SGR,17.3
15/07/2022,SGR,17.4
14/07/2022,SGR,17.5
13/07/2022,SGR,17.5
12/07/2022,SGR,17.4
11/07/2022,SGR,17.1
08/07/2022,SGR,17.2
07/07/2022,SGR,16.95
06/07/2022,SGR,16.7
05/07/2022,SGR,17.1
04/07/2022,SGR,17.3
01/07/2022,SGR,17.3
30/06/2022,SGR,17.5
29/06/2022,SGR,17.7
28/06/2022,SGR,17.65
27/06/2022,SGR,16.9
24/06/2022,SGR,16.1
