Ngay,GiaDongCua
29/12/2023,63.6
28/12/2023,62.5
27/12/2023,58.5
26/12/2023,58.6
25/12/2023,57.9
22/12/2023,57.9
21/12/2023,57.9
20/12/2023,58.0
19/12/2023,58.4
18/12/2023,57.2
15/12/2023,57.8
14/12/2023,57.8
13/12/2023,57.5
12/12/2023,58.7
11/12/2023,58.6
08/12/2023,58.5
07/12/2023,58.5
06/12/2023,60.1
05/12/2023,60.4
04/12/2023,59.6
01/12/2023,58.5
30/11/2023,59.1
29/11/2023,58.0
28/11/2023,57.6
27/11/2023,57.8
24/11/2023,58.0
23/11/2023,56.0
22/11/2023,60.0
21/11/2023,58.6
20/11/2023,58.4
17/11/2023,57.7
16/11/2023,57.5
15/11/2023,56.9
14/11/2023,56.0
13/11/2023,55.6
10/11/2023,55.7
09/11/2023,55.7
08/11/2023,55.4
07/11/2023,53.3
06/11/2023,53.5
03/11/2023,53.7
02/11/2023,53.0
01/11/2023,51.2
31/10/2023,51.0
30/10/2023,51.8
27/10/2023,53.0
26/10/2023,50.8
25/10/2023,53.1
24/10/2023,53.1
23/10/2023,53.0
20/10/2023,53.5
19/10/2023,53.0
18/10/2023,55.9
17/10/2023,59.0
16/10/2023,61.4
13/10/2023,62.9
12/10/2023,62.9
11/10/2023,60.6
10/10/2023,61.3
09/10/2023,61.0
06/10/2023,60.0
05/10/2023,59.5
04/10/2023,59.4
03/10/2023,59.5
02/10/2023,61.0
29/09/2023,60.7
28/09/2023,60.0
27/09/2023,61.0
26/09/2023,60.4
25/09/2023,60.5
22/09/2023,62.9
21/09/2023,65.1
20/09/2023,64.6
19/09/2023,63.3
18/09/2023,63.1
15/09/2023,63.8
14/09/2023,65.0
13/09/2023,66.7
12/09/2023,67.8
11/09/2023,67.8
08/09/2023,69.4
07/09/2023,69.5
06/09/2023,136.5
05/09/2023,136.5
31/08/2023,133.0
30/08/2023,132.1
29/08/2023,132.5
28/08/2023,132.4
25/08/2023,131.2
24/08/2023,127.5
23/08/2023,125.8
22/08/2023,122.2
21/08/2023,123.0
18/08/2023,121.7
17/08/2023,127.6
16/08/2023,128.0
15/08/2023,130.0
14/08/2023,124.0
11/08/2023,124.9
10/08/2023,126.0
09/08/2023,126.5
08/08/2023,130.3
31/07/2023,133.4
28/07/2023,134.1
27/07/2023,131.9
26/07/2023,132.6
25/07/2023,129.0
24/07/2023,130.6
21/07/2023,128.0
20/07/2023,126.5
19/07/2023,125.1
18/07/2023,123.4
17/07/2023,120.6
14/07/2023,119.2
13/07/2023,116.4
12/07/2023,114.9
11/07/2023,114.0
10/07/2023,115.4
07/07/2023,115.1
06/07/2023,116.0
05/07/2023,116.0
04/07/2023,113.8
03/07/2023,113.5
30/06/2023,113.5
29/06/2023,105.5
28/06/2023,107.5
27/06/2023,109.5
26/06/2023,110.0
23/06/2023,107.3
22/06/2023,105.7
22/06/2023,105.7
21/06/2023,106.9
20/06/2023,102.6
19/06/2023,102.0
16/06/2023,103.9
15/06/2023,102.7
15/06/2023,102.7
14/06/2023,103.0
14/06/2023,103.0
13/06/2023,104.0
12/06/2023,108.0
12/06/2023,108.0
09/06/2023,107.5
09/06/2023,107.5
08/06/2023,109.0
08/06/2023,109.0
07/06/2023,112.6
07/06/2023,112.6
06/06/2023,114.5
06/06/2023,114.5
05/06/2023,111.6
05/06/2023,111.6
02/06/2023,112.2
02/06/2023,112.2
01/06/2023,113.7
01/06/2023,113.7
31/05/2023,115.0
31/05/2023,115.0
30/05/2023,110.0
30/05/2023,110.0
29/05/2023,102.5
29/05/2023,102.5
26/05/2023,103.0
26/05/2023,103.0
25/05/2023,103.5
25/05/2023,103.5
24/05/2023,100.0
24/05/2023,100.0
23/05/2023,97.6
23/05/2023,97.6
22/05/2023,95.0
22/05/2023,95.0
19/05/2023,94.0
19/05/2023,94.0
18/05/2023,91.8
18/05/2023,91.8
17/05/2023,90.4
17/05/2023,90.4
16/05/2023,90.0
16/05/2023,90.0
15/05/2023,90.5
15/05/2023,90.5
12/05/2023,92.5
11/05/2023,92.4
10/05/2023,93.0
09/05/2023,92.8
08/05/2023,91.1
05/05/2023,83.6
04/05/2023,83.1
28/04/2023,85.8
27/04/2023,85.5
26/04/2023,84.0
25/04/2023,82.6
24/04/2023,83.4
21/04/2023,83.0
20/04/2023,85.9
19/04/2023,86.4
18/04/2023,87.0
17/04/2023,85.0
14/04/2023,85.0
13/04/2023,86.0
12/04/2023,88.4
