Ngay,GiaDongCua
29/12/2023,44.6
28/12/2023,44.05
27/12/2023,44.6
26/12/2023,45.1
25/12/2023,44.0
22/12/2023,43.7
21/12/2023,42.7
20/12/2023,42.9
19/12/2023,42.9
18/12/2023,42.3
15/12/2023,41.9
14/12/2023,41.95
13/12/2023,42.3
12/12/2023,43.5
11/12/2023,43.45
08/12/2023,43.0
07/12/2023,43.2
06/12/2023,44.15
05/12/2023,44.45
04/12/2023,44.95
01/12/2023,43.4
30/11/2023,43.1
29/11/2023,42.85
28/11/2023,43.3
27/11/2023,43.3
24/11/2023,43.25
23/11/2023,40.45
22/11/2023,43.45
21/11/2023,42.5
20/11/2023,42.15
17/11/2023,39.4
16/11/2023,38.6
15/11/2023,38.0
14/11/2023,38.0
13/11/2023,37.5
10/11/2023,37.6
09/11/2023,38.0
08/11/2023,37.3
07/11/2023,34.9
06/11/2023,34.5
03/11/2023,34.25
02/11/2023,34.6
01/11/2023,32.8
31/10/2023,31.85
30/10/2023,34.2
27/10/2023,36.75
26/10/2023,36.0
25/10/2023,38.0
24/10/2023,38.8
23/10/2023,37.4
20/10/2023,38.2
19/10/2023,36.6
18/10/2023,37.9
17/10/2023,36.3
16/10/2023,39.0
13/10/2023,39.95
12/10/2023,38.9
11/10/2023,39.0
10/10/2023,37.55
09/10/2023,37.1
06/10/2023,36.45
05/10/2023,35.6
04/10/2023,34.8
03/10/2023,34.05
02/10/2023,36.15
29/09/2023,35.35
28/09/2023,35.45
27/09/2023,35.8
26/09/2023,34.0
25/09/2023,35.95
22/09/2023,38.65
21/09/2023,40.55
20/09/2023,40.2
19/09/2023,38.65
18/09/2023,39.0
15/09/2023,39.05
14/09/2023,38.15
13/09/2023,39.3
12/09/2023,39.55
11/09/2023,38.5
08/09/2023,39.95
07/09/2023,38.5
06/09/2023,38.5
05/09/2023,37.6
31/08/2023,37.55
30/08/2023,36.6
29/08/2023,36.2
28/08/2023,35.5
25/08/2023,35.3
24/08/2023,35.2
23/08/2023,34.7
22/08/2023,34.9
21/08/2023,33.65
18/08/2023,34.1
17/08/2023,36.65
16/08/2023,37.4
15/08/2023,37.85
14/08/2023,38.3
11/08/2023,37.2
10/08/2023,37.1
09/08/2023,37.45
08/08/2023,38.15
07/08/2023,38.8
04/08/2023,37.3
03/08/2023,37.0
02/08/2023,37.2
01/08/2023,36.6
31/07/2023,36.4
28/07/2023,37.0
27/07/2023,37.0
26/07/2023,36.75
25/07/2023,35.9
24/07/2023,36.55
21/07/2023,36.55
20/07/2023,36.15
19/07/2023,35.3
18/07/2023,33.0
17/07/2023,32.4
14/07/2023,32.25
13/07/2023,32.4
12/07/2023,32.0
11/07/2023,32.1
10/07/2023,32.2
07/07/2023,32.4
06/07/2023,31.55
05/07/2023,37.1
04/07/2023,36.8
03/07/2023,36.85
30/06/2023,36.15
29/06/2023,36.0
28/06/2023,37.0
27/06/2023,37.45
26/06/2023,37.4
23/06/2023,36.8
22/06/2023,37.25
21/06/2023,36.05
20/06/2023,35.55
19/06/2023,34.65
16/06/2023,34.9
15/06/2023,34.9
14/06/2023,35.6
13/06/2023,36.4
12/06/2023,36.6
09/06/2023,36.4
08/06/2023,36.15
07/06/2023,36.15
06/06/2023,35.9
05/06/2023,35.4
02/06/2023,36.15
01/06/2023,36.2
31/05/2023,36.0
30/05/2023,36.0
29/05/2023,36.0
26/05/2023,34.3
25/05/2023,34.35
24/05/2023,33.4
23/05/2023,33.25
22/05/2023,33.75
19/05/2023,33.1
18/05/2023,32.65
17/05/2023,32.65
16/05/2023,33.6
15/05/2023,34.0
12/05/2023,34.65
11/05/2023,34.5
10/05/2023,34.5
09/05/2023,34.6
08/05/2023,33.95
05/05/2023,32.45
04/05/2023,33.1
28/04/2023,32.55
27/04/2023,32.25
26/04/2023,32.7
25/04/2023,31.55
24/04/2023,31.5
21/04/2023,30.95
20/04/2023,31.55
19/04/2023,30.95
18/04/2023,32.1
17/04/2023,31.4
14/04/2023,30.7
13/04/2023,32.85
12/04/2023,33.5
11/04/2023,32.4
10/04/2023,32.0
07/04/2023,31.3
06/04/2023,30.1
05/04/2023,31.5
04/04/2023,30.65
03/04/2023,30.85
31/03/2023,29.5
30/03/2023,28.2
29/03/2023,28.7
28/03/2023,28.55
27/03/2023,28.9
24/03/2023,28.25
23/03/2023,27.35
22/03/2023,27.1
21/03/2023,26.95
20/03/2023,26.7
17/03/2023,27.1
16/03/2023,27.15
15/03/2023,27.8
14/03/2023,26.65
13/03/2023,27.35
10/03/2023,27.95
09/03/2023,28.35
08/03/2023,27.4
07/03/2023,26.8
06/03/2023,26.6
03/03/2023,26.5
02/03/2023,27.2
01/03/2023,27.5
28/02/2023,26.6
27/02/2023,26.6
24/02/2023,27.5
23/02/2023,28.2
22/02/2023,27.9
21/02/2023,30.0
20/02/2023,30.7
17/02/2023,29.0
16/02/2023,28.85
15/02/2023,28.0
14/02/2023,26.95
13/02/2023,27.1
10/02/2023,28.3
09/02/2023,28.15
08/02/2023,28.2
07/02/2023,28.0
06/02/2023,28.8
03/02/2023,29.2
02/02/2023,29.1
01/02/2023,29.8
31/01/2023,32.0
30/01/2023,31.55
27/01/2023,32.0
19/01/2023,30.1
18/01/2023,30.1
17/01/2023,29.65
16/01/2023,29.2
13/01/2023,28.8
12/01/2023,28.95
11/01/2023,28.25
10/01/2023,28.05
09/01/2023,27.8
06/01/2023,27.9
05/01/2023,28.6
04/01/2023,28.7
03/01/2023,27.95
30/12/2022,26.2
29/12/2022,26.4
28/12/2022,26.9
27/12/2022,25.95
26/12/2022,25.05
23/12/2022,26.9
22/12/2022,26.65
21/12/2022,26.6
20/12/2022,28.1
19/12/2022,30.2
16/12/2022,32.45
15/12/2022,33.0
14/12/2022,31.65
13/12/2022,29.6
12/12/2022,29.3
09/12/2022,29.2
08/12/2022,28.4
07/12/2022,27.5
06/12/2022,28.6
05/12/2022,30.3
02/12/2022,30.9
01/12/2022,29.65
30/11/2022,30.3
29/11/2022,29.0
28/11/2022,29.0
25/11/2022,27.5
24/11/2022,25.8
23/11/2022,25.35
22/11/2022,26.35
21/11/2022,26.65
18/11/2022,25.6
17/11/2022,24.0
16/11/2022,23.4
15/11/2022,21.9
14/11/2022,23.5
11/11/2022,23.85
10/11/2022,23.0
09/11/2022,23.7
08/11/2022,23.9
07/11/2022,24.05
04/11/2022,25.85
03/11/2022,27.5
02/11/2022,27.85
01/11/2022,28.0
31/10/2022,27.55
28/10/2022,27.55
27/10/2022,27.3
26/10/2022,25.55
25/10/2022,27.4
24/10/2022,29.45
21/10/2022,31.65
20/10/2022,34.0
19/10/2022,35.0
18/10/2022,34.6
17/10/2022,35.35
14/10/2022,35.0
13/10/2022,34.8
12/10/2022,33.8
11/10/2022,32.05
10/10/2022,34.45
07/10/2022,33.6
06/10/2022,36.1
05/10/2022,38.75
04/10/2022,37.0
03/10/2022,38.05
30/09/2022,40.9
29/09/2022,40.1
28/09/2022,42.3
27/09/2022,43.0
26/09/2022,43.75
23/09/2022,47.0
22/09/2022,47.1
21/09/2022,46.5
20/09/2022,47.0
19/09/2022,46.0
16/09/2022,49.45
15/09/2022,50.8
14/09/2022,50.4
13/09/2022,49.7
12/09/2022,50.0
09/09/2022,50.0
08/09/2022,49.3
07/09/2022,50.5
06/09/2022,53.9
05/09/2022,53.5
31/08/2022,53.9
30/08/2022,54.5
29/08/2022,55.5
26/08/2022,55.5
25/08/2022,55.7
24/08/2022,56.0
23/08/2022,53.8
22/08/2022,51.9
19/08/2022,52.8
18/08/2022,52.8
17/08/2022,53.9
16/08/2022,53.9
15/08/2022,54.6
12/08/2022,54.4
11/08/2022,52.3
10/08/2022,53.9
09/08/2022,53.2
08/08/2022,52.4
05/08/2022,52.5
04/08/2022,51.8
03/08/2022,53.0
02/08/2022,52.6
01/08/2022,53.4
29/07/2022,51.7
28/07/2022,51.8
27/07/2022,48.5
26/07/2022,49.4
25/07/2022,49.85
22/07/2022,50.1
21/07/2022,49.3
20/07/2022,49.6
19/07/2022,50.7
18/07/2022,49.7
15/07/2022,49.2
14/07/2022,49.25
13/07/2022,48.1
12/07/2022,48.15
11/07/2022,45.0
08/07/2022,43.75
07/07/2022,41.0
06/07/2022,41.7
05/07/2022,41.95
04/07/2022,45.05
01/07/2022,45.25
30/06/2022,45.0
29/06/2022,47.0
28/06/2022,46.5
27/06/2022,45.75
24/06/2022,43.6
23/06/2022,44.5
22/06/2022,41.65
21/06/2022,40.25
20/06/2022,43.25
17/06/2022,46.5
16/06/2022,50.0
15/06/2022,48.7
14/06/2022,51.5
13/06/2022,52.7
10/06/2022,56.6
09/06/2022,57.2
08/06/2022,57.6
07/06/2022,55.0
