Ngay,Symbol,GiaDongCua
29/12/2023,TDM,40.55
28/12/2023,TDM,40.5
27/12/2023,TDM,41.4
26/12/2023,TDM,41.4
25/12/2023,TDM,41.6
22/12/2023,TDM,41.2
21/12/2023,TDM,41.2
20/12/2023,TDM,41.5
19/12/2023,TDM,40.8
18/12/2023,TDM,40.95
15/12/2023,TDM,40.55
14/12/2023,TDM,40.5
13/12/2023,TDM,40.55
12/12/2023,TDM,41.5
11/12/2023,TDM,40.4
08/12/2023,TDM,40.9
07/12/2023,TDM,41.0
06/12/2023,TDM,41.0
05/12/2023,TDM,40.3
04/12/2023,TDM,40.3
01/12/2023,TDM,41.0
30/11/2023,TDM,40.0
29/11/2023,TDM,40.5
28/11/2023,TDM,40.25
27/11/2023,TDM,40.25
24/11/2023,TDM,41.3
23/11/2023,TDM,41.4
22/11/2023,TDM,41.2
21/11/2023,TDM,41.4
20/11/2023,TDM,41.0
17/11/2023,TDM,41.0
16/11/2023,TDM,41.0
15/11/2023,TDM,41.0
14/11/2023,TDM,40.0
13/11/2023,TDM,40.25
10/11/2023,TDM,40.25
09/11/2023,TDM,40.25
08/11/2023,TDM,40.65
07/11/2023,TDM,40.25
06/11/2023,TDM,41.0
03/11/2023,TDM,41.1
02/11/2023,TDM,41.1
01/11/2023,TDM,41.1
31/10/2023,TDM,41.9
30/10/2023,TDM,41.0
27/10/2023,TDM,41.0
26/10/2023,TDM,40.2
25/10/2023,TDM,41.2
24/10/2023,TDM,41.2
23/10/2023,TDM,41.9
20/10/2023,TDM,41.35
19/10/2023,TDM,41.5
18/10/2023,TDM,42.0
17/10/2023,TDM,42.0
16/10/2023,TDM,42.35
13/10/2023,TDM,42.0
12/10/2023,TDM,42.0
11/10/2023,TDM,41.0
10/10/2023,TDM,41.5
09/10/2023,TDM,40.5
06/10/2023,TDM,40.5
05/10/2023,TDM,40.9
04/10/2023,TDM,41.0
03/10/2023,TDM,40.5
02/10/2023,TDM,41.5
29/09/2023,TDM,41.8
28/09/2023,TDM,40.4
27/09/2023,TDM,40.4
26/09/2023,TDM,40.0
25/09/2023,TDM,40.0
22/09/2023,TDM,40.0
21/09/2023,TDM,40.2
20/09/2023,TDM,40.1
19/09/2023,TDM,40.0
