Ngay,GiaDongCua
29/12/2023,32.5
28/12/2023,32.15
27/12/2023,32.1
26/12/2023,32.0
25/12/2023,32.0
22/12/2023,31.85
21/12/2023,32.5
20/12/2023,32.0
19/12/2023,32.0
18/12/2023,31.8
15/12/2023,31.8
14/12/2023,32.0
13/12/2023,31.8
12/12/2023,32.0
11/12/2023,31.8
08/12/2023,31.4
07/12/2023,31.4
06/12/2023,31.55
05/12/2023,31.8
04/12/2023,31.9
01/12/2023,32.0
30/11/2023,32.45
29/11/2023,32.5
28/11/2023,32.0
27/11/2023,32.0
24/11/2023,32.5
23/11/2023,32.5
22/11/2023,32.0
21/11/2023,32.0
20/11/2023,32.0
17/11/2023,32.3
16/11/2023,32.15
15/11/2023,32.1
14/11/2023,32.1
13/11/2023,32.1
10/11/2023,32.0
09/11/2023,32.0
08/11/2023,32.0
07/11/2023,32.0
06/11/2023,32.5
03/11/2023,32.5
02/11/2023,32.5
01/11/2023,32.15
31/10/2023,32.35
30/10/2023,31.35
27/10/2023,33.5
26/10/2023,31.5
25/10/2023,32.85
24/10/2023,32.85
23/10/2023,32.85
20/10/2023,32.85
19/10/2023,32.85
18/10/2023,32.75
17/10/2023,32.75
16/10/2023,34.0
13/10/2023,34.0
12/10/2023,34.0
11/10/2023,34.0
10/10/2023,32.55
09/10/2023,32.55
06/10/2023,33.25
05/10/2023,32.5
04/10/2023,33.05
03/10/2023,32.3
02/10/2023,32.3
29/09/2023,32.3
28/09/2023,32.3
27/09/2023,32.25
26/09/2023,32.5
25/09/2023,32.45
22/09/2023,32.3
21/09/2023,32.3
20/09/2023,33.2
19/09/2023,33.25
18/09/2023,33.3
15/09/2023,32.4
14/09/2023,32.4
13/09/2023,32.35
12/09/2023,33.5
11/09/2023,32.35
08/09/2023,32.35
07/09/2023,32.3
06/09/2023,32.3
05/09/2023,32.55
31/08/2023,32.6
30/08/2023,32.6
29/08/2023,32.0
28/08/2023,32.75
25/08/2023,32.75
24/08/2023,32.75
23/08/2023,32.6
22/08/2023,32.0
21/08/2023,32.4
18/08/2023,32.0
17/08/2023,32.6
16/08/2023,32.6
15/08/2023,32.5
14/08/2023,32.5
11/08/2023,33.35
10/08/2023,33.45
09/08/2023,33.5
08/08/2023,32.9
07/08/2023,33.0
04/08/2023,33.0
03/08/2023,33.5
02/08/2023,33.5
01/08/2023,33.5
31/07/2023,33.6
28/07/2023,33.9
27/07/2023,33.95
26/07/2023,34.0
25/07/2023,34.0
24/07/2023,34.0
21/07/2023,33.9
20/07/2023,33.7
19/07/2023,33.7
18/07/2023,33.0
17/07/2023,33.0
14/07/2023,33.0
13/07/2023,33.0
12/07/2023,33.0
11/07/2023,33.0
10/07/2023,32.85
07/07/2023,32.8
06/07/2023,32.75
05/07/2023,32.75
04/07/2023,32.75
03/07/2023,32.75
30/06/2023,32.3
29/06/2023,32.5
28/06/2023,32.25
27/06/2023,32.3
26/06/2023,32.2
23/06/2023,32.2
22/06/2023,32.55
21/06/2023,32.5
20/06/2023,32.15
19/06/2023,32.15
16/06/2023,32.25
15/06/2023,32.25
14/06/2023,32.2
13/06/2023,32.2
12/06/2023,32.6
09/06/2023,32.6
08/06/2023,32.15
07/06/2023,32.2
06/06/2023,32.2
05/06/2023,32.15
02/06/2023,32.75
01/06/2023,32.75
31/05/2023,32.5
30/05/2023,32.1
29/05/2023,32.0
26/05/2023,32.0
25/05/2023,32.5
24/05/2023,33.5
23/05/2023,32.1
22/05/2023,31.75
19/05/2023,32.5
18/05/2023,33.15
17/05/2023,32.5
16/05/2023,33.65
15/05/2023,33.65
12/05/2023,34.9
11/05/2023,33.0
10/05/2023,33.0
09/05/2023,34.4
08/05/2023,33.5
05/05/2023,32.0
04/05/2023,32.5
28/04/2023,32.5
27/04/2023,33.65
26/04/2023,34.6
25/04/2023,35.0
24/04/2023,35.5
21/04/2023,35.5
20/04/2023,34.8
19/04/2023,36.0
18/04/2023,36.5
17/04/2023,36.5
14/04/2023,36.5
13/04/2023,36.55
12/04/2023,37.0
11/04/2023,37.7
10/04/2023,37.7
07/04/2023,37.0
06/04/2023,37.0
05/04/2023,37.0
04/04/2023,37.3
03/04/2023,37.5
31/03/2023,37.0
30/03/2023,37.9
29/03/2023,37.9
28/03/2023,37.9
27/03/2023,37.9
24/03/2023,37.5
23/03/2023,37.0
22/03/2023,37.5
21/03/2023,37.1
20/03/2023,37.1
17/03/2023,37.5
16/03/2023,38.9
15/03/2023,37.5
14/03/2023,37.0
13/03/2023,37.5
10/03/2023,38.2
09/03/2023,38.9
08/03/2023,38.0
07/03/2023,37.0
06/03/2023,38.0
03/03/2023,38.0
02/03/2023,38.0
01/03/2023,38.0
28/02/2023,38.0
27/02/2023,38.0
24/02/2023,37.1
23/02/2023,38.5
22/02/2023,38.5
21/02/2023,37.0
20/02/2023,36.2
17/02/2023,36.0
16/02/2023,35.7
15/02/2023,35.7
14/02/2023,35.65
13/02/2023,36.4
10/02/2023,36.25
09/02/2023,36.85
08/02/2023,36.9
07/02/2023,36.75
06/02/2023,36.7
03/02/2023,36.9
02/02/2023,36.5
01/02/2023,37.5
31/01/2023,36.65
30/01/2023,38.0
27/01/2023,37.85
19/01/2023,37.85
18/01/2023,37.9
17/01/2023,37.9
16/01/2023,37.2
13/01/2023,36.3
12/01/2023,36.3
11/01/2023,36.15
10/01/2023,38.0
09/01/2023,38.0
06/01/2023,38.0
05/01/2023,38.45
04/01/2023,38.0
03/01/2023,37.85
30/12/2022,37.85
29/12/2022,36.5
28/12/2022,36.0
27/12/2022,35.5
26/12/2022,36.8
23/12/2022,36.95
22/12/2022,36.0
21/12/2022,38.0
20/12/2022,38.25
19/12/2022,38.3
16/12/2022,38.3
15/12/2022,38.5
14/12/2022,39.0
13/12/2022,40.2
12/12/2022,40.0
09/12/2022,39.0
08/12/2022,37.0
07/12/2022,37.0
06/12/2022,36.9
05/12/2022,35.8
02/12/2022,35.85
01/12/2022,35.85
30/11/2022,34.85
29/11/2022,34.85
28/11/2022,33.1
25/11/2022,34.95
24/11/2022,32.9
23/11/2022,32.8
22/11/2022,32.7
21/11/2022,32.7
18/11/2022,35.0
17/11/2022,35.0
16/11/2022,35.0
15/11/2022,33.25
14/11/2022,35.0
11/11/2022,36.0
10/11/2022,37.0
09/11/2022,39.55
08/11/2022,39.55
07/11/2022,39.55
04/11/2022,39.55
03/11/2022,39.55
02/11/2022,37.0
01/11/2022,38.3
31/10/2022,36.1
28/10/2022,38.0
27/10/2022,39.4
26/10/2022,40.0
25/10/2022,38.9
24/10/2022,38.3
21/10/2022,40.8
20/10/2022,43.8
19/10/2022,41.5
18/10/2022,41.25
17/10/2022,39.4
14/10/2022,39.0
13/10/2022,39.0
12/10/2022,39.95
11/10/2022,40.4
10/10/2022,40.4
07/10/2022,40.0
06/10/2022,40.3
05/10/2022,40.3
04/10/2022,40.4
03/10/2022,41.0
30/09/2022,44.0
29/09/2022,44.0
28/09/2022,44.0
27/09/2022,42.2
26/09/2022,42.2
23/09/2022,42.2
22/09/2022,42.2
21/09/2022,43.2
20/09/2022,43.5
19/09/2022,43.0
16/09/2022,43.0
15/09/2022,43.0
14/09/2022,43.0
13/09/2022,43.0
12/09/2022,43.5
09/09/2022,44.0
08/09/2022,45.8
07/09/2022,45.8
06/09/2022,45.8
05/09/2022,45.95
31/08/2022,44.95
30/08/2022,44.95
29/08/2022,43.5
26/08/2022,43.5
25/08/2022,43.55
24/08/2022,43.3
23/08/2022,46.45
22/08/2022,46.45
19/08/2022,43.45
18/08/2022,42.8
17/08/2022,42.9
16/08/2022,44.0
15/08/2022,46.0
12/08/2022,46.0
11/08/2022,43.6
10/08/2022,45.8
09/08/2022,45.7
08/08/2022,45.7
05/08/2022,45.7
04/08/2022,45.4
03/08/2022,45.4
02/08/2022,45.9
01/08/2022,45.9
29/07/2022,45.95
28/07/2022,45.95
27/07/2022,46.0
26/07/2022,45.0
25/07/2022,45.0
22/07/2022,45.0
21/07/2022,45.0
20/07/2022,46.6
19/07/2022,49.9
18/07/2022,48.85
15/07/2022,52.5
14/07/2022,51.5
13/07/2022,49.0
12/07/2022,47.0
11/07/2022,44.0
08/07/2022,43.8
07/07/2022,41.0
06/07/2022,40.4
05/07/2022,40.4
04/07/2022,39.5
01/07/2022,39.8
30/06/2022,40.5
29/06/2022,40.9
28/06/2022,42.0
27/06/2022,42.35
24/06/2022,42.4
23/06/2022,43.9
22/06/2022,45.1
21/06/2022,43.05
20/06/2022,46.1
17/06/2022,48.6
16/06/2022,49.4
15/06/2022,49.0
14/06/2022,46.9
13/06/2022,50.4
10/06/2022,50.4
09/06/2022,50.6
08/06/2022,50.9
07/06/2022,51.0
06/06/2022,50.2
03/06/2022,50.5
02/06/2022,50.7
01/06/2022,51.0
31/05/2022,52.4
30/05/2022,52.9
27/05/2022,53.9
26/05/2022,53.9
25/05/2022,53.0
24/05/2022,52.0
23/05/2022,53.7
20/05/2022,53.8
19/05/2022,53.9
18/05/2022,51.0
17/05/2022,54.0
16/05/2022,52.9
13/05/2022,52.9
12/05/2022,54.4
11/05/2022,54.5
10/05/2022,54.9
09/05/2022,53.5
06/05/2022,57.0
05/05/2022,57.9
04/05/2022,54.9
29/04/2022,54.9
28/04/2022,55.1
27/04/2022,52.9
26/04/2022,52.9
25/04/2022,50.2
22/04/2022,53.5
21/04/2022,56.2
20/04/2022,56.8
19/04/2022,57.6
18/04/2022,56.9
15/04/2022,57.6
14/04/2022,57.5
13/04/2022,57.5
12/04/2022,57.9
08/04/2022,58.0
07/04/2022,58.0
06/04/2022,58.0
05/04/2022,58.2
04/04/2022,58.4
01/04/2022,59.1
31/03/2022,59.2
30/03/2022,59.0
29/03/2022,58.9
28/03/2022,59.0
25/03/2022,58.2
24/03/2022,58.1
23/03/2022,58.2
22/03/2022,58.2
21/03/2022,58.3
18/03/2022,58.1
17/03/2022,58.3
16/03/2022,57.9
15/03/2022,58.0
14/03/2022,57.9
11/03/2022,58.4
10/03/2022,58.3
09/03/2022,57.9
08/03/2022,57.8
07/03/2022,57.4
04/03/2022,57.5
03/03/2022,57.4
02/03/2022,58.1
01/03/2022,57.4
28/02/2022,58.0
25/02/2022,58.1
24/02/2022,58.4
23/02/2022,58.1
22/02/2022,58.1
21/02/2022,58.5
18/02/2022,58.1
17/02/2022,58.1
16/02/2022,58.3
15/02/2022,58.3
14/02/2022,58.1
11/02/2022,58.5
10/02/2022,58.5
09/02/2022,59.6
08/02/2022,58.9
07/02/2022,59.8
28/01/2022,60.0
27/01/2022,57.9
26/01/2022,58.0
25/01/2022,56.9
24/01/2022,57.5
21/01/2022,57.6
20/01/2022,57.5
19/01/2022,57.5
18/01/2022,57.8
17/01/2022,57.5
14/01/2022,58.5
13/01/2022,58.5
12/01/2022,60.0
11/01/2022,59.4
10/01/2022,59.9
07/01/2022,59.2
06/01/2022,59.4
05/01/2022,60.4
04/01/2022,60.8
31/12/2021,61.0
30/12/2021,60.4
29/12/2021,60.9
28/12/2021,61.1
27/12/2021,61.7
24/12/2021,62.4
23/12/2021,60.8
22/12/2021,61.0
21/12/2021,61.5
20/12/2021,61.0
17/12/2021,60.8
16/12/2021,60.6
15/12/2021,61.9
14/12/2021,61.5
13/12/2021,61.8
10/12/2021,62.0
09/12/2021,62.0
08/12/2021,61.5
07/12/2021,61.5
06/12/2021,60.4
03/12/2021,60.0
02/12/2021,60.0
01/12/2021,61.0
30/11/2021,61.1
29/11/2021,59.0
26/11/2021,58.8
25/11/2021,58.4
24/11/2021,59.0
23/11/2021,58.4
22/11/2021,57.5
19/11/2021,58.0
18/11/2021,58.0
17/11/2021,58.0
16/11/2021,58.3
15/11/2021,57.9
12/11/2021,58.7
11/11/2021,58.9
10/11/2021,59.8
09/11/2021,59.9
08/11/2021,59.9
05/11/2021,59.8
04/11/2021,60.4
03/11/2021,60.8
02/11/2021,61.0
01/11/2021,60.6
29/10/2021,59.4
28/10/2021,58.4
27/10/2021,57.9
26/10/2021,57.6
25/10/2021,57.1
22/10/2021,55.1
21/10/2021,57.0
20/10/2021,57.5
19/10/2021,58.6
18/10/2021,59.5
15/10/2021,60.0
14/10/2021,60.0
13/10/2021,60.8
12/10/2021,59.6
11/10/2021,59.5
08/10/2021,59.3
07/10/2021,59.6
06/10/2021,59.8
05/10/2021,59.9
04/10/2021,60.1
01/10/2021,60.6
30/09/2021,62.0
29/09/2021,62.0
28/09/2021,60.4
27/09/2021,60.1
24/09/2021,61.5
23/09/2021,61.9
22/09/2021,61.4
21/09/2021,61.3
20/09/2021,61.9
17/09/2021,63.8
16/09/2021,61.9
15/09/2021,61.0
14/09/2021,62.0
13/09/2021,63.0
10/09/2021,63.4
09/09/2021,63.8
08/09/2021,64.0
07/09/2021,64.9
06/09/2021,63.5
01/09/2021,63.1
31/08/2021,64.9
30/08/2021,64.9
27/08/2021,66.9
26/08/2021,66.7
25/08/2021,66.2
24/08/2021,64.3
23/08/2021,62.8
20/08/2021,59.2
19/08/2021,58.6
18/08/2021,54.8
17/08/2021,51.3
16/08/2021,48.0
13/08/2021,46.2
12/08/2021,46.5
11/08/2021,47.2
10/08/2021,47.0
09/08/2021,47.8
06/08/2021,47.65
05/08/2021,47.65
04/08/2021,48.4
03/08/2021,47.65
02/08/2021,46.5
30/07/2021,48.65
29/07/2021,46.6
28/07/2021,46.85
27/07/2021,46.5
26/07/2021,46.8
23/07/2021,46.9
22/07/2021,46.55
21/07/2021,47.2
20/07/2021,46.45
19/07/2021,46.0
16/07/2021,47.65
15/07/2021,47.65
14/07/2021,49.45
13/07/2021,46.8
12/07/2021,46.8
09/07/2021,45.1
08/07/2021,46.5
07/07/2021,46.1
06/07/2021,46.0
05/07/2021,46.2
02/07/2021,46.2
01/07/2021,46.5
30/06/2021,47.05
29/06/2021,46.55
28/06/2021,47.2
25/06/2021,47.2
24/06/2021,47.45
23/06/2021,47.0
22/06/2021,47.0
21/06/2021,46.45
18/06/2021,47.2
17/06/2021,45.7
16/06/2021,45.7
15/06/2021,46.2
14/06/2021,46.2
11/06/2021,45.8
10/06/2021,45.8
09/06/2021,46.0
08/06/2021,46.0
07/06/2021,46.0
04/06/2021,46.0
03/06/2021,46.9
02/06/2021,47.4
01/06/2021,46.5
31/05/2021,46.2
28/05/2021,47.5
27/05/2021,49.5
26/05/2021,49.0
25/05/2021,49.9
24/05/2021,50.4
21/05/2021,50.2
20/05/2021,50.4
19/05/2021,51.4
18/05/2021,51.5
17/05/2021,50.7
14/05/2021,51.9
13/05/2021,52.3
12/05/2021,52.9
11/05/2021,53.4
10/05/2021,53.3
07/05/2021,53.9
06/05/2021,54.0
05/05/2021,54.9
04/05/2021,54.1
29/04/2021,57.1
28/04/2021,53.6
27/04/2021,51.8
26/04/2021,52.0
23/04/2021,53.4
22/04/2021,50.0
20/04/2021,50.0
19/04/2021,50.0
16/04/2021,50.8
15/04/2021,52.5
14/04/2021,52.6
13/04/2021,53.0
12/04/2021,53.4
09/04/2021,53.5
08/04/2021,52.2
07/04/2021,52.2
06/04/2021,53.1
05/04/2021,55.0
02/04/2021,54.8
01/04/2021,54.8
31/03/2021,54.9
30/03/2021,53.5
29/03/2021,50.2
26/03/2021,49.9
25/03/2021,50.5
24/03/2021,50.5
23/03/2021,50.5
22/03/2021,50.6
19/03/2021,50.9
18/03/2021,50.9
17/03/2021,50.2
16/03/2021,49.55
15/03/2021,49.15
12/03/2021,49.3
11/03/2021,49.3
10/03/2021,48.5
09/03/2021,49.85
08/03/2021,50.8
05/03/2021,47.5
04/03/2021,48.0
03/03/2021,48.0
02/03/2021,47.9
01/03/2021,48.0
26/02/2021,47.75
25/02/2021,47.0
24/02/2021,46.5
23/02/2021,47.0
22/02/2021,47.0
19/02/2021,46.5
18/02/2021,47.2
17/02/2021,47.65
09/02/2021,46.4
08/02/2021,46.4
05/02/2021,46.85
04/02/2021,46.4
03/02/2021,46.4
02/02/2021,45.8
01/02/2021,45.55
29/01/2021,45.8
28/01/2021,44.45
27/01/2021,46.0
26/01/2021,46.5
25/01/2021,47.1
22/01/2021,47.2
21/01/2021,46.5
20/01/2021,46.5
19/01/2021,46.0
18/01/2021,46.95
15/01/2021,46.9
14/01/2021,47.0
13/01/2021,46.9
12/01/2021,47.0
11/01/2021,46.5
08/01/2021,46.9
07/01/2021,47.1
06/01/2021,48.45
05/01/2021,48.3
04/01/2021,49.75
31/12/2020,47.0
30/12/2020,45.9
29/12/2020,45.0
28/12/2020,45.2
25/12/2020,45.2
24/12/2020,46.1
23/12/2020,46.1
22/12/2020,46.0
21/12/2020,47.3
18/12/2020,47.35
17/12/2020,47.4
16/12/2020,47.3
15/12/2020,47.5
14/12/2020,47.5
11/12/2020,47.5
10/12/2020,47.0
09/12/2020,47.5
08/12/2020,47.9
07/12/2020,48.0
04/12/2020,46.1
03/12/2020,44.45
02/12/2020,42.0
01/12/2020,42.35
30/11/2020,41.8
27/11/2020,41.9
26/11/2020,42.0
25/11/2020,42.4
24/11/2020,42.45
23/11/2020,42.4
20/11/2020,42.45
19/11/2020,42.45
18/11/2020,41.2
17/11/2020,42.7
16/11/2020,42.15
13/11/2020,41.15
12/11/2020,41.3
11/11/2020,40.8
10/11/2020,42.0
09/11/2020,42.5
06/11/2020,40.95
05/11/2020,39.7
04/11/2020,40.5
03/11/2020,40.35
02/11/2020,39.8
30/10/2020,40.5
29/10/2020,40.5
28/10/2020,40.95
27/10/2020,41.85
26/10/2020,40.75
23/10/2020,40.0
22/10/2020,39.25
21/10/2020,41.0
20/10/2020,40.5
19/10/2020,40.65
16/10/2020,39.85
15/10/2020,39.9
14/10/2020,39.9
13/10/2020,38.9
12/10/2020,39.9
09/10/2020,39.85
