Ngay,Symbol,GiaDongCua
29/12/2023,CHP,25.3
28/12/2023,CHP,25.0
27/12/2023,CHP,24.85
26/12/2023,CHP,24.9
25/12/2023,CHP,25.5
22/12/2023,CHP,25.8
21/12/2023,CHP,25.6
20/12/2023,CHP,25.15
19/12/2023,CHP,25.5
18/12/2023,CHP,25.3
15/12/2023,CHP,25.2
14/12/2023,CHP,25.0
13/12/2023,CHP,24.55
12/12/2023,CHP,24.55
11/12/2023,CHP,24.6
08/12/2023,CHP,24.5
07/12/2023,CHP,24.65
06/12/2023,CHP,24.7
05/12/2023,CHP,24.75
04/12/2023,CHP,24.65
01/12/2023,CHP,24.5
30/11/2023,CHP,24.2
29/11/2023,CHP,24.15
28/11/2023,CHP,24.0
27/11/2023,CHP,24.1
24/11/2023,CHP,24.2
23/11/2023,CHP,24.3
22/11/2023,CHP,24.3
21/11/2023,CHP,24.2
20/11/2023,CHP,24.2
17/11/2023,CHP,24.2
16/11/2023,CHP,24.3
15/11/2023,CHP,24.2
14/11/2023,CHP,24.2
13/11/2023,CHP,24.0
10/11/2023,CHP,24.0
09/11/2023,CHP,24.0
08/11/2023,CHP,24.0
07/11/2023,CHP,23.8
06/11/2023,CHP,24.15
03/11/2023,CHP,23.6
02/11/2023,CHP,24.0
01/11/2023,CHP,23.6
31/10/2023,CHP,23.9
30/10/2023,CHP,24.0
27/10/2023,CHP,23.9
26/10/2023,CHP,23.9
25/10/2023,CHP,24.0
24/10/2023,CHP,24.0
23/10/2023,CHP,23.5
20/10/2023,CHP,23.6
19/10/2023,CHP,23.6
18/10/2023,CHP,23.95
17/10/2023,CHP,23.85
16/10/2023,CHP,23.75
13/10/2023,CHP,23.7
12/10/2023,CHP,23.7
11/10/2023,CHP,23.7
10/10/2023,CHP,23.55
09/10/2023,CHP,23.55
06/10/2023,CHP,23.45
05/10/2023,CHP,23.35
04/10/2023,CHP,23.3
03/10/2023,CHP,23.3
02/10/2023,CHP,23.35
29/09/2023,CHP,23.3
28/09/2023,CHP,23.3
27/09/2023,CHP,23.2
26/09/2023,CHP,23.2
25/09/2023,CHP,23.4
22/09/2023,CHP,23.2
21/09/2023,CHP,23.2
20/09/2023,CHP,23.45
19/09/2023,CHP,23.2
18/09/2023,CHP,23.3
15/09/2023,CHP,23.2
14/09/2023,CHP,23.2
13/09/2023,CHP,23.2
12/09/2023,CHP,23.4
11/09/2023,CHP,23.5
08/09/2023,CHP,23.5
07/09/2023,CHP,23.6
06/09/2023,CHP,23.6
05/09/2023,CHP,23.6
31/08/2023,CHP,23.3
30/08/2023,CHP,23.3
29/08/2023,CHP,23.15
28/08/2023,CHP,23.45
25/08/2023,CHP,23.1
24/08/2023,CHP,23.3
23/08/2023,CHP,23.35
22/08/2023,CHP,23.2
21/08/2023,CHP,23.45
18/08/2023,CHP,23.2
17/08/2023,CHP,23.55
16/08/2023,CHP,23.55
15/08/2023,CHP,23.5
14/08/2023,CHP,23.15
11/08/2023,CHP,23.1
10/08/2023,CHP,23.1
09/08/2023,CHP,22.95
08/08/2023,CHP,23.0
07/08/2023,CHP,23.0
04/08/2023,CHP,23.0
03/08/2023,CHP,23.0
02/08/2023,CHP,23.1
01/08/2023,CHP,23.15
31/07/2023,CHP,23.15
28/07/2023,CHP,23.25
27/07/2023,CHP,23.2
26/07/2023,CHP,23.15
25/07/2023,CHP,23.05
24/07/2023,CHP,23.05
21/07/2023,CHP,23.1
20/07/2023,CHP,23.2
19/07/2023,CHP,23.1
18/07/2023,CHP,23.3
