Ngay,Symbol,GiaDongCua
29/12/2023,GAS,75.5
28/12/2023,GAS,76.0
27/12/2023,GAS,76.3
26/12/2023,GAS,76.4
25/12/2023,GAS,76.5
22/12/2023,GAS,74.7
21/12/2023,GAS,74.7
20/12/2023,GAS,75.2
19/12/2023,GAS,75.0
18/12/2023,GAS,75.5
15/12/2023,GAS,76.0
14/12/2023,GAS,76.9
13/12/2023,GAS,76.9
12/12/2023,GAS,78.2
11/12/2023,GAS,78.3
08/12/2023,GAS,77.6
07/12/2023,GAS,77.9
06/12/2023,GAS,79.8
05/12/2023,GAS,79.0
04/12/2023,GAS,79.0
01/12/2023,GAS,77.7
30/11/2023,GAS,76.5
29/11/2023,GAS,77.8
28/11/2023,GAS,77.0
27/11/2023,GAS,76.8
24/11/2023,GAS,77.5
23/11/2023,GAS,77.0
22/11/2023,GAS,79.0
21/11/2023,GAS,79.0
20/11/2023,GAS,78.3
17/11/2023,GAS,78.7
16/11/2023,GAS,80.0
15/11/2023,GAS,80.1
14/11/2023,GAS,79.1
13/11/2023,GAS,79.0
10/11/2023,GAS,78.7
09/11/2023,GAS,80.0
08/11/2023,GAS,80.0
07/11/2023,GAS,78.8
06/11/2023,GAS,79.0
03/11/2023,GAS,79.1
02/11/2023,GAS,79.2
01/11/2023,GAS,76.9
31/10/2023,GAS,76.6
30/10/2023,GAS,76.6
27/10/2023,GAS,77.6
26/10/2023,GAS,75.5
25/10/2023,GAS,80.4
24/10/2023,GAS,81.2
23/10/2023,GAS,80.6
20/10/2023,GAS,83.2
19/10/2023,GAS,81.9
18/10/2023,GAS,83.0
17/10/2023,GAS,85.2
16/10/2023,GAS,86.9
13/10/2023,GAS,85.8
12/10/2023,GAS,86.0
11/10/2023,GAS,86.0
10/10/2023,GAS,86.4
09/10/2023,GAS,86.6
06/10/2023,GAS,84.2
05/10/2023,GAS,84.2
04/10/2023,GAS,85.8
03/10/2023,GAS,86.3
02/10/2023,GAS,89.3
29/09/2023,GAS,90.7
28/09/2023,GAS,91.5
27/09/2023,GAS,88.9
26/09/2023,GAS,88.8
25/09/2023,GAS,89.5
22/09/2023,GAS,90.9
21/09/2023,GAS,106.5
20/09/2023,GAS,109.0
19/09/2023,GAS,110.0
18/09/2023,GAS,109.0
15/09/2023,GAS,109.6
14/09/2023,GAS,106.0
13/09/2023,GAS,105.6
12/09/2023,GAS,102.7
11/09/2023,GAS,101.4
08/09/2023,GAS,102.2
07/09/2023,GAS,102.9
06/09/2023,GAS,101.5
05/09/2023,GAS,99.6
31/08/2023,GAS,98.6
30/08/2023,GAS,99.3
29/08/2023,GAS,99.9
28/08/2023,GAS,103.2
25/08/2023,GAS,101.4
24/08/2023,GAS,102.4
23/08/2023,GAS,101.9
22/08/2023,GAS,100.3
21/08/2023,GAS,99.1
18/08/2023,GAS,97.6
17/08/2023,GAS,100.0
16/08/2023,GAS,100.2
15/08/2023,GAS,100.4
14/08/2023,GAS,100.6
11/08/2023,GAS,101.5
10/08/2023,GAS,102.0
09/08/2023,GAS,101.0
08/08/2023,GAS,101.2
07/08/2023,GAS,100.9
04/08/2023,GAS,100.3
03/08/2023,GAS,99.6
02/08/2023,GAS,100.4
01/08/2023,GAS,100.7
31/07/2023,GAS,101.6
28/07/2023,GAS,99.5
27/07/2023,GAS,98.2
26/07/2023,GAS,98.2
25/07/2023,GAS,98.8
24/07/2023,GAS,98.5
21/07/2023,GAS,99.4
20/07/2023,GAS,98.7
19/07/2023,GAS,98.9
18/07/2023,GAS,99.8
17/07/2023,GAS,99.0
14/07/2023,GAS,99.0
13/07/2023,GAS,99.3
12/07/2023,GAS,96.5
11/07/2023,GAS,97.2
10/07/2023,GAS,97.5
07/07/2023,GAS,96.0
