Ngay,Symbol,GiaDongCua
29/12/2023,GEG,12.85
28/12/2023,GEG,13.2
27/12/2023,GEG,13.25
26/12/2023,GEG,13.3
25/12/2023,GEG,13.3
22/12/2023,GEG,13.1
21/12/2023,GEG,13.2
20/12/2023,GEG,13.25
19/12/2023,GEG,13.15
18/12/2023,GEG,13.15
15/12/2023,GEG,13.1
14/12/2023,GEG,13.1
13/12/2023,GEG,13.3
12/12/2023,GEG,13.45
11/12/2023,GEG,13.3
08/12/2023,GEG,13.45
07/12/2023,GEG,13.55
06/12/2023,GEG,13.7
05/12/2023,GEG,13.6
04/12/2023,GEG,13.55
01/12/2023,GEG,13.25
30/11/2023,GEG,13.25
29/11/2023,GEG,13.2
28/11/2023,GEG,12.95
27/11/2023,GEG,13.05
24/11/2023,GEG,13.25
23/11/2023,GEG,13.5
22/11/2023,GEG,13.25
21/11/2023,GEG,13.25
20/11/2023,GEG,13.2
17/11/2023,GEG,13.25
16/11/2023,GEG,13.25
15/11/2023,GEG,13.3
14/11/2023,GEG,13.25
13/11/2023,GEG,13.2
10/11/2023,GEG,13.25
09/11/2023,GEG,13.15
08/11/2023,GEG,13.05
07/11/2023,GEG,12.65
06/11/2023,GEG,12.7
03/11/2023,GEG,12.8
02/11/2023,GEG,12.8
01/11/2023,GEG,12.15
31/10/2023,GEG,12.15
30/10/2023,GEG,12.55
27/10/2023,GEG,12.55
26/10/2023,GEG,12.6
25/10/2023,GEG,13.5
24/10/2023,GEG,13.35
23/10/2023,GEG,13.2
20/10/2023,GEG,13.5
19/10/2023,GEG,13.0
18/10/2023,GEG,13.3
17/10/2023,GEG,13.8
16/10/2023,GEG,14.4
13/10/2023,GEG,14.8
12/10/2023,GEG,14.8
11/10/2023,GEG,15.05
10/10/2023,GEG,15.15
09/10/2023,GEG,14.7
06/10/2023,GEG,14.8
05/10/2023,GEG,14.5
04/10/2023,GEG,14.85
03/10/2023,GEG,14.75
02/10/2023,GEG,15.35
29/09/2023,GEG,15.9
28/09/2023,GEG,14.95
27/09/2023,GEG,14.6
26/09/2023,GEG,14.0
25/09/2023,GEG,14.0
22/09/2023,GEG,14.65
21/09/2023,GEG,14.9
20/09/2023,GEG,14.95
19/09/2023,GEG,14.9
18/09/2023,GEG,14.4
15/09/2023,GEG,14.35
14/09/2023,GEG,14.35
13/09/2023,GEG,14.6
12/09/2023,GEG,14.75
11/09/2023,GEG,14.6
08/09/2023,GEG,15.1
07/09/2023,GEG,14.65
06/09/2023,GEG,14.55
05/09/2023,GEG,14.6
31/08/2023,GEG,14.3
30/08/2023,GEG,14.05
29/08/2023,GEG,14.0
28/08/2023,GEG,14.0
25/08/2023,GEG,14.0
24/08/2023,GEG,14.0
23/08/2023,GEG,13.75
22/08/2023,GEG,13.9
21/08/2023,GEG,13.9
18/08/2023,GEG,14.15
17/08/2023,GEG,15.2
16/08/2023,GEG,15.3
15/08/2023,GEG,15.45
14/08/2023,GEG,15.45
11/08/2023,GEG,15.4
10/08/2023,GEG,15.75
09/08/2023,GEG,15.85
08/08/2023,GEG,15.6
07/08/2023,GEG,15.35
04/08/2023,GEG,15.35
03/08/2023,GEG,15.35
02/08/2023,GEG,15.65
01/08/2023,GEG,15.7
31/07/2023,GEG,15.45
28/07/2023,GEG,15.45
27/07/2023,GEG,15.45
26/07/2023,GEG,15.4
25/07/2023,GEG,15.25
24/07/2023,GEG,15.4
21/07/2023,GEG,15.3
