Ngay,GiaDongCua
29/12/2023,23.2
28/12/2023,23.2
27/12/2023,24.0
26/12/2023,23.9
25/12/2023,23.85
22/12/2023,23.8
21/12/2023,23.85
20/12/2023,23.75
19/12/2023,23.45
18/12/2023,23.45
15/12/2023,23.2
14/12/2023,23.55
13/12/2023,23.6
12/12/2023,23.65
11/12/2023,23.75
08/12/2023,23.75
07/12/2023,23.8
06/12/2023,23.75
05/12/2023,23.65
04/12/2023,23.9
01/12/2023,22.9
30/11/2023,22.75
29/11/2023,22.45
28/11/2023,21.7
27/11/2023,21.85
24/11/2023,22.0
23/11/2023,21.6
22/11/2023,22.3
21/11/2023,21.7
20/11/2023,21.65
17/11/2023,21.8
16/11/2023,22.25
15/11/2023,22.25
14/11/2023,22.15
13/11/2023,22.55
10/11/2023,22.55
09/11/2023,22.0
08/11/2023,22.0
07/11/2023,21.65
06/11/2023,21.65
03/11/2023,21.35
02/11/2023,21.2
01/11/2023,20.9
31/10/2023,21.0
30/10/2023,21.8
27/10/2023,21.85
26/10/2023,21.7
25/10/2023,23.0
24/10/2023,22.95
23/10/2023,22.8
20/10/2023,22.7
19/10/2023,23.1
18/10/2023,23.55
17/10/2023,24.0
16/10/2023,24.0
13/10/2023,24.75
12/10/2023,24.85
11/10/2023,24.7
10/10/2023,24.8
09/10/2023,24.6
06/10/2023,24.0
05/10/2023,24.95
04/10/2023,25.25
03/10/2023,24.5
02/10/2023,25.5
29/09/2023,25.9
28/09/2023,25.6
27/09/2023,26.0
26/09/2023,26.0
25/09/2023,26.45
22/09/2023,26.65
21/09/2023,26.8
20/09/2023,26.55
19/09/2023,27.05
18/09/2023,27.1
15/09/2023,28.0
14/09/2023,28.1
13/09/2023,27.8
12/09/2023,28.1
11/09/2023,28.1
08/09/2023,28.7
07/09/2023,28.6
06/09/2023,30.0
05/09/2023,29.25
31/08/2023,29.2
30/08/2023,28.7
29/08/2023,28.8
28/08/2023,29.2
25/08/2023,27.8
24/08/2023,27.55
23/08/2023,27.6
22/08/2023,28.8
21/08/2023,28.85
18/08/2023,28.2
17/08/2023,29.45
16/08/2023,29.5
15/08/2023,29.6
14/08/2023,29.8
11/08/2023,29.5
10/08/2023,29.5
09/08/2023,29.45
08/08/2023,29.2
07/08/2023,29.45
04/08/2023,29.55
03/08/2023,29.1
02/08/2023,29.25
01/08/2023,29.3
31/07/2023,30.4
28/07/2023,29.9
27/07/2023,29.4
26/07/2023,28.15
25/07/2023,28.6
24/07/2023,28.7
21/07/2023,28.45
20/07/2023,26.8
19/07/2023,26.7
18/07/2023,27.4
17/07/2023,27.6
14/07/2023,27.55
13/07/2023,27.6
12/07/2023,27.45
11/07/2023,25.7
10/07/2023,25.15
07/07/2023,25.1
06/07/2023,24.8
05/07/2023,24.85
04/07/2023,24.9
03/07/2023,25.0
30/06/2023,24.9
29/06/2023,24.75
28/06/2023,24.8
27/06/2023,24.9
26/06/2023,24.8
23/06/2023,25.3
22/06/2023,25.1
21/06/2023,24.95
20/06/2023,24.85
19/06/2023,25.0
16/06/2023,25.5
15/06/2023,25.45
14/06/2023,25.5
13/06/2023,25.55
12/06/2023,24.85
09/06/2023,24.45
08/06/2023,24.45
07/06/2023,25.3
06/06/2023,25.3
05/06/2023,25.2
02/06/2023,24.65
01/06/2023,24.45
31/05/2023,24.75
30/05/2023,24.2
29/05/2023,24.9
26/05/2023,25.2
25/05/2023,24.8
24/05/2023,25.05
23/05/2023,25.0
22/05/2023,23.95
19/05/2023,23.0
18/05/2023,22.9
17/05/2023,22.5
16/05/2023,23.0
15/05/2023,23.15
12/05/2023,23.2
11/05/2023,22.45
10/05/2023,22.85
09/05/2023,22.6
08/05/2023,22.35
05/05/2023,20.9
04/05/2023,19.8
28/04/2023,19.3
27/04/2023,19.3
26/04/2023,19.0
25/04/2023,18.85
24/04/2023,18.8
21/04/2023,19.25
20/04/2023,19.3
19/04/2023,19.0
18/04/2023,18.8
17/04/2023,19.3
14/04/2023,19.45
13/04/2023,19.2
12/04/2023,19.45
11/04/2023,18.9
10/04/2023,18.75
07/04/2023,18.6
06/04/2023,18.45
05/04/2023,18.7
04/04/2023,18.85
03/04/2023,18.8
31/03/2023,18.85
30/03/2023,18.8
29/03/2023,18.55
28/03/2023,18.35
27/03/2023,18.4
24/03/2023,18.4
23/03/2023,18.4
22/03/2023,18.45
21/03/2023,18.35
20/03/2023,18.35
17/03/2023,18.45
16/03/2023,18.35
15/03/2023,18.5
14/03/2023,18.4
13/03/2023,18.85
10/03/2023,18.85
09/03/2023,18.85
08/03/2023,18.85
07/03/2023,18.85
06/03/2023,18.9
03/03/2023,18.65
02/03/2023,18.75
01/03/2023,18.7
28/02/2023,18.75
27/02/2023,18.7
24/02/2023,18.5
23/02/2023,18.8
22/02/2023,19.2
21/02/2023,19.3
20/02/2023,18.55
17/02/2023,18.8
16/02/2023,18.35
15/02/2023,18.3
14/02/2023,18.95
13/02/2023,19.3
10/02/2023,19.05
09/02/2023,19.25
08/02/2023,19.2
07/02/2023,18.4
06/02/2023,18.55
03/02/2023,18.8
02/02/2023,18.7
01/02/2023,18.8
31/01/2023,19.0
30/01/2023,19.75
27/01/2023,19.75
19/01/2023,19.1
18/01/2023,18.5
17/01/2023,18.6
16/01/2023,18.7
13/01/2023,18.75
12/01/2023,18.75
11/01/2023,18.85
10/01/2023,19.0
09/01/2023,19.0
06/01/2023,19.0
05/01/2023,19.0
04/01/2023,19.0
03/01/2023,18.4
30/12/2022,18.1
29/12/2022,18.15
28/12/2022,18.35
27/12/2022,18.35
26/12/2022,18.2
23/12/2022,18.9
22/12/2022,18.2
21/12/2022,17.9
20/12/2022,17.9
19/12/2022,17.85
16/12/2022,17.9
15/12/2022,18.15
14/12/2022,18.45
13/12/2022,17.95
12/12/2022,18.0
09/12/2022,17.95
08/12/2022,18.1
07/12/2022,17.7
06/12/2022,18.1
05/12/2022,18.0
02/12/2022,18.0
01/12/2022,17.9
30/11/2022,18.5
29/11/2022,18.0
28/11/2022,17.2
25/11/2022,16.6
24/11/2022,16.6
23/11/2022,16.4
22/11/2022,17.1
21/11/2022,17.15
18/11/2022,17.25
17/11/2022,17.6
16/11/2022,16.9
15/11/2022,16.65
14/11/2022,17.15
11/11/2022,17.9
10/11/2022,18.4
09/11/2022,18.4
08/11/2022,17.8
07/11/2022,18.0
04/11/2022,19.05
03/11/2022,19.7
02/11/2022,19.7
01/11/2022,20.1
31/10/2022,20.1
28/10/2022,20.6
27/10/2022,20.6
26/10/2022,20.3
25/10/2022,20.85
24/10/2022,21.6
21/10/2022,21.0
20/10/2022,21.5
19/10/2022,21.85
18/10/2022,22.25
17/10/2022,21.7
14/10/2022,22.5
13/10/2022,22.5
12/10/2022,22.0
11/10/2022,21.9
10/10/2022,22.8
07/10/2022,23.2
06/10/2022,23.4
05/10/2022,23.1
04/10/2022,23.6
03/10/2022,23.8
30/09/2022,23.0
29/09/2022,23.4
28/09/2022,24.95
27/09/2022,24.7
26/09/2022,24.7
23/09/2022,24.85
22/09/2022,25.1
21/09/2022,25.7
20/09/2022,25.05
19/09/2022,24.9
16/09/2022,25.75
15/09/2022,25.75
14/09/2022,25.6
13/09/2022,26.1
12/09/2022,25.9
09/09/2022,25.5
08/09/2022,25.1
07/09/2022,25.1
06/09/2022,25.5
05/09/2022,25.0
31/08/2022,24.8
30/08/2022,24.75
29/08/2022,25.0
26/08/2022,24.7
25/08/2022,25.2
24/08/2022,24.95
23/08/2022,24.7
22/08/2022,25.2
19/08/2022,24.9
18/08/2022,24.55
17/08/2022,25.0
16/08/2022,25.2
15/08/2022,25.15
12/08/2022,25.0
11/08/2022,25.0
10/08/2022,25.4
09/08/2022,25.9
08/08/2022,25.9
05/08/2022,24.8
04/08/2022,25.0
03/08/2022,25.0
02/08/2022,24.95
01/08/2022,24.95
29/07/2022,24.85
28/07/2022,24.95
27/07/2022,25.0
26/07/2022,25.1
25/07/2022,25.1
22/07/2022,25.2
21/07/2022,24.95
20/07/2022,25.35
19/07/2022,25.4
18/07/2022,25.6
15/07/2022,25.9
14/07/2022,26.5
13/07/2022,27.4
12/07/2022,27.1
11/07/2022,26.2
08/07/2022,25.7
07/07/2022,25.2
06/07/2022,25.4
05/07/2022,25.5
04/07/2022,25.9
01/07/2022,25.9
30/06/2022,26.2
29/06/2022,25.6
28/06/2022,25.6
27/06/2022,25.7
24/06/2022,25.7
23/06/2022,25.95
22/06/2022,26.75
21/06/2022,26.95
20/06/2022,27.6
17/06/2022,28.25
16/06/2022,29.3
15/06/2022,28.4
14/06/2022,29.0
13/06/2022,28.55
10/06/2022,30.6
09/06/2022,31.1
08/06/2022,31.0
07/06/2022,30.4
06/06/2022,30.0
03/06/2022,31.8
02/06/2022,31.8
01/06/2022,31.1
31/05/2022,29.4
30/05/2022,29.25
27/05/2022,28.9
26/05/2022,28.8
25/05/2022,28.8
24/05/2022,28.6
23/05/2022,29.3
20/05/2022,29.0
19/05/2022,29.3
18/05/2022,29.4
17/05/2022,28.45
16/05/2022,28.35
13/05/2022,28.55
12/05/2022,29.3
11/05/2022,29.15
10/05/2022,28.9
09/05/2022,29.95
06/05/2022,31.5
05/05/2022,32.1
04/05/2022,32.2
29/04/2022,32.15
28/04/2022,31.9
27/04/2022,31.3
26/04/2022,31.25
25/04/2022,31.5
22/04/2022,32.4
21/04/2022,31.4
20/04/2022,30.9
19/04/2022,31.2
18/04/2022,31.6
15/04/2022,32.4
14/04/2022,33.3
13/04/2022,33.3
12/04/2022,33.35
08/04/2022,33.0
07/04/2022,34.4
06/04/2022,34.6
05/04/2022,35.0
04/04/2022,35.2
01/04/2022,34.9
31/03/2022,35.3
30/03/2022,35.3
29/03/2022,35.8
28/03/2022,35.9
25/03/2022,36.0
24/03/2022,36.2
23/03/2022,35.55
22/03/2022,35.4
21/03/2022,35.4
18/03/2022,35.5
17/03/2022,35.5
16/03/2022,35.5
15/03/2022,35.5
14/03/2022,34.9
11/03/2022,36.3
10/03/2022,36.2
09/03/2022,35.75
08/03/2022,36.4
07/03/2022,37.0
04/03/2022,37.0
03/03/2022,37.4
02/03/2022,37.4
01/03/2022,37.6
28/02/2022,37.6
25/02/2022,37.75
24/02/2022,37.7
23/02/2022,38.0
22/02/2022,37.8
21/02/2022,38.5
18/02/2022,39.0
17/02/2022,39.0
16/02/2022,40.0
15/02/2022,40.4
14/02/2022,42.1
11/02/2022,42.4
21/01/2022,39.8
20/01/2022,39.4
19/01/2022,39.0
18/01/2022,39.6
17/01/2022,39.2
14/01/2022,39.7
13/01/2022,39.7
12/01/2022,39.5
11/01/2022,40.5
10/01/2022,40.3
07/01/2022,40.9
06/01/2022,40.8
05/01/2022,41.8
04/01/2022,41.9
31/12/2021,39.2
30/12/2021,38.7
29/12/2021,38.0
28/12/2021,38.5
27/12/2021,39.0
24/12/2021,38.4
23/12/2021,38.5
21/12/2021,40.2
20/12/2021,38.4
17/12/2021,38.1
16/12/2021,38.0
15/12/2021,37.0
14/12/2021,34.6
13/12/2021,34.2
10/12/2021,34.1
09/12/2021,33.9
08/12/2021,34.9
07/12/2021,35.0
06/12/2021,33.3
03/12/2021,34.3
02/12/2021,34.8
01/12/2021,35.5
30/11/2021,35.0
29/11/2021,35.0
26/11/2021,36.2
25/11/2021,36.4
24/11/2021,36.5
23/11/2021,36.2
22/11/2021,35.7
19/11/2021,37.3
18/11/2021,37.0
17/11/2021,37.0
16/11/2021,37.5
15/11/2021,37.7
12/11/2021,38.1
11/11/2021,36.6
10/11/2021,32.7
09/11/2021,31.2
08/11/2021,31.3
05/11/2021,31.4
04/11/2021,31.4
03/11/2021,31.1
02/11/2021,32.2
01/11/2021,32.7
29/10/2021,32.0
28/10/2021,29.7
27/10/2021,29.0
26/10/2021,29.0
25/10/2021,29.1
22/10/2021,29.4
21/10/2021,28.7
20/10/2021,29.2
19/10/2021,29.3
18/10/2021,29.0
15/10/2021,29.3
14/10/2021,29.6
13/10/2021,29.4
12/10/2021,29.6
11/10/2021,29.7
08/10/2021,29.8
07/10/2021,30.7
06/10/2021,31.9
05/10/2021,32.6
04/10/2021,32.7
01/10/2021,28.3
30/09/2021,28.4
29/09/2021,28.3
28/09/2021,27.4
27/09/2021,27.0
24/09/2021,28.3
23/09/2021,28.6
22/09/2021,29.0
21/09/2021,28.0
20/09/2021,29.3
17/09/2021,30.5
16/09/2021,30.0
15/09/2021,29.3
14/09/2021,28.8
13/09/2021,29.4
10/09/2021,29.9
09/09/2021,31.0
08/09/2021,28.0
07/09/2021,28.0
06/09/2021,29.3
01/09/2021,29.5
31/08/2021,26.6
30/08/2021,24.1
27/08/2021,22.0
26/08/2021,19.7
25/08/2021,19.7
24/08/2021,19.7
23/08/2021,20.2
20/08/2021,19.7
19/08/2021,20.1
18/08/2021,20.3
16/08/2021,19.5
13/08/2021,18.2
12/08/2021,18.3
11/08/2021,18.5
10/08/2021,17.6
09/08/2021,17.5
06/08/2021,17.6
05/08/2021,17.7
04/08/2021,17.6
03/08/2021,17.7
02/08/2021,17.6
30/07/2021,18.4
29/07/2021,18.5
28/07/2021,18.5
27/07/2021,18.6
26/07/2021,17.8
23/07/2021,17.7
22/07/2021,18.9
21/07/2021,18.3
20/07/2021,18.4
19/07/2021,18.3
16/07/2021,18.9
15/07/2021,19.2
14/07/2021,18.4
13/07/2021,18.3
12/07/2021,17.8
09/07/2021,18.9
08/07/2021,19.0
07/07/2021,18.9
06/07/2021,18.9
05/07/2021,20.8
02/07/2021,20.2
01/07/2021,18.9
30/06/2021,17.5
29/06/2021,17.4
28/06/2021,17.2
25/06/2021,17.4
24/06/2021,17.7
23/06/2021,17.8
22/06/2021,17.9
18/06/2021,17.4
17/06/2021,17.3
16/06/2021,17.2
15/06/2021,17.0
14/06/2021,17.3
11/06/2021,17.0
10/06/2021,17.3
09/06/2021,17.6
08/06/2021,17.7
07/06/2021,17.5
04/06/2021,17.8
03/06/2021,17.4
02/06/2021,17.2
01/06/2021,17.2
31/05/2021,17.2
28/05/2021,17.3
27/05/2021,17.3
26/05/2021,17.5
25/05/2021,17.4
24/05/2021,17.2
21/05/2021,16.9
20/05/2021,16.9
19/05/2021,17.0
18/05/2021,16.9
17/05/2021,17.0
14/05/2021,16.7
13/05/2021,16.8
12/05/2021,16.9
11/05/2021,17.0
07/05/2021,17.2
06/05/2021,17.4
05/05/2021,17.3
04/05/2021,17.5
29/04/2021,16.9
28/04/2021,16.9
27/04/2021,16.5
26/04/2021,16.9
23/04/2021,17.0
22/04/2021,16.5
20/04/2021,17.2
19/04/2021,17.4
16/04/2021,17.4
15/04/2021,17.6
14/04/2021,18.2
13/04/2021,18.3
12/04/2021,19.0
09/04/2021,18.1
08/04/2021,17.1
07/04/2021,17.0
06/04/2021,16.9
05/04/2021,17.4
02/04/2021,17.4
01/04/2021,17.5
31/03/2021,17.3
30/03/2021,17.4
29/03/2021,17.4
25/03/2021,17.1
24/03/2021,17.3
23/03/2021,17.4
22/03/2021,17.5
19/03/2021,17.8
18/03/2021,17.6
17/03/2021,17.8
16/03/2021,18.0
15/03/2021,17.9
12/03/2021,18.0
11/03/2021,18.1
10/03/2021,18.0
09/03/2021,18.0
05/03/2021,17.9
04/03/2021,17.9
03/03/2021,18.0
02/03/2021,18.0
01/03/2021,18.2
26/02/2021,18.0
25/02/2021,18.1
24/02/2021,18.1
23/02/2021,18.3
22/02/2021,18.2
19/02/2021,18.3
18/02/2021,18.4
17/02/2021,18.4
09/02/2021,18.2
08/02/2021,17.5
05/02/2021,18.0
04/02/2021,17.9
03/02/2021,18.9
02/02/2021,17.4
01/02/2021,17.0
29/01/2021,17.0
28/01/2021,15.3
27/01/2021,17.0
26/01/2021,18.1
25/01/2021,18.5
22/01/2021,18.5
21/01/2021,18.6
20/01/2021,19.0
19/01/2021,18.8
18/01/2021,19.0
15/01/2021,18.4
14/01/2021,18.2
13/01/2021,18.2
12/01/2021,18.3
11/01/2021,18.8
08/01/2021,19.0
07/01/2021,18.8
06/01/2021,18.9
05/01/2021,18.3
04/01/2021,17.9
31/12/2020,17.5
30/12/2020,17.4
29/12/2020,16.8
28/12/2020,17.3
25/12/2020,16.8
24/12/2020,17.1
23/12/2020,18.1
22/12/2020,18.0
21/12/2020,16.7
18/12/2020,15.8
17/12/2020,15.8
16/12/2020,15.7
15/12/2020,15.9
14/12/2020,16.0
11/12/2020,15.9
10/12/2020,15.7
09/12/2020,15.8
08/12/2020,15.5
07/12/2020,15.2
04/12/2020,15.4
03/12/2020,15.0
02/12/2020,14.8
01/12/2020,14.7
30/11/2020,14.8
26/11/2020,15.6
25/11/2020,15.8
24/11/2020,16.0
19/11/2020,14.3
18/11/2020,13.8
17/11/2020,13.9
16/11/2020,12.7
13/11/2020,12.2
12/11/2020,12.0
11/11/2020,12.1
10/11/2020,12.3
09/11/2020,12.5
06/11/2020,12.4
05/11/2020,12.2
04/11/2020,12.1
03/11/2020,12.9
02/11/2020,12.3
30/10/2020,12.4
29/10/2020,11.5
28/10/2020,11.4
27/10/2020,11.9
26/10/2020,11.2
23/10/2020,11.7
22/10/2020,11.6
21/10/2020,11.5
20/10/2020,11.8
19/10/2020,11.7
16/10/2020,11.8
15/10/2020,11.4
14/10/2020,11.7
13/10/2020,11.8
12/10/2020,11.9
09/10/2020,11.6
08/10/2020,11.7
07/10/2020,12.1
06/10/2020,11.7
05/10/2020,12.5
02/10/2020,11.6
01/10/2020,11.9
30/09/2020,11.5
29/09/2020,11.6
28/09/2020,11.7
25/09/2020,11.7
24/09/2020,11.8
23/09/2020,12.0
22/09/2020,11.8
21/09/2020,11.9
18/09/2020,12.0
17/09/2020,11.9
16/09/2020,12.0
15/09/2020,12.4
14/09/2020,12.4
11/09/2020,12.9
10/09/2020,13.0
