Ngay,GiaDongCua
29/12/2023,34.5
28/12/2023,34.5
27/12/2023,34.45
26/12/2023,34.45
25/12/2023,34.65
22/12/2023,33.8
21/12/2023,34.0
20/12/2023,34.4
19/12/2023,33.95
18/12/2023,33.9
15/12/2023,34.3
14/12/2023,34.35
13/12/2023,34.7
12/12/2023,35.45
11/12/2023,35.65
08/12/2023,35.65
07/12/2023,35.15
06/12/2023,35.9
05/12/2023,35.55
04/12/2023,35.5
01/12/2023,35.2
30/11/2023,35.1
29/11/2023,35.8
28/11/2023,33.7
27/11/2023,33.6
24/11/2023,33.4
23/11/2023,33.7
22/11/2023,34.05
21/11/2023,33.8
20/11/2023,33.5
17/11/2023,33.5
16/11/2023,34.45
15/11/2023,34.0
14/11/2023,33.5
13/11/2023,33.35
10/11/2023,33.35
09/11/2023,33.95
08/11/2023,34.2
07/11/2023,33.15
06/11/2023,33.25
03/11/2023,33.1
02/11/2023,33.4
01/11/2023,32.3
31/10/2023,31.9
30/10/2023,32.85
27/10/2023,33.0
26/10/2023,32.9
25/10/2023,35.35
24/10/2023,35.5
23/10/2023,35.35
20/10/2023,35.4
19/10/2023,35.0
18/10/2023,35.0
17/10/2023,36.0
16/10/2023,36.8
13/10/2023,36.7
12/10/2023,36.7
11/10/2023,36.9
10/10/2023,36.0
09/10/2023,35.7
06/10/2023,35.0
05/10/2023,34.4
04/10/2023,36.25
03/10/2023,36.0
02/10/2023,37.5
29/09/2023,37.5
28/09/2023,37.75
27/09/2023,36.55
26/09/2023,37.1
25/09/2023,37.5
22/09/2023,39.15
21/09/2023,39.8
20/09/2023,40.4
19/09/2023,39.9
18/09/2023,39.6
15/09/2023,40.15
14/09/2023,40.0
13/09/2023,40.3
12/09/2023,40.0
11/09/2023,39.85
08/09/2023,39.4
07/09/2023,39.35
06/09/2023,39.3
05/09/2023,39.15
31/08/2023,38.55
30/08/2023,38.4
29/08/2023,38.05
28/08/2023,38.15
25/08/2023,37.55
24/08/2023,37.8
23/08/2023,37.4
22/08/2023,37.7
21/08/2023,37.5
18/08/2023,37.35
17/08/2023,39.75
16/08/2023,40.25
15/08/2023,40.35
14/08/2023,40.55
11/08/2023,40.65
10/08/2023,40.8
09/08/2023,40.7
08/08/2023,40.9
07/08/2023,40.5
04/08/2023,40.3
03/08/2023,40.1
02/08/2023,40.95
01/08/2023,41.0
31/07/2023,41.5
28/07/2023,40.05
27/07/2023,39.9
26/07/2023,40.5
25/07/2023,40.3
24/07/2023,40.3
21/07/2023,40.5
20/07/2023,39.7
19/07/2023,40.1
18/07/2023,40.55
17/07/2023,40.95
14/07/2023,40.9
13/07/2023,41.4
12/07/2023,41.5
11/07/2023,41.25
10/07/2023,41.8
07/07/2023,40.3
06/07/2023,40.3
05/07/2023,40.3
04/07/2023,39.85
03/07/2023,37.65
30/06/2023,37.35
29/06/2023,37.5
28/06/2023,38.1
27/06/2023,38.15
26/06/2023,37.55
23/06/2023,37.5
22/06/2023,37.65
21/06/2023,37.5
20/06/2023,37.2
19/06/2023,37.2
16/06/2023,37.2
15/06/2023,38.3
14/06/2023,38.05
13/06/2023,38.05
12/06/2023,37.95
09/06/2023,38.0
08/06/2023,38.3
07/06/2023,38.9
06/06/2023,38.9
05/06/2023,39.1
02/06/2023,38.25
01/06/2023,37.45
31/05/2023,37.5
30/05/2023,37.9
29/05/2023,37.9
26/05/2023,37.65
25/05/2023,37.35
24/05/2023,37.3
23/05/2023,37.5
22/05/2023,37.75
19/05/2023,37.6
18/05/2023,37.45
17/05/2023,37.5
16/05/2023,38.05
15/05/2023,37.8
12/05/2023,37.55
11/05/2023,37.75
10/05/2023,37.75
09/05/2023,38.0
08/05/2023,37.8
05/05/2023,37.8
04/05/2023,37.45
28/04/2023,37.45
27/04/2023,37.45
26/04/2023,36.9
25/04/2023,36.4
24/04/2023,36.75
21/04/2023,36.75
20/04/2023,36.45
19/04/2023,36.4
18/04/2023,36.8
17/04/2023,36.1
14/04/2023,36.5
13/04/2023,37.2
12/04/2023,37.0
11/04/2023,36.95
10/04/2023,37.3
07/04/2023,37.7
06/04/2023,37.35
05/04/2023,38.05
04/04/2023,37.95
03/04/2023,37.5
31/03/2023,37.45
30/03/2023,36.9
29/03/2023,36.0
28/03/2023,35.8
27/03/2023,35.7
24/03/2023,36.35
23/03/2023,35.85
22/03/2023,34.7
21/03/2023,34.7
20/03/2023,35.4
17/03/2023,35.4
