Ngay,GiaDongCua
29/12/2023,11.25
28/12/2023,11.25
27/12/2023,11.15
26/12/2023,11.25
25/12/2023,11.3
22/12/2023,11.25
21/12/2023,11.3
20/12/2023,11.3
19/12/2023,11.2
18/12/2023,11.1
15/12/2023,11.2
14/12/2023,11.3
13/12/2023,11.4
12/12/2023,11.6
11/12/2023,11.6
08/12/2023,11.65
07/12/2023,11.5
06/12/2023,11.55
05/12/2023,11.45
04/12/2023,11.55
01/12/2023,11.3
30/11/2023,11.25
29/11/2023,11.3
28/11/2023,11.3
27/11/2023,11.3
24/11/2023,11.4
23/11/2023,11.45
22/11/2023,11.65
21/11/2023,11.7
20/11/2023,11.65
17/11/2023,11.65
16/11/2023,11.85
15/11/2023,11.75
14/11/2023,11.85
13/11/2023,11.9
10/11/2023,11.7
09/11/2023,11.55
08/11/2023,11.5
07/11/2023,11.15
06/11/2023,11.25
03/11/2023,11.1
02/11/2023,11.1
01/11/2023,10.7
31/10/2023,10.6
30/10/2023,10.85
27/10/2023,11.0
26/10/2023,10.8
25/10/2023,11.2
24/10/2023,11.2
23/10/2023,11.05
20/10/2023,11.2
19/10/2023,11.05
18/10/2023,11.25
17/10/2023,11.25
16/10/2023,11.35
13/10/2023,11.4
12/10/2023,11.45
11/10/2023,11.5
10/10/2023,11.45
09/10/2023,11.2
06/10/2023,11.2
05/10/2023,10.9
04/10/2023,11.25
03/10/2023,11.2
02/10/2023,11.75
29/09/2023,11.6
28/09/2023,11.5
27/09/2023,11.75
26/09/2023,11.65
25/09/2023,11.8
22/09/2023,12.3
21/09/2023,12.7
20/09/2023,12.8
19/09/2023,12.75
18/09/2023,12.65
15/09/2023,12.75
14/09/2023,12.75
13/09/2023,12.95
12/09/2023,12.9
11/09/2023,12.7
08/09/2023,12.85
07/09/2023,12.9
06/09/2023,13.0
05/09/2023,13.0
31/08/2023,12.8
30/08/2023,12.7
29/08/2023,12.6
28/08/2023,12.7
25/08/2023,12.5
24/08/2023,12.6
23/08/2023,12.35
22/08/2023,12.8
21/08/2023,13.0
18/08/2023,13.05
17/08/2023,14.0
16/08/2023,13.9
15/08/2023,13.9
14/08/2023,13.75
11/08/2023,13.65
10/08/2023,13.8
