Ngay,GiaDongCua
29/12/2023,14.75
28/12/2023,14.8
27/12/2023,14.75
26/12/2023,14.65
25/12/2023,14.9
22/12/2023,15.0
21/12/2023,14.9
20/12/2023,14.95
19/12/2023,14.55
18/12/2023,14.6
15/12/2023,14.5
14/12/2023,14.5
13/12/2023,14.55
12/12/2023,14.6
11/12/2023,14.6
08/12/2023,14.6
07/12/2023,14.65
06/12/2023,14.8
05/12/2023,14.75
04/12/2023,14.9
01/12/2023,14.4
30/11/2023,14.0
29/11/2023,13.7
28/11/2023,13.55
27/11/2023,13.3
24/11/2023,13.1
23/11/2023,13.1
22/11/2023,13.2
21/11/2023,13.3
20/11/2023,13.4
17/11/2023,13.45
16/11/2023,13.45
15/11/2023,13.45
14/11/2023,13.3
13/11/2023,13.4
10/11/2023,13.35
09/11/2023,13.3
08/11/2023,13.4
07/11/2023,12.95
06/11/2023,12.95
03/11/2023,12.85
02/11/2023,12.85
01/11/2023,12.45
31/10/2023,12.55
30/10/2023,12.55
27/10/2023,12.45
26/10/2023,12.45
25/10/2023,13.35
24/10/2023,13.35
23/10/2023,13.35
20/10/2023,13.4
19/10/2023,13.4
18/10/2023,13.6
17/10/2023,13.8
16/10/2023,14.05
13/10/2023,14.15
12/10/2023,14.05
11/10/2023,14.05
10/10/2023,13.95
09/10/2023,14.05
06/10/2023,13.8
05/10/2023,13.85
04/10/2023,14.0
03/10/2023,14.0
02/10/2023,14.05
29/09/2023,13.95
28/09/2023,13.9
27/09/2023,13.75
26/09/2023,13.8
25/09/2023,14.0
22/09/2023,14.25
21/09/2023,14.5
20/09/2023,14.6
19/09/2023,14.6
18/09/2023,14.55
15/09/2023,14.7
14/09/2023,14.7
13/09/2023,14.6
12/09/2023,14.55
11/09/2023,14.75
08/09/2023,14.75
07/09/2023,14.85
06/09/2023,15.0
05/09/2023,14.8
31/08/2023,14.35
30/08/2023,14.5
29/08/2023,14.65
28/08/2023,14.2
25/08/2023,13.8
24/08/2023,13.75
23/08/2023,13.65
22/08/2023,13.7
21/08/2023,13.6
18/08/2023,13.8
17/08/2023,14.45
16/08/2023,14.45
15/08/2023,14.4
14/08/2023,14.5
11/08/2023,14.5
10/08/2023,14.65
09/08/2023,14.75
08/08/2023,14.8
07/08/2023,14.85
04/08/2023,14.8
03/08/2023,14.85
02/08/2023,14.85
01/08/2023,14.85
31/07/2023,14.8
28/07/2023,14.95
27/07/2023,15.8
26/07/2023,16.15
25/07/2023,15.85
24/07/2023,16.1
21/07/2023,15.95
20/07/2023,16.3
19/07/2023,16.45
18/07/2023,15.4
17/07/2023,15.65
14/07/2023,15.8
13/07/2023,16.2
12/07/2023,16.15
11/07/2023,16.15
10/07/2023,16.15
07/07/2023,15.9
06/07/2023,16.05
05/07/2023,16.1
04/07/2023,16.0
03/07/2023,16.05
30/06/2023,15.9
29/06/2023,16.0
28/06/2023,16.1
27/06/2023,16.1
26/06/2023,16.0
23/06/2023,16.3
22/06/2023,16.45
21/06/2023,16.2
20/06/2023,16.25
19/06/2023,15.95
16/06/2023,16.4
15/06/2023,16.6
14/06/2023,16.8
13/06/2023,16.8
12/06/2023,17.3
09/06/2023,16.75
08/06/2023,16.25
07/06/2023,16.4
06/06/2023,16.4
05/06/2023,16.4
02/06/2023,15.65
01/06/2023,15.55
31/05/2023,15.5
30/05/2023,15.45
29/05/2023,15.35
26/05/2023,15.35
25/05/2023,15.4
24/05/2023,15.4
23/05/2023,15.55
22/05/2023,15.6
19/05/2023,15.3
18/05/2023,15.1
17/05/2023,14.9
16/05/2023,15.4
15/05/2023,15.45
12/05/2023,15.5
11/05/2023,15.5
10/05/2023,15.45
09/05/2023,15.6
08/05/2023,15.75
05/05/2023,15.4
04/05/2023,15.5
28/04/2023,15.35
27/04/2023,15.2
26/04/2023,15.0
25/04/2023,15.0
24/04/2023,15.05
21/04/2023,14.55
20/04/2023,14.7
19/04/2023,14.65
18/04/2023,14.55
17/04/2023,14.75
14/04/2023,14.6
13/04/2023,15.0
12/04/2023,15.4
11/04/2023,15.4
10/04/2023,15.15
07/04/2023,14.2
06/04/2023,14.2
05/04/2023,14.25
04/04/2023,14.15
03/04/2023,13.95
31/03/2023,14.05
30/03/2023,14.05
29/03/2023,13.9
28/03/2023,13.85
27/03/2023,14.0
24/03/2023,13.75
23/03/2023,14.35
22/03/2023,14.05
21/03/2023,15.1
20/03/2023,15.05
17/03/2023,15.1
16/03/2023,15.0
15/03/2023,15.15
14/03/2023,14.95
13/03/2023,15.3
10/03/2023,15.3
09/03/2023,15.4
08/03/2023,15.45
07/03/2023,15.35
06/03/2023,15.3
03/03/2023,15.45
02/03/2023,15.5
01/03/2023,14.9
28/02/2023,14.8
27/02/2023,14.7
24/02/2023,14.7
23/02/2023,14.75
22/02/2023,14.75
21/02/2023,15.0
20/02/2023,14.85
17/02/2023,14.7
16/02/2023,14.6
15/02/2023,14.65
14/02/2023,14.45
13/02/2023,14.4
10/02/2023,14.9
09/02/2023,14.9
08/02/2023,14.7
07/02/2023,14.9
06/02/2023,14.7
03/02/2023,14.3
02/02/2023,14.25
01/02/2023,14.35
31/01/2023,14.35
30/01/2023,14.3
27/01/2023,14.25
19/01/2023,14.25
18/01/2023,14.1
17/01/2023,14.0
16/01/2023,13.8
13/01/2023,14.0
12/01/2023,13.75
