Ngay,Symbol,GiaDongCua
29/12/2023,PVD,28.3
28/12/2023,PVD,28.0
27/12/2023,PVD,28.3
26/12/2023,PVD,28.1
25/12/2023,PVD,28.3
22/12/2023,PVD,27.8
21/12/2023,PVD,28.05
20/12/2023,PVD,28.0
19/12/2023,PVD,27.5
18/12/2023,PVD,27.0
15/12/2023,PVD,27.0
14/12/2023,PVD,27.2
13/12/2023,PVD,27.5
12/12/2023,PVD,28.55
11/12/2023,PVD,28.45
08/12/2023,PVD,28.5
07/12/2023,PVD,28.25
06/12/2023,PVD,29.1
05/12/2023,PVD,28.75
04/12/2023,PVD,28.8
01/12/2023,PVD,28.35
30/11/2023,PVD,28.0
29/11/2023,PVD,28.55
28/11/2023,PVD,27.3
27/11/2023,PVD,27.35
24/11/2023,PVD,27.0
23/11/2023,PVD,26.6
22/11/2023,PVD,27.7
21/11/2023,PVD,27.8
20/11/2023,PVD,26.7
17/11/2023,PVD,26.4
16/11/2023,PVD,27.3
15/11/2023,PVD,26.95
14/11/2023,PVD,27.4
13/11/2023,PVD,27.35
10/11/2023,PVD,26.8
09/11/2023,PVD,27.15
08/11/2023,PVD,27.35
07/11/2023,PVD,26.3
06/11/2023,PVD,25.85
03/11/2023,PVD,25.75
02/11/2023,PVD,25.65
01/11/2023,PVD,24.7
31/10/2023,PVD,23.55
30/10/2023,PVD,24.5
27/10/2023,PVD,25.8
26/10/2023,PVD,25.15
25/10/2023,PVD,27.0
24/10/2023,PVD,27.6
23/10/2023,PVD,27.9
20/10/2023,PVD,28.3
19/10/2023,PVD,27.8
18/10/2023,PVD,27.8
17/10/2023,PVD,27.0
16/10/2023,PVD,28.7
13/10/2023,PVD,28.45
12/10/2023,PVD,28.0
11/10/2023,PVD,27.8
10/10/2023,PVD,26.2
09/10/2023,PVD,26.5
06/10/2023,PVD,25.8
05/10/2023,PVD,25.85
04/10/2023,PVD,25.45
03/10/2023,PVD,24.55
02/10/2023,PVD,26.0
29/09/2023,PVD,25.8
28/09/2023,PVD,26.15
27/09/2023,PVD,25.2
26/09/2023,PVD,24.0
25/09/2023,PVD,24.0
22/09/2023,PVD,25.45
21/09/2023,PVD,26.5
20/09/2023,PVD,27.0
19/09/2023,PVD,26.65
18/09/2023,PVD,26.65
15/09/2023,PVD,27.2
14/09/2023,PVD,26.8
13/09/2023,PVD,26.5
12/09/2023,PVD,26.45
11/09/2023,PVD,26.0
08/09/2023,PVD,26.45
07/09/2023,PVD,26.5
06/09/2023,PVD,26.05
05/09/2023,PVD,25.9
31/08/2023,PVD,25.5
30/08/2023,PVD,25.1
29/08/2023,PVD,25.1
28/08/2023,PVD,24.6
25/08/2023,PVD,24.65
24/08/2023,PVD,24.5
23/08/2023,PVD,24.3
22/08/2023,PVD,24.0
21/08/2023,PVD,24.0
18/08/2023,PVD,23.75
17/08/2023,PVD,25.5
16/08/2023,PVD,25.75
15/08/2023,PVD,25.55
14/08/2023,PVD,25.65
11/08/2023,PVD,25.5
10/08/2023,PVD,25.65
09/08/2023,PVD,25.8
08/08/2023,PVD,26.1
07/08/2023,PVD,25.9
04/08/2023,PVD,25.85
03/08/2023,PVD,25.2
02/08/2023,PVD,25.9
01/08/2023,PVD,25.5
31/07/2023,PVD,26.2
28/07/2023,PVD,26.45
27/07/2023,PVD,25.8
26/07/2023,PVD,25.9
25/07/2023,PVD,25.7
24/07/2023,PVD,25.7
21/07/2023,PVD,25.1
20/07/2023,PVD,24.8
19/07/2023,PVD,24.95
18/07/2023,PVD,25.35
17/07/2023,PVD,25.45
14/07/2023,PVD,25.15
13/07/2023,PVD,25.3
12/07/2023,PVD,25.25
11/07/2023,PVD,24.85
10/07/2023,PVD,24.9
07/07/2023,PVD,24.85
06/07/2023,PVD,25.0
05/07/2023,PVD,25.5
04/07/2023,PVD,25.85
03/07/2023,PVD,24.85
30/06/2023,PVD,24.5
29/06/2023,PVD,24.5
28/06/2023,PVD,24.6
27/06/2023,PVD,24.75
26/06/2023,PVD,24.5
23/06/2023,PVD,24.15
22/06/2023,PVD,25.0
21/06/2023,PVD,24.9
20/06/2023,PVD,24.45
19/06/2023,PVD,24.0
16/06/2023,PVD,23.85
15/06/2023,PVD,24.4
14/06/2023,PVD,23.4
13/06/2023,PVD,23.85
12/06/2023,PVD,23.4
09/06/2023,PVD,23.6
08/06/2023,PVD,23.65
07/06/2023,PVD,24.45
06/06/2023,PVD,24.2
05/06/2023,PVD,24.2
02/06/2023,PVD,24.3
01/06/2023,PVD,23.9
31/05/2023,PVD,24.2
30/05/2023,PVD,24.05
29/05/2023,PVD,23.7
26/05/2023,PVD,23.85
25/05/2023,PVD,23.95
24/05/2023,PVD,23.4
23/05/2023,PVD,23.8
22/05/2023,PVD,23.6
19/05/2023,PVD,23.45
18/05/2023,PVD,22.4
17/05/2023,PVD,21.95
16/05/2023,PVD,22.35
15/05/2023,PVD,21.85
12/05/2023,PVD,22.45
11/05/2023,PVD,22.3
10/05/2023,PVD,21.85
09/05/2023,PVD,21.9
08/05/2023,PVD,21.2
05/05/2023,PVD,20.55
04/05/2023,PVD,20.3
28/04/2023,PVD,20.95
27/04/2023,PVD,20.75
26/04/2023,PVD,20.7
25/04/2023,PVD,20.5
24/04/2023,PVD,20.4
21/04/2023,PVD,20.3
20/04/2023,PVD,20.5
19/04/2023,PVD,20.6
