Ngay,Symbol,GiaDongCua
29/12/2023,REE,56.8
28/12/2023,REE,56.4
27/12/2023,REE,56.4
26/12/2023,REE,55.8
25/12/2023,REE,56.1
22/12/2023,REE,55.8
21/12/2023,REE,56.5
20/12/2023,REE,56.3
19/12/2023,REE,56.3
18/12/2023,REE,56.8
15/12/2023,REE,56.7
14/12/2023,REE,57.1
13/12/2023,REE,57.7
12/12/2023,REE,59.0
11/12/2023,REE,58.7
08/12/2023,REE,59.2
07/12/2023,REE,58.0
06/12/2023,REE,58.8
05/12/2023,REE,59.3
04/12/2023,REE,58.0
01/12/2023,REE,57.3
30/11/2023,REE,57.1
29/11/2023,REE,57.6
28/11/2023,REE,57.2
27/11/2023,REE,56.9
24/11/2023,REE,57.1
23/11/2023,REE,57.5
22/11/2023,REE,57.5
21/11/2023,REE,57.7
20/11/2023,REE,57.8
17/11/2023,REE,58.0
16/11/2023,REE,57.9
15/11/2023,REE,58.3
14/11/2023,REE,57.9
13/11/2023,REE,57.3
10/11/2023,REE,57.4
09/11/2023,REE,57.0
08/11/2023,REE,57.0
07/11/2023,REE,55.2
06/11/2023,REE,55.4
03/11/2023,REE,53.0
02/11/2023,REE,54.6
01/11/2023,REE,52.1
31/10/2023,REE,52.6
30/10/2023,REE,54.6
27/10/2023,REE,55.0
26/10/2023,REE,56.0
25/10/2023,REE,59.0
24/10/2023,REE,59.6
23/10/2023,REE,59.2
20/10/2023,REE,60.4
19/10/2023,REE,59.6
18/10/2023,REE,60.4
17/10/2023,REE,61.6
16/10/2023,REE,62.2
13/10/2023,REE,62.8
12/10/2023,REE,62.9
11/10/2023,REE,62.6
10/10/2023,REE,62.6
09/10/2023,REE,61.9
06/10/2023,REE,62.2
05/10/2023,REE,62.0
04/10/2023,REE,62.8
03/10/2023,REE,62.0
02/10/2023,REE,63.5
29/09/2023,REE,63.2
28/09/2023,REE,63.5
27/09/2023,REE,62.9
26/09/2023,REE,61.9
25/09/2023,REE,61.8
22/09/2023,REE,63.5
21/09/2023,REE,65.5
20/09/2023,REE,64.3
19/09/2023,REE,63.5
18/09/2023,REE,62.5
