Ngay,Symbol,GiaDongCua
29/12/2023,SBA,25.9
28/12/2023,SBA,25.7
27/12/2023,SBA,25.7
26/12/2023,SBA,25.5
25/12/2023,SBA,25.65
22/12/2023,SBA,25.6
21/12/2023,SBA,25.3
20/12/2023,SBA,25.3
19/12/2023,SBA,25.25
18/12/2023,SBA,25.4
15/12/2023,SBA,25.4
14/12/2023,SBA,25.0
13/12/2023,SBA,25.4
12/12/2023,SBA,25.5
11/12/2023,SBA,25.7
08/12/2023,SBA,25.9
07/12/2023,SBA,25.7
06/12/2023,SBA,25.75
05/12/2023,SBA,25.95
04/12/2023,SBA,25.95
01/12/2023,SBA,26.0
30/11/2023,SBA,25.7
29/11/2023,SBA,25.9
28/11/2023,SBA,25.9
27/11/2023,SBA,26.2
24/11/2023,SBA,25.95
23/11/2023,SBA,26.0
22/11/2023,SBA,24.8
21/11/2023,SBA,24.9
20/11/2023,SBA,24.8
17/11/2023,SBA,24.85
16/11/2023,SBA,24.8
15/11/2023,SBA,24.75
14/11/2023,SBA,24.7
13/11/2023,SBA,24.45
10/11/2023,SBA,24.4
09/11/2023,SBA,24.5
08/11/2023,SBA,24.5
07/11/2023,SBA,24.6
06/11/2023,SBA,24.6
03/11/2023,SBA,24.4
02/11/2023,SBA,24.2
01/11/2023,SBA,24.3
31/10/2023,SBA,24.0
30/10/2023,SBA,24.5
27/10/2023,SBA,24.5
26/10/2023,SBA,24.3
25/10/2023,SBA,24.75
24/10/2023,SBA,24.75
23/10/2023,SBA,24.85
20/10/2023,SBA,24.85
19/10/2023,SBA,24.9
18/10/2023,SBA,24.5
17/10/2023,SBA,24.7
16/10/2023,SBA,25.0
13/10/2023,SBA,25.0
12/10/2023,SBA,25.0
11/10/2023,SBA,24.9
10/10/2023,SBA,24.5
09/10/2023,SBA,24.5
06/10/2023,SBA,23.4
05/10/2023,SBA,23.4
04/10/2023,SBA,23.35
03/10/2023,SBA,23.35
02/10/2023,SBA,23.25
29/09/2023,SBA,23.3
28/09/2023,SBA,23.3
27/09/2023,SBA,23.3
26/09/2023,SBA,23.3
25/09/2023,SBA,23.15
22/09/2023,SBA,23.15
21/09/2023,SBA,23.2
20/09/2023,SBA,23.2
19/09/2023,SBA,23.1
18/09/2023,SBA,23.25
15/09/2023,SBA,23.2
14/09/2023,SBA,23.2
13/09/2023,SBA,23.05
12/09/2023,SBA,23.1
11/09/2023,SBA,23.05
08/09/2023,SBA,23.1
07/09/2023,SBA,23.1
06/09/2023,SBA,23.25
05/09/2023,SBA,23.3
31/08/2023,SBA,23.2
30/08/2023,SBA,23.2
29/08/2023,SBA,23.45
28/08/2023,SBA,23.35
25/08/2023,SBA,23.35
24/08/2023,SBA,23.2
23/08/2023,SBA,23.1
22/08/2023,SBA,23.2
21/08/2023,SBA,23.25
