Ngay,Symbol,GiaDongCua
29/12/2023,SHP,31.15
28/12/2023,SHP,30.6
27/12/2023,SHP,30.55
26/12/2023,SHP,30.5
25/12/2023,SHP,30.2
22/12/2023,SHP,29.9
21/12/2023,SHP,29.75
20/12/2023,SHP,29.75
19/12/2023,SHP,29.65
18/12/2023,SHP,29.65
15/12/2023,SHP,29.6
14/12/2023,SHP,29.5
13/12/2023,SHP,29.6
12/12/2023,SHP,29.5
11/12/2023,SHP,29.35
08/12/2023,SHP,29.55
07/12/2023,SHP,29.5
06/12/2023,SHP,29.2
05/12/2023,SHP,29.55
04/12/2023,SHP,29.6
01/12/2023,SHP,29.7
30/11/2023,SHP,29.7
29/11/2023,SHP,29.0
28/11/2023,SHP,29.25
27/11/2023,SHP,29.25
24/11/2023,SHP,29.1
23/11/2023,SHP,29.2
22/11/2023,SHP,29.2
21/11/2023,SHP,29.2
20/11/2023,SHP,29.0
17/11/2023,SHP,28.8
16/11/2023,SHP,29.0
15/11/2023,SHP,29.0
14/11/2023,SHP,28.7
13/11/2023,SHP,28.8
10/11/2023,SHP,28.8
09/11/2023,SHP,28.6
08/11/2023,SHP,28.4
07/11/2023,SHP,28.45
06/11/2023,SHP,28.7
03/11/2023,SHP,28.55
02/11/2023,SHP,28.6
01/11/2023,SHP,28.3
31/10/2023,SHP,28.5
30/10/2023,SHP,28.4
27/10/2023,SHP,28.7
26/10/2023,SHP,28.6
25/10/2023,SHP,28.6
24/10/2023,SHP,28.7
23/10/2023,SHP,28.8
20/10/2023,SHP,28.5
19/10/2023,SHP,28.3
18/10/2023,SHP,28.85
17/10/2023,SHP,28.85
16/10/2023,SHP,28.75
13/10/2023,SHP,30.5
12/10/2023,SHP,30.5
11/10/2023,SHP,30.5
10/10/2023,SHP,30.2
09/10/2023,SHP,30.1
06/10/2023,SHP,30.45
05/10/2023,SHP,29.8
04/10/2023,SHP,29.8
03/10/2023,SHP,29.6
02/10/2023,SHP,29.6
29/09/2023,SHP,29.5
28/09/2023,SHP,29.4
27/09/2023,SHP,29.3
26/09/2023,SHP,29.3
25/09/2023,SHP,29.4
22/09/2023,SHP,29.5
21/09/2023,SHP,29.5
20/09/2023,SHP,29.5
19/09/2023,SHP,29.5
18/09/2023,SHP,29.1
15/09/2023,SHP,29.15
14/09/2023,SHP,29.05
13/09/2023,SHP,29.1
12/09/2023,SHP,29.3
11/09/2023,SHP,29.5
08/09/2023,SHP,29.9
07/09/2023,SHP,29.0
06/09/2023,SHP,29.3
05/09/2023,SHP,29.0
31/08/2023,SHP,29.6
30/08/2023,SHP,29.8
29/08/2023,SHP,29.8
28/08/2023,SHP,28.8
25/08/2023,SHP,28.75
24/08/2023,SHP,28.65
23/08/2023,SHP,29.4
22/08/2023,SHP,28.9
21/08/2023,SHP,29.0
18/08/2023,SHP,29.5
17/08/2023,SHP,30.0
16/08/2023,SHP,30.0
15/08/2023,SHP,30.0
14/08/2023,SHP,29.95
11/08/2023,SHP,30.0
10/08/2023,SHP,29.8
09/08/2023,SHP,28.25
08/08/2023,SHP,28.5
07/08/2023,SHP,28.5
04/08/2023,SHP,28.4
03/08/2023,SHP,28.4
02/08/2023,SHP,28.5
01/08/2023,SHP,28.4
31/07/2023,SHP,28.3
28/07/2023,SHP,28.5
27/07/2023,SHP,28.5
26/07/2023,SHP,28.0
25/07/2023,SHP,28.0
24/07/2023,SHP,27.65
21/07/2023,SHP,28.0
20/07/2023,SHP,28.1
19/07/2023,SHP,28.0
18/07/2023,SHP,28.0
17/07/2023,SHP,27.9
14/07/2023,SHP,27.9
13/07/2023,SHP,27.45
12/07/2023,SHP,26.9
11/07/2023,SHP,26.8
10/07/2023,SHP,26.8
07/07/2023,SHP,27.0
06/07/2023,SHP,26.9
05/07/2023,SHP,27.0
04/07/2023,SHP,27.55
03/07/2023,SHP,27.65
30/06/2023,SHP,28.6
29/06/2023,SHP,28.5
28/06/2023,SHP,28.75
27/06/2023,SHP,28.8
26/06/2023,SHP,28.6
23/06/2023,SHP,28.4
22/06/2023,SHP,28.5
21/06/2023,SHP,28.5
20/06/2023,SHP,28.2
19/06/2023,SHP,28.2
16/06/2023,SHP,28.25
15/06/2023,SHP,28.25
14/06/2023,SHP,28.25
13/06/2023,SHP,28.3
12/06/2023,SHP,28.3
09/06/2023,SHP,28.3
08/06/2023,SHP,28.5
07/06/2023,SHP,28.5
06/06/2023,SHP,28.5
05/06/2023,SHP,28.5
02/06/2023,SHP,28.6
01/06/2023,SHP,29.0
31/05/2023,SHP,28.05
30/05/2023,SHP,28.4
29/05/2023,SHP,28.3
26/05/2023,SHP,28.2
25/05/2023,SHP,28.15
24/05/2023,SHP,28.15
23/05/2023,SHP,28.1
22/05/2023,SHP,28.5
19/05/2023,SHP,27.8
18/05/2023,SHP,27.8
17/05/2023,SHP,27.7
16/05/2023,SHP,28.3
15/05/2023,SHP,28.3
12/05/2023,SHP,28.2
11/05/2023,SHP,28.1
10/05/2023,SHP,28.2
09/05/2023,SHP,28.15
08/05/2023,SHP,28.15
05/05/2023,SHP,27.5
04/05/2023,SHP,28.0
28/04/2023,SHP,28.0
27/04/2023,SHP,27.5
26/04/2023,SHP,27.2
25/04/2023,SHP,27.1
24/04/2023,SHP,27.2
21/04/2023,SHP,27.15
20/04/2023,SHP,27.15
19/04/2023,SHP,27.2
18/04/2023,SHP,27.2
17/04/2023,SHP,27.15
14/04/2023,SHP,27.1
13/04/2023,SHP,27.4
12/04/2023,SHP,27.4
11/04/2023,SHP,27.4
10/04/2023,SHP,27.1
07/04/2023,SHP,27.1
06/04/2023,SHP,27.2
05/04/2023,SHP,27.2
04/04/2023,SHP,27.1
03/04/2023,SHP,27.1
31/03/2023,SHP,27.3
30/03/2023,SHP,27.15
29/03/2023,SHP,27.5
28/03/2023,SHP,27.1
27/03/2023,SHP,27.0
24/03/2023,SHP,27.1
23/03/2023,SHP,27.0
22/03/2023,SHP,26.9
21/03/2023,SHP,27.0
20/03/2023,SHP,26.8
17/03/2023,SHP,27.05
16/03/2023,SHP,27.2
15/03/2023,SHP,27.05
14/03/2023,SHP,27.0
13/03/2023,SHP,27.0
10/03/2023,SHP,27.1
09/03/2023,SHP,27.0
08/03/2023,SHP,26.95
07/03/2023,SHP,26.8
06/03/2023,SHP,27.0
03/03/2023,SHP,27.0
02/03/2023,SHP,26.8
01/03/2023,SHP,26.7
28/02/2023,SHP,27.4
27/02/2023,SHP,26.9
24/02/2023,SHP,26.9
23/02/2023,SHP,26.6
22/02/2023,SHP,26.75
21/02/2023,SHP,26.75
20/02/2023,SHP,26.55
17/02/2023,SHP,26.5
16/02/2023,SHP,26.5
15/02/2023,SHP,27.5
14/02/2023,SHP,27.9
13/02/2023,SHP,27.5
10/02/2023,SHP,27.4
09/02/2023,SHP,27.5
08/02/2023,SHP,27.3
07/02/2023,SHP,27.4
06/02/2023,SHP,27.4
03/02/2023,SHP,27.5
02/02/2023,SHP,27.4
01/02/2023,SHP,27.9
31/01/2023,SHP,27.5
30/01/2023,SHP,27.6
27/01/2023,SHP,27.25
19/01/2023,SHP,27.4
18/01/2023,SHP,27.8
17/01/2023,SHP,27.5
16/01/2023,SHP,27.5
13/01/2023,SHP,27.2
12/01/2023,SHP,27.5
11/01/2023,SHP,27.4
10/01/2023,SHP,27.1
09/01/2023,SHP,26.9
06/01/2023,SHP,26.5
05/01/2023,SHP,26.4
04/01/2023,SHP,26.45
03/01/2023,SHP,26.35
30/12/2022,SHP,26.45
29/12/2022,SHP,26.45
28/12/2022,SHP,26.55
27/12/2022,SHP,26.0
26/12/2022,SHP,25.95
23/12/2022,SHP,26.05
22/12/2022,SHP,25.8
21/12/2022,SHP,25.9
20/12/2022,SHP,25.9
19/12/2022,SHP,26.25
16/12/2022,SHP,26.25
15/12/2022,SHP,26.2
14/12/2022,SHP,26.0
13/12/2022,SHP,25.8
12/12/2022,SHP,26.25
09/12/2022,SHP,26.0
08/12/2022,SHP,26.0
07/12/2022,SHP,26.3
06/12/2022,SHP,25.8
05/12/2022,SHP,25.6
02/12/2022,SHP,25.4
01/12/2022,SHP,25.8
30/11/2022,SHP,25.8
29/11/2022,SHP,25.55
28/11/2022,SHP,25.65
25/11/2022,SHP,25.0
24/11/2022,SHP,24.6
23/11/2022,SHP,25.65
22/11/2022,SHP,25.45
21/11/2022,SHP,26.2
18/11/2022,SHP,25.6
17/11/2022,SHP,24.8
16/11/2022,SHP,23.35
15/11/2022,SHP,25.0
14/11/2022,SHP,25.85
11/11/2022,SHP,25.95
10/11/2022,SHP,26.25
09/11/2022,SHP,26.25
08/11/2022,SHP,26.7
07/11/2022,SHP,26.7
04/11/2022,SHP,27.0
03/11/2022,SHP,27.2
02/11/2022,SHP,27.55
01/11/2022,SHP,27.55
31/10/2022,SHP,27.75
28/10/2022,SHP,27.6
27/10/2022,SHP,27.4
26/10/2022,SHP,27.2
25/10/2022,SHP,27.6
24/10/2022,SHP,27.75
21/10/2022,SHP,27.5
20/10/2022,SHP,27.9
19/10/2022,SHP,27.9
18/10/2022,SHP,28.0
17/10/2022,SHP,27.95
14/10/2022,SHP,27.9
13/10/2022,SHP,27.85
12/10/2022,SHP,28.4
11/10/2022,SHP,28.5
10/10/2022,SHP,28.5
07/10/2022,SHP,28.3
06/10/2022,SHP,28.3
05/10/2022,SHP,28.15
04/10/2022,SHP,28.1
03/10/2022,SHP,28.05
30/09/2022,SHP,28.2
29/09/2022,SHP,28.2
28/09/2022,SHP,28.0
27/09/2022,SHP,28.0
26/09/2022,SHP,28.0
23/09/2022,SHP,28.5
22/09/2022,SHP,28.2
21/09/2022,SHP,28.45
20/09/2022,SHP,27.6
19/09/2022,SHP,27.6
16/09/2022,SHP,27.6
15/09/2022,SHP,27.6
14/09/2022,SHP,27.7
13/09/2022,SHP,27.9
12/09/2022,SHP,28.0
09/09/2022,SHP,27.95
08/09/2022,SHP,27.9
07/09/2022,SHP,27.6
06/09/2022,SHP,27.6
05/09/2022,SHP,27.5
31/08/2022,SHP,27.9
30/08/2022,SHP,27.3
29/08/2022,SHP,27.2
26/08/2022,SHP,27.2
25/08/2022,SHP,27.2
24/08/2022,SHP,27.2
23/08/2022,SHP,27.2
22/08/2022,SHP,27.15
19/08/2022,SHP,27.2
18/08/2022,SHP,27.1
17/08/2022,SHP,27.5
16/08/2022,SHP,27.3
15/08/2022,SHP,27.5
12/08/2022,SHP,27.5
11/08/2022,SHP,27.35
10/08/2022,SHP,27.4
09/08/2022,SHP,27.4
08/08/2022,SHP,27.4
05/08/2022,SHP,27.1
04/08/2022,SHP,27.3
03/08/2022,SHP,27.45
02/08/2022,SHP,27.5
01/08/2022,SHP,27.5
29/07/2022,SHP,27.15
28/07/2022,SHP,27.0
27/07/2022,SHP,27.0
26/07/2022,SHP,27.0
25/07/2022,SHP,27.1
22/07/2022,SHP,27.2
21/07/2022,SHP,27.1
20/07/2022,SHP,27.45
19/07/2022,SHP,27.35
18/07/2022,SHP,27.2
15/07/2022,SHP,27.2
14/07/2022,SHP,27.15
13/07/2022,SHP,27.0
12/07/2022,SHP,26.9
11/07/2022,SHP,26.6
08/07/2022,SHP,26.75
07/07/2022,SHP,27.0
06/07/2022,SHP,27.1
05/07/2022,SHP,27.9
04/07/2022,SHP,28.2
01/07/2022,SHP,28.0
30/06/2022,SHP,28.0
29/06/2022,SHP,27.6
28/06/2022,SHP,27.6
27/06/2022,SHP,27.75
24/06/2022,SHP,27.7
23/06/2022,SHP,27.75
22/06/2022,SHP,27.15
21/06/2022,SHP,27.3
20/06/2022,SHP,27.5
17/06/2022,SHP,27.5
16/06/2022,SHP,27.5
15/06/2022,SHP,27.5
14/06/2022,SHP,27.3
13/06/2022,SHP,27.35
10/06/2022,SHP,28.2
09/06/2022,SHP,28.4
08/06/2022,SHP,28.4
07/06/2022,SHP,28.0
06/06/2022,SHP,28.0
03/06/2022,SHP,27.3
02/06/2022,SHP,28.0
01/06/2022,SHP,28.5
31/05/2022,SHP,28.7
30/05/2022,SHP,28.8
27/05/2022,SHP,27.8
26/05/2022,SHP,27.9
25/05/2022,SHP,27.7
24/05/2022,SHP,27.4
23/05/2022,SHP,27.4
20/05/2022,SHP,27.4
19/05/2022,SHP,27.9
18/05/2022,SHP,28.2
17/05/2022,SHP,27.7
16/05/2022,SHP,28.3
13/05/2022,SHP,28.4
12/05/2022,SHP,28.7
11/05/2022,SHP,28.8
10/05/2022,SHP,28.3
09/05/2022,SHP,28.4
06/05/2022,SHP,28.5
05/05/2022,SHP,28.9
04/05/2022,SHP,28.6
29/04/2022,SHP,28.6
28/04/2022,SHP,28.8
27/04/2022,SHP,28.5
26/04/2022,SHP,28.5
25/04/2022,SHP,29.0
22/04/2022,SHP,29.0
21/04/2022,SHP,28.75
20/04/2022,SHP,29.15
19/04/2022,SHP,29.1
18/04/2022,SHP,29.0
15/04/2022,SHP,28.5
14/04/2022,SHP,28.55
13/04/2022,SHP,27.8
12/04/2022,SHP,27.2
08/04/2022,SHP,27.45
07/04/2022,SHP,27.45
06/04/2022,SHP,27.6
05/04/2022,SHP,27.65
04/04/2022,SHP,28.0
01/04/2022,SHP,27.9
31/03/2022,SHP,27.0
30/03/2022,SHP,27.0
29/03/2022,SHP,26.9
28/03/2022,SHP,26.8
25/03/2022,SHP,26.75
24/03/2022,SHP,26.75
23/03/2022,SHP,26.75
22/03/2022,SHP,26.75
21/03/2022,SHP,26.5
18/03/2022,SHP,26.7
17/03/2022,SHP,26.7
16/03/2022,SHP,26.8
15/03/2022,SHP,26.5
14/03/2022,SHP,26.7
11/03/2022,SHP,26.7
10/03/2022,SHP,27.2
09/03/2022,SHP,26.9
08/03/2022,SHP,26.6
07/03/2022,SHP,26.85
04/03/2022,SHP,26.4
03/03/2022,SHP,26.2
02/03/2022,SHP,26.15
01/03/2022,SHP,26.4
28/02/2022,SHP,26.4
25/02/2022,SHP,26.5
24/02/2022,SHP,26.2
23/02/2022,SHP,26.3
22/02/2022,SHP,26.0
21/02/2022,SHP,26.6
18/02/2022,SHP,26.8
17/02/2022,SHP,26.6
16/02/2022,SHP,26.5
15/02/2022,SHP,26.2
14/02/2022,SHP,26.4
11/02/2022,SHP,26.5
10/02/2022,SHP,25.7
09/02/2022,SHP,25.6
08/02/2022,SHP,25.6
07/02/2022,SHP,25.5
28/01/2022,SHP,25.1
27/01/2022,SHP,25.1
26/01/2022,SHP,25.1
25/01/2022,SHP,25.0
24/01/2022,SHP,25.0
21/01/2022,SHP,25.1
20/01/2022,SHP,24.9
19/01/2022,SHP,26.2
18/01/2022,SHP,27.1
17/01/2022,SHP,27.3
14/01/2022,SHP,27.75
13/01/2022,SHP,27.7
12/01/2022,SHP,26.95
11/01/2022,SHP,27.0
10/01/2022,SHP,27.0
07/01/2022,SHP,26.9
06/01/2022,SHP,26.6
05/01/2022,SHP,26.1
04/01/2022,SHP,26.0
31/12/2021,SHP,26.0
30/12/2021,SHP,26.2
29/12/2021,SHP,26.3
28/12/2021,SHP,26.4
27/12/2021,SHP,26.4
24/12/2021,SHP,26.3
23/12/2021,SHP,26.75
22/12/2021,SHP,26.7
21/12/2021,SHP,26.7
20/12/2021,SHP,26.5
17/12/2021,SHP,26.4
16/12/2021,SHP,26.4
15/12/2021,SHP,26.6
14/12/2021,SHP,26.7
13/12/2021,SHP,26.5
10/12/2021,SHP,26.7
09/12/2021,SHP,26.45
08/12/2021,SHP,26.5
07/12/2021,SHP,26.4
06/12/2021,SHP,26.2
03/12/2021,SHP,26.5
02/12/2021,SHP,26.4
01/12/2021,SHP,26.3
30/11/2021,SHP,26.1
29/11/2021,SHP,26.0
26/11/2021,SHP,26.5
25/11/2021,SHP,26.5
24/11/2021,SHP,26.0
23/11/2021,SHP,25.9
22/11/2021,SHP,26.0
19/11/2021,SHP,26.3
18/11/2021,SHP,26.65
17/11/2021,SHP,26.4
16/11/2021,SHP,27.0
15/11/2021,SHP,27.6
12/11/2021,SHP,27.5
11/11/2021,SHP,27.7
10/11/2021,SHP,27.45
09/11/2021,SHP,27.75
08/11/2021,SHP,27.8
05/11/2021,SHP,27.75
04/11/2021,SHP,27.0
03/11/2021,SHP,26.3
02/11/2021,SHP,26.5
01/11/2021,SHP,26.5
29/10/2021,SHP,27.05
28/10/2021,SHP,26.8
27/10/2021,SHP,27.3
26/10/2021,SHP,27.2
25/10/2021,SHP,27.25
22/10/2021,SHP,27.0
21/10/2021,SHP,27.0
20/10/2021,SHP,27.7
19/10/2021,SHP,27.8
18/10/2021,SHP,26.2
15/10/2021,SHP,26.0
14/10/2021,SHP,25.6
13/10/2021,SHP,25.8
12/10/2021,SHP,26.0
11/10/2021,SHP,25.5
08/10/2021,SHP,25.5
07/10/2021,SHP,25.8
06/10/2021,SHP,25.8
05/10/2021,SHP,25.3
04/10/2021,SHP,25.0
01/10/2021,SHP,23.8
30/09/2021,SHP,24.0
29/09/2021,SHP,23.5
28/09/2021,SHP,23.5
27/09/2021,SHP,22.8
24/09/2021,SHP,23.6
23/09/2021,SHP,23.5
22/09/2021,SHP,23.7
21/09/2021,SHP,23.6
20/09/2021,SHP,23.5
17/09/2021,SHP,23.4
16/09/2021,SHP,23.4
15/09/2021,SHP,23.4
14/09/2021,SHP,23.3
13/09/2021,SHP,23.2
10/09/2021,SHP,23.0
09/09/2021,SHP,23.0
08/09/2021,SHP,23.0
07/09/2021,SHP,23.5
06/09/2021,SHP,23.0
01/09/2021,SHP,23.0
31/08/2021,SHP,22.3
30/08/2021,SHP,22.2
27/08/2021,SHP,22.2
26/08/2021,SHP,22.0
25/08/2021,SHP,22.0
24/08/2021,SHP,22.1
23/08/2021,SHP,22.1
20/08/2021,SHP,22.45
19/08/2021,SHP,22.45
18/08/2021,SHP,22.5
17/08/2021,SHP,22.4
16/08/2021,SHP,22.3
13/08/2021,SHP,22.0
12/08/2021,SHP,21.7
11/08/2021,SHP,21.4
10/08/2021,SHP,21.9
09/08/2021,SHP,21.75
06/08/2021,SHP,21.75
05/08/2021,SHP,21.65
04/08/2021,SHP,21.4
03/08/2021,SHP,21.6
02/08/2021,SHP,21.5
30/07/2021,SHP,21.5
29/07/2021,SHP,21.5
28/07/2021,SHP,21.5
27/07/2021,SHP,21.0
26/07/2021,SHP,21.2
23/07/2021,SHP,21.2
22/07/2021,SHP,21.4
21/07/2021,SHP,21.7
20/07/2021,SHP,21.5
19/07/2021,SHP,21.7
16/07/2021,SHP,21.7
15/07/2021,SHP,21.6
14/07/2021,SHP,21.5
13/07/2021,SHP,21.7
12/07/2021,SHP,21.95
09/07/2021,SHP,21.2
08/07/2021,SHP,21.2
07/07/2021,SHP,21.3
06/07/2021,SHP,21.3
05/07/2021,SHP,21.05
02/07/2021,SHP,22.0
01/07/2021,SHP,21.5
30/06/2021,SHP,21.6
29/06/2021,SHP,21.6
28/06/2021,SHP,21.0
25/06/2021,SHP,21.4
24/06/2021,SHP,21.3
23/06/2021,SHP,21.3
22/06/2021,SHP,21.3
21/06/2021,SHP,21.15
18/06/2021,SHP,21.0
17/06/2021,SHP,21.0
16/06/2021,SHP,20.9
15/06/2021,SHP,20.9
14/06/2021,SHP,20.9
11/06/2021,SHP,19.55
10/06/2021,SHP,20.75
09/06/2021,SHP,20.9
08/06/2021,SHP,21.0
07/06/2021,SHP,21.0
04/06/2021,SHP,20.65
03/06/2021,SHP,21.0
02/06/2021,SHP,22.05
01/06/2021,SHP,20.75
31/05/2021,SHP,20.75
28/05/2021,SHP,22.0
27/05/2021,SHP,22.05
26/05/2021,SHP,22.05
25/05/2021,SHP,22.0
24/05/2021,SHP,22.05
21/05/2021,SHP,21.5
20/05/2021,SHP,21.5
19/05/2021,SHP,22.4
18/05/2021,SHP,22.5
17/05/2021,SHP,21.55
14/05/2021,SHP,21.6
13/05/2021,SHP,22.4
12/05/2021,SHP,22.5
11/05/2021,SHP,22.6
10/05/2021,SHP,22.4
07/05/2021,SHP,21.8
06/05/2021,SHP,22.7
05/05/2021,SHP,22.0
04/05/2021,SHP,22.0
29/04/2021,SHP,22.0
28/04/2021,SHP,22.5
27/04/2021,SHP,21.75
26/04/2021,SHP,22.0
23/04/2021,SHP,22.65
22/04/2021,SHP,22.6
20/04/2021,SHP,22.8
19/04/2021,SHP,22.6
16/04/2021,SHP,22.6
15/04/2021,SHP,22.6
14/04/2021,SHP,22.6
13/04/2021,SHP,22.85
12/04/2021,SHP,22.85
09/04/2021,SHP,22.6
08/04/2021,SHP,22.6
07/04/2021,SHP,22.3
06/04/2021,SHP,22.3
05/04/2021,SHP,22.1
02/04/2021,SHP,22.05
01/04/2021,SHP,22.05
31/03/2021,SHP,22.3
30/03/2021,SHP,22.2
29/03/2021,SHP,22.1
26/03/2021,SHP,21.7
25/03/2021,SHP,22.3
24/03/2021,SHP,22.3
23/03/2021,SHP,22.3
22/03/2021,SHP,22.3
19/03/2021,SHP,22.2
18/03/2021,SHP,22.2
17/03/2021,SHP,22.2
16/03/2021,SHP,22.0
15/03/2021,SHP,22.2
12/03/2021,SHP,22.5
11/03/2021,SHP,22.25
10/03/2021,SHP,22.1
09/03/2021,SHP,22.1
08/03/2021,SHP,22.15
05/03/2021,SHP,22.2
04/03/2021,SHP,22.5
03/03/2021,SHP,22.5
02/03/2021,SHP,22.5
01/03/2021,SHP,22.55
26/02/2021,SHP,22.55
25/02/2021,SHP,22.55
24/02/2021,SHP,22.0
23/02/2021,SHP,22.9
22/02/2021,SHP,22.0
19/02/2021,SHP,22.0
18/02/2021,SHP,22.3
17/02/2021,SHP,22.3
09/02/2021,SHP,23.65
08/02/2021,SHP,22.2
05/02/2021,SHP,22.5
04/02/2021,SHP,22.5
03/02/2021,SHP,22.5
02/02/2021,SHP,22.0
01/02/2021,SHP,22.5
29/01/2021,SHP,22.05
28/01/2021,SHP,20.65
27/01/2021,SHP,22.2
26/01/2021,SHP,22.2
25/01/2021,SHP,22.7
22/01/2021,SHP,22.6
21/01/2021,SHP,22.5
20/01/2021,SHP,22.5
19/01/2021,SHP,22.6
18/01/2021,SHP,22.7
15/01/2021,SHP,23.1
14/01/2021,SHP,23.0
13/01/2021,SHP,23.0
12/01/2021,SHP,23.0
11/01/2021,SHP,23.0
08/01/2021,SHP,23.0
07/01/2021,SHP,23.0
06/01/2021,SHP,23.0
05/01/2021,SHP,23.0
04/01/2021,SHP,23.0
31/12/2020,SHP,23.0
30/12/2020,SHP,22.6
29/12/2020,SHP,23.0
28/12/2020,SHP,23.5
25/12/2020,SHP,22.8
24/12/2020,SHP,22.7
23/12/2020,SHP,22.7
22/12/2020,SHP,22.6
21/12/2020,SHP,22.6
18/12/2020,SHP,22.6
17/12/2020,SHP,22.6
16/12/2020,SHP,23.0
15/12/2020,SHP,23.3
14/12/2020,SHP,23.3
11/12/2020,SHP,23.4
10/12/2020,SHP,23.45
09/12/2020,SHP,23.7
08/12/2020,SHP,23.4
07/12/2020,SHP,23.4
04/12/2020,SHP,23.7
03/12/2020,SHP,23.6
02/12/2020,SHP,25.3
01/12/2020,SHP,25.0
30/11/2020,SHP,24.9
27/11/2020,SHP,24.9
26/11/2020,SHP,24.9
25/11/2020,SHP,24.9
24/11/2020,SHP,24.9
23/11/2020,SHP,24.9
20/11/2020,SHP,24.8
19/11/2020,SHP,24.8
18/11/2020,SHP,25.0
17/11/2020,SHP,25.0
16/11/2020,SHP,25.0
13/11/2020,SHP,25.5
12/11/2020,SHP,25.0
11/11/2020,SHP,25.0
10/11/2020,SHP,25.0
09/11/2020,SHP,25.0
06/11/2020,SHP,25.0
05/11/2020,SHP,25.0
04/11/2020,SHP,25.0
03/11/2020,SHP,24.05
02/11/2020,SHP,24.05
30/10/2020,SHP,24.05
29/10/2020,SHP,24.05
28/10/2020,SHP,24.2
27/10/2020,SHP,24.2
26/10/2020,SHP,24.45
23/10/2020,SHP,24.5
22/10/2020,SHP,24.5
21/10/2020,SHP,24.6
20/10/2020,SHP,24.6
19/10/2020,SHP,24.7
16/10/2020,SHP,23.7
15/10/2020,SHP,24.2
14/10/2020,SHP,24.55
13/10/2020,SHP,24.5
12/10/2020,SHP,24.5
09/10/2020,SHP,24.5
08/10/2020,SHP,24.5
07/10/2020,SHP,24.45
06/10/2020,SHP,23.9
05/10/2020,SHP,23.7
02/10/2020,SHP,24.3
01/10/2020,SHP,24.5
30/09/2020,SHP,24.3
29/09/2020,SHP,24.25
28/09/2020,SHP,24.15
25/09/2020,SHP,24.15
24/09/2020,SHP,24.0
23/09/2020,SHP,23.7
22/09/2020,SHP,23.5
21/09/2020,SHP,23.5
18/09/2020,SHP,23.5
17/09/2020,SHP,23.4
16/09/2020,SHP,23.5
15/09/2020,SHP,23.6
14/09/2020,SHP,24.45
11/09/2020,SHP,23.5
10/09/2020,SHP,23.3
09/09/2020,SHP,23.4
08/09/2020,SHP,23.4
07/09/2020,SHP,23.1
04/09/2020,SHP,23.35
03/09/2020,SHP,23.35
01/09/2020,SHP,23.3
31/08/2020,SHP,23.35
28/08/2020,SHP,23.5
27/08/2020,SHP,23.5
26/08/2020,SHP,23.5
25/08/2020,SHP,23.5
24/08/2020,SHP,23.5
21/08/2020,SHP,23.5
20/08/2020,SHP,23.3
19/08/2020,SHP,23.55
18/08/2020,SHP,23.5
17/08/2020,SHP,23.4
14/08/2020,SHP,23.5
13/08/2020,SHP,23.0
12/08/2020,SHP,23.4
11/08/2020,SHP,23.45
10/08/2020,SHP,23.7
07/08/2020,SHP,23.8
06/08/2020,SHP,24.3
05/08/2020,SHP,24.5
04/08/2020,SHP,24.5
03/08/2020,SHP,24.5
31/07/2020,SHP,24.4
30/07/2020,SHP,24.5
29/07/2020,SHP,25.35
28/07/2020,SHP,24.35
27/07/2020,SHP,22.8
24/07/2020,SHP,24.0
23/07/2020,SHP,24.9
22/07/2020,SHP,24.1
21/07/2020,SHP,25.2
20/07/2020,SHP,25.4
17/07/2020,SHP,25.4
16/07/2020,SHP,25.4
15/07/2020,SHP,25.4
14/07/2020,SHP,25.4
13/07/2020,SHP,25.4
10/07/2020,SHP,25.4
09/07/2020,SHP,25.4
08/07/2020,SHP,25.9
07/07/2020,SHP,25.9
06/07/2020,SHP,25.0
03/07/2020,SHP,25.0
02/07/2020,SHP,25.0
01/07/2020,SHP,25.0
30/06/2020,SHP,25.5
29/06/2020,SHP,24.0
26/06/2020,SHP,24.0
25/06/2020,SHP,25.2
24/06/2020,SHP,24.9
23/06/2020,SHP,24.9
22/06/2020,SHP,24.5
19/06/2020,SHP,24.4
18/06/2020,SHP,24.5
17/06/2020,SHP,24.3
16/06/2020,SHP,24.2
15/06/2020,SHP,24.2
12/06/2020,SHP,24.2
11/06/2020,SHP,24.0
10/06/2020,SHP,24.5
09/06/2020,SHP,24.5
08/06/2020,SHP,24.7
05/06/2020,SHP,24.65
04/06/2020,SHP,24.8
03/06/2020,SHP,24.65
