Ngay,GiaDongCua
29/12/2023,68.1
28/12/2023,68.0
27/12/2023,66.0
26/12/2023,67.0
25/12/2023,64.0
22/12/2023,62.3
21/12/2023,62.5
20/12/2023,62.2
19/12/2023,62.2
18/12/2023,61.0
15/12/2023,63.7
14/12/2023,63.7
13/12/2023,62.5
12/12/2023,62.5
11/12/2023,62.5
08/12/2023,62.5
07/12/2023,62.5
06/12/2023,62.0
05/12/2023,62.5
04/12/2023,61.5
01/12/2023,60.8
30/11/2023,60.0
29/11/2023,60.6
28/11/2023,58.1
27/11/2023,61.0
24/11/2023,61.0
23/11/2023,61.5
22/11/2023,61.5
21/11/2023,59.5
20/11/2023,61.6
17/11/2023,60.8
16/11/2023,61.8
15/11/2023,62.5
14/11/2023,61.6
13/11/2023,61.6
10/11/2023,61.6
09/11/2023,59.2
08/11/2023,59.0
07/11/2023,58.0
06/11/2023,58.3
03/11/2023,56.5
02/11/2023,57.5
01/11/2023,56.2
31/10/2023,56.3
30/10/2023,56.5
27/10/2023,58.5
26/10/2023,59.1
25/10/2023,59.1
24/10/2023,60.0
23/10/2023,60.4
20/10/2023,60.0
19/10/2023,59.9
18/10/2023,59.9
17/10/2023,59.5
16/10/2023,59.5
13/10/2023,59.2
12/10/2023,58.3
11/10/2023,59.5
10/10/2023,59.4
09/10/2023,59.4
06/10/2023,59.0
05/10/2023,57.9
04/10/2023,57.8
03/10/2023,57.9
02/10/2023,58.0
29/09/2023,57.2
28/09/2023,53.5
27/09/2023,53.5
26/09/2023,55.5
25/09/2023,55.5
22/09/2023,57.9
21/09/2023,57.9
20/09/2023,56.5
19/09/2023,56.5
18/09/2023,55.2
15/09/2023,56.5
14/09/2023,56.5
13/09/2023,57.4
12/09/2023,55.5
11/09/2023,56.5
08/09/2023,56.5
07/09/2023,55.2
06/09/2023,55.1
05/09/2023,55.0
31/08/2023,54.9
30/08/2023,54.9
29/08/2023,55.1
28/08/2023,55.1
25/08/2023,55.1
24/08/2023,55.1
23/08/2023,55.1
22/08/2023,55.1
21/08/2023,55.1
18/08/2023,54.8
17/08/2023,57.0
16/08/2023,59.0
15/08/2023,59.0
14/08/2023,59.1
11/08/2023,55.8
10/08/2023,55.5
09/08/2023,57.0
08/08/2023,56.5
07/08/2023,56.0
04/08/2023,57.3
03/08/2023,57.3
02/08/2023,53.7
01/08/2023,56.5
31/07/2023,56.5
28/07/2023,56.5
27/07/2023,59.8
26/07/2023,59.8
25/07/2023,55.9
24/07/2023,55.9
21/07/2023,59.5
20/07/2023,59.2
19/07/2023,59.0
18/07/2023,59.0
17/07/2023,61.0
14/07/2023,60.0
13/07/2023,59.5
12/07/2023,59.5
11/07/2023,58.5
10/07/2023,58.5
07/07/2023,57.0
06/07/2023,57.0
05/07/2023,57.5
04/07/2023,57.0
03/07/2023,56.9
30/06/2023,54.5
29/06/2023,54.5
28/06/2023,54.0
27/06/2023,56.5
26/06/2023,56.5
23/06/2023,56.0
22/06/2023,56.0
21/06/2023,53.0
20/06/2023,54.3
19/06/2023,56.5
16/06/2023,56.5
15/06/2023,56.3
14/06/2023,57.2
13/06/2023,57.2
12/06/2023,55.9
09/06/2023,55.4
08/06/2023,55.0
07/06/2023,55.3
06/06/2023,55.3
05/06/2023,59.3
02/06/2023,55.5
01/06/2023,53.0
31/05/2023,53.0
30/05/2023,53.0
29/05/2023,53.0
26/05/2023,53.0
25/05/2023,55.4
24/05/2023,53.0
23/05/2023,53.0
22/05/2023,52.9
19/05/2023,51.1
18/05/2023,54.4
17/05/2023,55.0
16/05/2023,55.0
15/05/2023,55.0
12/05/2023,56.0
11/05/2023,55.3
10/05/2023,55.4
09/05/2023,55.4
08/05/2023,53.5
05/05/2023,55.2
04/05/2023,55.5
28/04/2023,54.6
27/04/2023,54.6
26/04/2023,54.6
25/04/2023,54.5
24/04/2023,54.5
21/04/2023,51.0
20/04/2023,53.6
19/04/2023,53.6
18/04/2023,53.6
17/04/2023,53.6
14/04/2023,56.3
13/04/2023,57.1
12/04/2023,53.5
11/04/2023,51.9
10/04/2023,51.5
07/04/2023,51.1
06/04/2023,51.1
05/04/2023,50.5
04/04/2023,50.5
03/04/2023,50.5
31/03/2023,53.0
30/03/2023,53.0
29/03/2023,51.8
28/03/2023,52.0
27/03/2023,54.5
24/03/2023,52.0
23/03/2023,51.7
22/03/2023,51.7
21/03/2023,54.2
20/03/2023,54.2
17/03/2023,54.2
16/03/2023,54.2
15/03/2023,56.6
14/03/2023,54.3
13/03/2023,54.3
10/03/2023,54.2
09/03/2023,56.6
08/03/2023,56.6
07/03/2023,56.6
06/03/2023,56.5
03/03/2023,54.0
02/03/2023,54.2
01/03/2023,54.0
28/02/2023,56.6
27/02/2023,56.6
24/02/2023,56.8
23/02/2023,56.8
22/02/2023,56.5
21/02/2023,54.5
20/02/2023,56.9
17/02/2023,53.8
16/02/2023,54.6
15/02/2023,54.6
14/02/2023,54.6
13/02/2023,54.0
10/02/2023,54.8
09/02/2023,54.7
08/02/2023,54.7
07/02/2023,54.7
06/02/2023,54.9
03/02/2023,54.5
02/02/2023,54.5
01/02/2023,54.0
31/01/2023,53.9
30/01/2023,53.7
27/01/2023,53.5
19/01/2023,51.0
18/01/2023,52.5
17/01/2023,52.0
16/01/2023,51.6
13/01/2023,50.8
12/01/2023,50.8
11/01/2023,50.8
10/01/2023,50.8
09/01/2023,50.6
06/01/2023,50.5
05/01/2023,50.0
04/01/2023,50.8
03/01/2023,50.4
30/12/2022,49.5
29/12/2022,50.0
28/12/2022,49.8
27/12/2022,52.0
26/12/2022,51.0
23/12/2022,51.3
22/12/2022,51.3
21/12/2022,51.3
20/12/2022,50.0
19/12/2022,49.5
16/12/2022,49.5
15/12/2022,49.0
14/12/2022,50.0
13/12/2022,49.5
12/12/2022,50.0
09/12/2022,50.0
08/12/2022,49.8
07/12/2022,49.8
06/12/2022,49.8
05/12/2022,50.0
02/12/2022,50.2
01/12/2022,50.2
30/11/2022,50.3
29/11/2022,50.4
28/11/2022,50.4
25/11/2022,50.5
24/11/2022,50.0
23/11/2022,50.0
22/11/2022,50.5
21/11/2022,50.5
18/11/2022,48.6
17/11/2022,52.0
16/11/2022,50.9
15/11/2022,49.5
14/11/2022,49.5
11/11/2022,52.9
10/11/2022,52.9
09/11/2022,52.9
08/11/2022,52.9
07/11/2022,52.0
04/11/2022,50.0
03/11/2022,52.0
02/11/2022,52.9
01/11/2022,52.9
31/10/2022,50.2
28/10/2022,50.0
27/10/2022,50.0
26/10/2022,48.45
25/10/2022,48.1
24/10/2022,48.5
21/10/2022,50.1
20/10/2022,50.8
19/10/2022,52.8
18/10/2022,51.0
17/10/2022,54.0
14/10/2022,54.4
13/10/2022,54.2
12/10/2022,54.2
11/10/2022,52.0
10/10/2022,52.0
07/10/2022,54.4
06/10/2022,54.4
05/10/2022,53.0
04/10/2022,51.0
03/10/2022,52.0
30/09/2022,52.5
29/09/2022,53.9
28/09/2022,53.9
27/09/2022,55.0
26/09/2022,57.0
23/09/2022,58.0
22/09/2022,58.0
21/09/2022,56.6
20/09/2022,56.7
19/09/2022,56.2
16/09/2022,56.9
15/09/2022,56.7
14/09/2022,56.7
13/09/2022,57.1
12/09/2022,58.0
09/09/2022,58.0
08/09/2022,58.0
07/09/2022,56.7
06/09/2022,59.5
05/09/2022,59.5
31/08/2022,56.9
30/08/2022,56.8
29/08/2022,56.9
26/08/2022,56.8
25/08/2022,57.0
24/08/2022,57.0
23/08/2022,57.0
22/08/2022,57.0
19/08/2022,58.5
18/08/2022,58.5
17/08/2022,58.5
16/08/2022,58.5
15/08/2022,59.5
12/08/2022,59.7
11/08/2022,59.7
10/08/2022,58.5
09/08/2022,59.6
08/08/2022,59.8
05/08/2022,60.0
04/08/2022,60.5
03/08/2022,61.0
02/08/2022,60.5
01/08/2022,60.0
29/07/2022,58.0
28/07/2022,58.0
27/07/2022,57.7
26/07/2022,57.3
25/07/2022,57.3
22/07/2022,57.3
21/07/2022,57.3
20/07/2022,56.5
19/07/2022,55.9
18/07/2022,55.9
15/07/2022,55.7
14/07/2022,55.5
13/07/2022,55.6
12/07/2022,55.3
11/07/2022,54.8
08/07/2022,54.3
07/07/2022,53.6
06/07/2022,53.6
05/07/2022,54.1
04/07/2022,53.6
01/07/2022,53.5
30/06/2022,54.5
29/06/2022,54.5
28/06/2022,55.6
27/06/2022,55.6
24/06/2022,55.7
23/06/2022,52.8
22/06/2022,54.1
21/06/2022,55.6
20/06/2022,58.0
17/06/2022,60.0
16/06/2022,59.7
15/06/2022,56.5
14/06/2022,60.7
13/06/2022,60.4
10/06/2022,62.1
09/06/2022,62.3
08/06/2022,62.2
07/06/2022,61.7
06/06/2022,61.3
03/06/2022,59.1
