Ngay,Symbol,GiaDongCua
29/12/2023,TTA,7.99
28/12/2023,TTA,7.95
27/12/2023,TTA,7.96
26/12/2023,TTA,7.95
25/12/2023,TTA,7.96
22/12/2023,TTA,7.96
21/12/2023,TTA,8.02
20/12/2023,TTA,8.05
19/12/2023,TTA,8.05
18/12/2023,TTA,7.96
15/12/2023,TTA,7.9
14/12/2023,TTA,7.96
13/12/2023,TTA,7.95
12/12/2023,TTA,8.0
11/12/2023,TTA,8.02
08/12/2023,TTA,8.04
07/12/2023,TTA,8.08
06/12/2023,TTA,8.2
05/12/2023,TTA,8.09
04/12/2023,TTA,8.09
01/12/2023,TTA,8.03
30/11/2023,TTA,8.0
29/11/2023,TTA,8.0
28/11/2023,TTA,7.89
27/11/2023,TTA,7.95
24/11/2023,TTA,7.98
23/11/2023,TTA,8.13
22/11/2023,TTA,8.1
21/11/2023,TTA,8.14
20/11/2023,TTA,8.1
17/11/2023,TTA,8.17
16/11/2023,TTA,8.2
15/11/2023,TTA,8.21
14/11/2023,TTA,8.19
13/11/2023,TTA,8.21
10/11/2023,TTA,8.21
09/11/2023,TTA,8.2
08/11/2023,TTA,8.2
07/11/2023,TTA,8.08
06/11/2023,TTA,8.12
03/11/2023,TTA,8.12
02/11/2023,TTA,8.14
01/11/2023,TTA,8.0
31/10/2023,TTA,8.12
30/10/2023,TTA,8.19
27/10/2023,TTA,8.05
26/10/2023,TTA,7.89
25/10/2023,TTA,8.17
24/10/2023,TTA,8.44
23/10/2023,TTA,8.23
20/10/2023,TTA,8.4
19/10/2023,TTA,8.18
18/10/2023,TTA,8.18
17/10/2023,TTA,8.6
16/10/2023,TTA,8.78
13/10/2023,TTA,9.0
12/10/2023,TTA,8.52
11/10/2023,TTA,8.59
10/10/2023,TTA,8.55
09/10/2023,TTA,8.4
06/10/2023,TTA,8.35
05/10/2023,TTA,8.32
04/10/2023,TTA,8.33
03/10/2023,TTA,8.46
02/10/2023,TTA,8.26
29/09/2023,TTA,8.18
28/09/2023,TTA,8.0
27/09/2023,TTA,7.99
26/09/2023,TTA,7.53
25/09/2023,TTA,7.52
22/09/2023,TTA,7.8
21/09/2023,TTA,7.97
20/09/2023,TTA,7.97
19/09/2023,TTA,7.93
18/09/2023,TTA,7.9
15/09/2023,TTA,7.95
14/09/2023,TTA,7.95
13/09/2023,TTA,8.04
12/09/2023,TTA,8.1
11/09/2023,TTA,8.09
08/09/2023,TTA,8.22
07/09/2023,TTA,8.15
06/09/2023,TTA,8.08
05/09/2023,TTA,8.09
31/08/2023,TTA,8.08
30/08/2023,TTA,8.09
29/08/2023,TTA,8.13
28/08/2023,TTA,8.1
25/08/2023,TTA,8.19
24/08/2023,TTA,8.28
23/08/2023,TTA,8.1
22/08/2023,TTA,8.1
21/08/2023,TTA,7.91
18/08/2023,TTA,7.91
17/08/2023,TTA,8.39
16/08/2023,TTA,8.41
15/08/2023,TTA,8.5
14/08/2023,TTA,8.6
11/08/2023,TTA,8.64
10/08/2023,TTA,8.66
09/08/2023,TTA,8.86
