Ngay,GiaDongCua
29/12/2023,25.25
28/12/2023,25.35
27/12/2023,25.45
26/12/2023,25.45
25/12/2023,25.35
22/12/2023,25.2
21/12/2023,25.15
20/12/2023,25.2
19/12/2023,25.2
18/12/2023,25.2
15/12/2023,25.2
14/12/2023,25.55
13/12/2023,25.4
12/12/2023,25.4
11/12/2023,25.5
08/12/2023,25.35
07/12/2023,25.6
06/12/2023,25.65
05/12/2023,25.8
04/12/2023,25.85
01/12/2023,25.9
30/11/2023,25.85
29/11/2023,26.0
28/11/2023,25.35
27/11/2023,25.2
24/11/2023,25.45
23/11/2023,25.85
22/11/2023,25.8
21/11/2023,25.8
20/11/2023,25.95
17/11/2023,25.85
16/11/2023,26.45
15/11/2023,26.25
14/11/2023,27.1
13/11/2023,26.7
10/11/2023,25.75
09/11/2023,25.65
08/11/2023,25.75
07/11/2023,25.6
06/11/2023,24.65
03/11/2023,24.7
02/11/2023,24.8
01/11/2023,24.6
31/10/2023,24.45
30/10/2023,24.4
27/10/2023,23.8
26/10/2023,23.85
25/10/2023,24.4
24/10/2023,24.3
23/10/2023,24.15
20/10/2023,23.55
19/10/2023,23.6
18/10/2023,23.8
17/10/2023,24.15
16/10/2023,24.8
13/10/2023,25.2
12/10/2023,25.2
11/10/2023,24.95
10/10/2023,25.0
09/10/2023,25.4
06/10/2023,26.7
05/10/2023,26.5
04/10/2023,25.35
03/10/2023,25.05
02/10/2023,25.0
29/09/2023,25.0
28/09/2023,25.2
27/09/2023,25.0
26/09/2023,25.45
25/09/2023,25.3
22/09/2023,26.2
21/09/2023,26.5
20/09/2023,26.95
19/09/2023,26.9
18/09/2023,26.9
15/09/2023,26.5
14/09/2023,26.15
13/09/2023,27.7
12/09/2023,28.2
11/09/2023,28.0
08/09/2023,28.85
07/09/2023,28.95
06/09/2023,28.95
05/09/2023,28.4
31/08/2023,28.2
30/08/2023,27.95
29/08/2023,27.95
28/08/2023,27.9
25/08/2023,28.2
24/08/2023,28.05
23/08/2023,28.2
22/08/2023,28.3
21/08/2023,28.45
18/08/2023,28.0
17/08/2023,28.35
16/08/2023,28.7
15/08/2023,28.6
14/08/2023,28.45
11/08/2023,28.8
10/08/2023,28.8
09/08/2023,29.05
08/08/2023,29.4
07/08/2023,29.35
04/08/2023,29.1
03/08/2023,29.1
02/08/2023,29.7
01/08/2023,29.9
31/07/2023,29.5
28/07/2023,29.4
27/07/2023,28.95
26/07/2023,28.35
25/07/2023,28.35
24/07/2023,28.45
21/07/2023,28.6
20/07/2023,28.6
19/07/2023,29.0
18/07/2023,28.95
17/07/2023,27.95
14/07/2023,28.05
13/07/2023,28.0
12/07/2023,27.3
11/07/2023,27.05
10/07/2023,26.85
07/07/2023,26.9
06/07/2023,27.4
05/07/2023,27.7
04/07/2023,27.45
03/07/2023,27.15
30/06/2023,26.85
29/06/2023,26.9
28/06/2023,27.75
27/06/2023,28.2
26/06/2023,28.95
23/06/2023,29.2
22/06/2023,31.35
21/06/2023,31.4
20/06/2023,31.5
19/06/2023,29.95
16/06/2023,29.65
15/06/2023,28.4
14/06/2023,28.35
13/06/2023,28.25
12/06/2023,28.25
09/06/2023,28.4
08/06/2023,28.2
07/06/2023,28.25
06/06/2023,28.1
05/06/2023,28.0
02/06/2023,28.05
01/06/2023,28.05
31/05/2023,28.4
30/05/2023,28.5
29/05/2023,28.8
26/05/2023,28.2
25/05/2023,28.1
24/05/2023,28.5
23/05/2023,28.3
22/05/2023,28.35
19/05/2023,28.8
18/05/2023,28.95
17/05/2023,28.4
16/05/2023,27.5
15/05/2023,29.3
12/05/2023,29.45
11/05/2023,28.55
10/05/2023,28.45
09/05/2023,28.4
08/05/2023,28.2
05/05/2023,28.1
04/05/2023,28.1
28/04/2023,29.2
27/04/2023,29.2
26/04/2023,28.9
25/04/2023,28.85
24/04/2023,28.5
21/04/2023,28.0
20/04/2023,27.8
19/04/2023,27.8
18/04/2023,27.95
17/04/2023,27.7
14/04/2023,28.4
13/04/2023,28.05
12/04/2023,30.0
11/04/2023,30.2
10/04/2023,30.25
07/04/2023,28.4
06/04/2023,28.4
