Ngay,GiaDongCua
29/12/2023,21.35
28/12/2023,21.3
27/12/2023,21.3
26/12/2023,21.3
25/12/2023,21.15
22/12/2023,21.1
21/12/2023,21.15
20/12/2023,21.0
19/12/2023,20.9
18/12/2023,20.8
15/12/2023,20.8
14/12/2023,20.9
13/12/2023,21.1
12/12/2023,21.2
11/12/2023,21.15
08/12/2023,21.2
07/12/2023,21.0
06/12/2023,21.3
05/12/2023,21.35
04/12/2023,21.45
01/12/2023,21.2
30/11/2023,21.25
29/11/2023,21.3
28/11/2023,21.25
27/11/2023,21.1
24/11/2023,21.35
23/11/2023,21.1
22/11/2023,21.5
21/11/2023,21.5
20/11/2023,21.2
17/11/2023,21.5
16/11/2023,21.6
15/11/2023,21.75
14/11/2023,21.2
13/11/2023,21.4
10/11/2023,21.85
09/11/2023,22.0
08/11/2023,21.8
07/11/2023,21.6
06/11/2023,21.85
03/11/2023,21.4
02/11/2023,21.55
01/11/2023,20.6
31/10/2023,20.3
30/10/2023,20.35
27/10/2023,20.65
26/10/2023,20.4
25/10/2023,21.9
24/10/2023,21.8
23/10/2023,21.95
20/10/2023,22.35
19/10/2023,22.0
18/10/2023,22.45
17/10/2023,23.0
16/10/2023,23.45
13/10/2023,23.7
12/10/2023,23.7
11/10/2023,25.5
10/10/2023,25.8
09/10/2023,25.8
06/10/2023,26.0
05/10/2023,25.85
04/10/2023,26.2
03/10/2023,26.0
02/10/2023,26.0
29/09/2023,26.4
28/09/2023,26.2
27/09/2023,26.45
26/09/2023,25.75
25/09/2023,25.15
22/09/2023,27.0
21/09/2023,27.2
20/09/2023,27.55
19/09/2023,27.35
18/09/2023,27.6
15/09/2023,28.4
14/09/2023,28.4
13/09/2023,28.0
12/09/2023,28.8
11/09/2023,28.85
08/09/2023,28.95
07/09/2023,28.65
06/09/2023,29.0
05/09/2023,29.1
31/08/2023,27.9
30/08/2023,28.0
29/08/2023,28.0
28/08/2023,28.2
25/08/2023,27.9
