Ngay,GiaDongCua
29/12/2023,39.5
28/12/2023,39.6
27/12/2023,39.55
26/12/2023,39.5
25/12/2023,39.3
22/12/2023,38.9
21/12/2023,39.35
20/12/2023,39.35
19/12/2023,39.2
18/12/2023,39.05
15/12/2023,39.5
14/12/2023,40.15
13/12/2023,40.5
12/12/2023,40.1
11/12/2023,40.05
08/12/2023,39.55
07/12/2023,39.6
06/12/2023,40.05
05/12/2023,39.8
04/12/2023,40.0
01/12/2023,39.7
30/11/2023,39.0
29/11/2023,39.7
28/11/2023,39.6
27/11/2023,38.85
24/11/2023,40.25
23/11/2023,40.5
22/11/2023,40.85
21/11/2023,40.8
20/11/2023,40.8
17/11/2023,40.85
16/11/2023,41.3
15/11/2023,40.9
14/11/2023,40.8
13/11/2023,40.55
10/11/2023,40.6
09/11/2023,41.0
08/11/2023,41.0
07/11/2023,40.4
06/11/2023,40.7
03/11/2023,40.4
02/11/2023,40.6
01/11/2023,39.0
31/10/2023,38.9
30/10/2023,39.15
27/10/2023,39.5
26/10/2023,39.05
25/10/2023,40.85
24/10/2023,40.75
23/10/2023,40.5
20/10/2023,41.0
19/10/2023,40.2
18/10/2023,40.85
17/10/2023,41.55
16/10/2023,41.65
13/10/2023,42.3
12/10/2023,42.65
11/10/2023,42.6
10/10/2023,42.55
09/10/2023,42.2
06/10/2023,41.9
05/10/2023,41.9
04/10/2023,42.05
03/10/2023,41.85
02/10/2023,42.25
29/09/2023,42.15
28/09/2023,42.4
27/09/2023,42.4
26/09/2023,42.0
25/09/2023,42.2
22/09/2023,43.6
21/09/2023,44.35
20/09/2023,44.6
19/09/2023,44.05
18/09/2023,44.8
15/09/2023,44.9
14/09/2023,45.2
13/09/2023,45.55
12/09/2023,45.8
11/09/2023,45.5
08/09/2023,45.65
07/09/2023,45.75
06/09/2023,45.65
05/09/2023,45.45
31/08/2023,45.2
30/08/2023,45.05
29/08/2023,44.8
28/08/2023,44.9
25/08/2023,44.9
24/08/2023,45.4
23/08/2023,45.5
22/08/2023,45.4
21/08/2023,44.6
18/08/2023,44.2
17/08/2023,46.5
16/08/2023,46.9
15/08/2023,47.2
14/08/2023,46.9
11/08/2023,46.7
10/08/2023,47.0
09/08/2023,47.4
08/08/2023,47.55
07/08/2023,48.0
