Ngay,Symbol,GiaDongCua
29/12/2023,DBD,54.2
28/12/2023,DBD,54.2
27/12/2023,DBD,53.5
26/12/2023,DBD,53.2
25/12/2023,DBD,54.4
22/12/2023,DBD,54.0
21/12/2023,DBD,54.1
20/12/2023,DBD,54.5
19/12/2023,DBD,54.8
18/12/2023,DBD,55.9
15/12/2023,DBD,55.9
14/12/2023,DBD,56.0
13/12/2023,DBD,56.7
12/12/2023,DBD,57.0
11/12/2023,DBD,57.2
08/12/2023,DBD,56.7
07/12/2023,DBD,58.1
06/12/2023,DBD,58.0
05/12/2023,DBD,58.0
04/12/2023,DBD,58.5
01/12/2023,DBD,58.5
30/11/2023,DBD,58.9
29/11/2023,DBD,55.1
28/11/2023,DBD,55.1
27/11/2023,DBD,55.1
24/11/2023,DBD,56.7
23/11/2023,DBD,56.7
22/11/2023,DBD,57.3
21/11/2023,DBD,57.5
20/11/2023,DBD,57.5
17/11/2023,DBD,57.5
16/11/2023,DBD,57.5
15/11/2023,DBD,57.9
14/11/2023,DBD,57.9
13/11/2023,DBD,58.0
10/11/2023,DBD,58.4
09/11/2023,DBD,58.5
08/11/2023,DBD,58.5
07/11/2023,DBD,58.5
06/11/2023,DBD,58.9
03/11/2023,DBD,58.9
02/11/2023,DBD,58.5
01/11/2023,DBD,58.7
31/10/2023,DBD,58.5
30/10/2023,DBD,59.2
27/10/2023,DBD,59.5
26/10/2023,DBD,57.4
25/10/2023,DBD,59.2
24/10/2023,DBD,59.6
23/10/2023,DBD,59.1
20/10/2023,DBD,58.9
19/10/2023,DBD,58.7
18/10/2023,DBD,58.8
17/10/2023,DBD,59.0
16/10/2023,DBD,59.4
13/10/2023,DBD,59.7
12/10/2023,DBD,59.0
11/10/2023,DBD,58.5
10/10/2023,DBD,59.3
09/10/2023,DBD,57.6
06/10/2023,DBD,57.6
05/10/2023,DBD,57.4
04/10/2023,DBD,57.7
03/10/2023,DBD,57.1
02/10/2023,DBD,55.5
29/09/2023,DBD,55.5
28/09/2023,DBD,55.0
27/09/2023,DBD,55.5
26/09/2023,DBD,55.1
25/09/2023,DBD,55.0
22/09/2023,DBD,56.0
21/09/2023,DBD,55.0
20/09/2023,DBD,55.0
19/09/2023,DBD,55.0
18/09/2023,DBD,55.2
15/09/2023,DBD,54.4
14/09/2023,DBD,53.5
13/09/2023,DBD,53.5
12/09/2023,DBD,52.9
11/09/2023,DBD,52.7
08/09/2023,DBD,52.3
07/09/2023,DBD,53.0
06/09/2023,DBD,53.0
05/09/2023,DBD,51.6
31/08/2023,DBD,51.6
30/08/2023,DBD,50.9
29/08/2023,DBD,51.2
28/08/2023,DBD,51.9
25/08/2023,DBD,51.3
24/08/2023,DBD,51.2
23/08/2023,DBD,51.0
22/08/2023,DBD,50.9
21/08/2023,DBD,50.7
18/08/2023,DBD,51.7
17/08/2023,DBD,52.3
16/08/2023,DBD,51.6
15/08/2023,DBD,52.0
14/08/2023,DBD,50.3
11/08/2023,DBD,50.7
10/08/2023,DBD,50.7
09/08/2023,DBD,50.9
08/08/2023,DBD,50.3
07/08/2023,DBD,51.0
04/08/2023,DBD,51.0
03/08/2023,DBD,50.4
02/08/2023,DBD,50.7
01/08/2023,DBD,50.6
31/07/2023,DBD,52.6
28/07/2023,DBD,52.8
27/07/2023,DBD,52.1
26/07/2023,DBD,53.4
25/07/2023,DBD,54.0
24/07/2023,DBD,54.0
21/07/2023,DBD,53.0
20/07/2023,DBD,54.6
