Ngay,GiaDongCua
29/12/2023,25.0
28/12/2023,24.85
27/12/2023,24.8
26/12/2023,23.8
25/12/2023,23.45
22/12/2023,23.2
21/12/2023,23.1
20/12/2023,23.2
19/12/2023,22.8
18/12/2023,22.5
15/12/2023,22.35
14/12/2023,22.5
13/12/2023,22.55
12/12/2023,22.7
11/12/2023,22.7
08/12/2023,22.75
07/12/2023,22.9
06/12/2023,22.9
05/12/2023,22.7
04/12/2023,22.75
01/12/2023,22.75
30/11/2023,22.75
29/11/2023,22.8
28/11/2023,22.65
27/11/2023,22.4
24/11/2023,22.4
23/11/2023,22.75
22/11/2023,22.8
21/11/2023,22.8
20/11/2023,22.7
17/11/2023,22.8
16/11/2023,22.85
15/11/2023,22.85
14/11/2023,22.85
13/11/2023,22.85
10/11/2023,22.9
09/11/2023,22.9
08/11/2023,22.9
07/11/2023,22.7
06/11/2023,22.7
03/11/2023,22.8
02/11/2023,22.9
01/11/2023,22.5
31/10/2023,22.4
30/10/2023,22.5
27/10/2023,22.8
26/10/2023,22.45
25/10/2023,23.0
24/10/2023,22.65
23/10/2023,22.5
20/10/2023,22.65
19/10/2023,22.6
18/10/2023,22.6
17/10/2023,22.45
16/10/2023,22.8
13/10/2023,22.85
12/10/2023,23.0
11/10/2023,22.75
10/10/2023,22.75
09/10/2023,22.75
06/10/2023,22.75
05/10/2023,22.7
04/10/2023,22.7
03/10/2023,22.0
02/10/2023,22.85
29/09/2023,22.65
28/09/2023,22.35
27/09/2023,22.85
26/09/2023,22.7
25/09/2023,22.7
22/09/2023,22.95
21/09/2023,22.95
20/09/2023,23.2
19/09/2023,23.25
18/09/2023,23.25
15/09/2023,23.25
14/09/2023,23.3
13/09/2023,23.5
12/09/2023,23.35
11/09/2023,23.1
08/09/2023,23.4
07/09/2023,23.4
06/09/2023,23.4
05/09/2023,23.4
31/08/2023,23.4
30/08/2023,23.0
29/08/2023,23.4
28/08/2023,23.5
25/08/2023,23.3
24/08/2023,23.1
23/08/2023,22.9
22/08/2023,23.25
21/08/2023,23.45
18/08/2023,23.0
17/08/2023,24.25
16/08/2023,24.1
15/08/2023,24.35
14/08/2023,24.2
11/08/2023,24.7
10/08/2023,24.2
09/08/2023,24.3
08/08/2023,24.6
07/08/2023,24.8
04/08/2023,24.35
03/08/2023,24.85
02/08/2023,24.5
01/08/2023,24.0
31/07/2023,23.9
28/07/2023,23.85
27/07/2023,23.7
26/07/2023,23.8
25/07/2023,23.8
24/07/2023,24.1
21/07/2023,23.85
20/07/2023,24.45
19/07/2023,23.55
18/07/2023,23.45
17/07/2023,23.6
14/07/2023,23.65
13/07/2023,23.65
12/07/2023,23.65
11/07/2023,23.7
10/07/2023,23.5
07/07/2023,23.9
06/07/2023,24.0
05/07/2023,23.95
04/07/2023,24.1
03/07/2023,23.9
30/06/2023,24.0
29/06/2023,23.8
28/06/2023,23.8
27/06/2023,23.8
26/06/2023,23.6
23/06/2023,23.9
22/06/2023,23.95
21/06/2023,24.0
20/06/2023,24.0
19/06/2023,23.9
16/06/2023,23.75
15/06/2023,23.55
14/06/2023,24.3
13/06/2023,24.7
12/06/2023,25.0
09/06/2023,24.1
08/06/2023,22.9
07/06/2023,23.2
06/06/2023,23.1
05/06/2023,22.95
02/06/2023,23.0
01/06/2023,23.15
31/05/2023,23.15
30/05/2023,23.2
29/05/2023,23.4
26/05/2023,23.0
25/05/2023,23.0
24/05/2023,23.1
23/05/2023,23.1
22/05/2023,23.0
19/05/2023,22.9
18/05/2023,22.9
17/05/2023,23.05
16/05/2023,22.95
15/05/2023,23.25
12/05/2023,23.4
11/05/2023,23.4
10/05/2023,23.8
09/05/2023,23.9
08/05/2023,23.5
05/05/2023,23.3
04/05/2023,23.0
28/04/2023,23.5
27/04/2023,23.0
26/04/2023,23.1
25/04/2023,22.9
24/04/2023,24.0
21/04/2023,23.2
20/04/2023,22.45
19/04/2023,22.4
18/04/2023,22.5
17/04/2023,22.4
14/04/2023,22.55
13/04/2023,22.6
12/04/2023,22.65
11/04/2023,22.4
10/04/2023,22.3
07/04/2023,22.5
06/04/2023,22.4
05/04/2023,22.65
04/04/2023,22.65
03/04/2023,22.5
31/03/2023,22.95
30/03/2023,22.9
29/03/2023,23.0
28/03/2023,23.2
27/03/2023,23.0
24/03/2023,24.15
23/03/2023,24.15
22/03/2023,24.05
21/03/2023,24.0
20/03/2023,24.1
17/03/2023,24.2
16/03/2023,23.9
15/03/2023,24.2
14/03/2023,24.45
13/03/2023,25.0
10/03/2023,25.0
09/03/2023,25.5
08/03/2023,25.2
07/03/2023,25.05
06/03/2023,25.9
03/03/2023,25.5
02/03/2023,26.0
01/03/2023,26.9
28/02/2023,26.4
27/02/2023,25.45
24/02/2023,25.05
23/02/2023,25.95
22/02/2023,26.85
21/02/2023,27.25
20/02/2023,27.45
17/02/2023,27.45
16/02/2023,27.45
15/02/2023,27.2
14/02/2023,27.1
13/02/2023,27.5
10/02/2023,27.55
09/02/2023,27.0
08/02/2023,28.1
07/02/2023,26.3
06/02/2023,24.6
03/02/2023,24.3
02/02/2023,24.4
01/02/2023,24.4
31/01/2023,24.3
30/01/2023,24.0
27/01/2023,24.4
19/01/2023,24.4
18/01/2023,24.2
17/01/2023,24.2
16/01/2023,24.3
13/01/2023,24.3
12/01/2023,24.2
11/01/2023,24.0
10/01/2023,23.9
09/01/2023,23.8
06/01/2023,24.6
05/01/2023,24.4
04/01/2023,24.2
03/01/2023,24.6
30/12/2022,24.5
29/12/2022,23.7
28/12/2022,23.8
27/12/2022,23.2
26/12/2022,23.1
23/12/2022,23.2
22/12/2022,23.2
21/12/2022,23.3
20/12/2022,23.3
19/12/2022,23.25
16/12/2022,23.25
15/12/2022,23.25
14/12/2022,23.3
13/12/2022,23.45
12/12/2022,23.45
09/12/2022,23.5
08/12/2022,23.4
07/12/2022,23.4
06/12/2022,23.4
05/12/2022,24.0
02/12/2022,24.0
01/12/2022,23.0
30/11/2022,23.7
29/11/2022,23.7
28/11/2022,24.3
25/11/2022,23.9
24/11/2022,23.6
23/11/2022,23.7
22/11/2022,23.7
21/11/2022,23.75
18/11/2022,23.9
17/11/2022,23.9
16/11/2022,23.9
15/11/2022,23.4
14/11/2022,23.45
11/11/2022,23.7
10/11/2022,23.7
09/11/2022,23.8
08/11/2022,23.35
07/11/2022,23.5
04/11/2022,23.7
03/11/2022,23.85
02/11/2022,23.8
01/11/2022,23.8
31/10/2022,23.8
28/10/2022,24.0
27/10/2022,24.0
26/10/2022,23.0
25/10/2022,23.0
24/10/2022,23.0
21/10/2022,23.4
20/10/2022,23.55
19/10/2022,23.6
18/10/2022,23.55
17/10/2022,23.8
14/10/2022,23.8
13/10/2022,23.8
12/10/2022,23.9
11/10/2022,24.0
10/10/2022,24.0
07/10/2022,23.5
06/10/2022,23.8
05/10/2022,23.9
04/10/2022,23.85
03/10/2022,23.85
30/09/2022,23.85
29/09/2022,24.0
28/09/2022,24.3
27/09/2022,24.3
26/09/2022,24.4
