Ngay,Symbol,GiaDongCua
29/12/2023,DHG,104.0
28/12/2023,DHG,101.2
27/12/2023,DHG,101.0
26/12/2023,DHG,100.8
25/12/2023,DHG,99.9
22/12/2023,DHG,99.5
21/12/2023,DHG,98.9
20/12/2023,DHG,99.8
19/12/2023,DHG,99.9
18/12/2023,DHG,100.0
15/12/2023,DHG,100.3
14/12/2023,DHG,100.2
13/12/2023,DHG,100.4
12/12/2023,DHG,101.3
11/12/2023,DHG,100.5
08/12/2023,DHG,102.1
07/12/2023,DHG,102.1
06/12/2023,DHG,103.6
05/12/2023,DHG,103.9
04/12/2023,DHG,103.9
01/12/2023,DHG,103.4
30/11/2023,DHG,103.7
29/11/2023,DHG,103.8
28/11/2023,DHG,102.0
27/11/2023,DHG,103.5
24/11/2023,DHG,102.7
23/11/2023,DHG,103.0
22/11/2023,DHG,104.5
21/11/2023,DHG,105.2
20/11/2023,DHG,103.6
17/11/2023,DHG,104.1
16/11/2023,DHG,105.5
15/11/2023,DHG,105.5
14/11/2023,DHG,104.9
13/11/2023,DHG,104.3
10/11/2023,DHG,104.3
09/11/2023,DHG,105.4
08/11/2023,DHG,106.0
07/11/2023,DHG,104.8
06/11/2023,DHG,104.8
03/11/2023,DHG,103.6
02/11/2023,DHG,103.0
01/11/2023,DHG,102.5
31/10/2023,DHG,100.0
30/10/2023,DHG,101.5
27/10/2023,DHG,101.4
26/10/2023,DHG,102.9
25/10/2023,DHG,108.6
24/10/2023,DHG,110.4
23/10/2023,DHG,110.0
20/10/2023,DHG,115.9
19/10/2023,DHG,115.0
18/10/2023,DHG,115.4
17/10/2023,DHG,118.6
16/10/2023,DHG,119.7
13/10/2023,DHG,120.0
12/10/2023,DHG,120.7
11/10/2023,DHG,121.3
10/10/2023,DHG,121.7
09/10/2023,DHG,122.2
06/10/2023,DHG,117.5
05/10/2023,DHG,116.7
04/10/2023,DHG,116.6
03/10/2023,DHG,116.7
02/10/2023,DHG,118.7
29/09/2023,DHG,117.0
28/09/2023,DHG,116.4
27/09/2023,DHG,117.2
26/09/2023,DHG,116.2
25/09/2023,DHG,116.0
22/09/2023,DHG,117.9
21/09/2023,DHG,118.7
20/09/2023,DHG,118.6
19/09/2023,DHG,118.8
18/09/2023,DHG,118.4
15/09/2023,DHG,118.0
14/09/2023,DHG,118.5
13/09/2023,DHG,120.5
12/09/2023,DHG,123.3
11/09/2023,DHG,119.7
08/09/2023,DHG,121.8
07/09/2023,DHG,123.5
06/09/2023,DHG,122.0
05/09/2023,DHG,117.9
31/08/2023,DHG,118.0
30/08/2023,DHG,116.4
29/08/2023,DHG,115.2
28/08/2023,DHG,116.3
