Ngay,Symbol,GiaDongCua
29/12/2023,IMP,56.6
28/12/2023,IMP,56.0
27/12/2023,IMP,55.9
26/12/2023,IMP,56.7
25/12/2023,IMP,57.0
22/12/2023,IMP,57.0
21/12/2023,IMP,56.5
20/12/2023,IMP,57.2
19/12/2023,IMP,57.0
18/12/2023,IMP,57.0
15/12/2023,IMP,57.9
14/12/2023,IMP,57.5
13/12/2023,IMP,56.5
12/12/2023,IMP,55.5
11/12/2023,IMP,55.2
08/12/2023,IMP,55.2
07/12/2023,IMP,55.2
06/12/2023,IMP,55.2
05/12/2023,IMP,55.0
04/12/2023,IMP,55.3
01/12/2023,IMP,54.8
30/11/2023,IMP,54.8
29/11/2023,IMP,55.1
28/11/2023,IMP,54.8
27/11/2023,IMP,55.0
24/11/2023,IMP,55.2
23/11/2023,IMP,55.9
22/11/2023,IMP,55.3
21/11/2023,IMP,55.4
20/11/2023,IMP,55.6
17/11/2023,IMP,56.2
16/11/2023,IMP,56.3
15/11/2023,IMP,56.3
14/11/2023,IMP,55.9
13/11/2023,IMP,56.0
10/11/2023,IMP,57.6
09/11/2023,IMP,58.0
08/11/2023,IMP,57.9
07/11/2023,IMP,58.0
06/11/2023,IMP,58.5
03/11/2023,IMP,58.6
02/11/2023,IMP,59.0
01/11/2023,IMP,57.0
31/10/2023,IMP,57.3
30/10/2023,IMP,57.6
27/10/2023,IMP,57.7
26/10/2023,IMP,57.9
25/10/2023,IMP,60.9
24/10/2023,IMP,60.5
23/10/2023,IMP,60.2
20/10/2023,IMP,61.0
19/10/2023,IMP,62.5
18/10/2023,IMP,62.0
17/10/2023,IMP,63.3
16/10/2023,IMP,64.5
13/10/2023,IMP,64.9
12/10/2023,IMP,65.0
11/10/2023,IMP,64.7
10/10/2023,IMP,65.0
09/10/2023,IMP,65.0
06/10/2023,IMP,64.6
05/10/2023,IMP,64.0
04/10/2023,IMP,69.5
03/10/2023,IMP,70.0
02/10/2023,IMP,69.8
29/09/2023,IMP,68.0
28/09/2023,IMP,67.0
27/09/2023,IMP,67.8
26/09/2023,IMP,68.2
25/09/2023,IMP,68.1
22/09/2023,IMP,69.7
21/09/2023,IMP,71.1
20/09/2023,IMP,72.0
19/09/2023,IMP,71.9
18/09/2023,IMP,72.0
15/09/2023,IMP,71.4
14/09/2023,IMP,71.0
13/09/2023,IMP,70.6
12/09/2023,IMP,70.3
11/09/2023,IMP,69.8
08/09/2023,IMP,69.7
07/09/2023,IMP,71.0
06/09/2023,IMP,71.0
05/09/2023,IMP,69.5
31/08/2023,IMP,68.8
30/08/2023,IMP,68.7
29/08/2023,IMP,68.9
28/08/2023,IMP,68.9
25/08/2023,IMP,67.6
