Ngay,Symbol,GiaDongCua
29/12/2023,JVC,3.38
28/12/2023,JVC,3.39
27/12/2023,JVC,3.4
26/12/2023,JVC,3.38
25/12/2023,JVC,3.36
22/12/2023,JVC,3.36
21/12/2023,JVC,3.33
20/12/2023,JVC,3.39
19/12/2023,JVC,3.36
18/12/2023,JVC,3.46
15/12/2023,JVC,3.36
14/12/2023,JVC,3.4
13/12/2023,JVC,3.43
12/12/2023,JVC,3.42
11/12/2023,JVC,3.4
08/12/2023,JVC,3.39
07/12/2023,JVC,3.39
06/12/2023,JVC,3.37
05/12/2023,JVC,3.27
04/12/2023,JVC,3.26
01/12/2023,JVC,3.2
30/11/2023,JVC,3.19
29/11/2023,JVC,3.25
28/11/2023,JVC,3.24
27/11/2023,JVC,3.25
24/11/2023,JVC,3.33
23/11/2023,JVC,3.35
22/11/2023,JVC,3.35
21/11/2023,JVC,3.33
20/11/2023,JVC,3.3
17/11/2023,JVC,3.34
16/11/2023,JVC,3.3
15/11/2023,JVC,3.3
14/11/2023,JVC,3.25
13/11/2023,JVC,3.23
10/11/2023,JVC,3.23
09/11/2023,JVC,3.28
08/11/2023,JVC,3.24
07/11/2023,JVC,3.17
06/11/2023,JVC,3.24
03/11/2023,JVC,3.18
02/11/2023,JVC,3.16
01/11/2023,JVC,2.96
31/10/2023,JVC,2.95
30/10/2023,JVC,3.08
27/10/2023,JVC,3.11
26/10/2023,JVC,3.09
25/10/2023,JVC,3.3
24/10/2023,JVC,3.3
23/10/2023,JVC,3.28
20/10/2023,JVC,3.3
19/10/2023,JVC,3.21
18/10/2023,JVC,3.25
17/10/2023,JVC,3.4
16/10/2023,JVC,3.43
13/10/2023,JVC,3.52
12/10/2023,JVC,3.54
11/10/2023,JVC,3.51
10/10/2023,JVC,3.47
09/10/2023,JVC,3.45
06/10/2023,JVC,3.46
05/10/2023,JVC,3.45
04/10/2023,JVC,3.45
03/10/2023,JVC,3.44
02/10/2023,JVC,3.64
29/09/2023,JVC,3.58
28/09/2023,JVC,3.56
27/09/2023,JVC,3.59
26/09/2023,JVC,3.59
25/09/2023,JVC,3.61
22/09/2023,JVC,3.88
21/09/2023,JVC,4.02
20/09/2023,JVC,4.03
19/09/2023,JVC,3.95
18/09/2023,JVC,3.99
15/09/2023,JVC,4.03
14/09/2023,JVC,4.05
13/09/2023,JVC,4.09
12/09/2023,JVC,4.13
11/09/2023,JVC,4.1
08/09/2023,JVC,4.18
07/09/2023,JVC,4.19
06/09/2023,JVC,4.3
05/09/2023,JVC,4.14
31/08/2023,JVC,4.08
30/08/2023,JVC,4.06
29/08/2023,JVC,4.06
28/08/2023,JVC,4.06
25/08/2023,JVC,4.0
24/08/2023,JVC,4.02
23/08/2023,JVC,3.91
22/08/2023,JVC,4.0
21/08/2023,JVC,3.99
18/08/2023,JVC,4.03
17/08/2023,JVC,4.33
16/08/2023,JVC,4.4
15/08/2023,JVC,4.48
14/08/2023,JVC,4.52
11/08/2023,JVC,4.45
10/08/2023,JVC,4.51
09/08/2023,JVC,4.69
08/08/2023,JVC,4.39
07/08/2023,JVC,4.3
04/08/2023,JVC,4.3
03/08/2023,JVC,4.3
02/08/2023,JVC,4.22
01/08/2023,JVC,4.22
31/07/2023,JVC,4.25
28/07/2023,JVC,4.18
27/07/2023,JVC,4.14
26/07/2023,JVC,4.19
25/07/2023,JVC,4.19
24/07/2023,JVC,4.22
21/07/2023,JVC,4.11
20/07/2023,JVC,4.11
19/07/2023,JVC,4.06
18/07/2023,JVC,4.18
17/07/2023,JVC,4.25
14/07/2023,JVC,4.12
13/07/2023,JVC,4.12
12/07/2023,JVC,4.1
11/07/2023,JVC,4.13
10/07/2023,JVC,4.05
07/07/2023,JVC,4.01
06/07/2023,JVC,4.01
05/07/2023,JVC,4.07
04/07/2023,JVC,4.07
03/07/2023,JVC,4.06
30/06/2023,JVC,4.07
29/06/2023,JVC,4.07
28/06/2023,JVC,4.06
27/06/2023,JVC,4.07
26/06/2023,JVC,4.07
23/06/2023,JVC,4.1
22/06/2023,JVC,4.14
21/06/2023,JVC,4.11
20/06/2023,JVC,4.06
19/06/2023,JVC,3.98
16/06/2023,JVC,4.12
15/06/2023,JVC,4.14
14/06/2023,JVC,4.2
13/06/2023,JVC,4.33
12/06/2023,JVC,4.34
09/06/2023,JVC,4.16
08/06/2023,JVC,4.17
07/06/2023,JVC,4.25
06/06/2023,JVC,4.25
05/06/2023,JVC,4.1
02/06/2023,JVC,4.28
01/06/2023,JVC,4.4
31/05/2023,JVC,4.12
30/05/2023,JVC,4.08
29/05/2023,JVC,4.06
26/05/2023,JVC,3.95
25/05/2023,JVC,3.93
24/05/2023,JVC,3.95
23/05/2023,JVC,3.97
