Ngay,GiaDongCua
29/12/2023,18.9
28/12/2023,18.9
27/12/2023,18.85
26/12/2023,18.6
25/12/2023,18.55
22/12/2023,18.5
21/12/2023,18.5
20/12/2023,18.1
19/12/2023,18.0
18/12/2023,17.6
15/12/2023,17.55
14/12/2023,17.3
13/12/2023,17.2
12/12/2023,17.7
11/12/2023,17.65
08/12/2023,17.9
07/12/2023,17.95
06/12/2023,17.6
05/12/2023,17.55
04/12/2023,18.1
01/12/2023,18.2
30/11/2023,18.2
29/11/2023,18.4
28/11/2023,18.3
27/11/2023,17.5
24/11/2023,17.4
23/11/2023,17.5
22/11/2023,17.5
21/11/2023,17.45
20/11/2023,17.5
17/11/2023,17.5
16/11/2023,17.45
15/11/2023,17.45
14/11/2023,17.6
13/11/2023,17.65
10/11/2023,17.7
09/11/2023,17.4
08/11/2023,17.2
07/11/2023,16.7
06/11/2023,16.4
03/11/2023,16.45
02/11/2023,16.5
01/11/2023,16.45
31/10/2023,16.45
30/10/2023,16.5
27/10/2023,16.5
26/10/2023,15.9
25/10/2023,16.2
24/10/2023,16.2
23/10/2023,16.55
20/10/2023,17.0
19/10/2023,16.1
18/10/2023,16.5
17/10/2023,16.55
16/10/2023,16.7
13/10/2023,16.8
12/10/2023,16.95
11/10/2023,17.0
10/10/2023,17.2
09/10/2023,17.45
06/10/2023,17.2
05/10/2023,17.3
04/10/2023,17.35
03/10/2023,17.0
02/10/2023,17.7
29/09/2023,17.8
28/09/2023,17.8
27/09/2023,17.8
26/09/2023,17.6
25/09/2023,17.5
22/09/2023,18.0
21/09/2023,18.1
20/09/2023,18.55
19/09/2023,18.4
18/09/2023,18.45
15/09/2023,18.45
14/09/2023,18.15
13/09/2023,18.2
12/09/2023,17.9
11/09/2023,17.9
08/09/2023,18.0
07/09/2023,17.95
06/09/2023,18.0
05/09/2023,18.0
31/08/2023,18.2
30/08/2023,17.8
29/08/2023,17.8
28/08/2023,17.8
25/08/2023,17.85
24/08/2023,17.9
23/08/2023,18.45
22/08/2023,18.45
21/08/2023,18.4
18/08/2023,17.9
17/08/2023,19.15
16/08/2023,19.2
15/08/2023,19.25
14/08/2023,19.3
11/08/2023,19.3
10/08/2023,19.4
09/08/2023,19.9
08/08/2023,20.5
07/08/2023,19.55
04/08/2023,19.5
03/08/2023,19.6
02/08/2023,19.6
01/08/2023,19.55
31/07/2023,20.0
28/07/2023,19.65
27/07/2023,19.4
26/07/2023,19.4
25/07/2023,19.35
24/07/2023,19.2
21/07/2023,19.55
20/07/2023,18.8
19/07/2023,18.65
18/07/2023,18.8
17/07/2023,18.65
14/07/2023,18.65
13/07/2023,18.75
12/07/2023,18.8
11/07/2023,18.8
10/07/2023,18.9
07/07/2023,18.9
06/07/2023,18.7
05/07/2023,18.5
04/07/2023,18.4
03/07/2023,18.25
30/06/2023,18.7
29/06/2023,18.95
28/06/2023,19.0
27/06/2023,18.45
26/06/2023,18.5
23/06/2023,18.5
22/06/2023,18.25
21/06/2023,18.25
20/06/2023,18.25
19/06/2023,18.25
16/06/2023,18.35
15/06/2023,18.0
14/06/2023,17.95
13/06/2023,18.05
12/06/2023,18.0
09/06/2023,18.0
08/06/2023,18.15
07/06/2023,18.25
06/06/2023,18.2
05/06/2023,18.15
02/06/2023,18.1
01/06/2023,18.5
31/05/2023,18.5
30/05/2023,18.35
29/05/2023,18.25
26/05/2023,18.4
25/05/2023,18.4
24/05/2023,18.0
23/05/2023,18.5
22/05/2023,18.8
19/05/2023,19.0
18/05/2023,18.0
17/05/2023,17.95
16/05/2023,17.8
15/05/2023,17.8
12/05/2023,18.1
11/05/2023,18.2
10/05/2023,18.15
09/05/2023,17.7
08/05/2023,17.65
05/05/2023,17.9
04/05/2023,18.5
28/04/2023,17.35
27/04/2023,16.95
26/04/2023,16.8
25/04/2023,17.0
24/04/2023,17.0
21/04/2023,17.0
20/04/2023,17.1
19/04/2023,17.05
18/04/2023,17.1
17/04/2023,17.15
14/04/2023,17.15
13/04/2023,17.3
12/04/2023,17.1
11/04/2023,16.5
10/04/2023,16.25
07/04/2023,16.15
06/04/2023,16.4
05/04/2023,16.0
04/04/2023,16.25
03/04/2023,16.0
31/03/2023,16.0
30/03/2023,16.2
29/03/2023,16.0
28/03/2023,15.8
27/03/2023,15.7
24/03/2023,15.2
23/03/2023,15.0
22/03/2023,14.85
21/03/2023,15.0
20/03/2023,14.85
17/03/2023,15.0
16/03/2023,14.8
15/03/2023,15.4
14/03/2023,14.55
13/03/2023,14.85
10/03/2023,14.75
09/03/2023,14.9
08/03/2023,15.0
07/03/2023,14.4
06/03/2023,14.6
03/03/2023,14.4
02/03/2023,14.6
01/03/2023,14.4
28/02/2023,14.05
27/02/2023,13.85
24/02/2023,14.8
23/02/2023,15.15
22/02/2023,15.3
21/02/2023,15.7
20/02/2023,16.2
17/02/2023,15.8
16/02/2023,15.75
15/02/2023,15.4
14/02/2023,15.35
13/02/2023,15.05
10/02/2023,15.0
09/02/2023,15.2
08/02/2023,15.1
07/02/2023,14.95
06/02/2023,15.35
03/02/2023,15.25
02/02/2023,15.55
01/02/2023,15.6
31/01/2023,16.6
30/01/2023,16.55
27/01/2023,16.6
19/01/2023,16.25
18/01/2023,16.25
17/01/2023,15.85
16/01/2023,15.65
13/01/2023,15.65
12/01/2023,15.15
11/01/2023,15.1
10/01/2023,15.2
09/01/2023,15.65
06/01/2023,15.7
05/01/2023,15.7
04/01/2023,15.5
03/01/2023,15.45
30/12/2022,14.7
29/12/2022,14.8
28/12/2022,14.75
27/12/2022,15.0
26/12/2022,14.6
23/12/2022,15.6
22/12/2022,15.55
21/12/2022,15.9
20/12/2022,16.1
19/12/2022,15.75
16/12/2022,15.85
15/12/2022,16.1
14/12/2022,15.95
13/12/2022,16.15
12/12/2022,15.6
09/12/2022,15.9
08/12/2022,15.4
07/12/2022,14.8
06/12/2022,15.7
05/12/2022,16.85
02/12/2022,16.75
01/12/2022,16.5
30/11/2022,16.05
29/11/2022,15.0
28/11/2022,14.85
25/11/2022,14.3
24/11/2022,13.4
23/11/2022,13.5
22/11/2022,14.0
21/11/2022,13.95
18/11/2022,14.5
17/11/2022,13.65
16/11/2022,13.45
15/11/2022,12.6
14/11/2022,13.5
11/11/2022,14.0
10/11/2022,13.6
09/11/2022,14.45
08/11/2022,14.2
07/11/2022,13.4
04/11/2022,14.4
03/11/2022,15.4
02/11/2022,14.75
01/11/2022,14.8
31/10/2022,14.6
28/10/2022,14.5
27/10/2022,14.45
26/10/2022,13.55
25/10/2022,14.0
24/10/2022,13.55
21/10/2022,14.55
20/10/2022,15.6
19/10/2022,16.05
18/10/2022,16.2
17/10/2022,15.15
14/10/2022,15.35
13/10/2022,15.4
12/10/2022,14.75
11/10/2022,14.8
10/10/2022,15.9
07/10/2022,15.35
06/10/2022,16.5
05/10/2022,17.7
04/10/2022,17.0
03/10/2022,18.15
30/09/2022,19.5
29/09/2022,19.85
28/09/2022,21.15
27/09/2022,22.7
26/09/2022,23.0
23/09/2022,22.7
22/09/2022,21.25
21/09/2022,20.9
20/09/2022,20.65
19/09/2022,20.25
16/09/2022,21.75
15/09/2022,22.3
14/09/2022,21.95
13/09/2022,22.3
12/09/2022,22.15
09/09/2022,22.3
08/09/2022,22.5
07/09/2022,22.7
06/09/2022,22.8
05/09/2022,23.15
31/08/2022,23.2
30/08/2022,22.7
29/08/2022,22.95
26/08/2022,23.3
25/08/2022,23.2
24/08/2022,23.45
23/08/2022,22.9
22/08/2022,23.1
19/08/2022,22.75
18/08/2022,23.2
17/08/2022,23.15
16/08/2022,24.15
15/08/2022,24.25
12/08/2022,24.3
11/08/2022,24.0
10/08/2022,25.05
09/08/2022,25.0
08/08/2022,24.1
05/08/2022,23.95
04/08/2022,23.85
03/08/2022,24.05
02/08/2022,23.3
01/08/2022,23.4
29/07/2022,23.3
28/07/2022,23.6
27/07/2022,23.9
26/07/2022,22.7
25/07/2022,23.2
22/07/2022,23.8
21/07/2022,24.4
20/07/2022,24.8
19/07/2022,23.8
18/07/2022,23.25
15/07/2022,23.1
14/07/2022,23.8
13/07/2022,23.55
12/07/2022,23.1
11/07/2022,22.1
08/07/2022,23.0
07/07/2022,23.0
06/07/2022,21.5
05/07/2022,23.05
04/07/2022,24.65
01/07/2022,25.0
30/06/2022,24.05
29/06/2022,25.25
28/06/2022,25.75
27/06/2022,25.4
24/06/2022,24.5
23/06/2022,24.8
22/06/2022,23.2
21/06/2022,24.9
20/06/2022,29.05
17/06/2022,31.2
16/06/2022,31.1
15/06/2022,31.8
14/06/2022,30.0
13/06/2022,28.5
10/06/2022,30.25
09/06/2022,32.5
08/06/2022,32.9
07/06/2022,32.25
06/06/2022,30.15
03/06/2022,32.4
02/06/2022,31.55
01/06/2022,29.5
31/05/2022,28.85
30/05/2022,28.8
27/05/2022,28.1
26/05/2022,28.0
25/05/2022,27.9
24/05/2022,26.1
23/05/2022,25.4
20/05/2022,24.6
19/05/2022,24.95
18/05/2022,25.15
17/05/2022,24.9
16/05/2022,23.3
13/05/2022,25.05
12/05/2022,26.9
11/05/2022,28.9
10/05/2022,29.8
09/05/2022,28.8
06/05/2022,30.95
05/05/2022,29.4
04/05/2022,29.5
29/04/2022,27.6
28/04/2022,25.8
27/04/2022,26.5
26/04/2022,25.85
25/04/2022,27.75
22/04/2022,29.8
21/04/2022,30.2
20/04/2022,28.25
19/04/2022,28.2
18/04/2022,29.85
15/04/2022,29.65
14/04/2022,27.75
13/04/2022,27.5
12/04/2022,26.1
08/04/2022,27.3
07/04/2022,27.7
06/04/2022,27.1
05/04/2022,26.8
04/04/2022,27.0
01/04/2022,27.0
31/03/2022,26.4
30/03/2022,26.75
29/03/2022,26.85
28/03/2022,27.0
25/03/2022,26.6
24/03/2022,26.55
23/03/2022,26.45
22/03/2022,24.9
21/03/2022,24.9
18/03/2022,23.3
17/03/2022,23.2
16/03/2022,23.2
15/03/2022,23.0
14/03/2022,23.05
11/03/2022,23.7
10/03/2022,23.95
09/03/2022,23.8
08/03/2022,23.4
07/03/2022,24.15
04/03/2022,24.4
03/03/2022,24.5
02/03/2022,23.7
01/03/2022,23.85
28/02/2022,22.8
25/02/2022,23.1
24/02/2022,23.2
23/02/2022,23.6
22/02/2022,23.6
21/02/2022,23.9
18/02/2022,23.75
17/02/2022,23.5
16/02/2022,23.55
15/02/2022,22.85
14/02/2022,22.8
11/02/2022,23.4
10/02/2022,23.2
09/02/2022,23.65
08/02/2022,22.8
07/02/2022,22.8
28/01/2022,22.25
27/01/2022,20.8
26/01/2022,20.7
25/01/2022,20.65
24/01/2022,20.35
21/01/2022,20.9
20/01/2022,20.85
19/01/2022,20.25
18/01/2022,20.4
17/01/2022,21.3
14/01/2022,22.5
13/01/2022,22.5
12/01/2022,22.6
11/01/2022,22.6
10/01/2022,22.6
07/01/2022,23.5
06/01/2022,23.75
05/01/2022,23.9
04/01/2022,24.05
31/12/2021,23.85
