Ngay,GiaDongCua
29/12/2023,24.0
28/12/2023,23.65
27/12/2023,23.65
26/12/2023,23.15
25/12/2023,23.2
22/12/2023,23.25
21/12/2023,23.9
20/12/2023,23.3
19/12/2023,23.4
18/12/2023,23.3
15/12/2023,25.0
14/12/2023,24.0
13/12/2023,24.0
12/12/2023,23.0
11/12/2023,22.95
08/12/2023,22.9
07/12/2023,22.9
06/12/2023,22.9
05/12/2023,22.9
04/12/2023,22.9
01/12/2023,22.7
30/11/2023,22.85
29/11/2023,22.9
28/11/2023,22.7
27/11/2023,22.7
24/11/2023,22.8
23/11/2023,22.9
22/11/2023,22.8
21/11/2023,22.9
20/11/2023,22.85
17/11/2023,23.0
16/11/2023,22.9
15/11/2023,22.9
14/11/2023,22.9
13/11/2023,22.9
10/11/2023,22.9
09/11/2023,23.0
08/11/2023,22.85
07/11/2023,22.9
06/11/2023,23.0
03/11/2023,23.0
02/11/2023,23.1
01/11/2023,22.9
31/10/2023,22.95
30/10/2023,22.95
27/10/2023,23.0
26/10/2023,22.45
25/10/2023,23.1
24/10/2023,22.4
23/10/2023,23.15
20/10/2023,22.9
19/10/2023,22.6
18/10/2023,22.4
17/10/2023,22.8
16/10/2023,22.6
13/10/2023,23.0
12/10/2023,23.0
11/10/2023,23.0
10/10/2023,23.0
09/10/2023,23.5
06/10/2023,22.85
05/10/2023,22.45
04/10/2023,23.35
03/10/2023,22.5
02/10/2023,22.8
29/09/2023,22.9
28/09/2023,22.6
27/09/2023,22.5
26/09/2023,22.85
25/09/2023,22.9
22/09/2023,22.9
21/09/2023,23.3
20/09/2023,23.05
19/09/2023,23.0
18/09/2023,23.35
15/09/2023,22.9
14/09/2023,23.2
13/09/2023,23.0
12/09/2023,23.1
11/09/2023,23.15
08/09/2023,23.15
07/09/2023,23.2
06/09/2023,23.25
05/09/2023,23.2
31/08/2023,23.0
30/08/2023,22.85
29/08/2023,22.9
28/08/2023,23.0
25/08/2023,23.0
24/08/2023,23.3
23/08/2023,22.9
22/08/2023,22.9
21/08/2023,23.1
18/08/2023,22.5
17/08/2023,23.3
16/08/2023,23.4
15/08/2023,23.35
14/08/2023,23.35
11/08/2023,23.4
10/08/2023,23.4
09/08/2023,23.35
08/08/2023,23.3
07/08/2023,23.2
04/08/2023,23.0
03/08/2023,23.0
02/08/2023,23.0
01/08/2023,23.15
31/07/2023,23.1
28/07/2023,23.45
27/07/2023,23.4
26/07/2023,23.1
25/07/2023,23.2
24/07/2023,23.25
21/07/2023,23.3
20/07/2023,23.25
19/07/2023,23.3
18/07/2023,23.0
17/07/2023,23.0
14/07/2023,23.15
13/07/2023,23.15
12/07/2023,22.85
11/07/2023,23.2
10/07/2023,23.2
07/07/2023,23.0
06/07/2023,23.0
05/07/2023,23.15
04/07/2023,23.0
03/07/2023,22.95
30/06/2023,23.9
29/06/2023,23.0
28/06/2023,23.1
27/06/2023,23.4
26/06/2023,22.85
23/06/2023,22.95
22/06/2023,23.35
21/06/2023,23.35
20/06/2023,23.5
19/06/2023,23.5
16/06/2023,23.2
15/06/2023,23.15
