Ngay,Symbol,GiaDongCua
29/12/2023,PGI,23.7
28/12/2023,PGI,23.7
27/12/2023,PGI,23.7
26/12/2023,PGI,23.7
25/12/2023,PGI,23.7
22/12/2023,PGI,23.7
21/12/2023,PGI,23.7
20/12/2023,PGI,23.7
19/12/2023,PGI,22.2
18/12/2023,PGI,23.3
15/12/2023,PGI,24.95
14/12/2023,PGI,23.8
13/12/2023,PGI,23.8
12/12/2023,PGI,23.8
11/12/2023,PGI,23.8
08/12/2023,PGI,23.05
07/12/2023,PGI,23.7
06/12/2023,PGI,22.5
05/12/2023,PGI,23.75
04/12/2023,PGI,23.35
01/12/2023,PGI,23.0
30/11/2023,PGI,23.0
29/11/2023,PGI,23.0
28/11/2023,PGI,24.0
27/11/2023,PGI,24.0
24/11/2023,PGI,24.0
23/11/2023,PGI,24.0
22/11/2023,PGI,24.0
21/11/2023,PGI,23.5
20/11/2023,PGI,23.5
17/11/2023,PGI,23.5
16/11/2023,PGI,25.0
15/11/2023,PGI,25.0
14/11/2023,PGI,24.0
13/11/2023,PGI,24.0
10/11/2023,PGI,24.0
09/11/2023,PGI,23.5
08/11/2023,PGI,24.2
07/11/2023,PGI,25.65
06/11/2023,PGI,25.65
03/11/2023,PGI,24.0
02/11/2023,PGI,24.0
01/11/2023,PGI,25.5
31/10/2023,PGI,25.5
30/10/2023,PGI,25.6
27/10/2023,PGI,25.6
26/10/2023,PGI,25.6
25/10/2023,PGI,25.6
24/10/2023,PGI,25.6
23/10/2023,PGI,24.7
20/10/2023,PGI,24.7
19/10/2023,PGI,26.55
18/10/2023,PGI,26.55
17/10/2023,PGI,25.0
16/10/2023,PGI,26.0
13/10/2023,PGI,26.0
12/10/2023,PGI,26.0
11/10/2023,PGI,26.0
10/10/2023,PGI,26.0
09/10/2023,PGI,25.5
06/10/2023,PGI,25.5
05/10/2023,PGI,25.05
04/10/2023,PGI,25.05
03/10/2023,PGI,25.05
02/10/2023,PGI,25.05
29/09/2023,PGI,25.8
28/09/2023,PGI,25.8
27/09/2023,PGI,25.8
26/09/2023,PGI,25.8
25/09/2023,PGI,25.8
22/09/2023,PGI,25.8
21/09/2023,PGI,25.8
