Ngay,GiaDongCua
29/12/2023,12.5
28/12/2023,12.5
27/12/2023,12.3
26/12/2023,12.3
25/12/2023,12.3
22/12/2023,11.7
21/12/2023,11.65
20/12/2023,11.75
19/12/2023,11.0
18/12/2023,11.0
15/12/2023,11.0
14/12/2023,11.0
13/12/2023,11.0
12/12/2023,11.0
11/12/2023,11.4
08/12/2023,11.2
07/12/2023,11.2
06/12/2023,11.25
05/12/2023,11.25
04/12/2023,11.3
01/12/2023,11.3
30/11/2023,11.3
29/11/2023,11.4
28/11/2023,11.4
27/11/2023,11.2
24/11/2023,11.95
23/11/2023,11.95
22/11/2023,11.95
21/11/2023,11.5
20/11/2023,11.5
17/11/2023,11.5
16/11/2023,11.5
15/11/2023,11.5
14/11/2023,12.0
13/11/2023,12.0
10/11/2023,12.0
09/11/2023,12.0
08/11/2023,11.3
07/11/2023,11.7
06/11/2023,12.45
03/11/2023,12.05
02/11/2023,11.9
01/11/2023,11.35
31/10/2023,12.05
30/10/2023,11.3
27/10/2023,12.1
26/10/2023,12.75
25/10/2023,13.7
24/10/2023,13.7
23/10/2023,13.75
20/10/2023,13.8
19/10/2023,13.8
18/10/2023,13.45
17/10/2023,12.65
16/10/2023,12.65
13/10/2023,12.65
12/10/2023,12.65
11/10/2023,13.6
10/10/2023,13.6
09/10/2023,12.9
06/10/2023,12.9
05/10/2023,12.9
04/10/2023,12.9
03/10/2023,12.5
02/10/2023,12.3
29/09/2023,12.1
28/09/2023,12.5
27/09/2023,12.5
26/09/2023,12.5
25/09/2023,12.7
22/09/2023,13.05
21/09/2023,13.05
20/09/2023,13.4
19/09/2023,13.6
18/09/2023,13.5
15/09/2023,13.5
14/09/2023,13.5
13/09/2023,13.5
12/09/2023,13.7
11/09/2023,13.65
08/09/2023,13.65
07/09/2023,14.1
06/09/2023,14.2
05/09/2023,14.3
31/08/2023,14.5
30/08/2023,15.0
29/08/2023,14.15
28/08/2023,14.15
25/08/2023,14.0
24/08/2023,14.0
23/08/2023,14.0
22/08/2023,14.0
21/08/2023,13.5
18/08/2023,14.1
17/08/2023,14.2
16/08/2023,14.2
15/08/2023,13.4
14/08/2023,14.2
11/08/2023,14.2
10/08/2023,14.0
09/08/2023,13.5
08/08/2023,13.95
07/08/2023,13.2
04/08/2023,13.0
03/08/2023,12.95
02/08/2023,12.95
01/08/2023,12.95
31/07/2023,12.95
28/07/2023,13.8
27/07/2023,13.8
26/07/2023,13.8
25/07/2023,13.8
24/07/2023,13.8
21/07/2023,13.6
20/07/2023,13.65
19/07/2023,13.65
18/07/2023,13.8
17/07/2023,13.8
14/07/2023,13.8
13/07/2023,14.0
12/07/2023,14.0
11/07/2023,14.0
10/07/2023,14.6
07/07/2023,14.6
06/07/2023,14.6
05/07/2023,14.6
04/07/2023,14.6
03/07/2023,14.6
30/06/2023,14.5
29/06/2023,14.0
28/06/2023,14.0
27/06/2023,14.0
26/06/2023,14.0
23/06/2023,14.0
22/06/2023,14.0
21/06/2023,14.65
20/06/2023,14.65
19/06/2023,14.4
16/06/2023,14.4
15/06/2023,14.45
14/06/2023,14.0
13/06/2023,14.0
12/06/2023,14.45
09/06/2023,14.0
08/06/2023,14.0
07/06/2023,13.6
06/06/2023,13.6
05/06/2023,13.75
02/06/2023,13.75
01/06/2023,13.75
31/05/2023,12.9
30/05/2023,12.9
29/05/2023,13.0
26/05/2023,12.9
25/05/2023,12.95
24/05/2023,12.2
23/05/2023,12.2
22/05/2023,12.95
19/05/2023,12.95
18/05/2023,12.55
17/05/2023,12.55
16/05/2023,12.55
15/05/2023,12.55
12/05/2023,12.2
11/05/2023,12.2
10/05/2023,12.2
09/05/2023,12.2
08/05/2023,12.5
05/05/2023,12.2
04/05/2023,12.2
28/04/2023,13.05
27/04/2023,13.05
26/04/2023,12.25
25/04/2023,12.9
24/04/2023,12.9
21/04/2023,12.9
20/04/2023,12.6
19/04/2023,12.6
18/04/2023,12.6
17/04/2023,12.6
14/04/2023,12.6
13/04/2023,13.2
12/04/2023,13.0
11/04/2023,13.0
10/04/2023,13.35
07/04/2023,13.35
06/04/2023,12.65
05/04/2023,12.6
04/04/2023,12.9
03/04/2023,13.3
31/03/2023,13.95
30/03/2023,13.15
29/03/2023,12.6
28/03/2023,12.6
27/03/2023,12.5
24/03/2023,12.5
23/03/2023,12.5
22/03/2023,12.6
21/03/2023,12.8
20/03/2023,12.8
17/03/2023,12.8
16/03/2023,12.8
15/03/2023,12.65
14/03/2023,12.45
13/03/2023,12.45
10/03/2023,13.05
09/03/2023,13.3
08/03/2023,13.5
07/03/2023,13.5
06/03/2023,13.45
03/03/2023,13.45
02/03/2023,13.05
01/03/2023,13.1
28/02/2023,13.25
27/02/2023,13.05
24/02/2023,13.95
23/02/2023,15.0
22/02/2023,15.0
21/02/2023,14.35
20/02/2023,14.35
17/02/2023,14.35
16/02/2023,14.35
15/02/2023,14.4
14/02/2023,14.4
13/02/2023,14.55
10/02/2023,13.8
09/02/2023,13.8
08/02/2023,13.8
07/02/2023,13.8
06/02/2023,14.0
03/02/2023,14.0
02/02/2023,14.05
01/02/2023,14.05
31/01/2023,15.0
30/01/2023,15.0
27/01/2023,14.3
19/01/2023,14.55
18/01/2023,14.0
17/01/2023,14.0
16/01/2023,13.9
13/01/2023,13.9
12/01/2023,13.1
11/01/2023,13.95
10/01/2023,14.9
09/01/2023,14.9
06/01/2023,14.0
05/01/2023,14.0
04/01/2023,14.0
03/01/2023,14.0
30/12/2022,14.0
29/12/2022,14.0
28/12/2022,14.0
27/12/2022,14.0
26/12/2022,14.0
