Ngay,GiaDongCua
29/12/2023,21.45
28/12/2023,21.5
27/12/2023,21.45
26/12/2023,20.45
25/12/2023,20.45
22/12/2023,20.5
21/12/2023,20.4
20/12/2023,20.75
19/12/2023,20.35
18/12/2023,20.4
15/12/2023,20.85
14/12/2023,20.9
13/12/2023,21.3
12/12/2023,21.35
11/12/2023,21.35
08/12/2023,21.75
07/12/2023,22.0
06/12/2023,21.1
05/12/2023,21.05
04/12/2023,21.1
01/12/2023,20.75
30/11/2023,20.65
29/11/2023,20.85
28/11/2023,20.8
27/11/2023,20.8
24/11/2023,20.7
23/11/2023,20.85
22/11/2023,21.2
21/11/2023,21.25
20/11/2023,21.3
17/11/2023,21.3
16/11/2023,21.65
15/11/2023,21.05
14/11/2023,20.6
13/11/2023,20.4
10/11/2023,20.8
09/11/2023,21.3
08/11/2023,20.95
07/11/2023,20.4
06/11/2023,20.5
03/11/2023,20.4
02/11/2023,20.6
01/11/2023,19.9
31/10/2023,19.9
30/10/2023,20.35
27/10/2023,20.4
26/10/2023,20.25
25/10/2023,21.65
24/10/2023,21.95
23/10/2023,21.95
20/10/2023,21.65
19/10/2023,20.25
18/10/2023,21.05
17/10/2023,21.7
16/10/2023,21.9
13/10/2023,22.2
12/10/2023,22.05
11/10/2023,22.1
10/10/2023,22.2
09/10/2023,21.75
06/10/2023,21.85
05/10/2023,22.0
04/10/2023,22.2
03/10/2023,22.8
02/10/2023,23.35
29/09/2023,23.25
28/09/2023,23.65
27/09/2023,23.95
26/09/2023,24.0
25/09/2023,23.4
22/09/2023,24.4
21/09/2023,24.8
20/09/2023,25.0
19/09/2023,24.35
18/09/2023,24.2
15/09/2023,24.25
14/09/2023,24.35
13/09/2023,24.5
12/09/2023,24.8
11/09/2023,24.8
08/09/2023,25.1
07/09/2023,24.55
06/09/2023,24.55
05/09/2023,24.7
31/08/2023,24.75
30/08/2023,24.3
29/08/2023,24.5
28/08/2023,24.5
25/08/2023,23.9
24/08/2023,23.75
23/08/2023,23.65
22/08/2023,23.75
21/08/2023,24.1
18/08/2023,24.1
17/08/2023,25.85
16/08/2023,26.05
15/08/2023,26.1
14/08/2023,26.6
11/08/2023,26.65
10/08/2023,26.65
09/08/2023,26.8
08/08/2023,26.8
07/08/2023,26.7
04/08/2023,26.8
03/08/2023,26.8
02/08/2023,26.75
01/08/2023,26.65
31/07/2023,27.0
28/07/2023,27.05
27/07/2023,27.1
26/07/2023,27.5
25/07/2023,27.8
24/07/2023,27.8
21/07/2023,27.95
20/07/2023,27.8
19/07/2023,27.9
18/07/2023,28.1
17/07/2023,28.35
14/07/2023,27.5
13/07/2023,26.95
12/07/2023,26.9
11/07/2023,26.8
10/07/2023,26.6
07/07/2023,26.5
06/07/2023,26.5
05/07/2023,26.75
04/07/2023,26.6
03/07/2023,26.55
30/06/2023,26.9
29/06/2023,27.0
28/06/2023,27.0
27/06/2023,27.4
26/06/2023,27.4
23/06/2023,27.65
22/06/2023,27.65
21/06/2023,27.55
20/06/2023,27.3
19/06/2023,27.5
16/06/2023,27.15
15/06/2023,26.95
14/06/2023,27.2
13/06/2023,27.25
12/06/2023,26.6
09/06/2023,26.5
08/06/2023,26.8
07/06/2023,26.85
06/06/2023,26.9
05/06/2023,26.95
02/06/2023,26.95
01/06/2023,26.6
31/05/2023,26.75
30/05/2023,27.0
29/05/2023,26.95
26/05/2023,27.0
25/05/2023,27.1
24/05/2023,27.4
23/05/2023,27.5
22/05/2023,27.4
19/05/2023,26.9
18/05/2023,26.85
17/05/2023,26.9
16/05/2023,27.0
15/05/2023,27.0
12/05/2023,27.0
11/05/2023,27.0
10/05/2023,27.0
09/05/2023,26.9
08/05/2023,27.4
05/05/2023,27.9
04/05/2023,27.9
28/04/2023,28.3
27/04/2023,28.3
26/04/2023,28.45
25/04/2023,28.25
24/04/2023,28.75
21/04/2023,28.75
20/04/2023,27.2
19/04/2023,35.8
18/04/2023,35.0
17/04/2023,35.0
14/04/2023,34.75
13/04/2023,35.55
12/04/2023,35.6
11/04/2023,36.5
10/04/2023,36.6
07/04/2023,36.6
06/04/2023,36.75
05/04/2023,36.75
04/04/2023,36.75
03/04/2023,36.7
31/03/2023,36.7
30/03/2023,36.7
29/03/2023,36.8
28/03/2023,36.95
27/03/2023,36.75
24/03/2023,36.6
23/03/2023,36.6
22/03/2023,36.7
21/03/2023,36.6
20/03/2023,36.7
17/03/2023,36.95
16/03/2023,36.85
15/03/2023,37.0
14/03/2023,36.0
13/03/2023,35.8
10/03/2023,36.1
09/03/2023,36.4
08/03/2023,37.0
07/03/2023,37.2
06/03/2023,36.6
03/03/2023,37.0
02/03/2023,36.8
01/03/2023,36.75
28/02/2023,37.3
27/02/2023,37.5
24/02/2023,37.75
23/02/2023,37.65
22/02/2023,37.45
21/02/2023,37.8
20/02/2023,37.95
17/02/2023,37.95
16/02/2023,37.9
15/02/2023,37.6
14/02/2023,38.0
13/02/2023,38.0
10/02/2023,38.8
09/02/2023,38.0
08/02/2023,37.55
07/02/2023,37.55
06/02/2023,38.0
03/02/2023,37.9
02/02/2023,37.9
01/02/2023,38.0
31/01/2023,38.7
30/01/2023,38.65
27/01/2023,38.8
19/01/2023,37.4
18/01/2023,36.8
17/01/2023,36.5
16/01/2023,36.5
13/01/2023,36.65
12/01/2023,36.4
11/01/2023,36.4
10/01/2023,36.15
09/01/2023,36.85
06/01/2023,35.95
05/01/2023,35.0
04/01/2023,34.5
03/01/2023,34.8
30/12/2022,34.95
29/12/2022,34.0
28/12/2022,32.5
27/12/2022,33.7
26/12/2022,33.5
23/12/2022,33.9
22/12/2022,33.95
21/12/2022,33.3
20/12/2022,33.75
19/12/2022,35.0
16/12/2022,35.0
15/12/2022,35.05
14/12/2022,34.9
13/12/2022,34.7
12/12/2022,34.5
09/12/2022,34.85
08/12/2022,34.85
07/12/2022,34.8
06/12/2022,35.0
05/12/2022,35.5
02/12/2022,34.2
01/12/2022,33.8
30/11/2022,33.95
29/11/2022,32.6
28/11/2022,32.65
25/11/2022,31.95
24/11/2022,31.2
23/11/2022,31.3
22/11/2022,31.5
21/11/2022,30.6
18/11/2022,30.6
17/11/2022,30.5
16/11/2022,29.8
15/11/2022,27.9
14/11/2022,30.0
11/11/2022,30.5
10/11/2022,29.8
09/11/2022,30.5
08/11/2022,30.0
07/11/2022,29.0
04/11/2022,29.0
03/11/2022,29.75
02/11/2022,29.75
01/11/2022,29.7
31/10/2022,29.35
28/10/2022,28.0
27/10/2022,27.35
26/10/2022,25.95
25/10/2022,25.5
24/10/2022,27.4
21/10/2022,29.45
20/10/2022,31.65
19/10/2022,32.0
18/10/2022,31.95
17/10/2022,31.8
14/10/2022,31.95
13/10/2022,31.9
12/10/2022,31.2
11/10/2022,30.3
10/10/2022,32.55
07/10/2022,32.45
06/10/2022,33.5
05/10/2022,35.7
04/10/2022,35.3
03/10/2022,35.8
30/09/2022,38.45
29/09/2022,38.5
28/09/2022,39.9
27/09/2022,40.05
26/09/2022,39.8
23/09/2022,40.6
22/09/2022,40.5
21/09/2022,39.75
20/09/2022,39.6
19/09/2022,39.95
16/09/2022,40.9
15/09/2022,40.8
14/09/2022,40.4
13/09/2022,39.95
12/09/2022,39.95
09/09/2022,39.3
08/09/2022,39.2
07/09/2022,40.0
06/09/2022,41.45
05/09/2022,40.15
31/08/2022,39.7
30/08/2022,39.9
29/08/2022,40.15
26/08/2022,41.1
25/08/2022,41.6
24/08/2022,41.55
23/08/2022,41.2
22/08/2022,42.0
19/08/2022,42.0
18/08/2022,43.2
17/08/2022,43.5
16/08/2022,44.0
15/08/2022,43.45
12/08/2022,43.45
11/08/2022,43.2
10/08/2022,43.65
09/08/2022,43.85
08/08/2022,43.85
05/08/2022,43.4
04/08/2022,43.9
03/08/2022,43.95
02/08/2022,43.35
01/08/2022,44.85
29/07/2022,45.25
28/07/2022,46.5
27/07/2022,46.0
26/07/2022,46.5
25/07/2022,46.8
22/07/2022,46.2
21/07/2022,46.2
20/07/2022,44.1
19/07/2022,42.0
18/07/2022,43.0
15/07/2022,43.5
14/07/2022,44.0
13/07/2022,43.5
12/07/2022,44.0
11/07/2022,42.55
08/07/2022,42.6
07/07/2022,41.5
06/07/2022,43.0
05/07/2022,44.0
04/07/2022,43.7
01/07/2022,42.9
30/06/2022,41.0
29/06/2022,41.5
28/06/2022,41.75
27/06/2022,42.4
24/06/2022,41.5
23/06/2022,42.95
22/06/2022,42.9
21/06/2022,40.45
20/06/2022,41.9
17/06/2022,42.5
16/06/2022,41.6
15/06/2022,40.9
14/06/2022,40.2
13/06/2022,38.8
10/06/2022,41.2
09/06/2022,43.85
08/06/2022,43.35
