Ngay,Symbol,GiaDongCua
29/12/2023,TRA,89.0
28/12/2023,TRA,87.0
27/12/2023,TRA,86.7
26/12/2023,TRA,85.8
25/12/2023,TRA,86.8
22/12/2023,TRA,86.8
21/12/2023,TRA,85.5
20/12/2023,TRA,81.0
19/12/2023,TRA,81.0
18/12/2023,TRA,77.4
15/12/2023,TRA,77.6
14/12/2023,TRA,76.5
13/12/2023,TRA,79.3
12/12/2023,TRA,79.2
11/12/2023,TRA,79.5
08/12/2023,TRA,79.5
07/12/2023,TRA,78.1
06/12/2023,TRA,77.7
05/12/2023,TRA,77.3
04/12/2023,TRA,79.7
01/12/2023,TRA,77.2
30/11/2023,TRA,77.8
29/11/2023,TRA,77.8
28/11/2023,TRA,77.9
27/11/2023,TRA,79.0
24/11/2023,TRA,79.0
23/11/2023,TRA,79.6
22/11/2023,TRA,80.0
21/11/2023,TRA,80.0
20/11/2023,TRA,80.0
17/11/2023,TRA,80.0
16/11/2023,TRA,80.0
15/11/2023,TRA,80.0
14/11/2023,TRA,80.0
13/11/2023,TRA,80.5
10/11/2023,TRA,80.5
09/11/2023,TRA,79.8
08/11/2023,TRA,79.9
07/11/2023,TRA,82.0
06/11/2023,TRA,81.8
03/11/2023,TRA,77.8
02/11/2023,TRA,81.5
01/11/2023,TRA,79.7
31/10/2023,TRA,81.5
30/10/2023,TRA,83.9
27/10/2023,TRA,82.0
26/10/2023,TRA,83.0
25/10/2023,TRA,83.0
24/10/2023,TRA,83.0
23/10/2023,TRA,84.0
20/10/2023,TRA,84.0
19/10/2023,TRA,84.0
18/10/2023,TRA,84.0
17/10/2023,TRA,84.0
16/10/2023,TRA,84.2
13/10/2023,TRA,84.1
12/10/2023,TRA,85.0
11/10/2023,TRA,84.6
10/10/2023,TRA,85.0
09/10/2023,TRA,85.0
06/10/2023,TRA,85.0
05/10/2023,TRA,85.0
04/10/2023,TRA,85.0
03/10/2023,TRA,85.0
02/10/2023,TRA,86.8
29/09/2023,TRA,84.5
28/09/2023,TRA,84.3
27/09/2023,TRA,85.0
26/09/2023,TRA,86.0
25/09/2023,TRA,86.0
22/09/2023,TRA,87.4
21/09/2023,TRA,88.0
20/09/2023,TRA,85.5
19/09/2023,TRA,85.5
18/09/2023,TRA,86.0
15/09/2023,TRA,86.0
14/09/2023,TRA,87.0
13/09/2023,TRA,87.0
12/09/2023,TRA,85.0
11/09/2023,TRA,85.0
08/09/2023,TRA,87.5
07/09/2023,TRA,86.6
06/09/2023,TRA,87.1
05/09/2023,TRA,87.1
31/08/2023,TRA,87.0
30/08/2023,TRA,87.5
29/08/2023,TRA,87.0
28/08/2023,TRA,87.0
25/08/2023,TRA,86.0
24/08/2023,TRA,87.0
23/08/2023,TRA,87.9
22/08/2023,TRA,87.9
21/08/2023,TRA,85.0
18/08/2023,TRA,83.5
17/08/2023,TRA,87.0
16/08/2023,TRA,87.0
15/08/2023,TRA,87.0
14/08/2023,TRA,89.1
11/08/2023,TRA,89.3
10/08/2023,TRA,89.3
09/08/2023,TRA,89.3
08/08/2023,TRA,88.8
07/08/2023,TRA,88.8
04/08/2023,TRA,88.0
03/08/2023,TRA,88.0
02/08/2023,TRA,89.0
01/08/2023,TRA,89.0
31/07/2023,TRA,88.9
28/07/2023,TRA,88.8
27/07/2023,TRA,89.9
26/07/2023,TRA,89.9
25/07/2023,TRA,89.9
24/07/2023,TRA,88.9
21/07/2023,TRA,91.0
20/07/2023,TRA,91.5
19/07/2023,TRA,91.0
18/07/2023,TRA,90.0
17/07/2023,TRA,89.5
14/07/2023,TRA,89.5
13/07/2023,TRA,89.5
12/07/2023,TRA,89.5
11/07/2023,TRA,91.8
10/07/2023,TRA,89.5
07/07/2023,TRA,89.5
06/07/2023,TRA,89.5
05/07/2023,TRA,89.9
