Ngay,GiaDongCua
29/12/2023,19.35
28/12/2023,19.05
27/12/2023,18.9
26/12/2023,19.1
25/12/2023,18.95
22/12/2023,18.75
21/12/2023,19.2
20/12/2023,19.15
19/12/2023,18.95
18/12/2023,18.65
15/12/2023,18.65
14/12/2023,18.25
13/12/2023,19.1
12/12/2023,19.45
11/12/2023,19.35
08/12/2023,20.0
07/12/2023,20.5
06/12/2023,21.3
05/12/2023,21.1
04/12/2023,20.65
01/12/2023,19.85
30/11/2023,20.0
29/11/2023,19.9
28/11/2023,19.75
27/11/2023,19.4
24/11/2023,20.0
23/11/2023,19.75
22/11/2023,21.2
21/11/2023,20.25
20/11/2023,20.15
17/11/2023,19.8
16/11/2023,20.55
15/11/2023,20.1
14/11/2023,19.95
13/11/2023,20.15
10/11/2023,19.8
09/11/2023,19.45
08/11/2023,19.0
07/11/2023,17.8
06/11/2023,18.25
03/11/2023,18.05
02/11/2023,18.0
01/11/2023,16.85
31/10/2023,16.65
30/10/2023,16.65
27/10/2023,17.4
26/10/2023,16.3
25/10/2023,17.15
24/10/2023,17.7
23/10/2023,16.9
20/10/2023,16.75
19/10/2023,15.7
18/10/2023,15.5
17/10/2023,16.4
16/10/2023,17.45
13/10/2023,18.35
12/10/2023,17.9
11/10/2023,17.75
10/10/2023,17.0
09/10/2023,17.3
06/10/2023,16.7
05/10/2023,16.6
04/10/2023,17.8
03/10/2023,17.75
02/10/2023,19.05
29/09/2023,18.9
28/09/2023,19.0
27/09/2023,19.2
26/09/2023,18.05
25/09/2023,19.3
22/09/2023,20.75
21/09/2023,22.3
20/09/2023,23.1
19/09/2023,22.15
18/09/2023,22.2
15/09/2023,21.85
14/09/2023,21.3
13/09/2023,21.8
12/09/2023,22.3
11/09/2023,21.2
08/09/2023,22.6
07/09/2023,22.85
06/09/2023,22.25
05/09/2023,22.1
31/08/2023,22.25
30/08/2023,22.2
29/08/2023,21.95
28/08/2023,22.1
25/08/2023,21.0
24/08/2023,20.2
23/08/2023,18.9
22/08/2023,19.1
21/08/2023,18.95
18/08/2023,18.85
17/08/2023,20.25
16/08/2023,20.75
15/08/2023,20.4
14/08/2023,20.4
11/08/2023,20.25
10/08/2023,18.95
09/08/2023,19.0
08/08/2023,18.75
07/08/2023,19.15
04/08/2023,19.4
03/08/2023,18.7
02/08/2023,18.55
01/08/2023,18.05
31/07/2023,19.0
28/07/2023,18.95
27/07/2023,18.05
26/07/2023,16.9
25/07/2023,16.6
24/07/2023,16.9
21/07/2023,16.45
20/07/2023,15.9
19/07/2023,15.7
18/07/2023,16.35
17/07/2023,16.3
14/07/2023,15.75
13/07/2023,15.55
12/07/2023,14.95
11/07/2023,15.0
10/07/2023,15.2
07/07/2023,14.85
06/07/2023,14.6
05/07/2023,15.15
04/07/2023,15.3
03/07/2023,14.9
30/06/2023,14.85
29/06/2023,14.9
28/06/2023,15.55
27/06/2023,15.7
26/06/2023,15.8
23/06/2023,15.8
22/06/2023,16.0
21/06/2023,15.35
20/06/2023,15.25
19/06/2023,14.5
16/06/2023,14.25
15/06/2023,14.2
14/06/2023,14.4
13/06/2023,14.5
12/06/2023,14.3
09/06/2023,14.5
08/06/2023,14.5
07/06/2023,15.2
06/06/2023,14.9
05/06/2023,14.65
02/06/2023,15.15
01/06/2023,15.15
31/05/2023,14.9
30/05/2023,14.95
29/05/2023,14.6
26/05/2023,14.45
25/05/2023,13.9
24/05/2023,14.15
23/05/2023,14.05
22/05/2023,14.25
19/05/2023,14.1
18/05/2023,13.8
17/05/2023,13.95
16/05/2023,14.5
15/05/2023,14.15
12/05/2023,14.65
11/05/2023,14.5
10/05/2023,14.3
09/05/2023,13.4
08/05/2023,13.35
05/05/2023,13.2
04/05/2023,13.3
28/04/2023,13.5
27/04/2023,13.2
26/04/2023,12.6
25/04/2023,12.55
24/04/2023,12.75
21/04/2023,12.65
20/04/2023,12.6
19/04/2023,12.7
18/04/2023,13.05
17/04/2023,12.7
14/04/2023,12.75
13/04/2023,13.7
12/04/2023,13.65
11/04/2023,13.7
10/04/2023,13.35
07/04/2023,13.6
06/04/2023,13.1
05/04/2023,13.7
04/04/2023,13.4
03/04/2023,13.4
31/03/2023,12.55
30/03/2023,12.45
29/03/2023,12.4
28/03/2023,12.35
27/03/2023,12.15
24/03/2023,11.85
23/03/2023,11.75
22/03/2023,11.5
21/03/2023,11.55
20/03/2023,11.1
17/03/2023,11.7
16/03/2023,11.45
15/03/2023,11.35
14/03/2023,10.65
13/03/2023,11.2
10/03/2023,11.25
09/03/2023,11.2
08/03/2023,11.2
07/03/2023,10.5
06/03/2023,10.8
03/03/2023,10.1
02/03/2023,10.15
01/03/2023,10.3
28/02/2023,10.0
27/02/2023,9.81
24/02/2023,10.35
23/02/2023,10.9
22/02/2023,11.0
21/02/2023,11.8
20/02/2023,11.9
17/02/2023,11.15
16/02/2023,11.15
15/02/2023,10.95
14/02/2023,10.25
13/02/2023,10.8
10/02/2023,11.6
09/02/2023,12.3
08/02/2023,12.5
07/02/2023,12.7
06/02/2023,13.5
03/02/2023,13.4
02/02/2023,13.45
01/02/2023,13.9
31/01/2023,14.9
30/01/2023,14.4
27/01/2023,14.1
19/01/2023,14.0
18/01/2023,14.15
17/01/2023,13.6
16/01/2023,12.85
13/01/2023,12.9
12/01/2023,13.05
11/01/2023,13.35
10/01/2023,12.55
09/01/2023,12.75
06/01/2023,13.2
05/01/2023,13.4
04/01/2023,13.5
03/01/2023,13.6
30/12/2022,12.75
29/12/2022,12.4
28/12/2022,12.85
27/12/2022,12.95
26/12/2022,12.3
23/12/2022,13.2
22/12/2022,13.65
21/12/2022,13.35
20/12/2022,13.4
19/12/2022,14.1
16/12/2022,15.1
15/12/2022,15.1
14/12/2022,14.15
13/12/2022,14.25
12/12/2022,13.35
09/12/2022,14.35
08/12/2022,14.0
07/12/2022,13.1
06/12/2022,14.05
05/12/2022,15.1
02/12/2022,14.6
01/12/2022,13.65
30/11/2022,12.8
29/11/2022,12.0
28/11/2022,11.25
25/11/2022,10.55
24/11/2022,9.9
23/11/2022,9.6
22/11/2022,10.2
21/11/2022,10.5
18/11/2022,10.4
17/11/2022,9.75
16/11/2022,9.12
15/11/2022,8.53
14/11/2022,9.17
11/11/2022,9.86
10/11/2022,10.6
09/11/2022,11.35
08/11/2022,11.0
07/11/2022,11.8
04/11/2022,12.65
03/11/2022,13.55
02/11/2022,13.7
01/11/2022,14.4
31/10/2022,14.0
28/10/2022,13.5
27/10/2022,12.85
26/10/2022,12.05
25/10/2022,12.95
24/10/2022,13.9
21/10/2022,14.9
20/10/2022,16.0
19/10/2022,16.65
18/10/2022,16.8
17/10/2022,15.8
14/10/2022,16.5
13/10/2022,16.35
12/10/2022,16.1
11/10/2022,15.4
10/10/2022,16.55
07/10/2022,16.35
06/10/2022,17.55
05/10/2022,18.85
04/10/2022,17.65
03/10/2022,18.9
30/09/2022,20.3
29/09/2022,20.0
28/09/2022,21.5
27/09/2022,21.5
26/09/2022,23.1
23/09/2022,24.8
22/09/2022,25.8
21/09/2022,24.9
20/09/2022,24.95
19/09/2022,24.1
16/09/2022,24.6
15/09/2022,25.7
14/09/2022,26.0
13/09/2022,24.65
12/09/2022,24.65
09/09/2022,25.2
08/09/2022,24.4
07/09/2022,24.65
06/09/2022,26.5
05/09/2022,25.9
31/08/2022,26.5
30/08/2022,26.0
29/08/2022,27.2
26/08/2022,28.0
25/08/2022,28.15
24/08/2022,28.35
23/08/2022,28.6
22/08/2022,28.0
19/08/2022,29.0
18/08/2022,28.65
17/08/2022,28.7
16/08/2022,27.9
15/08/2022,28.0
12/08/2022,28.0
11/08/2022,27.8
10/08/2022,28.0
09/08/2022,27.0
08/08/2022,26.8
05/08/2022,27.35
04/08/2022,26.7
03/08/2022,27.0
02/08/2022,26.25
01/08/2022,26.3
29/07/2022,24.8
28/07/2022,24.55
27/07/2022,23.9
26/07/2022,22.5
25/07/2022,21.9
22/07/2022,22.0
21/07/2022,22.3
20/07/2022,21.7
19/07/2022,20.9
18/07/2022,21.4
15/07/2022,21.95
14/07/2022,21.75
13/07/2022,21.35
12/07/2022,21.85
11/07/2022,20.9
08/07/2022,21.25
07/07/2022,19.9
06/07/2022,19.55
05/07/2022,20.0
04/07/2022,20.2
01/07/2022,19.7
30/06/2022,19.5
29/06/2022,20.4
28/06/2022,21.25
27/06/2022,21.0
24/06/2022,20.5
23/06/2022,20.2
22/06/2022,18.9
21/06/2022,18.45
20/06/2022,18.15
17/06/2022,19.5
16/06/2022,20.1
15/06/2022,20.95
14/06/2022,22.5
13/06/2022,22.2
10/06/2022,23.85
09/06/2022,24.75
08/06/2022,23.15
07/06/2022,21.65
06/06/2022,23.25
03/06/2022,25.0
02/06/2022,25.85
01/06/2022,27.0
31/05/2022,27.65
30/05/2022,28.2
27/05/2022,27.3
26/05/2022,27.2
25/05/2022,27.55
24/05/2022,26.5
23/05/2022,25.3
20/05/2022,26.95
19/05/2022,25.5
18/05/2022,26.7
17/05/2022,26.2
16/05/2022,25.0
13/05/2022,26.85
12/05/2022,28.85
11/05/2022,31.0
10/05/2022,30.4
09/05/2022,30.3
06/05/2022,32.55
05/05/2022,35.0
04/05/2022,34.7
29/04/2022,36.6
28/04/2022,35.7
27/04/2022,36.0
26/04/2022,34.7
25/04/2022,33.45
22/04/2022,34.65
21/04/2022,32.4
20/04/2022,33.5
19/04/2022,35.8
18/04/2022,38.3
15/04/2022,37.5
14/04/2022,39.75
13/04/2022,39.8
12/04/2022,37.2
08/04/2022,40.0
07/04/2022,41.5
06/04/2022,43.3
05/04/2022,43.9
04/04/2022,43.6
01/04/2022,46.5
31/03/2022,46.6
30/03/2022,46.1
29/03/2022,46.75
28/03/2022,45.7
25/03/2022,46.5
24/03/2022,46.15
23/03/2022,45.3
22/03/2022,45.2
21/03/2022,44.8
18/03/2022,41.9
17/03/2022,41.6
16/03/2022,41.6
15/03/2022,40.15
14/03/2022,39.9
11/03/2022,40.6
10/03/2022,40.1
09/03/2022,38.85
08/03/2022,40.0
07/03/2022,42.0
04/03/2022,44.0
03/03/2022,43.9
02/03/2022,43.5
01/03/2022,43.2
28/02/2022,42.3
25/02/2022,43.2
24/02/2022,43.2
23/02/2022,40.4
22/02/2022,38.8
21/02/2022,39.5
18/02/2022,38.9
17/02/2022,38.1
16/02/2022,37.45
15/02/2022,37.3
14/02/2022,35.0
11/02/2022,35.1
10/02/2022,35.1
09/02/2022,35.6
08/02/2022,35.3
07/02/2022,34.6
28/01/2022,33.85
27/01/2022,34.7
26/01/2022,34.15
25/01/2022,32.3
24/01/2022,31.45
21/01/2022,33.8
20/01/2022,33.0
19/01/2022,31.15
18/01/2022,29.95
17/01/2022,32.2
14/01/2022,34.6
13/01/2022,34.6
12/01/2022,37.2
11/01/2022,37.9
10/01/2022,37.0
07/01/2022,39.2
06/01/2022,38.05
05/01/2022,35.6
04/01/2022,35.2
31/12/2021,35.0
30/12/2021,35.0
29/12/2021,35.7
28/12/2021,35.85
27/12/2021,35.2
24/12/2021,34.4
23/12/2021,33.95
22/12/2021,36.5
21/12/2021,35.85
20/12/2021,35.5
17/12/2021,36.2
16/12/2021,36.2
15/12/2021,34.0
14/12/2021,33.3
13/12/2021,34.1
10/12/2021,33.05
09/12/2021,33.05
08/12/2021,31.15
07/12/2021,31.2
06/12/2021,30.2
03/12/2021,31.1
02/12/2021,32.2
01/12/2021,33.25
30/11/2021,32.7
29/11/2021,30.6
26/11/2021,28.6
25/11/2021,28.5
24/11/2021,26.65
23/11/2021,26.0
22/11/2021,24.7
19/11/2021,26.55
18/11/2021,27.3
17/11/2021,26.65
16/11/2021,26.4
15/11/2021,27.0
12/11/2021,27.0
11/11/2021,26.3
10/11/2021,26.5
09/11/2021,26.4
08/11/2021,25.85
05/11/2021,24.2
04/11/2021,23.3
03/11/2021,23.3
02/11/2021,24.95
01/11/2021,23.75
29/10/2021,24.15
28/10/2021,24.1
27/10/2021,23.45
26/10/2021,22.3
25/10/2021,22.2
22/10/2021,22.5
21/10/2021,21.75
20/10/2021,21.2
19/10/2021,21.4
18/10/2021,21.4
15/10/2021,21.55
14/10/2021,21.6
13/10/2021,21.5
12/10/2021,21.7
11/10/2021,21.6
08/10/2021,20.8
07/10/2021,20.9
06/10/2021,19.75
05/10/2021,19.0
04/10/2021,19.0
01/10/2021,18.8
30/09/2021,19.1
29/09/2021,19.05
28/09/2021,19.2
27/09/2021,19.0
24/09/2021,19.65
23/09/2021,19.8
22/09/2021,19.35
21/09/2021,19.05
20/09/2021,19.2
17/09/2021,19.25
16/09/2021,18.7
15/09/2021,18.75
14/09/2021,18.55
13/09/2021,19.2
10/09/2021,19.25
09/09/2021,19.7
08/09/2021,22.0
07/09/2021,22.0
06/09/2021,22.9
01/09/2021,22.1
31/08/2021,22.2
30/08/2021,22.25
27/08/2021,21.65
26/08/2021,20.9
25/08/2021,21.1
24/08/2021,21.1
23/08/2021,20.95
20/08/2021,22.0
19/08/2021,23.5
18/08/2021,23.5
17/08/2021,23.8
16/08/2021,23.8
13/08/2021,22.85
12/08/2021,22.7
11/08/2021,22.2
10/08/2021,23.15
09/08/2021,23.45
06/08/2021,23.1
05/08/2021,22.65
04/08/2021,21.95
03/08/2021,22.0
02/08/2021,21.7
30/07/2021,21.55
29/07/2021,21.25
28/07/2021,20.75
27/07/2021,21.0
26/07/2021,21.1
23/07/2021,20.7
22/07/2021,21.95
21/07/2021,20.6
20/07/2021,20.3
19/07/2021,20.1
16/07/2021,21.6
15/07/2021,22.3
14/07/2021,22.35
13/07/2021,22.4
12/07/2021,22.0
09/07/2021,23.0
08/07/2021,22.95
07/07/2021,21.9
06/07/2021,21.3
05/07/2021,22.9
02/07/2021,23.8
01/07/2021,23.8
30/06/2021,24.0
29/06/2021,24.05
28/06/2021,24.35
25/06/2021,24.15
24/06/2021,24.2
23/06/2021,23.7
22/06/2021,24.4
21/06/2021,23.7
18/06/2021,24.15
17/06/2021,24.15
16/06/2021,23.9
15/06/2021,25.0
14/06/2021,25.2
11/06/2021,25.25
10/06/2021,23.6
09/06/2021,24.1
08/06/2021,25.9
07/06/2021,27.8
04/06/2021,28.8
03/06/2021,28.9
02/06/2021,27.55
01/06/2021,27.85
31/05/2021,28.0
28/05/2021,27.1
27/05/2021,27.0
26/05/2021,26.1
25/05/2021,25.4
24/05/2021,26.05
21/05/2021,24.35
20/05/2021,23.35
19/05/2021,23.15
18/05/2021,23.15
17/05/2021,23.95
14/05/2021,24.35
13/05/2021,24.8
12/05/2021,24.65
11/05/2021,24.1
10/05/2021,23.4
07/05/2021,23.35
06/05/2021,23.3
05/05/2021,23.05
04/05/2021,22.9
29/04/2021,23.45
28/04/2021,23.2
27/04/2021,22.95
26/04/2021,22.55
23/04/2021,24.05
22/04/2021,24.0
20/04/2021,25.65
19/04/2021,25.65
16/04/2021,24.25
15/04/2021,24.4
14/04/2021,23.85
13/04/2021,23.95
12/04/2021,24.9
09/04/2021,25.0
08/04/2021,25.2
07/04/2021,24.2
06/04/2021,24.2
05/04/2021,24.4
02/04/2021,24.5
01/04/2021,24.6
31/03/2021,24.0
30/03/2021,24.05
29/03/2021,23.65
26/03/2021,23.4
25/03/2021,23.95
24/03/2021,24.15
23/03/2021,23.95
22/03/2021,24.65
19/03/2021,25.4
18/03/2021,25.2
17/03/2021,24.5
16/03/2021,24.5
15/03/2021,23.9
12/03/2021,24.0
11/03/2021,24.15
10/03/2021,24.3
09/03/2021,23.6
08/03/2021,22.45
05/03/2021,22.25
04/03/2021,22.6
03/03/2021,23.3
02/03/2021,23.1
01/03/2021,23.85
26/02/2021,23.5
25/02/2021,23.0
24/02/2021,23.85
23/02/2021,24.75
22/02/2021,24.9
19/02/2021,24.15
18/02/2021,24.3
17/02/2021,24.55
09/02/2021,22.95
08/02/2021,21.45
05/02/2021,22.5
04/02/2021,21.3
03/02/2021,20.85
02/02/2021,19.5
01/02/2021,18.25
29/01/2021,19.6
28/01/2021,19.55
27/01/2021,21.0
26/01/2021,22.0
25/01/2021,21.4
22/01/2021,20.0
21/01/2021,18.7
20/01/2021,17.5
19/01/2021,17.3
18/01/2021,18.15
15/01/2021,17.4
14/01/2021,18.25
13/01/2021,17.6
12/01/2021,17.65
11/01/2021,17.55
08/01/2021,17.15
07/01/2021,17.35
06/01/2021,17.05
05/01/2021,17.0
04/01/2021,16.4
31/12/2020,15.95
30/12/2020,15.95
29/12/2020,16.2
28/12/2020,15.2
25/12/2020,15.2
24/12/2020,15.0
23/12/2020,15.45
22/12/2020,15.7
21/12/2020,14.85
18/12/2020,14.8
17/12/2020,14.65
16/12/2020,14.95
15/12/2020,14.9
14/12/2020,14.95
11/12/2020,14.8
10/12/2020,14.7
09/12/2020,15.0
08/12/2020,14.95
07/12/2020,14.85
04/12/2020,14.85
03/12/2020,14.4
02/12/2020,14.45
01/12/2020,14.15
30/11/2020,13.9
27/11/2020,14.2
26/11/2020,13.7
25/11/2020,13.75
24/11/2020,13.8
23/11/2020,13.9
20/11/2020,14.25
19/11/2020,14.1
18/11/2020,14.15
17/11/2020,14.0
16/11/2020,13.3
13/11/2020,13.7
12/11/2020,13.5
11/11/2020,12.75
10/11/2020,12.75
09/11/2020,12.9
06/11/2020,12.6
05/11/2020,12.25
04/11/2020,12.35
03/11/2020,11.8
02/11/2020,11.75
30/10/2020,11.5
29/10/2020,11.4
28/10/2020,11.4
27/10/2020,11.7
26/10/2020,11.8
23/10/2020,12.2
22/10/2020,12.2
21/10/2020,11.8
20/10/2020,12.25
19/10/2020,12.2
16/10/2020,11.9
15/10/2020,11.15
14/10/2020,11.1
13/10/2020,11.05
12/10/2020,10.85
09/10/2020,11.2
08/10/2020,11.15
07/10/2020,11.4
06/10/2020,11.4
05/10/2020,10.95
02/10/2020,10.3
01/10/2020,10.35
30/09/2020,10.1
29/09/2020,10.05
28/09/2020,10.4
25/09/2020,10.25
24/09/2020,10.4
23/09/2020,10.5
22/09/2020,10.5
21/09/2020,10.55
18/09/2020,10.6
17/09/2020,10.35
16/09/2020,10.2
15/09/2020,10.1
14/09/2020,10.15
11/09/2020,9.97
10/09/2020,9.92
09/09/2020,9.81
08/09/2020,9.78
07/09/2020,9.76
04/09/2020,10.0
03/09/2020,10.15
01/09/2020,9.88
31/08/2020,9.68
28/08/2020,10.0
27/08/2020,10.05
26/08/2020,10.15
25/08/2020,10.15
24/08/2020,9.5
21/08/2020,9.24
20/08/2020,9.29
19/08/2020,9.05
18/08/2020,9.2
17/08/2020,9.43
14/08/2020,9.68
13/08/2020,9.5
12/08/2020,9.49
11/08/2020,9.53
10/08/2020,9.64
07/08/2020,9.42
06/08/2020,9.45
05/08/2020,9.6
04/08/2020,9.6
03/08/2020,9.06
31/07/2020,8.78
30/07/2020,8.88
29/07/2020,8.83
28/07/2020,9.13
27/07/2020,8.78
24/07/2020,9.44
23/07/2020,10.15
22/07/2020,10.35
21/07/2020,10.15
20/07/2020,10.7
17/07/2020,11.15
16/07/2020,11.15
15/07/2020,11.4
14/07/2020,11.4
13/07/2020,11.4
10/07/2020,11.6
09/07/2020,11.6
08/07/2020,11.5
07/07/2020,11.5
06/07/2020,11.7
03/07/2020,11.5
02/07/2020,11.45
01/07/2020,11.7
30/06/2020,11.2
29/06/2020,11.3
26/06/2020,12.0
25/06/2020,12.15
24/06/2020,12.1
23/06/2020,12.65
22/06/2020,12.6
19/06/2020,12.7
18/06/2020,12.05
17/06/2020,12.0
16/06/2020,12.25
15/06/2020,11.7
12/06/2020,12.0
11/06/2020,11.55
10/06/2020,12.2
09/06/2020,12.25
08/06/2020,12.4
05/06/2020,12.0
04/06/2020,11.9
03/06/2020,11.6
02/06/2020,11.4
01/06/2020,11.35
29/05/2020,11.3
28/05/2020,11.3
27/05/2020,11.15
26/05/2020,11.55
25/05/2020,11.3
22/05/2020,11.1
21/05/2020,11.4
20/05/2020,10.9
19/05/2020,11.0
18/05/2020,10.6
15/05/2020,10.6
14/05/2020,11.0
13/05/2020,10.95
12/05/2020,10.4
11/05/2020,10.2
08/05/2020,9.78
07/05/2020,9.72
06/05/2020,9.5
05/05/2020,9.4
04/05/2020,9.35
29/04/2020,9.89
28/04/2020,9.96
27/04/2020,9.74
24/04/2020,9.56
23/04/2020,9.56
22/04/2020,9.74
21/04/2020,9.82
20/04/2020,10.55
17/04/2020,9.89
16/04/2020,9.25
15/04/2020,9.4
14/04/2020,8.95
13/04/2020,9.05
10/04/2020,9.04
09/04/2020,9.17
08/04/2020,9.1
07/04/2020,8.73
06/04/2020,8.89
03/04/2020,8.31
01/04/2020,7.77
31/03/2020,7.75
30/03/2020,8.33
27/03/2020,8.95
26/03/2020,9.4
25/03/2020,9.8
24/03/2020,9.41
23/03/2020,9.72
20/03/2020,10.45
19/03/2020,10.65
18/03/2020,10.9
17/03/2020,11.1
16/03/2020,10.65
13/03/2020,11.0
12/03/2020,11.0
11/03/2020,11.8
10/03/2020,12.6
09/03/2020,12.75
06/03/2020,13.7
05/03/2020,12.85
04/03/2020,12.95
03/03/2020,12.5
02/03/2020,11.85
28/02/2020,11.85
27/02/2020,12.2
26/02/2020,12.0
25/02/2020,12.1
24/02/2020,11.85
21/02/2020,12.7
20/02/2020,12.4
19/02/2020,12.3
18/02/2020,12.7
17/02/2020,12.75
14/02/2020,13.05
13/02/2020,12.7
12/02/2020,12.8
11/02/2020,12.65
10/02/2020,12.35
07/02/2020,12.45
06/02/2020,11.65
05/02/2020,10.9
04/02/2020,10.7
03/02/2020,10.85
31/01/2020,11.55
30/01/2020,12.4
22/01/2020,13.05
21/01/2020,12.85
20/01/2020,12.9
17/01/2020,13.0
16/01/2020,13.3
15/01/2020,13.4
14/01/2020,13.35
13/01/2020,13.55
10/01/2020,13.4
09/01/2020,13.55
08/01/2020,13.3
07/01/2020,13.9
06/01/2020,13.7
03/01/2020,13.9
02/01/2020,14.3
31/12/2019,14.5
30/12/2019,14.65
27/12/2019,14.6
26/12/2019,14.5
25/12/2019,14.1
24/12/2019,14.0
23/12/2019,13.65
20/12/2019,13.75
19/12/2019,13.95
18/12/2019,14.0
17/12/2019,14.05
16/12/2019,14.35
13/12/2019,14.3
12/12/2019,14.6
11/12/2019,14.2
10/12/2019,13.65
09/12/2019,13.65
06/12/2019,13.9
05/12/2019,13.9
04/12/2019,14.0
03/12/2019,13.8
02/12/2019,14.0
29/11/2019,14.15
28/11/2019,14.0
27/11/2019,14.55
26/11/2019,14.15
25/11/2019,14.2
22/11/2019,14.9
21/11/2019,15.6
20/11/2019,15.7
19/11/2019,15.5
18/11/2019,15.5
15/11/2019,15.7
14/11/2019,15.65
13/11/2019,15.9
12/11/2019,16.1
11/11/2019,16.3
08/11/2019,16.2
07/11/2019,16.2
06/11/2019,16.2
05/11/2019,15.85
04/11/2019,15.95
01/11/2019,15.4
31/10/2019,15.45
30/10/2019,15.9
29/10/2019,16.15
28/10/2019,16.1
25/10/2019,15.8
24/10/2019,15.85
23/10/2019,15.8
22/10/2019,15.8
21/10/2019,15.65
18/10/2019,16.0
17/10/2019,16.3
16/10/2019,16.4
15/10/2019,16.55
14/10/2019,16.4
11/10/2019,16.15
10/10/2019,16.25
09/10/2019,16.5
08/10/2019,16.4
07/10/2019,16.2
04/10/2019,16.7
03/10/2019,16.8
02/10/2019,17.35
01/10/2019,17.45
30/09/2019,17.45
27/09/2019,17.15
26/09/2019,16.9
25/09/2019,16.8
24/09/2019,16.9
23/09/2019,16.8
20/09/2019,16.9
19/09/2019,17.4
18/09/2019,17.2
17/09/2019,17.2
16/09/2019,16.65
13/09/2019,16.55
12/09/2019,16.3
11/09/2019,15.45
10/09/2019,15.15
09/09/2019,15.15
06/09/2019,15.25
05/09/2019,14.7
04/09/2019,14.85
03/09/2019,15.0
30/08/2019,15.5
29/08/2019,15.4
28/08/2019,15.1
27/08/2019,14.85
26/08/2019,14.3
23/08/2019,13.75
22/08/2019,13.65
21/08/2019,14.0
20/08/2019,14.2
19/08/2019,14.2
16/08/2019,14.1
15/08/2019,13.8
14/08/2019,13.8
13/08/2019,13.5
12/08/2019,16.05
09/08/2019,16.15
08/08/2019,15.1
07/08/2019,15.2
06/08/2019,16.05
05/08/2019,16.95
02/08/2019,17.6
01/08/2019,17.65
31/07/2019,17.35
30/07/2019,18.0
29/07/2019,18.05
26/07/2019,18.2
25/07/2019,18.35
24/07/2019,18.4
23/07/2019,18.95
22/07/2019,18.9
19/07/2019,19.15
18/07/2019,19.2
17/07/2019,19.1
16/07/2019,18.45
15/07/2019,18.7
12/07/2019,18.8
11/07/2019,18.5
10/07/2019,18.2
09/07/2019,18.5
08/07/2019,18.2
05/07/2019,18.3
04/07/2019,18.35
03/07/2019,18.25
02/07/2019,18.5
01/07/2019,18.75
28/06/2019,18.65
27/06/2019,18.7
26/06/2019,18.7
25/06/2019,18.85
24/06/2019,18.9
21/06/2019,19.1
20/06/2019,18.55
19/06/2019,18.2
18/06/2019,18.0
17/06/2019,17.9
14/06/2019,18.3
13/06/2019,18.4
12/06/2019,18.5
11/06/2019,18.6
10/06/2019,18.55
07/06/2019,18.25
06/06/2019,17.9
05/06/2019,18.0
04/06/2019,17.8
03/06/2019,17.7
31/05/2019,18.3
30/05/2019,18.95
29/05/2019,18.95
28/05/2019,18.95
27/05/2019,19.1
24/05/2019,19.25
23/05/2019,19.5
22/05/2019,19.0
21/05/2019,19.0
20/05/2019,18.9
17/05/2019,18.9
16/05/2019,19.15
15/05/2019,19.3
14/05/2019,19.0
13/05/2019,19.2
10/05/2019,19.25
09/05/2019,19.0
08/05/2019,17.9
07/05/2019,18.7
06/05/2019,19.15
03/05/2019,20.55
02/05/2019,21.1
26/04/2019,21.3
25/04/2019,21.3
24/04/2019,21.5
23/04/2019,21.4
22/04/2019,21.85
19/04/2019,22.0
18/04/2019,21.1
17/04/2019,22.0
16/04/2019,22.2
12/04/2019,22.5
11/04/2019,22.45
10/04/2019,22.3
09/04/2019,22.7
08/04/2019,23.15
05/04/2019,23.3
04/04/2019,22.55
03/04/2019,22.4
02/04/2019,22.35
01/04/2019,22.45
