Ngay,Symbol,GiaDongCua
29/12/2023,HDG,27.6
28/12/2023,HDG,27.55
27/12/2023,HDG,27.6
26/12/2023,HDG,28.7
25/12/2023,HDG,29.25
22/12/2023,HDG,29.1
21/12/2023,HDG,28.8
20/12/2023,HDG,27.75
19/12/2023,HDG,27.8
18/12/2023,HDG,27.8
15/12/2023,HDG,27.85
14/12/2023,HDG,27.9
13/12/2023,HDG,28.0
12/12/2023,HDG,28.4
11/12/2023,HDG,28.1
08/12/2023,HDG,28.7
07/12/2023,HDG,29.0
06/12/2023,HDG,29.3
05/12/2023,HDG,28.3
04/12/2023,HDG,27.9
01/12/2023,HDG,27.35
30/11/2023,HDG,27.6
29/11/2023,HDG,27.65
28/11/2023,HDG,27.5
27/11/2023,HDG,27.7
24/11/2023,HDG,28.1
23/11/2023,HDG,28.2
22/11/2023,HDG,28.2
21/11/2023,HDG,27.85
20/11/2023,HDG,27.8
17/11/2023,HDG,27.7
16/11/2023,HDG,28.4
15/11/2023,HDG,28.15
14/11/2023,HDG,27.95
13/11/2023,HDG,27.95
10/11/2023,HDG,28.0
09/11/2023,HDG,27.8
08/11/2023,HDG,27.7
07/11/2023,HDG,26.1
06/11/2023,HDG,26.5
03/11/2023,HDG,26.6
02/11/2023,HDG,26.9
01/11/2023,HDG,25.55
31/10/2023,HDG,25.2
30/10/2023,HDG,25.9
27/10/2023,HDG,25.9
26/10/2023,HDG,25.45
25/10/2023,HDG,26.4
24/10/2023,HDG,26.5
23/10/2023,HDG,26.0
20/10/2023,HDG,26.45
19/10/2023,HDG,24.75
18/10/2023,HDG,25.0
17/10/2023,HDG,26.0
16/10/2023,HDG,27.5
13/10/2023,HDG,28.3
12/10/2023,HDG,28.2
11/10/2023,HDG,28.2
10/10/2023,HDG,28.25
09/10/2023,HDG,27.95
06/10/2023,HDG,27.7
05/10/2023,HDG,27.05
04/10/2023,HDG,26.95
03/10/2023,HDG,26.9
02/10/2023,HDG,28.2
29/09/2023,HDG,28.15
28/09/2023,HDG,28.3
27/09/2023,HDG,28.6
26/09/2023,HDG,27.15
25/09/2023,HDG,27.3
22/09/2023,HDG,29.35
21/09/2023,HDG,31.25
20/09/2023,HDG,31.5
19/09/2023,HDG,30.75
18/09/2023,HDG,30.8
15/09/2023,HDG,31.4
14/09/2023,HDG,31.9
13/09/2023,HDG,31.9
12/09/2023,HDG,31.45
11/09/2023,HDG,30.7
08/09/2023,HDG,31.7
07/09/2023,HDG,31.3
06/09/2023,HDG,30.5
05/09/2023,HDG,30.8
31/08/2023,HDG,31.0
30/08/2023,HDG,29.7
29/08/2023,HDG,29.4
28/08/2023,HDG,29.15
25/08/2023,HDG,28.65
24/08/2023,HDG,29.4
23/08/2023,HDG,29.0
22/08/2023,HDG,29.3
21/08/2023,HDG,28.95
18/08/2023,HDG,28.45
17/08/2023,HDG,30.55
16/08/2023,HDG,30.75
15/08/2023,HDG,31.3
14/08/2023,HDG,31.55
11/08/2023,HDG,31.1
10/08/2023,HDG,31.75
09/08/2023,HDG,32.4
08/08/2023,HDG,32.0
07/08/2023,HDG,31.7
04/08/2023,HDG,31.75
03/08/2023,HDG,31.8
02/08/2023,HDG,32.45
01/08/2023,HDG,32.6
31/07/2023,HDG,33.2
28/07/2023,HDG,33.4
27/07/2023,HDG,32.8
26/07/2023,HDG,32.05
25/07/2023,HDG,32.5
24/07/2023,HDG,32.7
21/07/2023,HDG,32.7
20/07/2023,HDG,32.3
19/07/2023,HDG,32.0
18/07/2023,HDG,32.35
17/07/2023,HDG,32.45
14/07/2023,HDG,31.65
13/07/2023,HDG,31.7
12/07/2023,HDG,30.65
11/07/2023,HDG,30.4
10/07/2023,HDG,30.25
07/07/2023,HDG,30.35
06/07/2023,HDG,30.4
05/07/2023,HDG,30.9
04/07/2023,HDG,31.4
03/07/2023,HDG,38.4
30/06/2023,HDG,38.7
29/06/2023,HDG,39.0
28/06/2023,HDG,38.9
27/06/2023,HDG,39.25
26/06/2023,HDG,39.3
23/06/2023,HDG,38.75
22/06/2023,HDG,39.4
21/06/2023,HDG,39.3
20/06/2023,HDG,38.3
19/06/2023,HDG,37.65
16/06/2023,HDG,37.1
15/06/2023,HDG,37.7
14/06/2023,HDG,37.8
13/06/2023,HDG,38.15
12/06/2023,HDG,38.6
09/06/2023,HDG,37.5
08/06/2023,HDG,36.0
07/06/2023,HDG,36.8
06/06/2023,HDG,36.65
05/06/2023,HDG,35.9
02/06/2023,HDG,36.45
01/06/2023,HDG,36.7
31/05/2023,HDG,36.7
30/05/2023,HDG,36.5
29/05/2023,HDG,35.0
26/05/2023,HDG,34.75
25/05/2023,HDG,34.15
24/05/2023,HDG,34.5
23/05/2023,HDG,35.1
22/05/2023,HDG,35.2
19/05/2023,HDG,34.2
18/05/2023,HDG,33.9
17/05/2023,HDG,34.0
16/05/2023,HDG,34.15
15/05/2023,HDG,33.75
12/05/2023,HDG,35.0
11/05/2023,HDG,34.6
10/05/2023,HDG,34.5
09/05/2023,HDG,33.6
08/05/2023,HDG,33.3
05/05/2023,HDG,33.25
04/05/2023,HDG,33.85
28/04/2023,HDG,33.7
27/04/2023,HDG,32.9
26/04/2023,HDG,32.95
25/04/2023,HDG,32.0
24/04/2023,HDG,31.8
21/04/2023,HDG,30.85
20/04/2023,HDG,31.35
19/04/2023,HDG,31.3
18/04/2023,HDG,32.0
17/04/2023,HDG,32.5
14/04/2023,HDG,32.2
13/04/2023,HDG,33.15
12/04/2023,HDG,33.65
11/04/2023,HDG,32.1
10/04/2023,HDG,31.2
07/04/2023,HDG,31.3
06/04/2023,HDG,31.55
05/04/2023,HDG,32.25
04/04/2023,HDG,31.3
03/04/2023,HDG,31.25
31/03/2023,HDG,30.45
30/03/2023,HDG,30.1
29/03/2023,HDG,30.2
28/03/2023,HDG,30.4
27/03/2023,HDG,29.9
24/03/2023,HDG,29.6
23/03/2023,HDG,29.05
22/03/2023,HDG,29.15
21/03/2023,HDG,29.3
20/03/2023,HDG,29.1
17/03/2023,HDG,29.9
16/03/2023,HDG,29.6
15/03/2023,HDG,29.55
14/03/2023,HDG,28.6
13/03/2023,HDG,29.6
10/03/2023,HDG,30.45
09/03/2023,HDG,30.8
08/03/2023,HDG,30.5
07/03/2023,HDG,30.0
06/03/2023,HDG,30.0
03/03/2023,HDG,29.85
02/03/2023,HDG,30.0
01/03/2023,HDG,30.0
28/02/2023,HDG,29.4
27/02/2023,HDG,28.0
24/02/2023,HDG,29.05
23/02/2023,HDG,29.7
22/02/2023,HDG,29.5
21/02/2023,HDG,31.3
20/02/2023,HDG,31.85
17/02/2023,HDG,30.65
16/02/2023,HDG,30.5
15/02/2023,HDG,29.9
14/02/2023,HDG,29.2
13/02/2023,HDG,28.6
10/02/2023,HDG,30.1
09/02/2023,HDG,31.4
08/02/2023,HDG,32.0
07/02/2023,HDG,32.5
06/02/2023,HDG,32.8
03/02/2023,HDG,32.2
02/02/2023,HDG,32.0
01/02/2023,HDG,32.75
31/01/2023,HDG,34.2
30/01/2023,HDG,33.35
27/01/2023,HDG,33.8
19/01/2023,HDG,33.75
18/01/2023,HDG,33.2
17/01/2023,HDG,32.8
16/01/2023,HDG,31.4
13/01/2023,HDG,31.9
12/01/2023,HDG,31.6
11/01/2023,HDG,31.8
10/01/2023,HDG,31.35
09/01/2023,HDG,32.05
06/01/2023,HDG,32.7
05/01/2023,HDG,33.0
04/01/2023,HDG,32.0
03/01/2023,HDG,32.7
30/12/2022,HDG,31.4
29/12/2022,HDG,30.65
28/12/2022,HDG,31.0
27/12/2022,HDG,31.25
26/12/2022,HDG,29.9
23/12/2022,HDG,31.75
22/12/2022,HDG,31.4
21/12/2022,HDG,31.8
20/12/2022,HDG,32.0
19/12/2022,HDG,32.65
16/12/2022,HDG,34.7
15/12/2022,HDG,34.0
14/12/2022,HDG,32.3
13/12/2022,HDG,31.95
12/12/2022,HDG,31.15
09/12/2022,HDG,32.0
08/12/2022,HDG,31.5
07/12/2022,HDG,30.3
06/12/2022,HDG,31.6
05/12/2022,HDG,32.95
02/12/2022,HDG,33.0
01/12/2022,HDG,31.4
30/11/2022,HDG,31.6
29/11/2022,HDG,29.55
28/11/2022,HDG,29.5
25/11/2022,HDG,27.7
24/11/2022,HDG,25.9
23/11/2022,HDG,25.95
22/11/2022,HDG,26.7
21/11/2022,HDG,27.2
18/11/2022,HDG,27.0
17/11/2022,HDG,26.5
16/11/2022,HDG,24.85
15/11/2022,HDG,23.25
14/11/2022,HDG,25.0
11/11/2022,HDG,26.2
10/11/2022,HDG,25.6
09/11/2022,HDG,27.5
08/11/2022,HDG,28.0
07/11/2022,HDG,26.95
04/11/2022,HDG,28.95
03/11/2022,HDG,30.45
02/11/2022,HDG,30.1
01/11/2022,HDG,29.3
31/10/2022,HDG,29.7
28/10/2022,HDG,29.1
27/10/2022,HDG,27.2
26/10/2022,HDG,25.45
25/10/2022,HDG,27.35
24/10/2022,HDG,29.2
21/10/2022,HDG,31.35
20/10/2022,HDG,33.7
19/10/2022,HDG,35.55
18/10/2022,HDG,35.55
17/10/2022,HDG,36.0
14/10/2022,HDG,35.45
13/10/2022,HDG,35.0
12/10/2022,HDG,34.0
11/10/2022,HDG,31.8
10/10/2022,HDG,34.15
07/10/2022,HDG,32.65
06/10/2022,HDG,35.1
05/10/2022,HDG,37.7
04/10/2022,HDG,35.7
03/10/2022,HDG,37.9
30/09/2022,HDG,40.7
29/09/2022,HDG,40.0
28/09/2022,HDG,41.8
27/09/2022,HDG,41.8
26/09/2022,HDG,42.25
23/09/2022,HDG,45.4
22/09/2022,HDG,44.45
21/09/2022,HDG,45.0
20/09/2022,HDG,46.0
19/09/2022,HDG,45.7
16/09/2022,HDG,49.1
15/09/2022,HDG,51.6
14/09/2022,HDG,52.0
13/09/2022,HDG,52.5
12/09/2022,HDG,52.5
09/09/2022,HDG,52.5
08/09/2022,HDG,50.3
07/09/2022,HDG,51.3
06/09/2022,HDG,54.0
05/09/2022,HDG,54.0
31/08/2022,HDG,54.5
30/08/2022,HDG,53.7
29/08/2022,HDG,53.9
26/08/2022,HDG,54.9
25/08/2022,HDG,55.8
24/08/2022,HDG,55.5
23/08/2022,HDG,54.2
22/08/2022,HDG,53.2
19/08/2022,HDG,53.0
18/08/2022,HDG,53.5
17/08/2022,HDG,53.9
16/08/2022,HDG,54.0
15/08/2022,HDG,54.5
12/08/2022,HDG,51.8
11/08/2022,HDG,50.5
10/08/2022,HDG,52.3
09/08/2022,HDG,51.6
08/08/2022,HDG,52.9
05/08/2022,HDG,51.7
04/08/2022,HDG,51.2
03/08/2022,HDG,53.0
02/08/2022,HDG,51.9
01/08/2022,HDG,51.9
29/07/2022,HDG,52.9
28/07/2022,HDG,51.8
27/07/2022,HDG,49.2
26/07/2022,HDG,48.6
25/07/2022,HDG,48.6
22/07/2022,HDG,47.3
21/07/2022,HDG,47.0
20/07/2022,HDG,47.2
19/07/2022,HDG,46.3
18/07/2022,HDG,44.45
15/07/2022,HDG,44.85
14/07/2022,HDG,44.8
13/07/2022,HDG,44.35
12/07/2022,HDG,45.4
11/07/2022,HDG,43.05
08/07/2022,HDG,43.6
07/07/2022,HDG,43.75
06/07/2022,HDG,41.4
05/07/2022,HDG,51.0
04/07/2022,HDG,51.1
01/07/2022,HDG,54.9
30/06/2022,HDG,56.5
29/06/2022,HDG,57.0
28/06/2022,HDG,57.0
27/06/2022,HDG,54.7
24/06/2022,HDG,54.8
23/06/2022,HDG,55.1
22/06/2022,HDG,52.0
21/06/2022,HDG,51.9
20/06/2022,HDG,55.7
17/06/2022,HDG,58.5
16/06/2022,HDG,55.6
15/06/2022,HDG,52.0
14/06/2022,HDG,53.5
13/06/2022,HDG,51.5
10/06/2022,HDG,52.4
09/06/2022,HDG,55.0
08/06/2022,HDG,55.0
07/06/2022,HDG,53.6
06/06/2022,HDG,50.1
03/06/2022,HDG,48.45
02/06/2022,HDG,48.9
01/06/2022,HDG,50.5
31/05/2022,HDG,51.4
30/05/2022,HDG,50.5
27/05/2022,HDG,50.5
26/05/2022,HDG,50.5
25/05/2022,HDG,48.45
24/05/2022,HDG,46.2
23/05/2022,HDG,46.0
20/05/2022,HDG,46.6
19/05/2022,HDG,45.95
18/05/2022,HDG,43.35
17/05/2022,HDG,40.55
16/05/2022,HDG,37.9
13/05/2022,HDG,40.7
12/05/2022,HDG,43.75
11/05/2022,HDG,47.0
10/05/2022,HDG,46.1
09/05/2022,HDG,47.45
06/05/2022,HDG,51.0
05/05/2022,HDG,54.8
04/05/2022,HDG,54.5
29/04/2022,HDG,57.6
28/04/2022,HDG,57.2
27/04/2022,HDG,56.0
26/04/2022,HDG,53.6
25/04/2022,HDG,56.4
22/04/2022,HDG,60.6
21/04/2022,HDG,61.9
20/04/2022,HDG,62.0
19/04/2022,HDG,66.6
18/04/2022,HDG,67.0
15/04/2022,HDG,67.8
14/04/2022,HDG,66.5
13/04/2022,HDG,67.2
12/04/2022,HDG,65.0
08/04/2022,HDG,66.6
07/04/2022,HDG,68.0
06/04/2022,HDG,69.8
05/04/2022,HDG,70.2
04/04/2022,HDG,71.5
01/04/2022,HDG,71.6
31/03/2022,HDG,70.0
30/03/2022,HDG,68.8
29/03/2022,HDG,71.0
28/03/2022,HDG,71.3
25/03/2022,HDG,72.9
24/03/2022,HDG,72.5
23/03/2022,HDG,73.0
22/03/2022,HDG,73.0
21/03/2022,HDG,73.5
18/03/2022,HDG,72.3
17/03/2022,HDG,71.1
16/03/2022,HDG,71.5
15/03/2022,HDG,69.2
14/03/2022,HDG,68.8
11/03/2022,HDG,69.5
10/03/2022,HDG,69.7
09/03/2022,HDG,68.9
08/03/2022,HDG,67.5
07/03/2022,HDG,72.4
04/03/2022,HDG,72.8
03/03/2022,HDG,73.0
02/03/2022,HDG,70.0
01/03/2022,HDG,70.6
28/02/2022,HDG,70.4
25/02/2022,HDG,70.5
24/02/2022,HDG,68.7
23/02/2022,HDG,70.0
22/02/2022,HDG,70.0
21/02/2022,HDG,69.9
18/02/2022,HDG,67.2
17/02/2022,HDG,64.5
16/02/2022,HDG,64.4
15/02/2022,HDG,64.1
14/02/2022,HDG,63.7
11/02/2022,HDG,64.3
10/02/2022,HDG,63.4
09/02/2022,HDG,63.6
08/02/2022,HDG,63.2
07/02/2022,HDG,62.8
28/01/2022,HDG,61.0
27/01/2022,HDG,60.1
26/01/2022,HDG,58.9
25/01/2022,HDG,57.8
24/01/2022,HDG,57.8
21/01/2022,HDG,60.2
20/01/2022,HDG,59.1
19/01/2022,HDG,56.6
18/01/2022,HDG,57.0
17/01/2022,HDG,59.9
14/01/2022,HDG,62.5
13/01/2022,HDG,61.5
12/01/2022,HDG,62.5
11/01/2022,HDG,63.8
10/01/2022,HDG,63.5
07/01/2022,HDG,67.0
06/01/2022,HDG,67.8
05/01/2022,HDG,67.0
04/01/2022,HDG,66.5
31/12/2021,HDG,66.5
30/12/2021,HDG,66.5
29/12/2021,HDG,66.7
28/12/2021,HDG,66.6
27/12/2021,HDG,64.9
24/12/2021,HDG,65.5
23/12/2021,HDG,66.3
22/12/2021,HDG,66.8
21/12/2021,HDG,63.8
20/12/2021,HDG,74.0
17/12/2021,HDG,76.0
16/12/2021,HDG,75.2
15/12/2021,HDG,74.0
14/12/2021,HDG,75.0
13/12/2021,HDG,76.2
10/12/2021,HDG,76.0
09/12/2021,HDG,75.1
08/12/2021,HDG,76.3
07/12/2021,HDG,76.3
06/12/2021,HDG,74.0
03/12/2021,HDG,72.4
02/12/2021,HDG,73.4
01/12/2021,HDG,71.8
30/11/2021,HDG,74.0
29/11/2021,HDG,73.6
26/11/2021,HDG,73.0
25/11/2021,HDG,71.8
24/11/2021,HDG,68.8
23/11/2021,HDG,64.3
22/11/2021,HDG,62.3
19/11/2021,HDG,65.0
18/11/2021,HDG,67.1
17/11/2021,HDG,64.7
16/11/2021,HDG,64.5
15/11/2021,HDG,66.1
12/11/2021,HDG,66.0
11/11/2021,HDG,66.0
10/11/2021,HDG,65.2
09/11/2021,HDG,64.3
08/11/2021,HDG,64.2
05/11/2021,HDG,64.1
04/11/2021,HDG,64.0
03/11/2021,HDG,62.6
02/11/2021,HDG,67.3
01/11/2021,HDG,67.1
29/10/2021,HDG,66.0
28/10/2021,HDG,66.1
27/10/2021,HDG,65.6
26/10/2021,HDG,65.9
25/10/2021,HDG,64.0
22/10/2021,HDG,65.4
21/10/2021,HDG,66.0
20/10/2021,HDG,65.9
19/10/2021,HDG,64.5
18/10/2021,HDG,63.9
15/10/2021,HDG,64.3
14/10/2021,HDG,64.2
13/10/2021,HDG,64.4
12/10/2021,HDG,62.8
11/10/2021,HDG,60.5
08/10/2021,HDG,61.5
07/10/2021,HDG,61.3
06/10/2021,HDG,61.3
05/10/2021,HDG,60.8
04/10/2021,HDG,58.4
01/10/2021,HDG,56.5
30/09/2021,HDG,58.0
29/09/2021,HDG,58.1
28/09/2021,HDG,57.2
27/09/2021,HDG,54.5
24/09/2021,HDG,58.1
23/09/2021,HDG,58.5
22/09/2021,HDG,59.4
21/09/2021,HDG,59.4
20/09/2021,HDG,55.6
17/09/2021,HDG,56.9
16/09/2021,HDG,53.2
15/09/2021,HDG,53.0
14/09/2021,HDG,51.5
13/09/2021,HDG,52.8
10/09/2021,HDG,53.7
09/09/2021,HDG,53.5
08/09/2021,HDG,53.6
07/09/2021,HDG,54.3
06/09/2021,HDG,55.9
01/09/2021,HDG,55.6
