Ngay,GiaDongCua
29/12/2023,31.4
28/12/2023,30.65
27/12/2023,30.65
26/12/2023,30.7
25/12/2023,30.3
22/12/2023,30.05
21/12/2023,30.05
20/12/2023,29.8
19/12/2023,30.1
18/12/2023,30.3
15/12/2023,30.35
14/12/2023,30.65
13/12/2023,31.2
12/12/2023,31.4
11/12/2023,31.4
08/12/2023,31.75
07/12/2023,31.7
06/12/2023,32.05
05/12/2023,32.1
04/12/2023,32.6
01/12/2023,31.55
30/11/2023,31.2
29/11/2023,31.55
28/11/2023,31.3
27/11/2023,31.3
24/11/2023,31.4
23/11/2023,31.3
22/11/2023,32.3
21/11/2023,32.0
20/11/2023,31.6
17/11/2023,31.5
16/11/2023,32.0
15/11/2023,31.95
14/11/2023,31.95
13/11/2023,31.8
10/11/2023,31.35
09/11/2023,31.9
08/11/2023,31.05
07/11/2023,29.3
06/11/2023,29.75
03/11/2023,29.2
02/11/2023,30.0
01/11/2023,28.6
31/10/2023,28.6
30/10/2023,28.6
27/10/2023,29.6
26/10/2023,29.8
25/10/2023,30.25
24/10/2023,30.6
23/10/2023,30.15
20/10/2023,30.2
19/10/2023,29.15
18/10/2023,29.2
17/10/2023,29.6
16/10/2023,31.7
13/10/2023,32.0
12/10/2023,29.95
11/10/2023,29.2
10/10/2023,29.4
09/10/2023,29.5
06/10/2023,29.5
05/10/2023,28.4
04/10/2023,29.0
03/10/2023,28.7
02/10/2023,32.5
29/09/2023,32.65
28/09/2023,32.75
27/09/2023,32.4
26/09/2023,31.5
25/09/2023,31.5
22/09/2023,33.0
21/09/2023,34.8
20/09/2023,35.5
19/09/2023,34.0
18/09/2023,34.5
15/09/2023,34.6
14/09/2023,34.6
13/09/2023,35.3
12/09/2023,35.2
11/09/2023,34.8
08/09/2023,36.2
07/09/2023,36.45
06/09/2023,36.45
05/09/2023,36.3
31/08/2023,37.0
30/08/2023,35.85
29/08/2023,35.5
28/08/2023,35.5
25/08/2023,34.55
24/08/2023,34.5
23/08/2023,33.5
22/08/2023,34.05
