Ngay,Symbol,GiaDongCua
29/12/2023,NTL,27.3
28/12/2023,NTL,27.7
27/12/2023,NTL,28.15
26/12/2023,NTL,28.45
25/12/2023,NTL,28.45
22/12/2023,NTL,28.45
21/12/2023,NTL,27.6
20/12/2023,NTL,27.55
19/12/2023,NTL,27.0
18/12/2023,NTL,26.8
15/12/2023,NTL,27.5
14/12/2023,NTL,30.65
13/12/2023,NTL,30.6
12/12/2023,NTL,31.1
11/12/2023,NTL,31.0
08/12/2023,NTL,30.5
07/12/2023,NTL,30.0
06/12/2023,NTL,30.2
05/12/2023,NTL,30.3
04/12/2023,NTL,30.35
01/12/2023,NTL,28.65
30/11/2023,NTL,28.5
29/11/2023,NTL,28.9
28/11/2023,NTL,29.3
27/11/2023,NTL,28.85
24/11/2023,NTL,27.0
23/11/2023,NTL,27.0
22/11/2023,NTL,27.4
21/11/2023,NTL,26.6
20/11/2023,NTL,24.9
17/11/2023,NTL,25.0
16/11/2023,NTL,25.4
15/11/2023,NTL,25.1
14/11/2023,NTL,25.05
13/11/2023,NTL,25.05
10/11/2023,NTL,25.05
09/11/2023,NTL,25.15
08/11/2023,NTL,25.0
07/11/2023,NTL,23.85
06/11/2023,NTL,23.65
03/11/2023,NTL,23.9
02/11/2023,NTL,24.0
01/11/2023,NTL,22.8
31/10/2023,NTL,22.85
30/10/2023,NTL,23.5
27/10/2023,NTL,24.5
26/10/2023,NTL,23.0
25/10/2023,NTL,24.7
24/10/2023,NTL,25.2
23/10/2023,NTL,24.7
20/10/2023,NTL,25.25
19/10/2023,NTL,24.35
18/10/2023,NTL,25.0
17/10/2023,NTL,26.0
16/10/2023,NTL,27.65
13/10/2023,NTL,28.6
12/10/2023,NTL,28.8
11/10/2023,NTL,28.3
10/10/2023,NTL,27.7
09/10/2023,NTL,27.5
06/10/2023,NTL,27.15
05/10/2023,NTL,27.0
04/10/2023,NTL,27.7
03/10/2023,NTL,26.8
02/10/2023,NTL,28.35
29/09/2023,NTL,28.5
28/09/2023,NTL,27.9
27/09/2023,NTL,26.7
26/09/2023,NTL,26.0
25/09/2023,NTL,26.1
22/09/2023,NTL,25.0
21/09/2023,NTL,25.45
20/09/2023,NTL,25.15
19/09/2023,NTL,24.35
18/09/2023,NTL,24.35
15/09/2023,NTL,24.65
14/09/2023,NTL,24.75
13/09/2023,NTL,25.4
12/09/2023,NTL,25.6
11/09/2023,NTL,25.1
08/09/2023,NTL,25.9
07/09/2023,NTL,26.0
06/09/2023,NTL,25.2
05/09/2023,NTL,24.9
31/08/2023,NTL,25.0
30/08/2023,NTL,24.8
29/08/2023,NTL,24.35
28/08/2023,NTL,24.1
25/08/2023,NTL,23.9
24/08/2023,NTL,24.35
23/08/2023,NTL,23.6
22/08/2023,NTL,23.5
21/08/2023,NTL,23.5
18/08/2023,NTL,24.45
17/08/2023,NTL,26.25
16/08/2023,NTL,26.4
15/08/2023,NTL,26.55
14/08/2023,NTL,26.35
11/08/2023,NTL,26.15
10/08/2023,NTL,26.35
09/08/2023,NTL,26.55
08/08/2023,NTL,27.15
07/08/2023,NTL,26.25
04/08/2023,NTL,26.3
03/08/2023,NTL,26.05
02/08/2023,NTL,25.7
01/08/2023,NTL,25.75
31/07/2023,NTL,26.25
28/07/2023,NTL,26.65
27/07/2023,NTL,26.7
26/07/2023,NTL,26.1
25/07/2023,NTL,26.2
24/07/2023,NTL,26.7
21/07/2023,NTL,26.2
20/07/2023,NTL,25.65
19/07/2023,NTL,25.75
18/07/2023,NTL,26.2
17/07/2023,NTL,25.95
14/07/2023,NTL,25.95
13/07/2023,NTL,26.2
12/07/2023,NTL,25.85
11/07/2023,NTL,25.4
10/07/2023,NTL,25.75
07/07/2023,NTL,24.1
06/07/2023,NTL,23.6
05/07/2023,NTL,24.1
04/07/2023,NTL,24.5
03/07/2023,NTL,23.95
30/06/2023,NTL,23.75
29/06/2023,NTL,23.5
28/06/2023,NTL,24.65
27/06/2023,NTL,25.2
26/06/2023,NTL,25.1
23/06/2023,NTL,25.1
22/06/2023,NTL,25.05
21/06/2023,NTL,25.05
20/06/2023,NTL,24.8
19/06/2023,NTL,23.2
16/06/2023,NTL,23.0
15/06/2023,NTL,22.5
14/06/2023,NTL,22.7
13/06/2023,NTL,22.75
12/06/2023,NTL,22.4
09/06/2023,NTL,22.45
08/06/2023,NTL,23.0
07/06/2023,NTL,23.3
06/06/2023,NTL,23.05
05/06/2023,NTL,23.1
02/06/2023,NTL,23.15
01/06/2023,NTL,23.45
31/05/2023,NTL,23.45
30/05/2023,NTL,23.65
29/05/2023,NTL,23.7
26/05/2023,NTL,23.4
25/05/2023,NTL,23.05
24/05/2023,NTL,23.0
23/05/2023,NTL,22.8
22/05/2023,NTL,22.9
19/05/2023,NTL,22.3
18/05/2023,NTL,22.2
17/05/2023,NTL,22.0
16/05/2023,NTL,22.75
15/05/2023,NTL,23.1
12/05/2023,NTL,23.8
11/05/2023,NTL,23.8
10/05/2023,NTL,22.7
09/05/2023,NTL,22.65
08/05/2023,NTL,22.8
05/05/2023,NTL,23.05
04/05/2023,NTL,23.25
28/04/2023,NTL,22.7
27/04/2023,NTL,22.4
26/04/2023,NTL,20.95
25/04/2023,NTL,20.5
24/04/2023,NTL,20.4
21/04/2023,NTL,20.0
20/04/2023,NTL,20.25
19/04/2023,NTL,18.95
18/04/2023,NTL,19.55
17/04/2023,NTL,19.1
14/04/2023,NTL,18.8
13/04/2023,NTL,20.2
12/04/2023,NTL,20.85
11/04/2023,NTL,21.05
10/04/2023,NTL,20.8
07/04/2023,NTL,19.9
06/04/2023,NTL,19.3
05/04/2023,NTL,19.9
04/04/2023,NTL,19.4
03/04/2023,NTL,18.7
31/03/2023,NTL,17.5
30/03/2023,NTL,17.0
29/03/2023,NTL,17.0
28/03/2023,NTL,17.2
27/03/2023,NTL,17.2
24/03/2023,NTL,16.9
23/03/2023,NTL,16.65
22/03/2023,NTL,16.6
21/03/2023,NTL,16.7
20/03/2023,NTL,16.5
17/03/2023,NTL,16.75
16/03/2023,NTL,16.5
15/03/2023,NTL,16.7
14/03/2023,NTL,16.15
13/03/2023,NTL,16.6
10/03/2023,NTL,16.7
09/03/2023,NTL,16.8
08/03/2023,NTL,16.8
07/03/2023,NTL,16.7
06/03/2023,NTL,16.7
03/03/2023,NTL,16.5
02/03/2023,NTL,16.65
01/03/2023,NTL,16.5
28/02/2023,NTL,16.3
27/02/2023,NTL,16.3
24/02/2023,NTL,16.6
23/02/2023,NTL,16.75
22/02/2023,NTL,17.2
21/02/2023,NTL,17.7
20/02/2023,NTL,17.9
17/02/2023,NTL,16.9
16/02/2023,NTL,17.0
15/02/2023,NTL,16.5
14/02/2023,NTL,16.3
13/02/2023,NTL,16.3
10/02/2023,NTL,16.95
09/02/2023,NTL,16.85
08/02/2023,NTL,16.8
07/02/2023,NTL,16.65
