Ngay,GiaDongCua
29/12/2023,17.05
28/12/2023,16.7
27/12/2023,16.8
26/12/2023,16.9
25/12/2023,16.9
22/12/2023,16.6
21/12/2023,16.6
20/12/2023,16.75
19/12/2023,16.8
18/12/2023,16.4
15/12/2023,16.9
14/12/2023,16.3
13/12/2023,17.0
12/12/2023,17.7
11/12/2023,17.6
08/12/2023,17.6
07/12/2023,17.5
06/12/2023,18.3
05/12/2023,18.2
04/12/2023,18.15
01/12/2023,17.7
30/11/2023,17.7
29/11/2023,18.1
28/11/2023,17.45
27/11/2023,17.35
24/11/2023,17.6
23/11/2023,17.0
22/11/2023,17.35
21/11/2023,16.25
20/11/2023,16.2
17/11/2023,16.1
16/11/2023,16.75
15/11/2023,16.25
14/11/2023,16.1
13/11/2023,15.75
10/11/2023,16.0
09/11/2023,16.3
08/11/2023,15.5
07/11/2023,14.5
06/11/2023,14.8
03/11/2023,14.55
02/11/2023,14.0
01/11/2023,13.1
31/10/2023,12.9
30/10/2023,13.3
27/10/2023,13.3
26/10/2023,12.9
25/10/2023,13.85
24/10/2023,13.65
23/10/2023,13.35
20/10/2023,13.8
19/10/2023,13.2
18/10/2023,13.0
17/10/2023,13.75
16/10/2023,14.55
13/10/2023,14.95
12/10/2023,14.85
11/10/2023,14.45
10/10/2023,14.2
09/10/2023,14.35
06/10/2023,13.9
05/10/2023,13.8
04/10/2023,14.6
03/10/2023,14.35
02/10/2023,15.4
29/09/2023,15.6
28/09/2023,15.75
27/09/2023,15.5
26/09/2023,15.15
25/09/2023,16.2
22/09/2023,17.4
21/09/2023,18.2
20/09/2023,18.5
19/09/2023,17.3
18/09/2023,18.15
15/09/2023,18.9
14/09/2023,18.7
13/09/2023,19.95
12/09/2023,20.95
11/09/2023,20.5
08/09/2023,22.0
07/09/2023,21.6
06/09/2023,21.8
05/09/2023,21.4
31/08/2023,20.45
30/08/2023,20.05
29/08/2023,20.35
28/08/2023,20.0
25/08/2023,19.4
24/08/2023,19.8
23/08/2023,18.7
22/08/2023,18.5
21/08/2023,18.5
18/08/2023,19.25
17/08/2023,20.65
16/08/2023,20.65
15/08/2023,20.75
14/08/2023,21.25
11/08/2023,20.9
10/08/2023,20.6
09/08/2023,19.9
08/08/2023,20.35
07/08/2023,20.2
04/08/2023,19.8
03/08/2023,18.55
02/08/2023,18.35
01/08/2023,17.8
31/07/2023,18.85
28/07/2023,18.35
27/07/2023,17.85
26/07/2023,17.2
25/07/2023,16.2
24/07/2023,16.2
21/07/2023,15.15
20/07/2023,14.8
19/07/2023,14.7
18/07/2023,15.05
17/07/2023,15.35
14/07/2023,15.15
13/07/2023,14.95
12/07/2023,14.6
11/07/2023,14.7
10/07/2023,14.9
07/07/2023,14.5
06/07/2023,14.4
05/07/2023,14.7
04/07/2023,14.85
03/07/2023,14.55
30/06/2023,14.85
29/06/2023,15.0
28/06/2023,15.6
27/06/2023,15.0
26/06/2023,14.9
23/06/2023,14.5
22/06/2023,14.65
21/06/2023,14.5
20/06/2023,14.5
19/06/2023,14.0
16/06/2023,14.9
15/06/2023,15.25
14/06/2023,15.2
13/06/2023,15.6
12/06/2023,14.6
09/06/2023,14.6
08/06/2023,14.2
07/06/2023,14.55
06/06/2023,13.6
05/06/2023,13.5
02/06/2023,13.85
01/06/2023,13.9
31/05/2023,13.5
30/05/2023,13.35
29/05/2023,13.05
26/05/2023,12.95
25/05/2023,13.2
24/05/2023,13.25
23/05/2023,13.2
22/05/2023,13.35
19/05/2023,13.2
18/05/2023,13.3
17/05/2023,13.3
16/05/2023,13.65
15/05/2023,13.5
12/05/2023,13.7
11/05/2023,13.8
10/05/2023,13.3
09/05/2023,13.0
08/05/2023,12.95
05/05/2023,13.55
04/05/2023,13.55
28/04/2023,14.3
27/04/2023,14.1
26/04/2023,13.95
25/04/2023,13.75
24/04/2023,14.05
21/04/2023,13.6
20/04/2023,14.4
19/04/2023,14.55
18/04/2023,14.85
17/04/2023,14.8
14/04/2023,14.2
13/04/2023,14.5
12/04/2023,15.05
11/04/2023,14.2
10/04/2023,13.3
07/04/2023,13.4
06/04/2023,13.25
05/04/2023,12.85
04/04/2023,12.75
03/04/2023,12.85
31/03/2023,12.7
30/03/2023,12.8
29/03/2023,12.55
28/03/2023,12.6
27/03/2023,12.7
24/03/2023,11.9
23/03/2023,11.15
22/03/2023,11.1
21/03/2023,11.05
20/03/2023,11.1
17/03/2023,11.5
16/03/2023,11.15
15/03/2023,11.35
14/03/2023,10.7
