Ngay,Symbol,GiaDongCua
29/12/2023,PDR,27.85
28/12/2023,PDR,27.7
27/12/2023,PDR,27.65
26/12/2023,PDR,27.8
25/12/2023,PDR,27.55
22/12/2023,PDR,26.8
21/12/2023,PDR,26.4
20/12/2023,PDR,26.4
19/12/2023,PDR,26.5
18/12/2023,PDR,26.3
15/12/2023,PDR,26.3
14/12/2023,PDR,26.1
13/12/2023,PDR,26.35
12/12/2023,PDR,27.05
11/12/2023,PDR,27.8
08/12/2023,PDR,28.7
07/12/2023,PDR,28.65
06/12/2023,PDR,28.8
05/12/2023,PDR,27.95
04/12/2023,PDR,28.35
01/12/2023,PDR,27.0
30/11/2023,PDR,27.2
29/11/2023,PDR,27.3
28/11/2023,PDR,27.0
27/11/2023,PDR,26.6
24/11/2023,PDR,27.45
23/11/2023,PDR,26.6
22/11/2023,PDR,28.6
21/11/2023,PDR,28.35
20/11/2023,PDR,28.5
17/11/2023,PDR,28.15
16/11/2023,PDR,27.4
15/11/2023,PDR,26.45
14/11/2023,PDR,26.4
13/11/2023,PDR,26.4
10/11/2023,PDR,25.65
09/11/2023,PDR,25.45
08/11/2023,PDR,23.8
07/11/2023,PDR,22.25
06/11/2023,PDR,22.8
03/11/2023,PDR,22.55
02/11/2023,PDR,22.45
01/11/2023,PDR,21.0
31/10/2023,PDR,20.95
30/10/2023,PDR,22.5
27/10/2023,PDR,23.45
26/10/2023,PDR,22.6
25/10/2023,PDR,24.3
24/10/2023,PDR,23.8
23/10/2023,PDR,23.3
20/10/2023,PDR,23.45
19/10/2023,PDR,22.5
18/10/2023,PDR,23.0
17/10/2023,PDR,23.95
16/10/2023,PDR,25.0
13/10/2023,PDR,26.05
12/10/2023,PDR,24.35
11/10/2023,PDR,23.45
10/10/2023,PDR,23.2
09/10/2023,PDR,23.6
06/10/2023,PDR,23.1
05/10/2023,PDR,22.6
04/10/2023,PDR,23.4
03/10/2023,PDR,22.6
02/10/2023,PDR,24.3
29/09/2023,PDR,23.95
28/09/2023,PDR,23.65
27/09/2023,PDR,23.45
26/09/2023,PDR,21.95
25/09/2023,PDR,22.8
22/09/2023,PDR,24.5
21/09/2023,PDR,26.25
20/09/2023,PDR,27.0
19/09/2023,PDR,25.8
18/09/2023,PDR,25.7
15/09/2023,PDR,26.15
14/09/2023,PDR,25.4
13/09/2023,PDR,26.25
12/09/2023,PDR,26.3
11/09/2023,PDR,24.7
08/09/2023,PDR,25.6
07/09/2023,PDR,25.6
06/09/2023,PDR,25.55
05/09/2023,PDR,24.9
31/08/2023,PDR,24.8
30/08/2023,PDR,24.2
29/08/2023,PDR,24.0
28/08/2023,PDR,22.5
25/08/2023,PDR,22.1
24/08/2023,PDR,22.1
23/08/2023,PDR,21.0
22/08/2023,PDR,20.7
21/08/2023,PDR,20.5
18/08/2023,PDR,21.3
17/08/2023,PDR,22.85
16/08/2023,PDR,22.8
15/08/2023,PDR,22.4
14/08/2023,PDR,22.8
11/08/2023,PDR,21.95
10/08/2023,PDR,21.5
09/08/2023,PDR,21.5
08/08/2023,PDR,22.0
07/08/2023,PDR,22.5
04/08/2023,PDR,22.45
03/08/2023,PDR,21.4
02/08/2023,PDR,21.4
01/08/2023,PDR,20.85
31/07/2023,PDR,21.7
28/07/2023,PDR,21.85
27/07/2023,PDR,22.0
26/07/2023,PDR,21.55
25/07/2023,PDR,21.35
24/07/2023,PDR,21.35
21/07/2023,PDR,20.8
20/07/2023,PDR,19.45
19/07/2023,PDR,18.8
18/07/2023,PDR,19.25
17/07/2023,PDR,19.5
14/07/2023,PDR,18.9
13/07/2023,PDR,19.2
12/07/2023,PDR,19.1
11/07/2023,PDR,18.4
10/07/2023,PDR,18.5
07/07/2023,PDR,17.3
06/07/2023,PDR,16.9
05/07/2023,PDR,17.35
04/07/2023,PDR,17.0
03/07/2023,PDR,16.7
30/06/2023,PDR,16.8
29/06/2023,PDR,16.5
28/06/2023,PDR,17.0
27/06/2023,PDR,17.0
26/06/2023,PDR,17.25
23/06/2023,PDR,17.15
22/06/2023,PDR,17.35
21/06/2023,PDR,17.3
20/06/2023,PDR,17.2
19/06/2023,PDR,16.15
16/06/2023,PDR,16.85
15/06/2023,PDR,17.3
14/06/2023,PDR,16.95
13/06/2023,PDR,17.7
12/06/2023,PDR,17.7
09/06/2023,PDR,16.9
08/06/2023,PDR,16.3
07/06/2023,PDR,15.95
06/06/2023,PDR,14.95
05/06/2023,PDR,14.7
02/06/2023,PDR,14.95
01/06/2023,PDR,14.9
31/05/2023,PDR,14.6
30/05/2023,PDR,14.5
29/05/2023,PDR,13.7
26/05/2023,PDR,13.4
25/05/2023,PDR,13.55
24/05/2023,PDR,13.65
23/05/2023,PDR,13.6
22/05/2023,PDR,13.4
19/05/2023,PDR,13.35
18/05/2023,PDR,13.2
17/05/2023,PDR,13.4
16/05/2023,PDR,13.6
15/05/2023,PDR,13.8
12/05/2023,PDR,13.95
11/05/2023,PDR,13.95
10/05/2023,PDR,13.75
09/05/2023,PDR,13.45
08/05/2023,PDR,13.55
05/05/2023,PDR,13.5
04/05/2023,PDR,13.7
28/04/2023,PDR,14.15
27/04/2023,PDR,13.75
26/04/2023,PDR,13.1
25/04/2023,PDR,12.95
24/04/2023,PDR,13.2
21/04/2023,PDR,13.0
20/04/2023,PDR,13.4
19/04/2023,PDR,13.7
18/04/2023,PDR,13.9
17/04/2023,PDR,13.9
14/04/2023,PDR,13.4
13/04/2023,PDR,14.0
12/04/2023,PDR,14.15
11/04/2023,PDR,13.5
10/04/2023,PDR,13.2
07/04/2023,PDR,13.5
06/04/2023,PDR,13.5
05/04/2023,PDR,13.4
04/04/2023,PDR,13.15
03/04/2023,PDR,13.25
31/03/2023,PDR,12.5
30/03/2023,PDR,12.4
29/03/2023,PDR,12.4
28/03/2023,PDR,12.45
27/03/2023,PDR,12.6
24/03/2023,PDR,12.35
23/03/2023,PDR,12.0
22/03/2023,PDR,11.9
21/03/2023,PDR,11.6
20/03/2023,PDR,11.8
17/03/2023,PDR,12.2
16/03/2023,PDR,12.2
15/03/2023,PDR,12.25
14/03/2023,PDR,11.8
13/03/2023,PDR,11.8
10/03/2023,PDR,11.75
09/03/2023,PDR,12.0
08/03/2023,PDR,11.85
