Ngay,Symbol,GiaDongCua
29/12/2023,QCG,10.05
28/12/2023,QCG,10.75
27/12/2023,QCG,10.8
26/12/2023,QCG,10.85
25/12/2023,QCG,10.8
22/12/2023,QCG,10.8
21/12/2023,QCG,10.9
20/12/2023,QCG,10.95
19/12/2023,QCG,11.0
18/12/2023,QCG,11.05
15/12/2023,QCG,10.85
14/12/2023,QCG,10.95
13/12/2023,QCG,10.9
12/12/2023,QCG,11.15
11/12/2023,QCG,11.0
08/12/2023,QCG,11.5
07/12/2023,QCG,11.75
06/12/2023,QCG,11.0
05/12/2023,QCG,10.85
04/12/2023,QCG,11.05
01/12/2023,QCG,10.8
30/11/2023,QCG,11.15
29/11/2023,QCG,11.25
28/11/2023,QCG,11.25
27/11/2023,QCG,10.8
24/11/2023,QCG,11.15
23/11/2023,QCG,11.45
22/11/2023,QCG,12.3
21/11/2023,QCG,12.4
20/11/2023,QCG,12.25
17/11/2023,QCG,12.05
16/11/2023,QCG,11.3
15/11/2023,QCG,11.1
14/11/2023,QCG,11.2
13/11/2023,QCG,11.0
10/11/2023,QCG,11.15
09/11/2023,QCG,11.35
08/11/2023,QCG,11.05
07/11/2023,QCG,10.35
06/11/2023,QCG,10.65
03/11/2023,QCG,10.6
02/11/2023,QCG,10.15
01/11/2023,QCG,9.5
31/10/2023,QCG,9.5
30/10/2023,QCG,10.0
27/10/2023,QCG,10.7
26/10/2023,QCG,10.45
25/10/2023,QCG,11.2
24/10/2023,QCG,11.3
23/10/2023,QCG,11.15
20/10/2023,QCG,10.8
19/10/2023,QCG,10.1
18/10/2023,QCG,10.05
17/10/2023,QCG,10.5
16/10/2023,QCG,11.0
13/10/2023,QCG,11.6
12/10/2023,QCG,11.55
11/10/2023,QCG,11.35
10/10/2023,QCG,10.65
09/10/2023,QCG,9.99
06/10/2023,QCG,9.9
05/10/2023,QCG,9.97
04/10/2023,QCG,10.65
03/10/2023,QCG,10.75
02/10/2023,QCG,11.55
29/09/2023,QCG,11.55
28/09/2023,QCG,11.6
27/09/2023,QCG,11.25
26/09/2023,QCG,11.0
25/09/2023,QCG,11.75
22/09/2023,QCG,12.6
21/09/2023,QCG,13.4
20/09/2023,QCG,14.0
19/09/2023,QCG,13.6
18/09/2023,QCG,13.3
15/09/2023,QCG,14.0
14/09/2023,QCG,13.5
13/09/2023,QCG,14.5
12/09/2023,QCG,14.2
11/09/2023,QCG,13.3
08/09/2023,QCG,14.1
07/09/2023,QCG,15.15
06/09/2023,QCG,14.25
05/09/2023,QCG,13.35
31/08/2023,QCG,12.5
30/08/2023,QCG,11.7
29/08/2023,QCG,11.6
28/08/2023,QCG,11.2
25/08/2023,QCG,10.5
24/08/2023,QCG,10.8
23/08/2023,QCG,10.45
22/08/2023,QCG,10.5
21/08/2023,QCG,10.2
18/08/2023,QCG,10.6
17/08/2023,QCG,11.35
16/08/2023,QCG,12.0
15/08/2023,QCG,11.9
14/08/2023,QCG,11.9
11/08/2023,QCG,11.9
10/08/2023,QCG,11.15
09/08/2023,QCG,10.45
08/08/2023,QCG,10.45
07/08/2023,QCG,10.6
04/08/2023,QCG,10.9
03/08/2023,QCG,10.95
02/08/2023,QCG,10.7
01/08/2023,QCG,10.0
31/07/2023,QCG,10.35
28/07/2023,QCG,9.68
27/07/2023,QCG,9.05
26/07/2023,QCG,9.08
25/07/2023,QCG,9.1
24/07/2023,QCG,9.36
21/07/2023,QCG,9.03
20/07/2023,QCG,8.75
19/07/2023,QCG,8.91
18/07/2023,QCG,9.42
17/07/2023,QCG,9.11
14/07/2023,QCG,8.52
13/07/2023,QCG,8.22
12/07/2023,QCG,8.19
11/07/2023,QCG,8.25
10/07/2023,QCG,8.25
07/07/2023,QCG,8.06
06/07/2023,QCG,8.19
05/07/2023,QCG,8.55
04/07/2023,QCG,8.55
03/07/2023,QCG,8.22
30/06/2023,QCG,8.23
29/06/2023,QCG,8.84
28/06/2023,QCG,9.5
27/06/2023,QCG,9.4
26/06/2023,QCG,10.1
23/06/2023,QCG,10.85
22/06/2023,QCG,10.15
21/06/2023,QCG,9.52
20/06/2023,QCG,8.9
19/06/2023,QCG,9.56
16/06/2023,QCG,9.8
15/06/2023,QCG,10.5
14/06/2023,QCG,11.25
13/06/2023,QCG,12.05
12/06/2023,QCG,11.3
09/06/2023,QCG,10.6
08/06/2023,QCG,9.92
07/06/2023,QCG,9.28
06/06/2023,QCG,8.68
05/06/2023,QCG,8.12
02/06/2023,QCG,7.59
01/06/2023,QCG,7.1
31/05/2023,QCG,6.64
30/05/2023,QCG,6.21
29/05/2023,QCG,5.81
26/05/2023,QCG,5.43
25/05/2023,QCG,5.08
24/05/2023,QCG,5.07
23/05/2023,QCG,5.0
22/05/2023,QCG,5.05
19/05/2023,QCG,4.95
18/05/2023,QCG,5.14
17/05/2023,QCG,5.03
16/05/2023,QCG,4.71
15/05/2023,QCG,4.95
12/05/2023,QCG,5.05
11/05/2023,QCG,4.91
10/05/2023,QCG,4.59
09/05/2023,QCG,4.29
08/05/2023,QCG,4.27
05/05/2023,QCG,4.25
04/05/2023,QCG,4.07
28/04/2023,QCG,4.08
27/04/2023,QCG,4.07
26/04/2023,QCG,4.09
25/04/2023,QCG,4.1
24/04/2023,QCG,4.09
21/04/2023,QCG,4.01
20/04/2023,QCG,4.16
19/04/2023,QCG,4.16
18/04/2023,QCG,4.19
17/04/2023,QCG,4.18
14/04/2023,QCG,4.21
13/04/2023,QCG,4.3
12/04/2023,QCG,4.39
11/04/2023,QCG,4.4
10/04/2023,QCG,4.5
07/04/2023,QCG,4.47
06/04/2023,QCG,4.52
05/04/2023,QCG,4.23
04/04/2023,QCG,4.2
03/04/2023,QCG,4.06
31/03/2023,QCG,3.95
30/03/2023,QCG,3.94
29/03/2023,QCG,3.91
28/03/2023,QCG,3.98
27/03/2023,QCG,4.0
24/03/2023,QCG,3.95
23/03/2023,QCG,3.95
22/03/2023,QCG,3.95
21/03/2023,QCG,3.95
20/03/2023,QCG,3.82
17/03/2023,QCG,3.87
16/03/2023,QCG,3.93
15/03/2023,QCG,3.97
14/03/2023,QCG,3.85
13/03/2023,QCG,3.93
10/03/2023,QCG,3.86
09/03/2023,QCG,3.94
08/03/2023,QCG,3.87
07/03/2023,QCG,3.8
06/03/2023,QCG,3.92
03/03/2023,QCG,3.88
02/03/2023,QCG,3.9
01/03/2023,QCG,3.89
28/02/2023,QCG,3.89
27/02/2023,QCG,3.9
24/02/2023,QCG,3.95
23/02/2023,QCG,4.0
22/02/2023,QCG,3.98
21/02/2023,QCG,4.16
20/02/2023,QCG,4.16
17/02/2023,QCG,4.0
16/02/2023,QCG,4.09
15/02/2023,QCG,4.1
14/02/2023,QCG,4.0
13/02/2023,QCG,4.0
10/02/2023,QCG,4.11
09/02/2023,QCG,4.19
08/02/2023,QCG,4.18
07/02/2023,QCG,4.11
06/02/2023,QCG,4.25
03/02/2023,QCG,4.2
02/02/2023,QCG,4.25
01/02/2023,QCG,4.35
31/01/2023,QCG,4.45
30/01/2023,QCG,4.51
27/01/2023,QCG,4.39
19/01/2023,QCG,4.4
18/01/2023,QCG,4.3
17/01/2023,QCG,4.18
16/01/2023,QCG,4.2
13/01/2023,QCG,4.19
12/01/2023,QCG,4.19
11/01/2023,QCG,4.18
10/01/2023,QCG,4.17
09/01/2023,QCG,4.17
06/01/2023,QCG,4.26
05/01/2023,QCG,4.3
04/01/2023,QCG,4.3
03/01/2023,QCG,4.25
30/12/2022,QCG,3.98
29/12/2022,QCG,3.98
28/12/2022,QCG,4.04
27/12/2022,QCG,4.0
26/12/2022,QCG,3.8
23/12/2022,QCG,4.05
22/12/2022,QCG,4.13
21/12/2022,QCG,4.26
20/12/2022,QCG,4.58
19/12/2022,QCG,4.72
16/12/2022,QCG,4.7
15/12/2022,QCG,4.7
14/12/2022,QCG,4.7
13/12/2022,QCG,4.57
12/12/2022,QCG,4.55
09/12/2022,QCG,4.51
08/12/2022,QCG,4.61
07/12/2022,QCG,4.51
06/12/2022,QCG,4.84
05/12/2022,QCG,5.2
02/12/2022,QCG,5.2
01/12/2022,QCG,5.1
30/11/2022,QCG,4.77
29/11/2022,QCG,4.67
28/11/2022,QCG,4.41
25/11/2022,QCG,4.13
24/11/2022,QCG,3.92
23/11/2022,QCG,4.06
22/11/2022,QCG,4.36
21/11/2022,QCG,4.33
18/11/2022,QCG,4.05
17/11/2022,QCG,3.79
16/11/2022,QCG,3.55
15/11/2022,QCG,3.32
14/11/2022,QCG,3.5
11/11/2022,QCG,3.56
10/11/2022,QCG,3.82
09/11/2022,QCG,4.1
08/11/2022,QCG,4.14
07/11/2022,QCG,4.4
04/11/2022,QCG,4.73
03/11/2022,QCG,5.0
02/11/2022,QCG,5.1
01/11/2022,QCG,5.29
31/10/2022,QCG,5.21
28/10/2022,QCG,5.31
27/10/2022,QCG,5.38
26/10/2022,QCG,5.2
25/10/2022,QCG,5.26
24/10/2022,QCG,5.31
21/10/2022,QCG,5.7
20/10/2022,QCG,6.1
19/10/2022,QCG,6.39
18/10/2022,QCG,6.35
17/10/2022,QCG,6.28
14/10/2022,QCG,6.28
13/10/2022,QCG,6.05
12/10/2022,QCG,5.8
11/10/2022,QCG,5.77
10/10/2022,QCG,6.2
07/10/2022,QCG,6.32
06/10/2022,QCG,6.63
05/10/2022,QCG,6.95
04/10/2022,QCG,6.65
03/10/2022,QCG,6.65
30/09/2022,QCG,6.63
29/09/2022,QCG,7.0
28/09/2022,QCG,7.1
27/09/2022,QCG,7.1
26/09/2022,QCG,7.2
23/09/2022,QCG,7.65
22/09/2022,QCG,7.8
21/09/2022,QCG,7.6
20/09/2022,QCG,7.8
19/09/2022,QCG,7.52
16/09/2022,QCG,8.0
15/09/2022,QCG,8.08
14/09/2022,QCG,7.95
13/09/2022,QCG,8.06
12/09/2022,QCG,7.96
09/09/2022,QCG,7.96
08/09/2022,QCG,7.9
07/09/2022,QCG,8.1
06/09/2022,QCG,8.6
05/09/2022,QCG,8.52
31/08/2022,QCG,8.36
30/08/2022,QCG,8.2
29/08/2022,QCG,8.25
26/08/2022,QCG,8.48
25/08/2022,QCG,8.66
24/08/2022,QCG,8.76
23/08/2022,QCG,8.5
22/08/2022,QCG,8.3
19/08/2022,QCG,8.51
18/08/2022,QCG,8.69
17/08/2022,QCG,8.8
16/08/2022,QCG,8.86
15/08/2022,QCG,8.9
12/08/2022,QCG,8.95
11/08/2022,QCG,8.9
10/08/2022,QCG,9.13
09/08/2022,QCG,8.81
08/08/2022,QCG,8.84
05/08/2022,QCG,8.82
04/08/2022,QCG,8.82
03/08/2022,QCG,9.1
02/08/2022,QCG,8.77
01/08/2022,QCG,8.2
29/07/2022,QCG,8.01
28/07/2022,QCG,8.04
27/07/2022,QCG,8.0
26/07/2022,QCG,7.65
25/07/2022,QCG,7.68
22/07/2022,QCG,7.82
21/07/2022,QCG,8.0
20/07/2022,QCG,8.15
19/07/2022,QCG,8.0
18/07/2022,QCG,7.85
15/07/2022,QCG,7.82
14/07/2022,QCG,7.88
13/07/2022,QCG,7.89
12/07/2022,QCG,7.8
11/07/2022,QCG,7.33
08/07/2022,QCG,7.46
07/07/2022,QCG,7.05
06/07/2022,QCG,6.92
05/07/2022,QCG,7.2
04/07/2022,QCG,7.5
01/07/2022,QCG,7.3
30/06/2022,QCG,7.52
29/06/2022,QCG,7.73
28/06/2022,QCG,7.81
27/06/2022,QCG,7.6
24/06/2022,QCG,7.42
23/06/2022,QCG,7.58
22/06/2022,QCG,7.12
21/06/2022,QCG,6.66
20/06/2022,QCG,7.15
17/06/2022,QCG,7.68
16/06/2022,QCG,8.25
15/06/2022,QCG,8.37
14/06/2022,QCG,8.99
13/06/2022,QCG,9.11
10/06/2022,QCG,9.79
09/06/2022,QCG,9.92
08/06/2022,QCG,9.97
07/06/2022,QCG,9.32
06/06/2022,QCG,9.2
03/06/2022,QCG,9.42
02/06/2022,QCG,9.71
01/06/2022,QCG,10.2
31/05/2022,QCG,10.25
30/05/2022,QCG,10.3
27/05/2022,QCG,10.4
26/05/2022,QCG,10.25
25/05/2022,QCG,10.2
24/05/2022,QCG,9.86
23/05/2022,QCG,9.87
20/05/2022,QCG,10.2
19/05/2022,QCG,9.96
18/05/2022,QCG,9.85
17/05/2022,QCG,9.63
16/05/2022,QCG,9.0
13/05/2022,QCG,9.22
12/05/2022,QCG,9.9
11/05/2022,QCG,10.5
10/05/2022,QCG,10.3
09/05/2022,QCG,9.74
06/05/2022,QCG,10.45
05/05/2022,QCG,11.05
04/05/2022,QCG,11.3
29/04/2022,QCG,11.9
28/04/2022,QCG,11.6
27/04/2022,QCG,11.65
26/04/2022,QCG,10.9
25/04/2022,QCG,10.2
22/04/2022,QCG,10.8
21/04/2022,QCG,10.1
20/04/2022,QCG,10.85
19/04/2022,QCG,11.65
18/04/2022,QCG,12.45
15/04/2022,QCG,13.35
14/04/2022,QCG,13.8
13/04/2022,QCG,13.85
12/04/2022,QCG,12.95
08/04/2022,QCG,13.9
07/04/2022,QCG,14.65
06/04/2022,QCG,14.55
05/04/2022,QCG,15.05
04/04/2022,QCG,15.2
01/04/2022,QCG,15.9
31/03/2022,QCG,15.35
30/03/2022,QCG,16.4
29/03/2022,QCG,16.15
28/03/2022,QCG,15.1
25/03/2022,QCG,16.2
24/03/2022,QCG,16.35
23/03/2022,QCG,15.3
22/03/2022,QCG,14.3
21/03/2022,QCG,14.2
18/03/2022,QCG,13.85
17/03/2022,QCG,13.45
16/03/2022,QCG,12.6
15/03/2022,QCG,12.35
14/03/2022,QCG,12.15
11/03/2022,QCG,12.6
10/03/2022,QCG,12.8
09/03/2022,QCG,12.7
08/03/2022,QCG,13.0
07/03/2022,QCG,13.45
04/03/2022,QCG,13.7
03/03/2022,QCG,13.5
02/03/2022,QCG,13.85
01/03/2022,QCG,13.5
28/02/2022,QCG,13.5
25/02/2022,QCG,13.6
24/02/2022,QCG,13.25
23/02/2022,QCG,14.1
22/02/2022,QCG,13.9
21/02/2022,QCG,14.55
18/02/2022,QCG,13.85
17/02/2022,QCG,13.15
16/02/2022,QCG,13.1
15/02/2022,QCG,12.25
14/02/2022,QCG,11.95
11/02/2022,QCG,12.6
10/02/2022,QCG,13.1
09/02/2022,QCG,13.25
08/02/2022,QCG,12.6
07/02/2022,QCG,12.85
28/01/2022,QCG,12.05
27/01/2022,QCG,11.3
26/01/2022,QCG,12.1
25/01/2022,QCG,13.0
24/01/2022,QCG,13.95
21/01/2022,QCG,15.0
20/01/2022,QCG,14.75
