Ngay,GiaDongCua
29/12/2023,7.4
28/12/2023,7.09
27/12/2023,7.16
26/12/2023,7.25
25/12/2023,7.21
22/12/2023,7.13
21/12/2023,7.18
20/12/2023,7.12
19/12/2023,7.01
18/12/2023,7.0
15/12/2023,7.1
14/12/2023,7.15
13/12/2023,7.2
12/12/2023,7.41
11/12/2023,7.28
08/12/2023,7.34
07/12/2023,7.5
06/12/2023,7.42
05/12/2023,7.19
04/12/2023,7.17
01/12/2023,6.96
30/11/2023,6.92
29/11/2023,6.88
28/11/2023,6.87
27/11/2023,6.85
24/11/2023,6.95
23/11/2023,7.0
22/11/2023,7.23
21/11/2023,7.12
20/11/2023,7.12
17/11/2023,7.1
16/11/2023,7.05
15/11/2023,6.92
14/11/2023,6.9
13/11/2023,6.9
10/11/2023,6.91
09/11/2023,7.0
08/11/2023,6.81
07/11/2023,6.37
06/11/2023,6.47
03/11/2023,6.39
02/11/2023,6.42
01/11/2023,6.0
31/10/2023,5.8
30/10/2023,5.87
27/10/2023,6.3
26/10/2023,6.23
25/10/2023,6.69
24/10/2023,6.72
23/10/2023,6.58
20/10/2023,6.56
19/10/2023,6.41
18/10/2023,6.6
17/10/2023,6.9
16/10/2023,7.07
13/10/2023,7.17
12/10/2023,7.19
11/10/2023,7.13
10/10/2023,7.11
09/10/2023,6.98
06/10/2023,6.83
05/10/2023,6.8
04/10/2023,6.99
03/10/2023,6.96
02/10/2023,7.48
29/09/2023,7.4
28/09/2023,7.37
27/09/2023,7.51
26/09/2023,7.4
25/09/2023,7.45
22/09/2023,8.0
21/09/2023,8.41
20/09/2023,8.56
19/09/2023,8.26
18/09/2023,8.24
15/09/2023,8.4
14/09/2023,8.39
13/09/2023,8.68
12/09/2023,8.82
11/09/2023,8.7
08/09/2023,9.12
07/09/2023,9.0
06/09/2023,8.94
05/09/2023,8.76
31/08/2023,8.63
30/08/2023,8.5
29/08/2023,8.55
28/08/2023,8.49
25/08/2023,8.39
24/08/2023,8.45
23/08/2023,8.1
22/08/2023,8.06
21/08/2023,8.12
18/08/2023,8.52
17/08/2023,9.16
16/08/2023,9.26
15/08/2023,9.4
14/08/2023,9.53
11/08/2023,9.3
10/08/2023,9.3
09/08/2023,9.0
08/08/2023,9.02
07/08/2023,8.93
04/08/2023,8.9
03/08/2023,8.6
02/08/2023,8.8
01/08/2023,8.58
31/07/2023,8.85
28/07/2023,9.05
27/07/2023,9.0
26/07/2023,8.87
25/07/2023,8.9
24/07/2023,8.9
21/07/2023,8.8
20/07/2023,8.41
19/07/2023,8.3
18/07/2023,8.51
17/07/2023,8.63
14/07/2023,8.22
13/07/2023,8.17
12/07/2023,7.94
11/07/2023,8.0
10/07/2023,8.0
07/07/2023,7.87
06/07/2023,7.85
05/07/2023,8.0
04/07/2023,7.97
03/07/2023,7.9
30/06/2023,7.96
29/06/2023,8.03
28/06/2023,8.14
27/06/2023,8.03
26/06/2023,8.05
23/06/2023,8.19
22/06/2023,8.16
21/06/2023,8.01
20/06/2023,7.99
19/06/2023,7.75
16/06/2023,8.0
15/06/2023,8.03
14/06/2023,8.05
13/06/2023,8.15
12/06/2023,8.14
09/06/2023,8.08
08/06/2023,8.1
07/06/2023,8.28
06/06/2023,8.13
05/06/2023,8.04
02/06/2023,8.15
01/06/2023,8.26
31/05/2023,8.13
30/05/2023,8.12
29/05/2023,8.2
26/05/2023,7.9
25/05/2023,7.75
24/05/2023,7.84
23/05/2023,7.81
22/05/2023,7.95
19/05/2023,7.66
18/05/2023,7.77
17/05/2023,7.76
16/05/2023,7.78
15/05/2023,7.75
12/05/2023,8.04
11/05/2023,8.02
10/05/2023,7.8
09/05/2023,7.47
08/05/2023,7.58
05/05/2023,7.32
04/05/2023,7.45
28/04/2023,7.62
27/04/2023,7.59
26/04/2023,7.29
25/04/2023,7.2
24/04/2023,7.33
21/04/2023,7.09
20/04/2023,7.01
19/04/2023,7.08
18/04/2023,7.31
17/04/2023,7.09
14/04/2023,7.01
13/04/2023,7.53
12/04/2023,7.74
11/04/2023,7.74
10/04/2023,7.7
07/04/2023,7.8
06/04/2023,7.47
05/04/2023,7.47
04/04/2023,7.4
03/04/2023,7.27
31/03/2023,6.8
30/03/2023,6.69
29/03/2023,6.69
28/03/2023,6.7
27/03/2023,6.71
24/03/2023,6.66
23/03/2023,6.5
22/03/2023,6.5
21/03/2023,6.44
20/03/2023,6.4
17/03/2023,6.48
16/03/2023,6.49
15/03/2023,6.7
14/03/2023,6.32
13/03/2023,6.56
10/03/2023,6.51
09/03/2023,6.68
08/03/2023,6.78
07/03/2023,6.54
06/03/2023,6.68
03/03/2023,6.25
02/03/2023,6.62
01/03/2023,6.58
28/02/2023,6.51
27/02/2023,7.0
24/02/2023,6.99
23/02/2023,6.74
22/02/2023,6.77
21/02/2023,6.63
20/02/2023,6.5
17/02/2023,6.08
16/02/2023,5.9
15/02/2023,5.85
14/02/2023,5.53
13/02/2023,5.5
10/02/2023,5.85
09/02/2023,6.08
08/02/2023,6.2
07/02/2023,6.09
06/02/2023,6.3
03/02/2023,6.0
02/02/2023,5.86
01/02/2023,6.0
31/01/2023,6.45
30/01/2023,6.38
27/01/2023,6.2
19/01/2023,6.1
18/01/2023,6.09
17/01/2023,5.7
16/01/2023,5.53
13/01/2023,5.61
12/01/2023,5.69
11/01/2023,5.7
10/01/2023,5.6
09/01/2023,5.6
06/01/2023,5.6
05/01/2023,5.82
04/01/2023,5.82
03/01/2023,5.88
30/12/2022,5.5
29/12/2022,5.6
28/12/2022,5.59
27/12/2022,5.5
26/12/2022,5.21
23/12/2022,5.6
22/12/2022,5.7
21/12/2022,5.8
20/12/2022,5.92
19/12/2022,6.11
16/12/2022,6.56
15/12/2022,6.5
14/12/2022,6.34
13/12/2022,5.93
12/12/2022,5.61
09/12/2022,5.92
08/12/2022,6.02
07/12/2022,5.63
06/12/2022,6.05
05/12/2022,6.5
02/12/2022,6.6
01/12/2022,6.4
30/11/2022,6.32
29/11/2022,6.08
28/11/2022,5.69
25/11/2022,5.32
24/11/2022,4.98
23/11/2022,4.87
22/11/2022,5.11
21/11/2022,5.0
18/11/2022,4.71
17/11/2022,4.41
16/11/2022,4.13
15/11/2022,3.86
14/11/2022,4.15
11/11/2022,4.46
10/11/2022,4.79
09/11/2022,5.15
08/11/2022,5.19
07/11/2022,5.24
04/11/2022,5.63
03/11/2022,6.05
02/11/2022,6.18
01/11/2022,6.3
31/10/2022,6.1
28/10/2022,6.2
27/10/2022,6.01
26/10/2022,5.62
25/10/2022,6.03
24/10/2022,6.5
21/10/2022,6.98
20/10/2022,7.5
19/10/2022,7.8
18/10/2022,7.87
17/10/2022,7.38
14/10/2022,7.41
13/10/2022,7.15
12/10/2022,7.06
11/10/2022,7.05
10/10/2022,7.57
07/10/2022,7.44
06/10/2022,8.0
05/10/2022,8.56
04/10/2022,8.0
03/10/2022,8.51
30/09/2022,9.14
29/09/2022,9.15
28/09/2022,9.45
27/09/2022,9.42
26/09/2022,9.47
23/09/2022,10.0
22/09/2022,10.15
21/09/2022,10.05
20/09/2022,10.05
19/09/2022,9.63
16/09/2022,10.35
15/09/2022,10.8
14/09/2022,10.8
13/09/2022,10.75
12/09/2022,10.8
09/09/2022,10.9
08/09/2022,10.5
07/09/2022,11.0
06/09/2022,11.75
05/09/2022,11.75
31/08/2022,11.9
30/08/2022,11.8
29/08/2022,12.15
26/08/2022,12.55
25/08/2022,12.3
24/08/2022,12.05
23/08/2022,12.1
22/08/2022,11.75
19/08/2022,12.3
18/08/2022,12.3
17/08/2022,12.3
16/08/2022,12.35
15/08/2022,12.4
12/08/2022,12.5
11/08/2022,12.35
10/08/2022,12.85
09/08/2022,12.5
08/08/2022,12.1
05/08/2022,12.3
04/08/2022,12.05
03/08/2022,12.15
02/08/2022,12.1
01/08/2022,12.05
29/07/2022,11.7
28/07/2022,11.8
27/07/2022,11.85
26/07/2022,11.15
25/07/2022,10.8
22/07/2022,11.2
21/07/2022,11.3
20/07/2022,11.3
19/07/2022,10.6
18/07/2022,10.65
15/07/2022,10.45
14/07/2022,10.45
13/07/2022,10.3
12/07/2022,10.55
11/07/2022,10.05
08/07/2022,9.95
07/07/2022,9.3
06/07/2022,9.1
05/07/2022,9.05
04/07/2022,9.46
01/07/2022,9.2
30/06/2022,9.09
29/06/2022,9.68
28/06/2022,9.6
27/06/2022,9.2
24/06/2022,9.05
23/06/2022,9.12
22/06/2022,8.82
21/06/2022,8.25
20/06/2022,8.23
17/06/2022,8.84
16/06/2022,9.5
15/06/2022,10.2
14/06/2022,10.95
13/06/2022,11.35
10/06/2022,12.2
09/06/2022,12.7
08/06/2022,12.1
07/06/2022,11.35
06/06/2022,11.9
03/06/2022,12.45
02/06/2022,12.65
01/06/2022,13.3
31/05/2022,13.55
30/05/2022,13.7
27/05/2022,13.3
26/05/2022,13.25
25/05/2022,13.25
24/05/2022,12.4
23/05/2022,12.1
20/05/2022,12.8
19/05/2022,12.5
18/05/2022,12.6
17/05/2022,12.3
16/05/2022,11.5
13/05/2022,12.35
12/05/2022,13.25
11/05/2022,14.2
10/05/2022,13.7
09/05/2022,14.25
06/05/2022,15.3
05/05/2022,16.1
04/05/2022,16.1
29/04/2022,16.6
28/04/2022,16.3
27/04/2022,17.05
26/04/2022,16.7
25/04/2022,16.45
22/04/2022,15.9
21/04/2022,15.25
20/04/2022,16.3
