Ngay,Symbol,GiaDongCua
29/12/2023,SJS,69.4
28/12/2023,SJS,70.4
27/12/2023,SJS,69.7
26/12/2023,SJS,70.3
25/12/2023,SJS,69.8
22/12/2023,SJS,69.0
21/12/2023,SJS,69.5
20/12/2023,SJS,67.7
19/12/2023,SJS,70.2
18/12/2023,SJS,70.3
15/12/2023,SJS,68.7
14/12/2023,SJS,68.7
13/12/2023,SJS,69.6
12/12/2023,SJS,71.0
11/12/2023,SJS,70.1
08/12/2023,SJS,69.0
07/12/2023,SJS,70.2
06/12/2023,SJS,71.9
05/12/2023,SJS,73.0
04/12/2023,SJS,72.9
01/12/2023,SJS,72.8
30/11/2023,SJS,72.3
29/11/2023,SJS,67.6
28/11/2023,SJS,67.4
27/11/2023,SJS,68.2
24/11/2023,SJS,65.9
23/11/2023,SJS,67.7
22/11/2023,SJS,68.4
21/11/2023,SJS,64.0
20/11/2023,SJS,63.5
17/11/2023,SJS,63.0
16/11/2023,SJS,61.6
15/11/2023,SJS,61.5
14/11/2023,SJS,59.7
13/11/2023,SJS,60.7
10/11/2023,SJS,60.0
09/11/2023,SJS,62.5
08/11/2023,SJS,62.8
07/11/2023,SJS,62.3
06/11/2023,SJS,61.8
03/11/2023,SJS,61.6
02/11/2023,SJS,58.0
01/11/2023,SJS,56.7
31/10/2023,SJS,57.0
30/10/2023,SJS,57.2
27/10/2023,SJS,57.4
26/10/2023,SJS,57.4
25/10/2023,SJS,59.0
24/10/2023,SJS,58.8
23/10/2023,SJS,58.5
20/10/2023,SJS,57.0
19/10/2023,SJS,56.3
18/10/2023,SJS,55.2
17/10/2023,SJS,59.0
16/10/2023,SJS,60.0
13/10/2023,SJS,60.9
12/10/2023,SJS,61.0
11/10/2023,SJS,59.6
10/10/2023,SJS,62.0
09/10/2023,SJS,61.9
06/10/2023,SJS,62.1
05/10/2023,SJS,61.8
04/10/2023,SJS,61.5
03/10/2023,SJS,61.8
02/10/2023,SJS,62.6
29/09/2023,SJS,61.9
28/09/2023,SJS,61.4
27/09/2023,SJS,61.9
26/09/2023,SJS,60.0
25/09/2023,SJS,61.0
22/09/2023,SJS,61.2
21/09/2023,SJS,62.0
20/09/2023,SJS,63.0
19/09/2023,SJS,59.0
18/09/2023,SJS,59.0
15/09/2023,SJS,58.0
14/09/2023,SJS,58.0
13/09/2023,SJS,58.5
12/09/2023,SJS,58.2
11/09/2023,SJS,58.0
08/09/2023,SJS,58.0
07/09/2023,SJS,57.1
06/09/2023,SJS,58.0
05/09/2023,SJS,59.5
31/08/2023,SJS,60.0
30/08/2023,SJS,60.0
29/08/2023,SJS,59.8
28/08/2023,SJS,59.8
25/08/2023,SJS,59.5
24/08/2023,SJS,56.1
23/08/2023,SJS,52.5
22/08/2023,SJS,54.7
21/08/2023,SJS,55.5
18/08/2023,SJS,56.0
17/08/2023,SJS,60.2
16/08/2023,SJS,61.3
15/08/2023,SJS,60.0
14/08/2023,SJS,62.5
11/08/2023,SJS,64.5
10/08/2023,SJS,64.3
09/08/2023,SJS,60.1
08/08/2023,SJS,56.2
07/08/2023,SJS,57.2
04/08/2023,SJS,58.9
03/08/2023,SJS,59.0
02/08/2023,SJS,60.5
01/08/2023,SJS,61.7
31/07/2023,SJS,59.3
28/07/2023,SJS,57.2
27/07/2023,SJS,53.5
26/07/2023,SJS,50.0
25/07/2023,SJS,46.8
24/07/2023,SJS,46.5
21/07/2023,SJS,45.4
20/07/2023,SJS,46.0
19/07/2023,SJS,45.9
18/07/2023,SJS,44.8
17/07/2023,SJS,44.0
14/07/2023,SJS,43.3
13/07/2023,SJS,43.0
12/07/2023,SJS,43.0
11/07/2023,SJS,43.6
10/07/2023,SJS,42.0
07/07/2023,SJS,42.0
06/07/2023,SJS,41.55
05/07/2023,SJS,41.55
04/07/2023,SJS,41.55
03/07/2023,SJS,41.55
30/06/2023,SJS,41.9
29/06/2023,SJS,41.9
28/06/2023,SJS,41.5
27/06/2023,SJS,42.2
26/06/2023,SJS,41.6
23/06/2023,SJS,42.0
22/06/2023,SJS,43.1
21/06/2023,SJS,42.4
20/06/2023,SJS,42.45
19/06/2023,SJS,42.6
16/06/2023,SJS,42.3
15/06/2023,SJS,42.6
14/06/2023,SJS,42.55
13/06/2023,SJS,43.85
12/06/2023,SJS,44.0
09/06/2023,SJS,42.8
08/06/2023,SJS,42.7
07/06/2023,SJS,43.85
06/06/2023,SJS,44.0
05/06/2023,SJS,44.5
02/06/2023,SJS,44.7
01/06/2023,SJS,44.7
31/05/2023,SJS,45.0
30/05/2023,SJS,45.0
29/05/2023,SJS,44.15
26/05/2023,SJS,44.5
25/05/2023,SJS,44.4
24/05/2023,SJS,41.5
23/05/2023,SJS,41.0
22/05/2023,SJS,41.0
19/05/2023,SJS,41.35
18/05/2023,SJS,41.7
17/05/2023,SJS,41.0
16/05/2023,SJS,42.5
15/05/2023,SJS,40.8
12/05/2023,SJS,40.8
11/05/2023,SJS,40.8
10/05/2023,SJS,40.8
09/05/2023,SJS,41.0
08/05/2023,SJS,41.5
05/05/2023,SJS,40.95
04/05/2023,SJS,41.5
28/04/2023,SJS,41.5
27/04/2023,SJS,41.95
26/04/2023,SJS,41.95
25/04/2023,SJS,42.0
24/04/2023,SJS,41.0
21/04/2023,SJS,41.0
20/04/2023,SJS,40.9
19/04/2023,SJS,40.9
18/04/2023,SJS,40.9
17/04/2023,SJS,41.05
14/04/2023,SJS,41.25
13/04/2023,SJS,41.6
12/04/2023,SJS,41.7
11/04/2023,SJS,41.95
10/04/2023,SJS,42.0
07/04/2023,SJS,41.7
06/04/2023,SJS,42.0
05/04/2023,SJS,42.45
04/04/2023,SJS,42.8
03/04/2023,SJS,43.0
31/03/2023,SJS,43.0
30/03/2023,SJS,44.6
29/03/2023,SJS,44.85
28/03/2023,SJS,45.0
27/03/2023,SJS,43.0
24/03/2023,SJS,43.8
23/03/2023,SJS,43.9
22/03/2023,SJS,44.0
21/03/2023,SJS,44.0
20/03/2023,SJS,44.2
17/03/2023,SJS,44.0
16/03/2023,SJS,44.0
15/03/2023,SJS,44.1
14/03/2023,SJS,44.8
13/03/2023,SJS,45.0
10/03/2023,SJS,44.95
09/03/2023,SJS,44.5
08/03/2023,SJS,44.8
07/03/2023,SJS,45.35
06/03/2023,SJS,45.4
03/03/2023,SJS,43.8
02/03/2023,SJS,44.3
01/03/2023,SJS,44.5
28/02/2023,SJS,44.5
27/02/2023,SJS,44.5
24/02/2023,SJS,44.8
23/02/2023,SJS,45.1
22/02/2023,SJS,45.4
21/02/2023,SJS,45.2
20/02/2023,SJS,45.2
17/02/2023,SJS,45.1
16/02/2023,SJS,45.5
15/02/2023,SJS,45.1
14/02/2023,SJS,45.8
13/02/2023,SJS,45.8
10/02/2023,SJS,45.65
09/02/2023,SJS,46.7
08/02/2023,SJS,46.8
07/02/2023,SJS,45.65
06/02/2023,SJS,47.45
03/02/2023,SJS,46.9
02/02/2023,SJS,46.5
01/02/2023,SJS,47.7
31/01/2023,SJS,48.0
30/01/2023,SJS,48.0
27/01/2023,SJS,48.0
19/01/2023,SJS,47.0
18/01/2023,SJS,46.8
17/01/2023,SJS,46.8
16/01/2023,SJS,46.9
13/01/2023,SJS,47.0
12/01/2023,SJS,46.0
11/01/2023,SJS,44.35
10/01/2023,SJS,44.8
09/01/2023,SJS,46.9
06/01/2023,SJS,44.05
05/01/2023,SJS,44.55
04/01/2023,SJS,44.6
03/01/2023,SJS,47.6
30/12/2022,SJS,45.5
29/12/2022,SJS,45.1
28/12/2022,SJS,45.5
27/12/2022,SJS,45.5
26/12/2022,SJS,46.1
23/12/2022,SJS,48.0
22/12/2022,SJS,45.0
21/12/2022,SJS,46.0
20/12/2022,SJS,45.2
19/12/2022,SJS,48.0
16/12/2022,SJS,47.9
15/12/2022,SJS,47.9
14/12/2022,SJS,49.9
13/12/2022,SJS,49.3
12/12/2022,SJS,48.0
09/12/2022,SJS,47.5
08/12/2022,SJS,45.4
07/12/2022,SJS,45.4
06/12/2022,SJS,47.3
05/12/2022,SJS,50.0
02/12/2022,SJS,50.6
01/12/2022,SJS,47.5
30/11/2022,SJS,44.4
29/11/2022,SJS,42.0
28/11/2022,SJS,41.95
25/11/2022,SJS,40.5
24/11/2022,SJS,40.25
23/11/2022,SJS,40.4
22/11/2022,SJS,40.5
21/11/2022,SJS,40.8
18/11/2022,SJS,40.85
17/11/2022,SJS,40.85
16/11/2022,SJS,43.9
15/11/2022,SJS,47.2
14/11/2022,SJS,50.7
11/11/2022,SJS,54.5
10/11/2022,SJS,55.5
09/11/2022,SJS,57.5
08/11/2022,SJS,58.0
07/11/2022,SJS,57.9
04/11/2022,SJS,60.0
03/11/2022,SJS,60.0
02/11/2022,SJS,60.0
01/11/2022,SJS,61.0
31/10/2022,SJS,62.2
28/10/2022,SJS,63.0
27/10/2022,SJS,63.5
26/10/2022,SJS,63.9
25/10/2022,SJS,61.9
24/10/2022,SJS,59.4
21/10/2022,SJS,63.8
20/10/2022,SJS,66.0
19/10/2022,SJS,67.0
18/10/2022,SJS,64.5
17/10/2022,SJS,61.0
14/10/2022,SJS,61.0
13/10/2022,SJS,60.1
12/10/2022,SJS,60.0
11/10/2022,SJS,57.9
10/10/2022,SJS,57.0
07/10/2022,SJS,57.4
06/10/2022,SJS,61.0
05/10/2022,SJS,62.0
04/10/2022,SJS,61.4
03/10/2022,SJS,62.0
30/09/2022,SJS,64.0
29/09/2022,SJS,64.4
28/09/2022,SJS,65.0
27/09/2022,SJS,66.0
26/09/2022,SJS,67.8
23/09/2022,SJS,68.9
22/09/2022,SJS,68.0
21/09/2022,SJS,67.7
20/09/2022,SJS,67.9
19/09/2022,SJS,67.8
16/09/2022,SJS,68.0
15/09/2022,SJS,68.3
14/09/2022,SJS,68.5
13/09/2022,SJS,68.6
12/09/2022,SJS,69.0
09/09/2022,SJS,69.5
08/09/2022,SJS,69.6
07/09/2022,SJS,69.6
06/09/2022,SJS,70.0
05/09/2022,SJS,70.4
31/08/2022,SJS,70.1
30/08/2022,SJS,70.5
29/08/2022,SJS,71.9
26/08/2022,SJS,72.4
25/08/2022,SJS,73.6
24/08/2022,SJS,69.7
23/08/2022,SJS,69.5
22/08/2022,SJS,67.5
19/08/2022,SJS,68.7
18/08/2022,SJS,68.8
17/08/2022,SJS,68.8
16/08/2022,SJS,69.3
15/08/2022,SJS,69.0
12/08/2022,SJS,69.8
11/08/2022,SJS,69.9
10/08/2022,SJS,68.5
09/08/2022,SJS,69.4
08/08/2022,SJS,69.3
05/08/2022,SJS,70.2
04/08/2022,SJS,69.4
03/08/2022,SJS,69.6
02/08/2022,SJS,69.9
01/08/2022,SJS,69.9
29/07/2022,SJS,70.3
28/07/2022,SJS,70.2
27/07/2022,SJS,70.5
