Ngay,GiaDongCua
29/12/2023,9.91
28/12/2023,9.83
27/12/2023,9.76
26/12/2023,9.81
25/12/2023,9.8
22/12/2023,9.7
21/12/2023,9.76
20/12/2023,9.76
19/12/2023,9.69
18/12/2023,9.69
15/12/2023,9.74
14/12/2023,9.85
13/12/2023,9.98
12/12/2023,10.2
11/12/2023,10.3
08/12/2023,10.15
07/12/2023,10.2
06/12/2023,10.4
05/12/2023,10.35
04/12/2023,9.7
01/12/2023,9.4
30/11/2023,9.57
29/11/2023,9.6
28/11/2023,9.58
27/11/2023,9.76
24/11/2023,9.99
23/11/2023,10.0
22/11/2023,10.25
21/11/2023,10.1
20/11/2023,9.84
17/11/2023,9.85
16/11/2023,9.99
15/11/2023,9.8
14/11/2023,9.71
13/11/2023,9.7
10/11/2023,9.86
09/11/2023,9.86
08/11/2023,9.64
07/11/2023,9.01
06/11/2023,9.04
03/11/2023,9.12
02/11/2023,9.1
01/11/2023,8.51
31/10/2023,8.36
30/10/2023,8.98
27/10/2023,9.65
26/10/2023,9.44
25/10/2023,10.15
24/10/2023,9.53
23/10/2023,9.45
20/10/2023,9.6
19/10/2023,8.98
18/10/2023,9.14
17/10/2023,9.2
16/10/2023,9.49
13/10/2023,9.62
12/10/2023,9.6
11/10/2023,9.65
10/10/2023,9.45
09/10/2023,9.26
06/10/2023,9.2
05/10/2023,9.05
04/10/2023,9.5
03/10/2023,9.5
02/10/2023,10.2
29/09/2023,10.2
28/09/2023,10.15
27/09/2023,10.5
26/09/2023,10.25
25/09/2023,10.75
22/09/2023,11.55
21/09/2023,12.2
20/09/2023,12.05
19/09/2023,11.95
18/09/2023,12.1
15/09/2023,12.15
14/09/2023,12.0
13/09/2023,12.6
12/09/2023,12.85
11/09/2023,13.05
08/09/2023,13.2
07/09/2023,12.9
06/09/2023,12.7
05/09/2023,12.7
31/08/2023,12.4
30/08/2023,12.6
29/08/2023,12.75
28/08/2023,12.5
25/08/2023,12.2
24/08/2023,12.45
23/08/2023,12.05
22/08/2023,12.2
21/08/2023,12.4
18/08/2023,12.95
17/08/2023,13.9
16/08/2023,14.2
15/08/2023,14.15
14/08/2023,14.15
11/08/2023,13.9
10/08/2023,13.9
09/08/2023,14.15
08/08/2023,14.45
07/08/2023,14.6
04/08/2023,15.35
03/08/2023,14.9
02/08/2023,15.05
01/08/2023,14.65
31/07/2023,15.5
28/07/2023,15.65
27/07/2023,14.65
26/07/2023,14.25
25/07/2023,14.7
24/07/2023,14.3
21/07/2023,14.2
20/07/2023,13.8
19/07/2023,13.4
18/07/2023,13.9
