Ngay,Symbol,GiaDongCua
29/12/2023,VHM,43.2
28/12/2023,VHM,43.7
27/12/2023,VHM,41.9
26/12/2023,VHM,41.9
25/12/2023,VHM,41.2
22/12/2023,VHM,40.3
21/12/2023,VHM,40.2
20/12/2023,VHM,39.95
19/12/2023,VHM,39.5
18/12/2023,VHM,39.9
15/12/2023,VHM,39.9
14/12/2023,VHM,40.3
13/12/2023,VHM,40.75
12/12/2023,VHM,41.05
11/12/2023,VHM,41.0
08/12/2023,VHM,39.65
07/12/2023,VHM,39.7
06/12/2023,VHM,40.45
05/12/2023,VHM,40.5
04/12/2023,VHM,41.3
01/12/2023,VHM,40.9
30/11/2023,VHM,41.3
29/11/2023,VHM,41.2
28/11/2023,VHM,40.75
27/11/2023,VHM,39.8
24/11/2023,VHM,39.1
23/11/2023,VHM,39.0
22/11/2023,VHM,39.0
21/11/2023,VHM,39.1
20/11/2023,VHM,38.95
17/11/2023,VHM,38.95
16/11/2023,VHM,41.15
15/11/2023,VHM,41.45
14/11/2023,VHM,41.0
13/11/2023,VHM,41.35
10/11/2023,VHM,42.3
09/11/2023,VHM,42.9
08/11/2023,VHM,41.0
07/11/2023,VHM,40.0
06/11/2023,VHM,41.0
03/11/2023,VHM,40.5
02/11/2023,VHM,39.95
01/11/2023,VHM,38.45
31/10/2023,VHM,39.0
30/10/2023,VHM,39.2
27/10/2023,VHM,39.2
26/10/2023,VHM,41.8
25/10/2023,VHM,44.9
24/10/2023,VHM,44.6
23/10/2023,VHM,44.5
20/10/2023,VHM,44.5
19/10/2023,VHM,42.5
18/10/2023,VHM,43.3
17/10/2023,VHM,44.5
16/10/2023,VHM,45.55
13/10/2023,VHM,46.9
12/10/2023,VHM,47.55
11/10/2023,VHM,47.4
10/10/2023,VHM,48.0
09/10/2023,VHM,47.0
06/10/2023,VHM,46.05
05/10/2023,VHM,44.55
04/10/2023,VHM,44.6
03/10/2023,VHM,44.05
02/10/2023,VHM,45.75
29/09/2023,VHM,45.5
28/09/2023,VHM,44.5
27/09/2023,VHM,45.1
26/09/2023,VHM,45.0
25/09/2023,VHM,47.0
22/09/2023,VHM,48.0
21/09/2023,VHM,50.2
20/09/2023,VHM,50.7
19/09/2023,VHM,49.35
18/09/2023,VHM,48.95
15/09/2023,VHM,50.5
14/09/2023,VHM,49.0
13/09/2023,VHM,52.1
12/09/2023,VHM,53.5
11/09/2023,VHM,52.5
08/09/2023,VHM,54.0
07/09/2023,VHM,55.1
06/09/2023,VHM,55.9
05/09/2023,VHM,55.3
31/08/2023,VHM,54.7
30/08/2023,VHM,54.6
29/08/2023,VHM,54.6
28/08/2023,VHM,54.7
25/08/2023,VHM,54.1
24/08/2023,VHM,55.4
23/08/2023,VHM,54.5
22/08/2023,VHM,55.5
21/08/2023,VHM,56.0
18/08/2023,VHM,56.8
17/08/2023,VHM,61.0
16/08/2023,VHM,62.9
15/08/2023,VHM,61.7
14/08/2023,VHM,61.2
11/08/2023,VHM,60.9
